,Token,Score,Syllable_Count,Word_length,IsComplex
0,Recent,0,2,6,0
1,years,0,2,5,0
2,seen,0,2,4,0
3,significant,1,4,11,1
4,growth,0,1,6,0
5,personal,0,3,8,1
6,financial,0,4,9,1
7,wealth,0,2,6,0
8,2017,0,0,4,0
9,alone,0,3,5,1
10,12,0,0,2,0
11,percent,0,2,7,0
12,growth,0,1,6,0
13,personal,0,3,8,1
14,financial,0,4,9,1
15,wealth,0,2,6,0
16,Opportunities,0,0,13,0
17,posed,0,0,5,0
18,growth,0,1,6,0
19,tremendous,0,4,10,1
20,wealth,0,2,6,0
21,managers,0,3,8,1
22,struggling,-1,2,10,0
23,manage,0,3,6,1
24,profit,0,2,6,0
25,margins,0,2,7,0
26,increase,0,4,8,1
27,profit,0,2,6,0
28,margins,0,2,7,0
29,due,0,2,3,0
30,plethora,0,3,8,1
31,causes,0,0,6,0
32,like,0,2,4,0
33,stricter,0,2,8,0
34,regulation,0,5,10,1
35,institution,0,5,11,1
36,increase,0,4,8,1
37,demanding,0,3,9,1
38,customer,0,3,8,1
39,digital,0,3,7,1
40,disruption,-1,4,10,1
41,Still,0,1,5,0
42,top,1,1,3,0
43,performers,0,3,10,1
44,segment,0,2,7,0
45,enjoying,1,3,8,1
46,margin,0,2,6,0
47,others,0,2,6,0
48,difference,0,4,10,1
49,continuously,0,5,12,1
50,increasing,0,4,10,1
51,Revenue,0,4,7,1
52,important,1,3,9,1
53,cost,0,1,4,0
54,reduction,0,4,9,1
55,driving,0,2,7,0
56,profits,0,2,7,0
57,Top,1,1,3,0
58,performers,0,3,10,1
59,higher,0,2,6,0
60,pre,0,1,3,0
61,tax,0,1,3,0
62,profit,0,2,6,0
63,margins,0,2,7,0
64,achieved,0,0,8,0
65,significant,1,4,11,1
66,advantage,1,4,9,1
67,average,0,4,7,1
68,performer,0,3,9,1
69,focusing,0,3,8,1
70,revenue,0,4,7,1
71,growth,0,1,6,0
72,return,0,2,6,0
73,assets,0,2,6,0
74,past,0,1,4,0
75,years,0,2,5,0
76,along,0,2,5,0
77,significantly,0,4,13,1
78,better,0,2,6,0
79,price,0,2,5,0
80,realization,0,6,11,1
81,every,0,2,5,0
82,client,0,2,6,0
83,segment,0,2,7,0
84,cited,0,0,5,0
85,researcher,0,4,10,1
86,BCG,0,0,3,0
87,top,1,1,3,0
88,performer,0,3,9,1
89,also,0,2,4,0
90,enjoys,1,2,6,0
91,cost,0,1,4,0
92,advantage,1,4,9,1
93,less,0,1,4,0
94,pronounced,0,0,10,0
95,ROA,0,2,3,0
96,suggested,0,0,9,0
97,revenue,0,4,7,1
98,main,0,2,4,0
99,driver,0,2,6,0
100,profit,0,2,6,0
101,margin,0,2,6,0
102,manager,0,3,7,1
103,achieve,0,4,7,1
104,higher,0,2,6,0
105,revenue,0,4,7,1
