,Token,Score,Syllable_Count,Word_length,IsComplex
0,banking,0,2,7,0
1,industry,0,2,8,0
2,going,0,2,5,0
3,transformational,0,6,16,1
4,journey,0,3,7,1
5,comprehensive,1,5,13,1
6,usage,0,3,5,1
7,Advanced,1,0,8,0
8,Analytics,0,3,9,1
9,algorithms,0,3,10,1
10,day,0,1,3,0
11,day,0,1,3,0
12,business,0,3,8,1
13,core,0,2,4,0
14,banking,0,2,7,0
15,Customer,0,3,8,1
16,acquisition,0,6,11,1
17,various,0,4,7,1
18,channels,0,2,8,0
19,existing,0,3,8,1
20,customer,0,3,8,1
21,engagement,0,4,10,1
22,predicting,0,3,10,1
23,defaulters,0,4,10,1
24,credit,0,2,6,0
25,card,0,1,4,0
26,loan,0,2,4,0
27,applications,0,5,12,1
28,etc,0,1,3,0
29,areas,0,3,5,1
30,analytics,0,3,9,1
31,tremendous,0,4,10,1
32,job,0,1,3,0
33,explain,0,3,7,1
34,scenarios,0,4,9,1
35,past,0,1,4,0
36,experience,0,5,10,1
37,working,0,2,7,0
38,advanced,1,0,8,0
39,analytics,0,3,9,1
40,team,0,2,4,0
41,leading,1,3,7,1
42,multinational,0,6,13,1
43,bank,0,1,4,0
44,used,0,0,4,0
45,interesting,1,4,11,1
46,concepts,0,2,8,0
47,analytics,0,3,9,1
48,machine,0,3,7,1
49,learning,0,3,8,1
50,solve,0,2,5,0
51,complex,-1,2,7,0
52,business,0,3,8,1
53,problems,-1,2,8,0
54,Customer,0,3,8,1
55,God,0,1,3,0
56,impossible,-1,4,10,1
57,track,0,1,5,0
58,God,0,1,3,0
59,track,0,1,5,0
60,potential,0,4,9,1
61,customers,0,3,9,1
62,help,0,1,4,0
63,advanced,1,0,8,0
64,analytics,0,3,9,1
65,algorithms,0,3,10,1
66,lot,0,1,3,0
67,information,0,5,11,1
68,buying,0,2,6,0
69,patterns,0,2,8,0
70,demographics,0,4,12,1
71,transactions,0,4,12,1
72,service,0,3,7,1
73,requests,0,3,8,1
74,etc,0,1,3,0
75,available,0,5,9,1
76,banks,0,1,5,0
77,used,0,0,4,0
78,efficiently,1,4,11,1
79,predict,0,2,7,0
80,propensity,0,3,10,1
81,customer,0,3,8,1
82,buying,0,2,6,0
83,specific,0,3,8,1
84,product,0,2,7,0
85,working,0,2,7,0
86,analytics,0,3,9,1
87,department,0,3,10,1
88,collaborated,0,0,12,0
89,sales,0,0,5,0
90,teams,0,2,5,0
91,needed,0,0,6,0
92,rank,0,1,4,0
93,ordered,0,0,7,0
94,list,0,1,4,0
95,potential,0,4,9,1
96,future,0,3,6,1
97,customers,0,3,9,1
98,direct,0,2,6,0
99,mailer,0,3,6,1
100,cold,-1,1,4,0
101,calling,0,2,7,0
102,campaigns,0,3,9,1
103,campaigns,0,3,9,1
104,usually,0,3,7,1
105,contain,0,3,7,1
106,attractive,1,4,10,1
107,offer,0,2,5,0
108,specific,0,3,8,1
109,product,0,2,7,0
110,like,0,2,4,0
111,lower,0,2,5,0
112,interest,0,3,8,1
113,rate,0,2,4,0
114,credit,0,2,6,0
115,card,0,1,4,0
116,higher,0,2,6,0
117,interest,0,3,8,1
118,savings,1,2,7,0
119,account,0,3,7,1
120,etc,0,1,3,0
121,hedged,0,0,6,0
122,confidence,1,4,10,1
123,significant,1,4,11,1
124,number,0,2,6,0
125,customers,0,3,9,1
126,ranked,0,0,6,0
127,list,0,1,4,0
128,would,0,2,5,0
129,buying,0,2,6,0
130,product,0,2,7,0
131,opposed,0,0,7,0
132,ones,0,0,4,0
133,contacted,0,0,9,0
134,randomly,-1,2,8,0
135,potential,0,4,9,1
136,customers,0,3,9,1
137,product,0,2,7,0
138,also,0,2,4,0
139,customers,0,3,9,1
140,mindset,0,2,7,0
141,close,0,2,5,0
142,account,0,3,7,1
143,Customer,0,3,8,1
144,Attrition,0,4,9,1
145,predicted,0,0,9,0
146,Data,0,2,4,0
147,science,0,3,7,1
148,algorithms,0,3,10,1
149,Logistic,0,3,8,1
150,Regression,-1,4,10,1
151,work,1,1,4,0
152,well,0,1,4,0
153,predicting,0,3,10,1
154,probability,0,4,11,1
155,customer,0,3,8,1
156,propensity,0,3,10,1
157,buy,0,1,3,0
158,customer,0,3,8,1
159,attrition,0,4,9,1
160,probability,0,4,11,1
161,example,0,3,7,1
162,consider,0,3,8,1
163,real,0,2,4,0
164,life,0,2,4,0
165,business,0,3,8,1
166,problem,-1,2,7,0
167,leading,1,3,7,1
168,MNC,0,0,3,0
169,bank,0,1,4,0
170,wants,0,1,5,0
171,formulate,0,4,9,1
172,strategy,0,2,8,0
173,curb,0,1,4,0
174,customer,0,3,8,1
175,attrition,0,4,9,1
176,constantly,0,2,10,0
177,rise,0,2,4,0
178,Savings,1,2,7,0
179,Account,0,3,7,1
180,product,0,2,7,0
181,reach,0,2,5,0
182,Advanced,1,0,8,0
183,Analytics,0,3,9,1
184,department,0,3,10,1
185,help,0,1,4,0
186,retaining,0,4,9,1
187,customers,0,3,9,1
188,predicting,0,3,10,1
189,propensity,0,3,10,1
190,towards,0,2,7,0
191,closing,0,2,7,0
192,account,0,3,7,1
193,connect,0,2,7,0
194,offer,0,2,5,0
195,attractive,1,4,10,1
196,offers,0,2,6,0
197,continue,0,4,8,1
198,invaluable,1,5,10,1
199,relationship,0,5,12,1
200,Advanced,1,0,8,0
201,Analytics,0,3,9,1
202,team,0,2,4,0
203,starts,0,1,6,0
204,narrowing,0,3,9,1
205,problem,-1,2,7,0
206,defining,0,3,8,1
207,Attrition,0,4,9,1
208,eg,0,1,2,0
209,customers,0,3,9,1
210,taking,0,2,6,0
211,parked,0,0,6,0
212,money,0,2,5,0
213,closing,0,2,7,0
214,Savings,1,2,7,0
215,Account,0,3,7,1
216,reinvesting,0,4,11,1
217,money,0,2,5,0
218,another,0,3,7,1
219,product,0,2,7,0
220,offered,0,0,7,0
221,bank,0,1,4,0
222,business,0,3,8,1
