,Token,Score,Syllable_Count,Word_length,IsComplex
0,fan,0,1,3,0
1,90,0,0,2,0
2,film,0,1,4,0
3,Clueless,-1,3,8,1
4,back,0,1,4,0
5,day,0,1,3,0
6,remember,0,3,8,1
7,protagonist,0,4,11,1
8,Cher,0,1,4,0
9,Horowitz,0,3,8,1
10,amazing,1,3,7,1
11,virtual,0,3,7,1
12,wardrobe,0,3,8,1
13,used,0,0,4,0
14,browse,0,2,6,0
15,clothing,0,2,8,0
16,choose,0,3,6,1
17,perfectly,1,2,9,0
18,coordinated,0,0,11,0
19,ensemble,0,3,8,1
20,virtual,0,3,7,1
21,application,0,5,11,1
22,brainchild,0,3,10,1
23,writer,0,2,6,0
24,wanting,0,2,7,0
25,make,0,2,4,0
26,protagonist,0,4,11,1
27,look,0,2,4,0
28,rich,0,1,4,0
29,fashionable,1,5,11,1
30,ahead,0,3,5,1
31,time,0,2,4,0
32,ignited,0,0,7,0
33,buzz,0,1,4,0
34,prospected,0,0,10,0
35,automated,0,0,9,0
36,style,0,1,5,0
37,device,0,3,6,1
38,make,0,2,4,0
39,everyday,0,3,8,1
40,dress,0,1,5,0
41,fun,1,1,3,0
42,engagingly,0,3,10,1
43,time,0,2,4,0
44,saving,0,2,6,0
45,Times,0,0,5,0
46,changed,0,0,7,0
47,technological,0,5,13,1
48,advancement,0,4,11,1
49,today,0,2,5,0
50,transforming,0,3,12,1
51,everything,0,3,10,1
52,probabilities,0,0,13,0
53,possibilities,0,0,13,0
54,era,0,2,3,0
55,machines,0,0,8,0
56,facilitate,1,5,10,1
57,tasks,0,1,5,0
58,demands,0,2,7,0
59,rather,0,2,6,0
60,suggest,0,2,7,0
61,forecasts,0,3,9,1
62,analyze,0,3,7,1
63,thus,0,1,4,0
64,making,0,2,6,0
65,lives,0,0,5,0
66,simpler,1,2,7,0
67,smarter,1,2,7,0
68,advent,0,2,6,0
69,technology,0,3,10,1
70,style,0,1,5,0
71,suggestions,0,4,11,1
72,fraction,0,3,8,1
73,big,0,1,3,0
74,picture,0,3,7,1
75,AI,0,2,2,0
76,painted,0,0,7,0
77,fashion,0,3,7,1
78,industry,0,2,8,0
79,today,0,2,5,0
80,AI,0,2,2,0
81,Artificial,0,5,10,1
82,intelligence,1,5,12,1
83,creation,0,4,8,1
84,computer,0,3,8,1
85,programs,0,2,8,0
86,capable,1,3,7,1
87,performing,0,3,10,1
88,activities,0,0,10,0
89,solving,0,2,7,0
90,issues,-1,0,6,0
91,would,0,2,5,0
92,normally,0,2,8,0
93,need,0,0,4,0
94,human,0,2,5,0
95,intelligence,1,5,12,1
96,AI,0,2,2,0
97,surged,0,0,6,0
98,across,0,2,6,0
99,variety,1,3,7,1
100,industries,0,0,10,0
101,potential,0,4,9,1
102,transform,0,2,9,0
103,businesses,0,0,10,0
104,creative,1,4,8,1
105,technologies,0,0,12,0
106,effective,1,4,9,1
107,operational,0,6,11,1
108,processes,0,0,9,0
109,first,0,1,5,0
110,AI,0,2,2,0
111,automation,0,6,10,1
112,appear,0,3,6,1
113,appealing,1,4,9,1
114,tool,0,2,4,0
115,fashion,0,3,7,1
116,leaders,0,3,7,1
117,use,0,2,3,0
118,industry,0,2,8,0
119,focused,0,0,7,0
120,creative,1,4,8,1
121,ability,0,3,7,1
122,expression,0,4,10,1
123,However,0,3,7,1
124,enter,0,2,5,0
125,hyper,0,1,5,0
126,digital,0,3,7,1
127,era,0,2,3,0
128,apps,0,1,4,0
129,potential,0,4,9,1
130,revolutionize,1,7,13,1
131,enterprises,0,0,11,0
132,generate,0,4,8,1
133,considerable,0,5,12,1
134,industry,0,2,8,0
135,growth,0,1,6,0
136,compared,0,0,8,0
137,competitors,0,4,11,1
138,use,0,2,3,0
139,traditional,0,5,11,1
140,approaches,0,0,10,0
141,well,0,1,4,0
142,known,0,1,5,0
143,brands,0,1,6,0
144,business,0,3,8,1
145,investing,0,3,9,1
146,algorithms,0,3,10,1
147,assist,0,2,6,0
148,buyers,0,2,6,0
149,choose,0,3,6,1
150,designs,0,2,7,0
151,slew,0,1,4,0
152,AI,0,2,2,0
153,based,0,0,5,0
154,start,0,1,5,0
155,ups,0,1,3,0
156,also,0,2,4,0
157,assisting,0,3,9,1
158,everyone,0,4,8,1
159,retailers,0,4,9,1
160,customers,0,3,9,1
161,removing,0,3,8,1
162,guesswork,0,3,9,1
163,equation,0,5,8,1
164,Impact,0,2,6,0
165,fashion,0,3,7,1
166,article,0,3,7,1
167,examines,0,0,8,0
168,artificial,0,5,10,1
169,intelligence,1,5,12,1
170,impacted,0,0,8,0
171,key,0,1,3,0
172,areas,0,3,5,1
173,fashion,0,3,7,1
174,industry,0,2,8,0
175,well,0,1,4,0
176,explores,0,0,8,0
177,brands,0,1,6,0
178,benefited,0,0,9,0
179,use,0,2,3,0
180,AI,0,2,2,0
181,Apparel,0,3,7,1
182,designing,0,3,9,1
183,Fashion,0,3,7,1
184,firms,0,1,5,0
185,utilizing,0,4,9,1
186,technology,0,3,10,1
187,better,0,2,6,0
188,understand,0,3,10,1
189,client,0,2,6,0
190,wants,0,1,5,0
191,produce,0,3,7,1
192,better,0,2,6,0
193,garments,0,2,8,0
194,thanks,0,1,6,0
195,sophisticated,1,0,13,0
196,data,0,2,4,0
197,collection,0,4,10,1
198,Tommy,0,1,5,0
199,Hilfiger,0,3,8,1
200,pioneered,0,0,9,0
201,Reimagine,0,5,9,1
202,Retail,0,3,6,1
203,project,0,2,7,0
204,trains,0,2,6,0
205,fashion,0,3,7,1
206,designers,0,3,9,1
207,AI,0,2,2,0
208,design,0,2,6,0
209,skills,0,1,6,0
210,collaboration,0,6,13,1
211,IBM,0,1,3,0
212,result,0,2,6,0
213,fashion,0,3,7,1
214,students,0,2,8,0
215,could,0,2,5,0
216,master,1,2,6,0
217,variety,1,3,7,1
218,technical,0,3,9,1
219,skills,0,1,6,0
220,natural,0,3,7,1
221,language,0,4,8,1
222,processing,0,3,10,1
223,NLP,0,0,3,0
224,computer,0,3,8,1
225,vision,0,3,6,1
226,Fashion,0,3,7,1
227,students,0,2,8,0
228,could,0,2,5,0
229,learn,0,2,5,0
230,thousands,0,3,9,1
231,fashion,0,3,7,1
232,related,0,0,7,0
233,photos,0,2,6,0
234,using,0,2,5,0
235,AI,0,2,2,0
236,increased,0,0,9,0
237,inventiveness,0,5,13,1
238,shortened,0,0,9,0
239,lead,1,2,4,0
240,times,0,0,5,0
241,fashion,0,3,7,1
242,firm,0,1,4,0
243,AI,0,2,2,0
244,Manufacturing,0,5,13,1
245,process,0,2,7,0
246,Fashion,0,3,7,1
247,brands,0,1,6,0
248,able,0,2,4,0
249,identify,0,3,8,1
250,fast,0,1,4,0
251,changing,0,2,8,0
252,fashion,0,3,7,1
253,trends,0,1,6,0
254,get,0,1,3,0
255,latest,0,2,6,0
256,fashion,0,3,7,1
257,accessories,0,0,11,0
258,store,0,2,5,0
259,shelves,0,0,7,0
260,faster,1,2,6,0
261,traditional,0,5,11,1
262,fashion,0,3,7,1
263,shop,0,1,4,0
264,thanks,0,1,6,0
265,AI,0,2,2,0
266,machine,0,3,7,1
267,learning,0,3,8,1
268,capabilities,0,0,12,0
269,result,0,2,6,0
270,prominent,1,3,9,1
271,fashion,0,3,7,1
272,brands,0,1,6,0
273,Zara,0,2,4,0
274,Top,1,1,3,0
275,Shop,0,1,4,0
276,H,0,0,1,0
277,provide,0,3,7,1
278,immediate,0,5,9,1
279,gratification,1,6,13,1
280,retail,0,3,6,1
281,customers,0,3,9,1
282,identifying,0,4,11,1
283,seasonal,0,4,8,1
284,trends,0,1,6,0
285,producing,0,3,9,1
286,appropriate,0,5,11,1
287,quantity,0,3,8,1
288,current,0,2,7,0
289,items,0,2,5,0
290,AI,0,2,2,0
291,Logistics,0,3,9,1
292,AI,0,2,2,0
293,inventory,0,3,9,1
294,supply,0,1,6,0
295,chain,0,2,5,0
296,management,0,4,10,1
297,helps,0,1,5,0
298,speed,0,0,5,0
299,processes,0,0,9,0
300,optimizing,0,4,10,1
301,routes,0,0,6,0
302,lowering,0,3,8,1
303,logistics,0,3,9,1
304,shipping,0,2,8,0
305,costs,0,1,5,0
306,Companies,0,0,9,0
307,use,0,2,3,0
308,AI,0,2,2,0
309,automate,0,5,8,1
310,logistics,0,3,9,1
311,supply,0,1,6,0
312,chain,0,2,5,0
313,procedures,0,0,10,0
