,Token,Score,Syllable_Count,Word_length,IsComplex
0,AI,0,2,2,0
1,experts,0,2,7,0
2,believe,0,4,7,1
3,going,0,2,5,0
4,main,0,2,4,0
5,drivers,0,2,7,0
6,fourth,0,2,6,0
7,Industrial,0,4,10,1
8,Revolution,0,5,10,1
9,potential,0,4,9,1
10,transform,0,2,9,0
11,tech,0,1,4,0
12,sectors,0,2,7,0
13,going,0,2,5,0
14,open,0,2,4,0
15,chapter,0,2,7,0
16,society,0,3,7,1
17,world,0,1,5,0
18,people,0,3,6,1
19,try,0,0,3,0
20,understand,0,3,10,1
21,better,0,2,6,0
22,rather,0,2,6,0
23,outside,0,4,7,1
24,world,0,1,5,0
25,AI,0,2,2,0
26,people,0,3,6,1
27,naysayer,0,3,8,1
28,kind,0,1,4,0
29,try,0,0,3,0
30,drum,0,1,4,0
31,doomsday,-1,3,8,1
32,scenarios,0,4,9,1
33,pretty,1,1,6,0
34,irresponsible,-1,5,13,1
35,next,0,1,4,0
36,ten,0,1,3,0
37,years,0,2,5,0
38,AI,0,2,2,0
39,going,0,2,5,0
40,deliver,0,3,7,1
41,improvements,1,4,12,1
42,quality,0,3,7,1
43,lives,0,0,5,0
44,renaissance,1,5,11,1
45,golden,0,2,6,0
46,age,0,2,3,0
47,machine,0,3,7,1
48,learning,0,3,8,1
49,artificial,0,5,10,1
50,intelligence,1,5,12,1
51,realm,0,2,5,0
52,science,0,3,7,1
53,fiction,-1,3,7,1
54,last,0,1,4,0
55,several,0,3,7,1
56,decades,0,0,7,0
57,AI,0,2,2,0
58,probably,0,2,8,0
59,important,1,3,9,1
60,thing,0,1,5,0
61,humanities,0,0,10,0
62,ever,0,2,4,0
63,worked,1,0,6,0
64,profound,1,3,8,1
65,work,1,1,4,0
66,technology,0,3,10,1
67,important,1,3,9,1
68,harness,0,2,7,0
69,benefits,1,3,8,1
70,minimizing,0,4,10,1
71,downside,-1,3,8,1
72,focusing,0,3,8,1
73,autonomous,1,6,10,1
74,systems,0,1,7,0
75,like,0,2,4,0
76,self,0,1,4,0
77,driving,0,2,7,0
78,cars,0,1,4,0
79,seen,0,2,4,0
80,mother,0,2,6,0
81,AI,0,2,2,0
