,Token,Score,Syllable_Count,Word_length,IsComplex
0,year,0,2,4,0
1,2060,0,0,4,0
2,automaton,0,5,9,1
3,Research,0,3,8,1
4,Laboratory,0,4,10,1
5,says,0,1,4,0
6,Scientist,0,3,9,1
7,Warning,-1,2,7,0
8,Error,-1,2,5,0
9,Occurred,0,0,8,0
10,Reformatting,0,4,12,1
11,Hard,-1,1,4,0
12,Disk,0,1,4,0
13,scientist,0,3,9,1
14,panics,0,2,6,0
15,Automaton,0,5,9,1
16,says,0,1,4,0
17,Ha,0,1,2,0
18,Ha,0,1,2,0
19,Kidding,0,2,7,0
20,Funny,-1,1,5,0
21,Right,0,1,5,0
22,say,0,1,3,0
23,joke,-1,2,4,0
24,realistic,1,4,9,1
25,Automaton,0,5,9,1
26,tell,0,1,4,0
27,joke,-1,2,4,0
28,tell,0,1,4,0
29,2017,0,0,4,0
30,Sofia,0,3,5,1
31,robot,0,2,5,0
32,made,0,2,4,0
33,joke,-1,2,4,0
34,show,0,1,4,0
35,Good,0,2,4,0
36,Morning,0,2,7,0
37,Britain,0,3,7,1
38,thought,0,2,7,0
39,computers,0,3,9,1
40,could,0,2,5,0
41,tell,0,1,4,0
42,us,0,1,2,0
43,joke,-1,2,4,0
44,Hard,-1,1,4,0
45,believe,0,4,7,1
46,Well,0,1,4,0
47,idea,0,3,4,1
48,giving,0,2,6,0
49,computers,0,3,9,1
50,human,0,2,5,0
51,enjoy,1,2,5,0
52,thinking,0,2,8,0
53,become,0,3,6,1
54,reality,0,3,7,1
55,Thanks,0,1,6,0
56,technological,0,5,13,1
57,advancement,0,4,11,1
58,AI,0,2,2,0
59,last,0,1,4,0
60,decade,0,3,6,1
61,diving,0,2,6,0
62,deep,0,2,4,0
63,AI,0,2,2,0
64,impact,0,2,6,0
65,future,0,3,6,1
66,work,1,1,4,0
67,let,0,1,3,0
68,begin,0,2,5,0
69,simple,0,2,6,0
70,question,0,4,8,1
71,AI,0,2,2,0
72,Artificial,0,5,10,1
73,Intelligence,1,5,12,1
74,provides,0,0,8,0
75,machines,0,0,8,0
76,power,0,2,5,0
77,think,0,1,5,0
78,data,0,2,4,0
79,machine,0,3,7,1
80,uses,0,0,4,0
81,patterns,0,2,8,0
82,trends,0,1,6,0
83,found,0,2,5,0
84,data,0,2,4,0
85,makes,0,0,5,0
86,decision,0,4,8,1
87,cannot,0,2,6,0
88,create,0,3,6,1
89,thought,0,2,7,0
90,beyond,0,2,6,0
91,patterns,0,2,8,0
92,trends,0,1,6,0
93,Fig,0,1,3,0
94,Impact,0,2,6,0
95,robots,0,2,6,0
96,employments,0,3,11,1
97,rise,0,2,4,0
98,AI,0,2,2,0
99,humans,0,2,6,0
100,divided,0,0,7,0
101,question,0,4,8,1
102,machines,0,0,8,0
103,human,0,2,5,0
104,friend,0,2,6,0
105,foe,-1,2,3,0
106,Tech,0,1,4,0
107,executives,0,0,10,0
108,politicians,0,5,11,1
109,conference,0,4,10,1
110,stages,0,0,6,0
111,campaign,0,3,8,1
112,rallies,0,0,7,0
113,even,0,2,4,0
114,science,0,3,7,1
115,fiction,-1,3,7,1
116,Hollywood,0,3,9,1
117,movies,0,0,6,0
118,like,0,2,4,0
119,Carbon,0,2,6,0
120,Black,0,1,5,0
121,Westworld,0,2,9,0
122,Minority,0,3,8,1
123,Report,0,2,6,0
124,Ex,0,1,2,0
125,Machina,0,3,7,1
126,given,0,2,5,0
127,take,0,2,4,0
128,question,0,4,8,1
129,believe,0,4,7,1
130,AI,0,2,2,0
131,help,0,1,4,0
132,us,0,1,2,0
133,solve,0,2,5,0
134,problems,-1,2,8,0
135,others,0,2,6,0
136,believe,0,4,7,1
137,rise,0,2,4,0
138,AI,0,2,2,0
139,result,0,2,6,0
140,destruction,-1,4,11,1
141,maybe,0,2,5,0
142,end,0,1,3,0
143,world,0,1,5,0
144,know,0,1,4,0
145,Stephen,0,2,7,0
146,Hawking,0,2,7,0
147,made,0,2,4,0
148,secret,0,2,6,0
149,concern,-1,2,7,0
150,rise,0,2,4,0
151,superhuman,0,4,10,1
152,AI,0,2,2,0
153,eventually,0,4,10,1
154,would,0,2,5,0
155,escape,0,3,6,1
156,earth,0,2,5,0
157,planet,0,2,6,0
158,plot,-1,1,4,0
159,Black,0,1,5,0
160,Mirror,0,2,6,0
161,Right,0,1,5,0
162,Superhumans,0,4,11,1
163,reality,0,3,7,1
164,AI,0,2,2,0
165,Homo,0,2,4,0
166,Deus,0,2,4,0
167,emergence,0,4,9,1
168,Digital,0,3,7,1
169,God,0,1,3,0
170,using,0,2,5,0
171,AI,0,2,2,0
172,God,0,1,3,0
173,must,0,1,4,0
174,also,0,2,4,0
175,worry,-1,1,5,0
176,AI,0,2,2,0
177,might,0,1,5,0
178,take,0,2,4,0
179,job,0,1,3,0
180,Career,0,3,6,1
181,Advice,0,3,6,1
182,thought,0,2,7,0
183,Robot,0,2,5,0
184,fear,-1,2,4,0
185,AI,0,2,2,0
186,would,0,2,5,0
