,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,anything,0,2,8,0
2,kills,-1,1,5,0
3,10,0,0,2,0
4,million,0,3,7,1
5,people,0,3,6,1
6,next,0,1,4,0
7,decades,0,0,7,0
8,highly,0,1,6,0
9,infectious,0,5,10,1
10,virus,-1,2,5,0
11,rather,0,2,6,0
12,war,0,1,3,0
13,missiles,0,0,8,0
14,microbes,0,0,8,0
15,Bill,0,1,4,0
16,Gates,0,0,5,0
17,remarks,0,2,7,0
18,TED,0,0,3,0
19,conference,0,4,10,1
20,2014,0,0,4,0
21,right,0,1,5,0
22,world,0,1,5,0
23,avoided,0,0,7,0
24,Ebola,0,3,5,1
25,outbreak,-1,4,8,1
26,new,0,1,3,0
27,unprecedented,0,0,13,0
28,invisible,-1,4,9,1
29,virus,-1,2,5,0
30,hit,0,1,3,0
31,us,0,1,2,0
32,met,0,1,3,0
33,overwhelmed,-1,0,11,0
34,unprepared,-1,0,10,0
35,healthcare,0,4,10,1
36,system,0,1,6,0
37,oblivious,-1,5,9,1
38,population,0,5,10,1
39,public,0,2,6,0
40,health,0,2,6,0
41,emergency,-1,3,9,1
42,demonstrated,0,0,12,0
43,lack,-1,1,4,0
44,scientific,0,4,10,1
45,consideration,0,6,13,1
46,underlined,0,0,10,0
47,alarming,-1,3,8,1
48,need,0,0,4,0
49,robust,1,2,6,0
50,innovations,0,5,11,1
51,health,0,2,6,0
52,medical,0,3,7,1
53,facilities,0,0,10,0
54,past,0,1,4,0
55,years,0,2,5,0
56,artificial,0,5,10,1
57,intelligence,1,5,12,1
58,proven,1,2,6,0
59,tangible,0,3,8,1
60,potential,0,4,9,1
61,healthcare,0,4,10,1
62,sectors,0,2,7,0
63,clinical,0,3,8,1
64,practices,0,0,9,0
65,translational,0,5,13,1
66,medical,0,3,7,1
67,biomedical,0,5,10,1
68,research,0,3,8,1
69,case,0,2,4,0
70,detected,0,0,8,0
71,China,0,2,5,0
72,December,0,3,8,1
73,31st,0,0,4,0
74,2019,0,0,4,0
75,AI,0,2,2,0
76,program,0,2,7,0
77,developed,0,0,9,0
78,BlueDot,0,3,7,1
79,alerted,0,0,7,0
80,world,0,1,5,0
81,pandemic,0,3,8,1
82,quick,0,2,5,0
83,realise,0,4,7,1
84,AI,0,2,2,0
85,ability,0,3,7,1
86,analyse,0,3,7,1
87,large,0,2,5,0
88,chunks,0,1,6,0
89,data,0,2,4,0
90,could,0,2,5,0
91,help,0,1,4,0
92,detecting,0,3,9,1
93,patterns,0,2,8,0
94,identifying,0,4,11,1
95,tracking,0,2,8,0
