,Token,Score,Syllable_Count,Word_length,IsComplex
0,AI,0,2,2,0
1,tools,0,2,5,0
2,like,0,2,4,0
3,natural,0,3,7,1
4,language,0,4,8,1
5,processing,0,3,10,1
6,Alexa,0,3,5,1
7,google,0,3,6,1
8,assistant,0,3,9,1
9,led,1,0,3,0
10,retail,0,3,6,1
11,industry,0,2,8,0
12,rise,0,2,4,0
13,towards,0,2,7,0
14,conversational,0,6,14,1
15,commerce,0,3,8,1
16,customer,0,3,8,1
17,interacting,0,4,11,1
18,clerk,0,1,5,0
19,retail,0,3,6,1
20,store,0,2,5,0
21,conversational,0,6,14,1
22,commerce,0,3,8,1
23,makes,0,0,5,0
24,possible,0,3,8,1
25,users,0,2,5,0
26,engage,0,3,6,1
27,software,0,3,8,1
28,research,0,3,8,1
29,purchase,0,3,8,1
30,get,0,1,3,0
31,customer,0,3,8,1
32,assistance,0,4,10,1
33,products,0,2,8,0
34,services,0,0,8,0
35,across,0,2,6,0
36,wide,0,2,4,0
37,range,0,2,5,0
38,industries,0,0,10,0
39,Alexa,0,3,5,1
40,example,0,3,7,1
41,users,0,2,5,0
42,ask,0,1,3,0
43,Alexa,0,3,5,1
44,enabled,0,0,7,0
45,device,0,3,6,1
46,add,0,1,3,0
47,item,0,2,4,0
48,Amazon,0,3,6,1
49,shopping,0,2,8,0
50,cart,0,1,4,0
51,set,0,1,3,0
52,purchasing,0,3,10,1
53,reminder,0,3,8,1
54,product,0,2,7,0
55,running,0,2,7,0
56,low,0,1,3,0
57,carry,0,1,5,0
58,complete,0,3,8,1
59,purchase,0,3,8,1
60,without,0,3,7,1
61,access,0,2,6,0
62,shopping,0,2,8,0
63,cart,0,1,4,0
64,result,0,2,6,0
65,seamless,1,3,8,1
66,conversational,0,6,14,1
67,experience,0,5,10,1
68,enables,0,0,7,0
69,consumers,0,3,9,1
70,carry,0,1,5,0
71,transactions,0,4,12,1
72,quickly,0,2,7,0
73,takes,0,0,5,0
74,speak,0,2,5,0
75,sentence,0,3,8,1
76,AI,0,2,2,0
77,tools,0,2,5,0
78,like,0,2,4,0
79,natural,0,3,7,1
80,language,0,4,8,1
81,processing,0,3,10,1
82,Alexa,0,3,5,1
83,led,1,0,3,0
84,retail,0,3,6,1
85,industry,0,2,8,0
86,rise,0,2,4,0
87,towards,0,2,7,0
88,conversational,0,6,14,1
89,commerce,0,3,8,1
90,customer,0,3,8,1
91,interacting,0,4,11,1
92,clerk,0,1,5,0
93,retail,0,3,6,1
94,store,0,2,5,0
95,conversational,0,6,14,1
96,commerce,0,3,8,1
97,makes,0,0,5,0
98,possible,0,3,8,1
99,users,0,2,5,0
100,engage,0,3,6,1
101,software,0,3,8,1
102,research,0,3,8,1
103,purchase,0,3,8,1
104,get,0,1,3,0
105,customer,0,3,8,1
106,assistance,0,4,10,1
107,products,0,2,8,0
108,services,0,0,8,0
109,across,0,2,6,0
110,wide,0,2,4,0
111,range,0,2,5,0
112,industries,0,0,10,0
113,advent,0,2,6,0
114,personalized,1,0,12,0
115,products,0,2,8,0
116,call,0,1,4,0
117,delivery,0,3,8,1
118,customers,0,3,9,1
119,come,0,2,4,0
120,expect,0,2,6,0
121,standard,0,2,8,0
122,experience,0,5,10,1
123,fast,0,1,4,0
124,easy,1,2,4,0
125,accurate,1,4,8,1
126,personalized,1,0,12,0
127,Accomplishing,0,4,13,1
128,without,0,3,7,1
129,sacrificing,0,4,11,1
130,workday,0,2,7,0
131,challenge,0,3,9,1
132,since,0,2,5,0
133,data,0,2,4,0
134,processing,0,3,10,1
135,required,0,0,8,0
136,meet,0,2,4,0
137,needs,0,2,5,0
138,immense,1,3,7,1
139,Luckily,0,2,7,0
140,virtual,0,3,7,1
141,agents,0,2,6,0
142,VAs,0,1,3,0
143,powered,0,0,7,0
144,conversational,0,6,14,1
145,AI,0,2,2,0
146,utilize,0,4,7,1
147,information,0,5,11,1
148,faster,1,2,6,0
149,accurately,1,4,10,1
150,humans,0,2,6,0
151,finding,0,2,7,0
152,insights,0,2,8,0
153,automating,0,5,10,1
154,communication,0,6,13,1
155,deliver,0,3,7,1
156,enriched,0,0,8,0
157,customer,0,3,8,1
158,experience,0,5,10,1
159,invest,0,2,6,0
160,based,0,0,5,0
