,Token,Score,Syllable_Count,Word_length,IsComplex
0,Ever,0,2,4,0
1,wondered,0,0,8,0
2,get,0,1,3,0
3,notified,0,0,8,0
4,products,0,2,8,0
5,services,0,0,8,0
6,want,0,1,4,0
7,looking,0,3,7,1
8,long,0,1,4,0
9,time,0,2,4,0
10,happen,0,2,6,0
11,Let,0,1,3,0
12,start,0,1,5,0
13,simple,0,2,6,0
14,known,0,1,5,0
15,fact,0,1,4,0
16,Marketing,0,3,9,1
17,Marketing,0,3,9,1
18,common,0,2,6,0
19,term,0,1,4,0
20,everyone,0,4,8,1
21,knows,0,1,5,0
22,aware,0,3,5,1
23,Marketing,0,3,9,1
24,action,0,3,6,1
25,promoting,0,3,9,1
26,products,0,2,8,0
27,services,0,0,8,0
28,including,0,3,9,1
29,market,0,2,6,0
30,research,0,3,8,1
31,advertising,0,4,11,1
32,Traditional,0,5,11,1
33,Marketing,0,3,9,1
34,working,0,2,7,0
35,fine,0,2,4,0
36,years,0,2,5,0
37,need,0,0,4,0
38,online,0,3,6,1
39,marketing,0,3,9,1
40,story,0,1,5,0
41,begins,0,2,6,0
42,internet,0,3,8,1
43,era,0,2,3,0
44,online,0,3,6,1
45,presence,0,3,8,1
46,customers,0,3,9,1
47,4,0,0,1,0
48,72,0,0,2,0
49,billion,0,3,7,1
50,people,0,3,6,1
51,internet,0,3,8,1
52,users,0,2,5,0
53,world,0,1,5,0
54,today,0,2,5,0
55,number,0,2,6,0
56,increasing,0,4,10,1
57,day,0,1,3,0
58,day,0,1,3,0
59,companies,0,0,9,0
60,want,0,1,4,0
61,create,0,3,6,1
62,awareness,0,4,9,1
63,products,0,2,8,0
64,services,0,0,8,0
65,huge,0,2,4,0
66,audience,0,5,8,1
67,present,0,2,7,0
68,online,0,3,6,1
69,lot,0,1,3,0
70,benefits,1,3,8,1
71,online,0,3,6,1
72,marketing,0,3,9,1
73,like,0,2,4,0
74,large,0,2,5,0
75,audience,0,5,8,1
76,benefits,1,3,8,1
77,targeting,0,3,9,1
78,basis,0,2,5,0
79,demographics,0,4,12,1
80,location,0,4,8,1
81,age,0,2,3,0
82,gender,0,2,6,0
83,diversity,0,3,9,1
84,almost,0,2,6,0
85,every,0,2,5,0
86,type,0,1,4,0
87,company,0,2,7,0
