,Token,Score,Syllable_Count,Word_length,IsComplex
0,global,0,2,6,0
1,healthcare,0,4,10,1
2,industry,0,2,8,0
3,expected,0,0,8,0
4,grow,0,1,4,0
5,CAGR,0,1,4,0
6,24,0,0,2,0
7,7,0,0,1,0
8,made,0,2,4,0
9,possible,0,3,8,1
10,leveraging,0,4,10,1
11,various,0,4,7,1
12,analytics,0,3,9,1
13,tools,0,2,5,0
14,practices,0,0,9,0
15,healthcare,0,4,10,1
16,providers,0,3,9,1
17,improving,1,3,9,1
18,operational,0,6,11,1
19,efficiency,0,4,10,1
20,United,0,0,6,0
21,States,0,0,6,0
22,front,0,1,5,0
23,growth,0,1,6,0
24,accounting,0,4,10,1
25,65,0,0,2,0
26,84,0,0,2,0
27,attributed,0,0,10,0
28,country,0,2,7,0
29,substantial,0,4,11,1
30,investment,0,3,10,1
31,healthcare,0,4,10,1
32,Europe,0,4,6,1
33,Asia,0,3,4,1
34,path,0,1,4,0
35,steady,1,2,6,0
36,growth,0,1,6,0
37,increased,0,0,9,0
38,expenditure,0,5,11,1
39,technology,0,3,10,1
40,R,0,0,1,0
41,emergence,0,4,9,1
42,Big,0,1,3,0
43,Data,0,2,4,0
44,volume,0,3,6,1
45,data,0,2,4,0
46,available,0,5,9,1
47,expected,0,0,8,0
48,increasing,0,4,10,1
49,exponential,0,5,11,1
50,rate,0,2,4,0
51,years,0,2,5,0
52,ahead,0,3,5,1
53,Current,0,2,7,0
54,cumbersome,-1,4,10,1
55,techniques,0,0,10,0
56,evaluation,0,6,10,1
57,pave,0,2,4,0
58,advanced,1,0,8,0
59,analytics,0,3,9,1
60,techniques,0,0,10,0
61,ability,0,3,7,1
62,process,0,2,7,0
63,act,0,1,3,0
64,manage,0,3,6,1
65,distribute,0,4,10,1
66,data,0,2,4,0
67,variety,1,3,7,1
68,sources,0,0,7,0
69,become,0,3,6,1
70,backbone,1,3,8,1
71,healthcare,0,4,10,1
72,sector,0,2,6,0
73,evaluation,0,6,10,1
74,vast,0,1,4,0
75,health,0,2,6,0
76,data,0,2,4,0
77,better,0,2,6,0
78,understood,0,4,10,1
79,effective,1,4,9,1
80,real,0,2,4,0
81,time,0,2,4,0
82,specific,0,3,8,1
83,decisions,0,4,9,1
84,taken,0,2,5,0
85,Source,0,3,6,1
86,http,0,0,4,0
87,www,0,0,3,0
88,techferry,0,2,9,0
89,com,0,1,3,0
90,Current,0,2,7,0
91,Situation,0,5,9,1
92,discussing,0,3,10,1
93,future,0,3,6,1
94,important,1,3,9,1
95,reflect,0,2,7,0
96,upon,0,2,4,0
97,current,0,2,7,0
98,scenario,0,4,8,1
99,introduction,0,5,12,1
100,Electronic,0,4,10,1
101,Health,0,2,6,0
102,Records,0,2,7,0
103,EHR,0,1,3,0
104,amount,0,3,6,1
105,data,0,2,4,0
106,collected,0,0,9,0
107,gone,0,2,4,0
108,significantly,0,4,13,1
109,creating,0,3,8,1
110,metadata,0,4,8,1
111,used,0,0,4,0
112,querying,0,3,8,1
113,Healthcare,0,4,10,1
