,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,Demand,0,2,6,0
2,forecasting,0,4,11,1
3,important,1,3,9,1
4,phase,0,2,5,0
5,fashion,0,3,7,1
6,business,0,3,8,1
7,forecasting,0,4,11,1
8,driven,0,2,6,0
9,guestimates,0,0,11,0
10,Nowadays,0,3,8,1
11,analytics,0,3,9,1
12,playing,0,2,7,0
13,great,1,2,5,0
14,role,0,2,4,0
15,demand,0,2,6,0
16,forecasting,0,4,11,1
17,important,1,3,9,1
18,pillars,0,2,7,0
19,supply,0,1,6,0
20,chain,0,2,5,0
21,procurement,0,4,11,1
22,distribution,0,5,12,1
23,planning,0,2,8,0
24,etc,0,1,3,0
25,also,0,2,4,0
26,driven,0,2,6,0
27,analytics,0,3,9,1
28,order,0,2,5,0
29,minimize,0,4,8,1
30,cost,0,1,4,0
31,improve,1,3,7,1
32,efficiency,0,4,10,1
33,whole,0,2,5,0
34,value,0,3,5,1
35,chain,0,2,5,0
36,Fashion,0,3,7,1
37,e,0,1,1,0
38,tailers,0,3,7,1
39,get,0,1,3,0
40,benefited,0,0,9,0
41,big,0,1,3,0
42,data,0,2,4,0
43,analytics,0,3,9,1
44,order,0,2,5,0
45,develop,0,3,7,1
46,markets,0,2,7,0
47,developing,0,4,10,1
48,countries,0,0,9,0
49,glut,-1,1,4,0
50,data,0,2,4,0
51,present,0,2,7,0
52,industry,0,2,8,0
53,needs,0,2,5,0
54,structured,0,0,10,0
55,used,0,0,4,0
56,make,0,2,4,0
57,sense,0,2,5,0
58,e,0,1,1,0
59,tailers,0,3,7,1
60,need,0,0,4,0
61,enter,0,2,5,0
62,market,0,2,6,0
63,need,0,0,4,0
64,strategy,0,2,8,0
65,business,0,3,8,1
66,plan,0,1,4,0
67,becomes,0,0,7,0
68,easy,1,2,4,0
69,form,0,1,4,0
70,strategy,0,2,8,0
71,business,0,3,8,1
72,plan,0,1,4,0
73,entering,0,3,8,1
74,developing,0,4,10,1
75,countries,0,0,9,0
76,crunching,0,2,9,0
77,numbers,0,2,7,0
78,available,0,5,9,1
79,form,0,1,4,0
80,big,0,1,3,0
81,data,0,2,4,0
82,applying,0,2,8,0
83,advanced,1,0,8,0
84,analytical,0,4,10,1
85,techniques,0,0,10,0
86,Literature,0,5,10,1
87,Survey,0,2,6,0
88,Big,0,1,3,0
89,data,0,2,4,0
90,analytics,0,3,9,1
91,beginning,0,3,9,1
92,stages,0,0,6,0
93,development,0,4,11,1
94,companies,0,0,9,0
95,take,0,2,4,0
96,time,0,2,4,0
97,build,0,2,5,0
98,Time,0,2,4,0
99,real,0,2,4,0
100,time,0,2,4,0
101,supply,0,1,6,0
102,chain,0,2,5,0
103,practices,0,0,9,0
104,come,0,2,4,0
105,verge,0,2,5,0
106,mainstream,0,4,10,1
107,top,1,1,3,0
108,consulting,0,3,10,1
109,firm,0,1,4,0
110,utilizes,0,0,8,0
111,advanced,1,0,8,0
112,predictive,0,4,10,1
113,analytics,0,3,9,1
114,predict,0,2,7,0
115,reduce,0,3,6,1
116,lead,1,2,4,0
117,times,0,0,5,0
118,well,0,1,4,0
119,inventory,0,3,9,1
120,One,0,2,3,0
121,biggest,0,2,7,0
122,challenges,0,0,10,0
123,maintaining,0,5,11,1
124,accuracy,0,3,8,1
125,data,0,2,4,0
126,various,0,4,7,1
127,complex,-1,2,7,0
128,algorithms,0,3,10,1
129,applied,0,0,7,0
130,increasing,0,4,10,1
131,interest,0,3,8,1
132,areas,0,3,5,1
133,improved,1,0,8,0
134,forecasting,0,4,11,1
135,Sales,0,0,5,0
136,Operations,0,5,10,1
137,Planning,0,2,8,0
138,supply,0,1,6,0
139,chain,0,2,5,0
140,backbone,1,3,8,1
141,company,0,2,7,0
142,plays,0,1,5,0
143,prominent,1,3,9,1
144,role,0,2,4,0
145,company,0,2,7,0
146,cost,0,1,4,0
147,structure,0,3,9,1
148,profitability,0,5,13,1
149,Analytics,0,3,9,1
150,Descriptive,0,4,11,1
151,Prescriptive,0,4,12,1
152,Predictive,0,4,10,1
153,growing,0,2,7,0
154,tsunami,0,3,7,1
155,data,0,2,4,0
156,boon,0,2,4,0
157,businesses,0,0,10,0
158,digital,0,3,7,1
159,age,0,2,3,0
160,Limitless,0,3,9,1
161,oceans,0,3,6,1
162,data,0,2,4,0
163,often,0,2,5,0
164,reflecting,0,3,10,1
165,customer,0,3,8,1
166,experience,0,5,10,1
167,happens,0,2,7,0
168,potential,0,4,9,1
169,remake,0,3,6,1
170,supply,0,1,6,0
171,chains,0,2,6,0
172,put,0,1,3,0
173,data,0,2,4,0
174,growth,0,1,6,0
175,context,0,2,7,0
176,world,0,1,5,0
177,total,0,2,5,0
178,digital,0,3,7,1
179,data,0,2,4,0
180,volume,0,3,6,1
181,doubling,0,3,8,1
182,every,0,2,5,0
183,years,0,2,5,0
184,stood,0,2,5,0
185,4,0,0,1,0
186,4,0,0,1,0
187,zettabytes,0,0,10,0
188,trillion,0,3,8,1
189,gigabytes,0,0,9,0
190,2013,0,0,4,0
191,projected,0,0,9,0
192,reach,0,2,5,0
193,44,0,0,2,0
194,zettabytes,0,0,10,0
195,2020,0,0,4,0
196,EY,0,1,2,0
197,2016,0,0,4,0
198,amount,0,3,6,1
199,data,0,2,4,0
200,generated,0,0,9,0
201,imperative,0,5,10,1
202,player,0,2,6,0
203,industry,0,2,8,0
204,understand,0,3,10,1
205,utilize,0,4,7,1
206,opportunity,0,4,11,1
207,Analytics,0,3,9,1
208,descriptive,0,4,11,1
209,prescriptive,0,4,12,1
210,predictive,0,4,10,1
211,become,0,3,6,1
212,integral,1,3,8,1
213,part,0,1,4,0
214,industry,0,2,8,0
215,Diagnostic,0,4,10,1
216,analytics,0,3,9,1
217,used,0,0,4,0
218,root,0,2,4,0
219,cause,0,3,5,1
220,analysis,0,3,8,1
221,RCA,0,1,3,0
222,online,0,3,6,1
223,analytical,0,4,10,1
224,processing,0,3,10,1
225,OLAP,0,2,4,0
226,analytics,0,3,9,1
227,commonly,0,2,8,0
228,applied,0,0,7,0
229,RCA,0,1,3,0
230,supply,0,1,6,0
231,chain,0,2,5,0
232,performance,0,4,11,1
233,data,0,2,4,0
234,visualization,0,7,13,1
235,Prescriptive,0,4,12,1
236,analytics,0,3,9,1
237,allows,0,2,6,0
238,optimization,0,6,12,1
239,transportation,0,5,14,1
240,routes,0,0,6,0
241,factory,0,2,7,0
242,scheduling,0,3,10,1
243,inventory,0,3,9,1
244,Masters,0,2,7,0
245,2016,0,0,4,0
246,Predictive,0,4,10,1
247,analytics,0,3,9,1
248,machine,0,3,7,1
249,learning,0,3,8,1
250,provide,0,3,7,1
251,platform,0,2,8,0
252,make,0,2,4,0
253,utilize,0,4,7,1
254,make,0,2,4,0
255,decisions,0,4,9,1
256,Different,0,3,9,1
257,time,0,2,4,0
258,series,0,0,6,0
259,stochastic,0,3,10,1
260,models,0,2,6,0
261,built,0,2,5,0
262,analyze,0,3,7,1
263,customer,0,3,8,1
264,preferences,0,0,11,0
265,forecast,0,3,8,1
266,sales,0,0,5,0
267,parameters,0,4,10,1
268,plan,0,1,4,0
269,everchanging,0,4,12,1
270,demand,0,2,6,0
271,Big,0,1,3,0
272,Data,0,2,4,0
273,Financial,0,4,9,1
274,data,0,2,4,0
275,demand,0,2,6,0
276,data,0,2,4,0
277,product,0,2,7,0
278,data,0,2,4,0
279,manufacturing,0,5,13,1
280,data,0,2,4,0
281,inventory,0,3,9,1
282,data,0,2,4,0
283,weather,0,3,7,1
284,traffic,0,2,7,0
285,track,0,1,5,0
286,trace,0,2,5,0
287,data,0,2,4,0
288,etc,0,1,3,0
289,inputs,0,2,6,0
290,prescriptive,0,4,12,1
291,analytics,0,3,9,1
292,helps,0,1,5,0
293,answering,0,3,9,1
294,questions,0,4,9,1
295,effects,0,2,7,0
296,decision,0,4,8,1
297,situation,0,5,9,1
298,organization,0,6,12,1
299,make,0,2,4,0
300,particular,0,4,10,1
301,target,0,2,6,0
302,happen,0,2,6,0
303,Prescriptive,0,4,12,1
304,analytics,0,3,9,1
305,help,0,1,4,0
306,predict,0,2,7,0
307,scenarios,0,4,9,1
308,minute,0,3,6,1
309,levels,0,2,6,0
310,details,0,3,7,1
311,helps,0,1,5,0
312,predict,0,2,7,0
313,effect,0,2,6,0
314,shifting,0,2,8,0
315,supplier,0,3,8,1
316,product,0,2,7,0
317,quality,0,3,7,1
318,even,0,2,4,0
319,help,0,1,4,0
320,decide,0,3,6,1
