,Token,Score,Syllable_Count,Word_length,IsComplex
0,One,0,2,3,0
1,thought,0,2,7,0
2,always,0,2,6,0
3,comes,0,0,5,0
4,mind,0,1,4,0
5,lived,0,0,5,0
6,without,0,3,7,1
7,dander,0,2,6,0
8,hanging,0,2,7,0
9,heads,0,2,5,0
10,know,0,1,4,0
11,danger,-1,2,6,0
12,70,0,0,2,0
13,years,0,2,5,0
14,world,0,1,5,0
15,faced,0,0,5,0
16,real,0,2,4,0
17,threat,-1,2,6,0
18,nuclear,0,3,7,1
19,war,0,1,3,0
20,Nuclear,0,3,7,1
21,war,0,1,3,0
22,real,0,2,4,0
23,growing,0,2,7,0
24,threat,-1,2,6,0
25,United,0,0,6,0
26,States,0,0,6,0
27,Russia,0,3,6,1
28,left,0,1,4,0
29,critical,-1,3,8,1
30,agreements,0,4,10,1
31,treaties,0,0,8,0
32,actively,0,3,8,1
33,planning,0,2,8,0
34,add,0,1,3,0
35,types,0,0,5,0
36,weapons,0,3,7,1
37,arsenals,0,3,8,1
38,Meanwhile,0,4,9,1
39,US,0,1,2,0
40,nuclear,0,3,7,1
41,policy,0,2,6,0
42,remains,0,3,7,1
43,rooted,0,0,6,0
44,Cold,-1,1,4,0
45,War,0,1,3,0
46,increasing,0,4,10,1
47,risk,-1,1,4,0
48,nuclear,0,3,7,1
49,weapons,0,3,7,1
50,could,0,2,5,0
51,used,0,0,4,0
52,way,0,1,3,0
53,right,0,1,5,0
54,policy,0,2,6,0
55,changes,0,0,7,0
56,commitment,1,3,10,1
57,diplomacy,0,3,9,1
58,United,0,0,6,0
59,States,0,0,6,0
60,leader,0,3,6,1
61,reducing,0,3,8,1
62,nuclear,0,3,7,1
63,threat,-1,2,6,0
64,also,0,2,4,0
65,help,0,1,4,0
66,question,0,4,8,1
67,arises,0,0,6,0
68,activities,0,0,10,0
69,done,0,2,4,0
70,prevention,0,4,10,1
71,nuclear,0,3,7,1
72,holocaust,0,4,9,1
73,Pressuring,0,3,10,1
74,Congress,0,2,8,0
75,support,1,2,7,0
76,change,0,2,6,0
77,Holding,0,2,7,0
78,White,0,2,5,0
79,House,0,3,5,1
80,accountable,0,5,11,1
81,independent,0,4,11,1
82,research,0,3,8,1
83,analysis,0,3,8,1
84,Increasing,0,4,10,1
85,public,0,2,6,0
86,demand,0,2,6,0
87,changing,0,2,8,0
88,nuclear,0,3,7,1
89,weapon,0,3,6,1
90,policies,0,0,8,0
91,question,0,4,8,1
92,prevent,0,2,7,0
93,nuclear,0,3,7,1
94,holocaust,0,4,9,1
95,Tell,0,1,4,0
96,government,0,3,10,1
97,fund,0,1,4,0
98,nuclear,0,3,7,1
99,arms,0,1,4,0
100,race,0,2,4,0
101,Call,0,1,4,0
102,investment,0,3,10,1
103,public,0,2,6,0
104,health,0,2,6,0
105,public,0,2,6,0
106,security,0,3,8,1
107,nuclear,0,3,7,1
108,weapons,0,3,7,1
109,Tell,0,1,4,0
110,government,0,3,10,1
111,United,0,0,6,0
112,States,0,0,6,0
113,never,0,2,5,0
114,start,0,1,5,0
115,nuclear,0,3,7,1
116,war,0,1,3,0
117,Urge,0,2,4,0
118,presidential,0,5,12,1
119,candidates,0,0,10,0
120,make,0,2,4,0
121,preventing,0,3,10,1
122,nuclear,0,3,7,1
123,war,0,1,3,0
124,priority,0,3,8,1
125,ACTIVIST,0,3,8,1
126,RESOURCES,0,0,9,0
127,nuclear,0,3,7,1
128,weapons,0,3,7,1
129,extremely,0,3,9,1
130,strong,0,1,6,0
131,show,0,1,4,0
132,power,0,2,5,0
133,nation,0,3,6,1
134,knows,0,1,5,0
135,drawback,-1,2,8,0
136,attack,-1,2,6,0
137,countries,0,0,9,0
138,example,0,3,7,1
139,Hiroshima,0,4,9,1
140,Nagasaki,0,4,8,1
141,realistic,1,4,9,1
142,bomb,-1,1,4,0
143,blast,0,1,5,0
144,explained,0,0,9,0
145,blood,0,2,5,0
146,people,0,3,6,1
147,crux,0,1,4,0
148,presentation,0,5,12,1
149,circumstances,0,0,13,0
150,surrounding,0,4,11,1
151,nuclear,0,3,7,1
152,war,0,1,3,0
153,call,0,1,4,0
154,level,0,2,5,0
155,commitment,1,3,10,1
156,scientific,0,4,10,1
157,community,0,3,9,1
158,reduce,0,3,6,1
159,risk,-1,1,4,0
160,nuclear,0,3,7,1
161,war,0,1,3,0
162,generate,0,4,8,1
163,options,0,3,7,1
164,decreasing,0,4,10,1
165,risk,-1,1,4,0
166,need,0,0,4,0
167,analytical,0,4,10,1
168,work,1,1,4,0
169,people,0,3,6,1
170,know,0,1,4,0
171,weaponry,0,3,8,1
172,military,0,3,8,1
173,uses,0,0,4,0
174,far,0,1,3,0
175,enough,0,3,6,1
176,job,0,1,3,0
177,also,0,2,4,0
178,need,0,0,4,0
179,scholars,0,2,8,0
180,know,0,1,4,0
181,superpowers,0,4,11,1
182,depth,0,1,5,0
183,people,0,3,6,1
184,know,0,1,4,0
185,nuclear,0,3,7,1
186,powers,0,2,6,0
187,people,0,3,6,1
188,know,0,1,4,0
189,third,0,1,5,0
190,world,0,1,5,0
191,flashpoints,0,3,11,1
192,people,0,3,6,1
193,know,0,1,4,0
194,international,0,6,13,1
195,relations,0,4,9,1
196,broadly,0,2,7,0
197,people,0,3,6,1
198,know,0,1,4,0
199,lot,0,1,3,0
200,policy,0,2,6,0
201,formation,0,4,9,1
202,implementation,0,6,14,1
203,especially,0,4,10,1
204,superpowers,0,4,11,1
205,people,0,3,6,1
206,understand,0,3,10,1
207,human,0,2,5,0
208,behavior,0,4,8,1
209,stress,-1,1,6,0
210,especially,0,4,10,1
211,leadership,0,4,10,1
212,stress,-1,1,6,0
213,people,0,3,6,1
214,understand,0,3,10,1
215,negotiation,0,6,11,1
216,conflict,-1,2,8,0
217,resolution,0,5,10,1
218,people,0,3,6,1
219,much,0,1,4,0
220,words,0,1,5,0
221,relevant,0,3,8,1
222,knowledge,0,3,9,1
223,skills,0,1,6,0
224,cut,0,1,3,0
225,right,0,1,5,0
226,across,0,2,6,0
227,physical,0,2,8,0
228,biological,0,5,10,1
229,behavioral,0,5,10,1
230,social,0,3,6,1
231,International,0,6,13,1
232,Physicians,0,3,10,1
233,Prevention,0,4,10,1
234,Nuclear,0,3,7,1
235,War,0,1,3,0
236,World,0,1,5,0
237,Health,0,2,6,0
238,British,0,2,7,0
239,Medical,0,3,7,1
240,Association,0,6,11,1
241,American,0,4,8,1
242,Medical,0,3,7,1
243,Association,0,6,11,1
244,others,0,2,6,0
245,contributed,0,0,11,0
246,well,0,1,4,0
247,central,0,2,7,0
248,point,0,2,5,0
249,kind,0,1,4,0
250,awakening,0,4,9,1
251,occurred,0,0,8,0
252,medical,0,3,7,1
253,community,0,3,9,1
254,responsibility,0,5,14,1
255,addressing,0,3,10,1
256,immense,1,3,7,1
257,nature,0,3,6,1
258,threat,-1,2,6,0
259,public,0,2,6,0
260,health,0,2,6,0
261,last,0,1,4,0
262,want,0,1,4,0
263,conclude,0,3,8,1
264,nuclear,0,3,7,1
265,war,0,1,3,0
266,except,0,2,6,0
267,evil,-1,2,4,0
268,force,0,2,5,0
269,winner,0,2,6,0
270,Science,0,3,7,1
271,humanity,0,3,8,1
272,become,0,3,6,1
273,villain,0,3,7,1
274,Everyone,0,4,8,1
275,knows,0,1,5,0
276,gamblers,0,2,8,0
277,want,0,1,4,0
278,play,0,1,4,0
279,cards,0,1,5,0
280,aware,0,3,5,1
281,nuclear,0,3,7,1
282,gamblers,0,2,8,0
283,hope,0,2,4,0
284,world,0,1,5,0
285,full,0,1,4,0
286,love,0,2,4,0
287,affection,1,4,9,1
288,place,0,2,5,0
289,hate,-1,2,4,0
290,wars,0,1,4,0
291,held,0,1,4,0
292,Blackcoffer,0,3,11,1
293,Insights,0,2,8,0
294,21,0,0,2,0
295,Rutika,0,3,6,1
296,Pagar,0,2,5,0
297,C,0,0,1,0
298,C,0,0,1,0
299,College,0,3,7,1
300,Nashik,0,2,6,0
