,Token,Score,Syllable_Count,Word_length,IsComplex
0,CURRENT,0,2,7,0
1,SCENARIO,0,4,8,1
2,past,0,1,4,0
3,2,0,0,1,0
4,years,0,2,5,0
5,Indian,0,3,6,1
6,banks,0,1,5,0
7,seen,0,2,4,0
8,rapid,1,2,5,0
9,growth,0,1,6,0
10,stressed,0,0,8,0
11,assets,0,2,6,0
12,NPAs,0,1,4,0
13,climbing,0,2,8,0
14,3,0,0,1,0
15,13,0,0,2,0
16,total,0,2,5,0
17,assets,0,2,6,0
18,2017,0,0,4,0
19,18,0,0,2,0
20,GNPA,0,1,4,0
21,ratio,0,3,5,1
22,rose,0,2,4,0
23,23,0,0,2,0
24,1,0,0,1,0
25,18,0,0,2,0
26,1,0,0,1,0
27,last,0,1,4,0
28,year,0,2,4,0
29,primary,0,2,7,0
30,culprits,0,2,8,0
31,Public,0,2,6,0
32,Sector,0,2,6,0
33,Banks,0,1,5,0
34,given,0,2,5,0
35,renewed,1,0,7,0
36,loans,0,2,5,0
37,unworthy,-1,2,8,0
38,corporates,0,0,10,0
39,like,0,2,4,0
40,Nirav,0,2,5,0
41,Modi,0,2,4,0
42,Kingfisher,0,3,10,1
43,Airlines,0,0,8,0
44,Another,0,3,7,1
45,big,0,1,3,0
46,blow,0,1,4,0
47,banking,0,2,7,0
48,sector,0,2,6,0
49,came,0,2,4,0
50,September,0,3,9,1
51,2018,0,0,4,0
52,form,0,1,4,0
53,IL,0,1,2,0
54,FS,0,0,2,0
55,crisis,-1,2,6,0
56,Infrastructure,0,5,14,1
57,Leasing,0,3,7,1
58,Financial,0,4,9,1
59,Services,0,0,8,0
60,publicly,0,2,8,0
61,owned,0,0,5,0
62,NBFC,0,0,4,0
63,defaulted,0,0,9,0
64,loans,0,2,5,0
65,worth,0,1,5,0
66,Rs,0,0,2,0
67,91000,0,0,5,0
68,Crore,0,2,5,0
69,led,1,0,3,0
70,liquidity,0,4,9,1
71,crisis,-1,2,6,0
72,across,0,2,6,0
73,Indian,0,3,6,1
74,NBFCs,0,0,5,0
75,impact,0,2,6,0
76,Indian,0,3,6,1
77,banks,0,1,5,0
78,well,0,1,4,0
79,Due,0,2,3,0
80,developments,0,4,12,1
81,trust,1,1,5,0
82,Indian,0,3,6,1
83,financial,0,4,9,1
84,sector,0,2,6,0
85,seems,0,2,5,0
86,lost,-1,1,4,0
87,RBI,0,1,3,0
88,taking,0,2,6,0
89,set,0,1,3,0
90,measures,0,0,8,0
91,revive,1,3,6,1
92,financial,0,4,9,1
93,sector,0,2,6,0
94,STRATEGIES,0,0,10,0
95,CONTROL,0,2,7,0
96,NPAs,0,1,4,0
97,Preventive,0,4,10,1
98,Management,0,4,10,1
99,Preventive,0,4,10,1
100,Management,0,4,10,1
101,save,0,2,4,0
102,asset,0,2,5,0
103,becoming,0,3,8,1
104,NPA,0,1,3,0
105,involves,0,0,8,0
106,maintaining,0,5,11,1
107,due,0,2,3,0
108,diligence,1,4,9,1
109,proper,1,2,6,0
110,credit,0,2,6,0
111,assessment,0,3,10,1
112,granting,0,2,8,0
113,loans,0,2,5,0
114,Curative,0,4,8,1
115,Management,0,4,10,1
116,curative,0,4,8,1
117,measures,0,0,8,0
118,designed,0,0,8,0
119,speed,0,0,5,0
120,recoveries,0,0,10,0
121,money,0,2,5,0
122,locked,0,0,6,0
123,NPAs,0,1,4,0
124,released,0,0,8,0
125,quickly,0,2,7,0
126,CURATIVE,0,4,8,1
127,STRATEGY,0,2,8,0
128,control,0,2,7,0
129,situation,0,5,9,1
130,India,0,3,5,1
131,definitely,0,4,10,1
132,go,0,1,2,0
133,curative,0,4,8,1
134,strategy,0,2,8,0
135,first,0,1,5,0
136,Insolvency,0,3,10,1
137,Bankruptcy,0,2,10,0
138,code,0,2,4,0
139,IBC,0,1,3,0
140,passed,0,0,6,0
141,2016,0,0,4,0
142,proved,0,0,6,0
143,major,0,2,5,0
144,shot,0,1,4,0
145,arm,0,1,3,0
146,banks,0,1,5,0
147,fight,0,1,5,0
148,NPAs,0,1,4,0
149,Since,0,2,5,0
150,also,0,2,4,0
151,amended,0,0,7,0
152,several,0,3,7,1
153,times,0,0,5,0
154,give,0,2,4,0
155,strength,0,1,8,0
156,RBI,0,1,3,0
157,also,0,2,4,0
