,Token,Score,Syllable_Count,Word_length,IsComplex
0,God,0,1,3,0
1,trust,1,1,5,0
2,others,0,2,6,0
3,must,0,1,4,0
4,bring,0,1,5,0
5,data,0,2,4,0
6,W,0,0,1,0
7,Edwards,0,2,7,0
8,Deming,0,2,6,0
9,2,0,0,1,0
10,000,0,0,3,0
11,000,0,0,3,0
12,000,0,0,3,0
13,000,0,0,3,0
14,000,0,0,3,0
15,000,0,0,3,0
16,bytes,0,0,5,0
17,figure,0,3,6,1
18,roughly,0,2,7,0
19,amount,0,3,6,1
20,data,0,2,4,0
21,generated,0,0,9,0
22,per,0,1,3,0
23,day,0,1,3,0
24,across,0,2,6,0
25,industries,0,0,10,0
26,Every,0,2,5,0
27,individual,0,5,10,1
28,2020,0,0,4,0
29,created,0,0,7,0
30,approximately,0,5,13,1
31,1,0,0,1,0
32,7,0,0,1,0
33,megabytes,0,0,9,0
34,second,0,2,6,0
35,seen,0,2,4,0
36,bigger,0,2,6,0
37,picture,0,3,7,1
38,every,0,2,5,0
39,day,0,1,3,0
40,internet,0,3,8,1
41,users,0,2,5,0
42,create,0,3,6,1
43,2,0,0,1,0
44,5,0,0,1,0
45,quintillion,0,5,11,1
46,bytes,0,0,5,0
47,data,0,2,4,0
48,Looking,0,3,7,1
49,gigantic,0,3,8,1
50,source,0,3,6,1
51,generation,0,5,10,1
52,raw,0,1,3,0
53,data,0,2,4,0
54,requirement,0,5,11,1
55,turns,0,1,5,0
56,manage,0,3,6,1
57,unstructured,0,0,12,0
58,data,0,2,4,0
59,organizations,0,6,13,1
60,seems,0,2,5,0
61,point,0,2,5,0
62,concern,-1,2,7,0
63,95,0,0,2,0
64,percent,0,2,7,0
65,organizations,0,6,13,1
66,hence,0,2,5,0
67,major,0,2,5,0
68,share,0,2,5,0
69,organizations,0,6,13,1
70,around,0,3,6,1
71,97,0,0,2,0
72,2,0,0,1,0
73,percent,0,2,7,0
74,investing,0,3,9,1
75,big,0,1,3,0
