,Token,Score,Syllable_Count,Word_length,IsComplex
0,emergence,0,4,9,1
1,big,0,1,3,0
2,data,0,2,4,0
3,analytics,0,3,9,1
4,along,0,2,5,0
5,advancements,0,4,12,1
6,area,0,3,4,1
7,medical,0,3,7,1
8,science,0,3,7,1
9,enabled,0,0,7,0
10,healthcare,0,4,10,1
11,companies,0,0,9,0
12,gain,1,2,4,0
13,better,0,2,6,0
14,insights,0,2,8,0
15,field,0,2,5,0
16,therapeutics,0,5,12,1
17,diagnostics,0,4,11,1
18,turn,0,1,4,0
19,game,0,2,4,0
20,changer,0,2,7,0
21,healthcare,0,4,10,1
22,services,0,0,8,0
23,delivered,0,0,9,0
24,developing,0,4,10,1
25,countries,0,0,9,0
26,like,0,2,4,0
27,India,0,3,5,1
28,integration,0,5,11,1
29,statisticians,0,5,13,1
30,data,0,2,4,0
31,scientists,0,3,10,1
32,healthcare,0,4,10,1
33,firms,0,1,5,0
34,helped,1,0,6,0
35,structuring,0,3,11,1
36,huge,0,2,4,0
37,volumes,0,0,7,0
38,data,0,2,4,0
39,earlier,0,4,7,1
40,untapped,0,0,8,0
41,gain,1,2,4,0
42,insightful,1,3,10,1
43,information,0,5,11,1
44,global,0,2,6,0
45,healthcare,0,4,10,1
46,trends,0,1,6,0
47,Today,0,2,5,0
48,number,0,2,6,0
49,hospitals,0,3,9,1
50,healthcare,0,4,10,1
51,facilitators,0,5,12,1
52,coming,0,2,6,0
53,forward,0,2,7,0
54,seek,0,2,4,0
55,automated,0,0,9,0
56,management,0,4,10,1
57,information,0,5,11,1
58,systems,0,1,7,0
59,R,0,0,1,0
60,department,0,3,10,1
61,also,0,2,4,0
62,workforce,0,3,9,1
63,management,0,4,10,1
64,accounting,0,4,10,1
65,administration,0,6,14,1
66,finance,0,3,7,1
67,domain,0,3,6,1
68,Application,0,5,11,1
69,big,0,1,3,0
70,data,0,2,4,0
71,analytics,0,3,9,1
72,human,0,2,5,0
73,plant,0,1,5,0
74,genomics,0,3,8,1
75,healthcare,0,4,10,1
76,decision,0,4,8,1
77,support,1,2,7,0
78,patient,1,3,7,1
79,community,0,3,9,1
80,analysis,0,3,8,1
81,fields,0,2,6,0
82,great,1,2,5,0
83,potential,0,4,9,1
84,revolutionize,1,7,13,1
85,healthcare,0,4,10,1
86,industry,0,2,8,0
87,Big,0,1,3,0
88,data,0,2,4,0
89,wider,0,2,5,0
90,scope,0,2,5,0
91,common,0,2,6,0
92,software,0,3,8,1
93,owing,0,2,5,0
94,ability,0,3,7,1
95,capture,0,3,7,1
96,process,0,2,7,0
97,manage,0,3,6,1
98,data,0,2,4,0
99,timely,1,2,6,0
100,manner,0,2,6,0
101,amount,0,3,6,1
102,data,0,2,4,0
103,processed,0,0,9,0
104,range,0,2,5,0
105,dozen,0,2,5,0
106,terabytes,0,0,9,0
107,petabytes,0,0,9,0
108,information,0,5,11,1
109,Several,0,3,7,1
110,trends,0,1,6,0
111,part,0,1,4,0
112,healthcare,0,4,10,1
113,ecosystem,0,3,9,1
114,gaining,1,3,7,1
115,popularity,0,4,10,1
116,across,0,2,6,0
117,globe,0,2,5,0
118,Artificial,0,5,10,1
119,intelligence,1,5,12,1
120,helping,1,2,7,0
121,solve,0,2,5,0
122,problems,-1,2,8,0
123,AI,0,2,2,0
124,based,0,0,5,0
125,application,0,5,11,1
126,systems,0,1,7,0
127,allow,0,2,5,0
128,information,0,5,11,1
129,sharing,0,2,7,0
130,across,0,2,6,0
131,several,0,3,7,1
132,domains,0,3,7,1
133,Automation,0,6,10,1
134,data,0,2,4,0
135,storage,0,3,7,1
136,allow,0,2,5,0
137,better,0,2,6,0
138,access,0,2,6,0
139,availability,0,6,12,1
140,patient,1,3,7,1
141,records,0,2,7,0
142,thus,0,1,4,0
143,bringing,0,2,8,0
144,transparency,0,3,12,1
145,system,0,1,6,0
146,coming,0,2,6,0
147,years,0,2,5,0
148,role,0,2,4,0
149,Internet,0,3,8,1
150,Things,0,1,6,0
151,also,0,2,4,0
152,become,0,3,6,1
153,crucial,0,3,7,1
154,bringing,0,2,8,0
155,improved,1,0,8,0
156,facilities,0,0,10,0
157,patient,1,3,7,1
158,safety,0,2,6,0
159,higher,0,2,6,0
160,level,0,2,5,0
161,operational,0,6,11,1
162,efficacy,0,3,8,1
