,Token,Score,Syllable_Count,Word_length,IsComplex
0,Quality,0,3,7,1
1,affordable,1,4,10,1
2,healthcare,0,4,10,1
3,vision,0,3,6,1
4,governments,0,3,11,1
5,across,0,2,6,0
6,globe,0,2,5,0
7,high,0,1,4,0
8,cost,0,1,4,0
9,Medical,0,3,7,1
10,service,0,3,7,1
11,lack,-1,1,4,0
12,sufficient,1,4,10,1
13,infrastructure,0,5,14,1
14,detrimental,-1,4,11,1
15,vision,0,3,6,1
16,developed,0,0,9,0
17,countries,0,0,9,0
18,U,0,1,1,0
19,reducing,0,3,8,1
20,healthcare,0,4,10,1
21,cost,0,1,4,0
22,agenda,0,3,6,1
23,point,0,2,5,0
24,politicians,0,5,11,1
25,Even,0,2,4,0
26,India,0,3,5,1
27,affordable,1,4,10,1
28,healthcare,0,4,10,1
29,important,1,3,9,1
30,Roti,0,2,4,0
31,Kapda,0,2,5,0
32,Makan,0,2,5,0
33,near,0,2,4,0
34,future,0,3,6,1
35,Technology,0,3,10,1
36,play,0,1,4,0
37,big,0,1,3,0
38,role,0,2,4,0
39,reducing,0,3,8,1
40,healthcare,0,4,10,1
41,cost,0,1,4,0
42,making,0,2,6,0
43,efficient,1,4,9,1
44,vast,0,1,4,0
45,quantity,0,3,8,1
46,data,0,2,4,0
47,available,0,5,9,1
48,Hospitals,0,3,9,1
49,insurance,0,4,9,1
50,providers,0,3,9,1
51,Big,0,1,3,0
52,data,0,2,4,0
53,play,0,1,4,0
54,big,0,1,3,0
55,role,0,2,4,0
56,analyzing,0,3,9,1
57,data,0,2,4,0
58,produce,0,3,7,1
59,actionable,0,5,10,1
60,insight,0,2,7,0
61,benefits,1,3,8,1
62,using,0,2,5,0
63,big,0,1,3,0
64,data,0,2,4,0
65,follows,0,2,7,0
66,Reduce,0,3,6,1
67,Fraud,-1,2,5,0
68,Waste,-1,2,5,0
69,Fraud,-1,2,5,0
70,big,0,1,3,0
71,impact,0,2,6,0
72,everyone,0,4,8,1
73,fact,0,1,4,0
74,National,0,4,8,1
75,Healthcare,0,4,10,1
76,Anti,0,2,4,0
77,Fraud,-1,2,5,0
78,Association,0,6,11,1
79,estimates,0,0,9,0
80,fraud,-1,2,5,0
81,costs,0,1,5,0
82,Americans,0,4,9,1
83,least,0,2,5,0
84,33,0,0,2,0
85,billion,0,3,7,1
86,55,0,0,2,0
87,billion,0,3,7,1
88,annually,0,3,8,1
89,approximately,0,5,13,1
90,3,0,0,1,0
91,5,0,0,1,0
92,nation,0,3,6,1
93,health,0,2,6,0
94,care,0,2,4,0
95,spending,0,2,8,0
96,2,0,0,1,0
97,26,0,0,2,0
98,trillion,0,3,8,1
99,example,0,3,7,1
100,Sometimes,0,0,9,0
101,providers,0,3,9,1
102,hospitals,0,3,9,1
103,report,0,2,6,0
104,procedures,0,0,10,0
105,services,0,0,8,0
106,never,0,2,5,0
107,provided,0,0,8,0
108,Big,0,1,3,0
109,data,0,2,4,0
110,analytics,0,3,9,1
111,help,0,1,4,0
112,insurance,0,4,9,1
113,company,0,2,7,0
114,discover,0,3,8,1
115,frauds,0,2,6,0
116,Big,0,1,3,0
117,data,0,2,4,0
118,use,0,2,3,0
119,huge,0,2,4,0
120,amount,0,3,6,1
121,historical,0,4,10,1
122,data,0,2,4,0
123,identify,0,3,8,1
124,expected,0,0,8,0
125,procedure,0,4,9,1
126,service,0,3,7,1
127,reported,0,0,8,0
128,illness,-1,2,7,0
129,identified,0,0,10,0
130,using,0,2,5,0
131,diagnosis,0,4,9,1
132,code,0,2,4,0
133,expected,0,0,8,0
134,procedure,0,4,9,1
135,code,0,2,4,0
136,match,0,1,5,0
137,billed,0,0,6,0
138,procedure,0,4,9,1
139,code,0,2,4,0
140,insurance,0,4,9,1
141,companies,0,0,9,0
142,tag,0,1,3,0
143,claim,0,2,5,0
144,potential,0,4,9,1
145,fraud,-1,2,5,0
146,claim,0,2,5,0
147,claim,0,2,5,0
148,tagged,0,0,6,0
149,fraud,-1,2,5,0
150,claim,0,2,5,0
151,manual,0,3,6,1
152,examiner,0,4,8,1
153,needs,0,2,5,0
154,additional,0,5,10,1
155,verification,0,6,12,1
156,ensure,0,3,6,1
157,claim,0,2,5,0
158,submitted,0,0,9,0
159,fraud,-1,2,5,0
160,provider,0,3,8,1
161,Sometimes,0,0,9,0
162,patients,0,3,8,1
163,fake,-1,2,4,0
164,identity,0,3,8,1
165,get,0,1,3,0
166,benefit,1,3,7,1
167,insurance,0,4,9,1
168,Using,0,2,5,0
169,big,0,1,3,0
170,data,0,2,4,0
171,companies,0,0,9,0
172,match,0,1,5,0
173,patients,0,3,8,1
174,information,0,5,11,1
175,services,0,0,8,0
176,taken,0,2,5,0
177,services,0,0,8,0
178,taken,0,2,5,0
179,patient,1,3,7,1
180,different,0,3,9,1
181,past,0,1,4,0
182,medical,0,3,7,1
183,history,0,2,7,0
184,patients,0,3,8,1
185,analytics,0,3,9,1
186,tag,0,1,3,0
187,claim,0,2,5,0
188,susceptible,-1,4,11,1
189,fraud,-1,2,5,0
190,claims,0,2,6,0
191,Storing,0,2,7,0
192,data,0,2,4,0
193,Traditional,0,5,11,1
194,health,0,2,6,0
195,care,0,2,4,0
196,providers,0,3,9,1
197,find,0,1,4,0
198,difficult,-1,3,9,1
199,store,0,2,5,0
200,vast,0,1,4,0
201,amount,0,3,6,1
202,data,0,2,4,0
203,ever,0,2,4,0
204,traditional,0,5,11,1
205,database,0,4,8,1
206,stores,0,0,6,0
207,structured,0,0,10,0
208,data,0,2,4,0
209,Big,0,1,3,0
210,data,0,2,4,0
211,solve,0,2,5,0
212,storage,0,3,7,1
213,issue,-1,3,5,1
214,handling,0,2,8,0
215,huge,0,2,4,0
216,volume,0,3,6,1
217,variety,1,3,7,1
218,data,0,2,4,0
219,historical,0,4,10,1
220,data,0,2,4,0
221,patient,1,3,7,1
222,reduce,0,3,6,1
223,healthcare,0,4,10,1
224,drastically,-1,3,11,1
225,Improving,1,3,9,1
226,scheduling,0,3,10,1
227,appointments,0,4,12,1
228,tough,1,2,5,0
229,get,0,1,3,0
230,Physician,0,3,9,1
231,appointment,0,4,11,1
232,developed,0,0,9,0
233,countries,0,0,9,0
234,One,0,2,3,0
235,friends,0,2,7,0
236,senior,0,3,6,1
237,director,0,3,8,1
238,multinational,0,6,13,1
239,bank,0,1,4,0
240,got,0,1,3,0
241,appointment,0,4,11,1
242,hip,0,1,3,0
243,replacement,0,4,11,1
244,surgery,0,2,7,0
245,waiting,0,3,7,1
246,period,0,3,6,1
247,months,0,1,6,0
248,able,0,2,4,0
249,sit,0,1,3,0
250,result,0,2,6,0
251,drive,0,2,5,0
