,Token,Score,Syllable_Count,Word_length,IsComplex
0,Modern,1,2,6,0
1,companies,0,0,9,0
2,want,0,1,4,0
3,know,0,1,4,0
4,everything,0,3,10,1
5,customers,0,3,9,1
6,want,0,1,4,0
7,know,0,1,4,0
8,going,0,2,5,0
9,meeting,0,3,7,1
10,eating,0,3,6,1
11,course,0,3,6,1
12,buying,0,2,6,0
13,step,0,1,4,0
14,ahead,0,3,5,1
15,potential,0,4,9,1
16,customer,0,3,8,1
17,knowing,0,2,7,0
18,course,0,3,6,1
19,distant,0,2,7,0
20,dream,0,2,5,0
21,years,0,2,5,0
22,back,0,1,4,0
23,reality,0,3,7,1
24,today,0,2,5,0
25,reason,0,3,6,1
26,behind,0,2,6,0
27,Big,0,1,3,0
28,Data,0,2,4,0
29,Analytics,0,3,9,1
30,changing,0,2,8,0
31,businesses,0,0,10,0
32,function,0,3,8,1
33,Banking,0,2,7,0
34,Finance,0,3,7,1
35,Industry,0,2,8,0
36,applications,0,5,12,1
37,go,0,1,2,0
38,much,0,1,4,0
39,customer,0,3,8,1
40,data,0,2,4,0
41,potential,0,4,9,1
42,uses,0,0,4,0
43,immense,1,3,7,1
44,say,0,1,3,0
45,least,0,2,5,0
46,significant,1,4,11,1
47,areas,0,3,5,1
48,firms,0,1,5,0
49,benefitting,0,4,11,1
50,Big,0,1,3,0
51,Data,0,2,4,0
52,Analytics,0,3,9,1
53,Customer,0,3,8,1
54,Segmentation,0,5,12,1
55,Personalized,1,0,12,0
56,Marketing,0,3,9,1
57,Although,0,3,8,1
58,might,0,1,5,0
59,consider,0,3,8,1
60,unique,0,4,6,1
61,statistically,0,4,13,1
62,speaking,0,3,8,1
63,always,0,2,6,0
64,clubbed,0,0,7,0
65,fixed,0,0,5,0
66,set,0,1,3,0
67,personality,0,4,11,1
68,profiles,0,0,8,0
69,customer,0,3,8,1
70,segments,0,2,8,0
71,profiles,0,0,8,0
72,almost,0,2,6,0
73,precision,0,4,9,1
74,predict,0,2,7,0
75,online,0,3,6,1
76,activity,0,3,8,1
77,patterns,0,2,8,0
78,purchase,0,3,8,1
79,behavior,0,4,8,1
80,particular,0,4,10,1
81,application,0,5,11,1
82,Big,0,1,3,0
83,Data,0,2,4,0
84,spans,0,1,5,0
85,sectors,0,2,7,0
86,banking,0,2,7,0
87,helps,0,1,5,0
88,banks,0,1,5,0
89,deliver,0,3,7,1
90,right,0,1,5,0
91,offer,0,2,5,0
92,product,0,2,7,0
93,right,0,1,5,0
94,customer,0,3,8,1
95,segment,0,2,7,0
96,Taking,0,2,6,0
97,customer,0,3,8,1
98,segmentation,0,5,12,1
99,step,0,1,4,0
100,personalized,1,0,12,0
101,marketing,0,3,9,1
102,garners,0,2,7,0
103,hits,0,1,4,0
104,Depending,0,3,9,1
105,whether,0,2,7,0
106,consumer,0,3,8,1
107,looking,0,3,7,1
108,buy,0,1,3,0
109,house,0,3,5,1
110,clothes,0,0,7,0
111,offered,0,0,7,0
112,house,0,3,5,1
113,loan,0,2,4,0
114,credit,0,2,6,0
115,card,0,1,4,0
116,Customized,0,0,10,0
117,offerings,0,3,9,1
118,made,0,2,4,0
119,individual,0,5,10,1
120,customers,0,3,9,1
121,analyzing,0,3,9,1
122,recent,0,2,6,0
123,purchase,0,3,8,1
124,activity,0,3,8,1
125,online,0,3,6,1
126,behavior,0,4,8,1
127,Cross,0,1,5,0
128,selling,0,2,7,0
129,act,0,1,3,0
130,selling,0,2,7,0
131,existing,0,3,8,1
132,customer,0,3,8,1
133,additional,0,5,10,1
134,product,0,2,7,0
135,another,0,3,7,1
136,practice,0,3,8,1
137,become,0,3,6,1
138,easier,1,4,6,1
139,convert,0,2,7,0
140,sale,0,2,4,0
141,due,0,2,3,0
142,customization,0,6,13,1
143,using,0,2,5,0
