,Token,Score,Syllable_Count,Word_length,IsComplex
0,Since,0,2,5,0
1,last,0,1,4,0
2,quarter,0,3,7,1
3,2014,0,0,4,0
4,oil,0,2,3,0
5,prices,0,0,6,0
6,plummeted,0,0,9,0
7,100,0,0,3,0
8,barrel,0,2,6,0
9,less,0,1,4,0
10,30,0,0,2,0
11,barrel,0,2,6,0
12,2016,0,0,4,0
13,Currently,0,2,9,0
14,oil,0,2,3,0
15,price,0,2,5,0
16,hovering,0,3,8,1
17,around,0,3,6,1
18,70,0,0,2,0
19,barrel,0,2,6,0
20,Events,0,2,6,0
21,force,0,2,5,0
22,G,0,0,1,0
23,companies,0,0,9,0
24,restructure,1,4,11,1
25,upstream,0,3,8,1
26,midstream,0,3,9,1
27,downstream,0,3,10,1
28,operations,0,5,10,1
29,Refinery,0,3,8,1
30,shutdowns,0,2,9,0
31,handling,0,2,8,0
32,various,0,4,7,1
33,grades,0,0,6,0
34,crude,-1,2,5,0
35,oil,0,2,3,0
36,changing,0,2,8,0
37,environmental,0,5,13,1
38,regulations,0,5,11,1
39,pushing,0,2,7,0
40,gross,0,1,5,0
41,refining,0,3,8,1
42,margins,0,2,7,0
43,bare,0,2,4,0
44,minimum,0,3,7,1
45,use,0,2,3,0
46,IoT,0,2,3,0
47,refineries,0,0,10,0
48,plan,0,1,4,0
49,shutdowns,0,2,9,0
50,minimize,0,4,8,1
51,downtime,0,3,8,1
52,improve,1,3,7,1
53,safety,0,2,6,0
54,record,0,2,6,0
55,fact,0,1,4,0
56,refineries,0,0,10,0
57,incorporated,0,0,12,0
58,IoT,0,2,3,0
59,operations,0,5,10,1
60,known,0,1,5,0
61,Smart,0,1,5,0
62,Refineries,0,0,10,0
63,IoT,0,2,3,0
64,next,0,1,4,0
65,step,0,1,4,0
66,evolution,0,5,9,1
67,oil,0,2,3,0
68,gas,0,1,3,0
69,industry,0,2,8,0
70,play,0,1,4,0
71,significant,1,4,11,1
72,role,0,2,4,0
73,lower,0,2,5,0
74,operating,0,4,9,1
75,expenses,0,0,8,0
76,increase,0,4,8,1
77,reliability,0,5,11,1
78,complete,0,3,8,1
79,production,0,4,10,1
80,plant,0,1,5,0
81,G,0,0,1,0
82,companies,0,0,9,0
83,around,0,3,6,1
84,world,0,1,5,0
85,focussing,0,3,9,1
86,IoT,0,2,3,0
87,increase,0,4,8,1
88,overall,0,3,7,1
89,efficiency,0,4,10,1
90,decrease,0,4,8,1
91,non,0,1,3,0
92,productive,1,4,10,1
93,time,0,2,4,0
94,well,0,1,4,0
95,costs,0,1,5,0
96,Basically,0,3,9,1
97,IoT,0,2,3,0
98,covers,0,2,6,0
99,entire,0,3,6,1
100,value,0,3,5,1
101,chain,0,2,5,0
102,Oil,0,2,3,0
103,Gas,0,1,3,0
104,industry,0,2,8,0
105,right,0,1,5,0
106,pinpointing,0,4,11,1
107,location,0,4,8,1
108,exploration,0,5,11,1
109,oil,0,2,3,0
110,wells,0,1,5,0
111,refining,0,3,8,1
112,crude,-1,2,5,0
113,oil,0,2,3,0
114,transportation,0,5,14,1
115,oil,0,2,3,0
116,pipelines,0,0,9,0
117,trucks,0,1,6,0
118,trillions,0,3,9,1
119,dollars,0,2,7,0
120,spent,0,1,5,0
121,every,0,2,5,0
122,year,0,2,4,0
123,exploration,0,5,11,1
124,production,0,4,10,1
125,E,0,1,1,0
126,P,0,0,1,0
127,small,0,1,5,0
128,investment,0,3,10,1
129,IoT,0,2,3,0
130,reap,0,2,4,0
131,huge,0,2,4,0
132,benefits,1,3,8,1
133,entire,0,3,6,1
134,chain,0,2,5,0
135,petroleum,0,4,9,1
136,operations,0,5,10,1
137,Preventative,0,5,12,1
138,Maintenance,0,5,11,1
139,PM,0,0,2,0
140,G,0,0,1,0
141,industry,0,2,8,0
142,loses,-1,0,5,0
143,billions,0,3,8,1
144,dollars,0,2,7,0
145,every,0,2,5,0
146,year,0,2,4,0
147,due,0,2,3,0
148,non,0,1,3,0
149,productive,1,4,10,1
150,time,0,2,4,0
151,NPT,0,0,3,0
152,IoT,0,2,3,0
153,could,0,2,5,0
154,used,0,0,4,0
155,help,0,1,4,0
156,reduce,0,3,6,1
157,NPT,0,0,3,0
158,events,0,2,6,0
159,using,0,2,5,0
160,real,0,2,4,0
161,time,0,2,4,0
162,data,0,2,4,0
163,predict,0,2,7,0
164,breakdowns,0,3,10,1
165,schedule,0,3,8,1
166,preventative,0,5,12,1
167,maintenance,0,5,11,1
168,huge,0,2,4,0
169,field,0,2,5,0
170,application,0,5,11,1
171,IoT,0,2,3,0
172,Preventive,0,4,10,1
173,maintenance,0,5,11,1
174,PM,0,0,2,0
175,continuously,0,5,12,1
176,monitoring,0,4,10,1
177,certain,0,3,7,1
178,parameters,0,4,10,1
179,equipment,0,4,9,1
180,like,0,2,4,0
181,vibration,-1,4,9,1
182,temperature,0,5,11,1
183,oil,0,2,3,0
184,levels,0,2,6,0
185,parameters,0,4,10,1
186,critical,-1,3,8,1
187,operation,0,5,9,1
188,equipment,0,4,9,1
189,sensors,0,2,7,0
190,sensors,0,2,7,0
191,continuously,0,5,12,1
192,relay,0,2,5,0
193,real,0,2,4,0
194,time,0,2,4,0
195,data,0,2,4,0
196,receiver,0,4,8,1
197,Due,0,2,3,0
198,management,0,4,10,1
199,accurately,1,4,10,1
200,determine,0,4,9,1
201,need,0,0,4,0
202,maintenance,0,5,11,1
203,time,0,2,4,0
204,spent,0,1,5,0
205,repairing,0,4,9,1
206,machine,0,3,7,1
207,broken,-1,2,6,0
208,well,0,1,4,0
209,greater,0,3,7,1
210,losses,-1,0,6,0
211,organization,0,6,12,1
212,face,0,2,4,0
213,due,0,2,3,0
214,production,0,4,10,1
215,losses,-1,0,6,0
216,completely,0,3,10,1
217,eliminated,0,0,10,0
218,G,0,0,1,0
219,sector,0,2,6,0
220,PM,0,0,2,0
221,used,0,0,4,0
222,pumps,0,1,5,0
223,compressors,0,3,11,1
224,heat,0,2,4,0
225,exchangers,0,3,10,1
226,steam,0,2,5,0
227,traps,0,1,5,0
228,relief,1,3,6,1
229,valves,0,0,6,0
230,equipment,0,4,9,1
231,instrumentation,0,6,15,1
232,expensive,-1,4,9,1
233,difficult,-1,3,9,1
234,failure,-1,4,7,1
235,lead,1,2,4,0
236,high,0,1,4,0
237,monetary,0,3,8,1
238,losses,-1,0,6,0
239,Billions,0,3,8,1
240,dollars,0,2,7,0
241,savings,1,2,7,0
242,achieved,0,0,8,0
243,industries,0,0,10,0
244,incorporated,0,0,12,0
245,IoT,0,2,3,0
246,plants,0,1,6,0
247,PM,0,0,2,0
248,Petropiar,0,4,9,1
249,refinery,0,3,8,1
250,Chevron,0,2,7,0
251,PDVSA,0,1,5,0
252,joint,0,2,5,0
253,venture,0,3,7,1
254,Mejorador,0,4,9,1
255,Jose,0,2,4,0
256,Barcelona,0,4,9,1
257,Venezuela,0,5,9,1
258,installed,0,0,9,0
259,predictive,0,4,10,1
260,management,0,4,10,1
261,software,0,3,8,1
262,conjunction,0,4,11,1
263,4,0,0,1,0
264,500,0,0,3,0
265,HART,0,1,4,0
266,field,0,2,5,0
267,instruments,0,3,11,1
268,Using,0,2,5,0
269,technologies,0,0,12,0
270,enabled,0,0,7,0
271,refinery,0,3,8,1
272,increase,0,4,8,1
273,production,0,4,10,1
274,reduce,0,3,6,1
275,costs,0,1,5,0
276,improve,1,3,7,1
277,profitability,0,5,13,1
278,1,0,0,1,0
279,Smart,0,1,5,0
280,Pipelines,0,0,9,0
281,Pipelines,0,0,9,0
282,form,0,1,4,0
283,transportation,0,5,14,1
284,backbone,1,3,8,1
285,G,0,0,1,0
286,industry,0,2,8,0
287,refinery,0,3,8,1
288,pipeline,0,4,8,1
289,networks,0,2,8,0
290,scale,0,2,5,0
291,thousands,0,3,9,1
292,kilometers,0,4,10,1
293,rugged,0,0,6,0
294,lands,0,1,5,0
295,mountains,0,4,9,1
296,caring,0,2,6,0
297,black,0,1,5,0
298,gold,0,1,4,0
299,24,0,0,2,0
300,7,0,0,1,0
301,maintenance,0,5,11,1
302,supervision,0,5,11,1
303,pipelines,0,0,9,0
304,terms,0,1,5,0
305,theft,0,1,5,0
306,leaks,-1,2,5,0
307,corrosion,-1,4,9,1
308,important,1,3,9,1
309,huge,0,2,4,0
310,network,0,2,7,0
311,possible,0,3,8,1
312,using,0,2,5,0
313,wired,0,0,5,0
314,technology,0,3,10,1
315,pipeline,0,4,8,1
316,leak,0,2,4,0
317,cause,0,3,5,1
318,oil,0,2,3,0
319,leak,0,2,4,0
320,high,0,1,4,0
321,flow,0,1,4,0
322,rate,0,2,4,0
323,due,0,2,3,0
324,high,0,1,4,0
325,pressure,0,3,8,1
326,differential,0,5,12,1
327,created,0,0,7,0
328,hence,0,2,5,0
329,immediate,0,5,9,1
330,leak,0,2,4,0
331,detection,0,4,9,1
332,plays,0,1,5,0
333,critical,-1,3,8,1
