,Token,Score,Syllable_Count,Word_length,IsComplex
0,Developing,0,4,10,1
1,countries,0,0,9,0
2,created,0,0,7,0
3,biggest,0,2,7,0
4,data,0,2,4,0
5,repository,0,4,10,1
6,world,0,1,5,0
7,faces,0,0,5,0
8,challenge,0,3,9,1
9,using,0,2,5,0
10,information,0,5,11,1
11,better,0,2,6,0
12,governance,0,4,10,1
13,per,0,1,3,0
14,official,0,4,8,1
15,report,0,2,6,0
16,Big,0,1,3,0
17,data,0,2,4,0
18,defined,0,0,7,0
19,variety,1,3,7,1
20,volume,0,3,6,1
21,speed,0,0,5,0
22,analytics,0,3,9,1
23,involve,0,3,7,1
24,processing,0,3,10,1
25,cost,0,1,4,0
26,effectively,1,4,11,1
27,able,0,2,4,0
28,draw,0,1,4,0
29,conclusions,0,4,11,1
30,useful,0,3,6,1
31,application,0,5,11,1
32,transforming,0,3,12,1
33,development,0,4,11,1
34,initiatives,0,0,11,0
35,improving,1,3,9,1
36,transparency,0,3,12,1
37,Big,0,1,3,0
38,Data,0,2,4,0
39,analytics,0,3,9,1
40,major,0,2,5,0
41,impact,0,2,6,0
42,governments,0,3,11,1
43,work,1,1,4,0
44,OPPORTUNITIES,0,0,13,0
45,RISKS,-1,1,5,0
46,Big,0,1,3,0
47,data,0,2,4,0
48,government,0,3,10,1
49,agencies,0,0,8,0
50,teaming,0,3,7,1
51,help,0,1,4,0
52,agencies,0,0,8,0
53,run,0,1,3,0
54,efficiently,1,4,11,1
55,better,0,2,6,0
56,serve,0,2,5,0
57,constituents,0,4,12,1
58,levels,0,2,6,0
59,Due,0,2,3,0
60,recent,0,2,6,0
61,technological,0,5,13,1
62,advancements,0,4,12,1
63,government,0,3,10,1
64,agencies,0,0,8,0
65,leveraging,0,4,10,1
66,big,0,1,3,0
67,data,0,2,4,0
68,insights,0,2,8,0
69,variety,1,3,7,1
70,innovative,1,5,10,1
71,ways,0,1,4,0
72,increased,0,0,9,0
73,requirements,0,5,12,1
74,data,0,2,4,0
75,higher,0,2,6,0
76,managerial,0,5,10,1
77,level,0,2,5,0
78,declining,-1,3,9,1
79,budgets,0,2,7,0
80,looking,0,3,7,1
81,less,0,1,4,0
82,path,0,1,4,0
83,digital,0,3,7,1
84,transformation,0,5,14,1
85,help,0,1,4,0
