,Token,Score,Syllable_Count,Word_length,IsComplex
0,Politics,0,3,8,1
1,game,0,2,4,0
2,earnest,0,3,7,1
3,business,0,3,8,1
4,quote,0,3,5,1
5,Winston,0,2,7,0
6,Churchill,0,2,9,0
7,highlights,0,2,10,0
8,fact,0,1,4,0
9,politics,0,3,8,1
10,made,0,2,4,0
11,light,0,1,5,0
12,hearted,0,0,7,0
13,fun,1,1,3,0
14,dreamers,0,3,8,1
15,palace,0,3,6,1
16,pit,0,1,3,0
17,rivals,0,2,6,0
18,fight,0,1,5,0
19,succeed,1,0,7,0
20,recent,0,2,6,0
21,times,0,0,5,0
22,technology,0,3,10,1
23,completely,0,3,10,1
24,changed,0,0,7,0
25,political,0,4,9,1
26,leaders,0,3,7,1
27,compete,0,3,7,1
28,presence,0,3,8,1
29,multiple,0,3,8,1
30,platforms,0,2,9,0
31,microbloggers,0,4,13,1
32,hundreds,0,2,8,0
33,social,0,3,6,1
34,media,0,3,5,1
35,websites,0,0,8,0
36,changed,0,0,7,0
37,dynamics,0,2,8,0
38,pit,0,1,3,0
39,completely,0,3,10,1
40,Data,0,2,4,0
41,analytics,0,3,9,1
42,buzzword,0,2,8,0
43,Barack,0,2,6,0
44,Obama,0,3,5,1
45,election,0,4,8,1
46,campaigns,0,3,9,1
47,2008,0,0,4,0
48,2012,0,0,4,0
49,also,0,2,4,0
50,believed,0,0,8,0
51,predictive,0,4,10,1
52,models,0,2,6,0
53,extensive,0,4,9,1
54,analysis,0,3,8,1
55,data,0,2,4,0
56,US,0,1,2,0
57,citizens,0,3,8,1
58,helped,1,0,6,0
59,turn,0,1,4,0
60,tides,0,0,5,0
61,favor,1,2,5,0
62,2012,0,0,4,0
63,US,0,1,2,0
64,elections,0,4,9,1
65,post,0,1,4,0
66,2012,0,0,4,0
67,saw,0,1,3,0
68,decrease,0,4,8,1
69,traditional,0,5,11,1
70,advertising,0,4,11,1
71,expenditure,0,5,11,1
72,93,0,0,2,0
73,less,0,1,4,0
74,50,0,0,2,0
75,elections,0,4,9,1
76,also,0,2,4,0
77,saw,0,1,3,0
78,man,0,1,3,0
79,political,0,4,9,1
80,experience,0,5,10,1
81,take,0,2,4,0
82,reins,0,2,5,0
83,powerful,1,3,8,1
84,country,0,2,7,0
85,world,0,1,5,0
