,Token,Score,Syllable_Count,Word_length,IsComplex
0,Perfect,1,2,7,0
1,information,0,5,11,1
2,First,0,1,5,0
3,Degree,0,3,6,1
4,Price,0,2,5,0
5,Discrimination,-1,6,14,1
6,might,0,1,5,0
7,know,0,1,4,0
8,terms,0,1,5,0
9,high,0,1,4,0
10,school,0,2,6,0
11,economics,0,4,9,1
12,defining,0,3,8,1
13,utopian,0,4,7,1
14,conditions,0,4,10,1
15,marketplace,0,4,11,1
16,One,0,2,3,0
17,involves,0,0,8,0
18,instantaneous,0,6,13,1
19,knowledge,0,3,9,1
20,market,0,2,6,0
21,prices,0,0,6,0
22,utilities,0,0,9,0
23,cost,0,1,4,0
24,functions,0,3,9,1
25,involves,0,0,8,0
26,selling,0,2,7,0
27,customer,0,3,8,1
28,good,0,2,4,0
29,per,0,1,3,0
30,individual,0,5,10,1
31,willingness,1,3,11,1
32,pay,0,1,3,0
33,Well,0,1,4,0
34,called,0,0,6,0
35,utopian,0,4,7,1
36,conditions,0,4,10,1
37,impossibilities,0,0,15,0
38,made,0,2,4,0
39,realities,0,0,9,0
40,due,0,2,3,0
41,Big,0,1,3,0
42,Data,0,2,4,0
43,Analytics,0,3,9,1
44,Big,0,1,3,0
45,Data,0,2,4,0
46,Analytics,0,3,9,1
47,perfect,1,2,7,0
48,couple,0,3,6,1
49,statisticians,0,5,13,1
50,often,0,2,5,0
51,refer,0,2,5,0
52,sample,0,2,6,0
53,size,0,2,4,0
54,number,0,2,6,0
55,people,0,3,6,1
56,used,0,0,4,0
57,estimate,0,4,8,1
58,model,0,2,5,0
59,believe,0,4,7,1
60,sample,0,2,6,0
61,size,0,2,4,0
62,tends,0,1,5,0
63,larger,0,2,6,0
64,number,0,2,6,0
65,eventually,0,4,10,1
66,gives,0,0,5,0
67,better,0,2,6,0
68,estimate,0,4,8,1
69,Big,0,1,3,0
70,Data,0,2,4,0
71,increasing,0,4,10,1
72,sample,0,2,6,0
73,size,0,2,4,0
74,make,0,2,4,0
75,precise,1,3,7,1
76,model,0,2,5,0
77,applies,0,0,7,0
78,every,0,2,5,0
79,case,0,2,4,0
80,Marketing,0,3,9,1
81,sales,0,0,5,0
82,areas,0,3,5,1
83,revolutionizing,0,7,15,1
84,existing,0,3,8,1
85,structures,0,0,10,0
86,make,0,2,4,0
87,consumer,0,3,8,1
88,pleasing,1,3,8,1
89,platform,0,2,8,0
90,domain,0,3,6,1
91,Marketing,0,3,9,1
92,4,0,0,1,0
93,P,0,0,1,0
94,price,0,2,5,0
95,product,0,2,7,0
96,place,0,2,5,0
97,promotion,0,4,9,1
98,infusion,0,4,8,1
99,Big,0,1,3,0
100,Data,0,2,4,0
101,enhanced,1,0,8,0
102,dynamics,0,2,8,0
103,ways,0,1,4,0
104,imagined,0,0,8,0
105,ten,0,1,3,0
106,years,0,2,5,0
107,ago,0,2,3,0
108,Sellers,0,2,7,0
109,personalized,1,0,12,0
110,information,0,5,11,1
111,buyers,0,2,6,0
112,using,0,2,5,0
113,information,0,5,11,1
114,infer,0,2,5,0
115,maximum,0,3,7,1
116,price,0,2,5,0
117,buyer,0,2,5,0
118,ready,0,2,5,0
119,give,0,2,4,0
120,leading,1,3,7,1
121,somewhat,0,3,8,1
122,first,0,1,5,0
123,degree,0,3,6,1
124,price,0,2,5,0
125,discrimination,-1,6,14,1
126,Big,0,1,3,0
127,Data,0,2,4,0
128,changed,0,0,7,0
129,domain,0,3,6,1
130,pricing,0,2,7,0
131,decisions,0,4,9,1
132,know,0,1,4,0
133,unit,0,2,4,0
134,percent,0,2,7,0
135,increase,0,4,8,1
136,price,0,2,5,0
137,product,0,2,7,0
138,could,0,2,5,0
139,boost,1,2,5,0
140,profits,0,2,7,0
141,approximate,0,5,11,1
142,8,0,0,1,0
143,7,0,0,1,0
144,percent,0,2,7,0
145,without,0,3,7,1
146,losing,-1,2,6,0
147,volume,0,3,6,1
148,much,0,1,4,0
149,consumer,0,3,8,1
150,willing,0,2,7,0
151,pay,0,1,3,0
152,estimated,0,0,9,0
153,using,0,2,5,0
154,model,0,2,5,0
155,generated,0,0,9,0
156,usage,0,3,5,1
157,Big,0,1,3,0
158,Data,0,2,4,0
159,called,0,0,6,0
160,Price,0,2,5,0
161,Optimisation,0,6,12,1
162,Imagine,0,4,7,1
163,getting,0,2,7,0
164,predicted,0,0,9,0
165,hurricane,0,4,9,1
166,alert,0,2,5,0
167,week,0,2,4,0
168,General,0,3,7,1
169,Store,0,2,5,0
170,Manager,0,3,7,1
171,products,0,2,8,0
172,would,0,2,5,0
173,stock,0,1,5,0
174,shop,0,1,4,0
175,emergency,-1,3,9,1
176,goods,0,2,5,0
177,like,0,2,4,0
178,flashlights,0,2,11,0
179,batteries,0,0,9,0
180,toiletries,0,0,10,0
181,radios,0,3,6,1
182,aid,0,2,3,0
183,kits,0,1,4,0
184,Strawberry,0,2,10,0
185,Poptarts,0,2,8,0
186,Yes,0,0,3,0
187,precisely,1,3,9,1
188,Walmart,0,2,7,0
189,stocked,0,0,7,0
190,Strawberry,0,2,10,0
191,Poptarts,0,2,8,0
192,Using,0,2,5,0
193,petabytes,0,0,9,0
194,data,0,2,4,0
195,generates,0,0,9,0
196,every,0,2,5,0
197,hour,0,2,4,0
198,made,0,2,4,0
199,predictive,0,4,10,1
200,analysis,0,3,8,1
201,previous,0,4,8,1
202,data,0,2,4,0
203,discern,0,2,7,0
204,sales,0,0,5,0
205,Poptarts,0,2,8,0
206,increased,0,0,9,0
207,multifold,0,3,9,1
208,hurricane,0,4,9,1
209,forecast,0,3,8,1
210,Stores,0,0,6,0
211,find,0,1,4,0
212,patterns,0,2,8,0
213,using,0,2,5,0
214,database,0,4,8,1
215,create,0,3,6,1
216,sales,0,0,5,0
217,predictions,0,4,11,1
218,Product,0,2,7,0
219,placement,0,3,9,1
220,optimized,0,0,9,0
221,using,0,2,5,0
222,analytics,0,3,9,1
223,figuring,0,3,8,1
224,products,0,2,8,0
225,people,0,3,6,1
226,buy,0,1,3,0
227,specific,0,3,8,1
228,type,0,1,4,0
229,good,0,2,4,0
230,keeping,0,3,7,1
231,together,0,3,8,1
232,increases,0,0,9,0
233,units,0,2,5,0
234,per,0,1,3,0
235,transaction,0,4,11,1
236,UPT,0,1,3,0
237,Ever,0,2,4,0
238,wondered,0,0,8,0
239,went,0,1,4,0
240,trip,0,1,4,0
241,humid,-1,2,5,0
242,place,0,2,5,0
243,product,0,2,7,0
244,advertisement,0,5,13,1
245,anti,0,2,4,0
246,frizzy,0,1,6,0
247,hair,0,2,4,0
248,shampoo,0,3,7,1
249,Weather,0,3,7,1
250,Channel,0,2,7,0
251,predict,0,2,7,0
252,weather,0,3,7,1
253,predicts,0,2,8,0
254,kind,0,1,4,0
255,sales,0,0,5,0
256,would,0,2,5,0
257,increase,0,4,8,1
258,decrease,0,4,8,1
259,due,0,2,3,0
260,weather,0,3,7,1
261,season,0,3,6,1
262,change,0,2,6,0
263,thereby,0,2,7,0
264,able,0,2,4,0
265,promote,0,3,7,1
266,according,0,3,9,1
267,location,0,4,8,1
268,enabling,0,3,8,1
269,big,0,1,3,0
270,data,0,2,4,0
271,analysis,0,3,8,1
272,domain,0,3,6,1
273,place,0,2,5,0
274,allocation,0,5,10,1
275,father,0,2,6,0
276,teenage,0,4,7,1
277,girl,0,1,4,0
278,found,0,2,5,0
279,baby,0,1,4,0
280,vouchers,0,3,8,1
281,crib,0,1,4,0
282,discounts,0,3,9,1
283,mailed,0,0,6,0
284,name,0,2,4,0
285,Target,0,2,6,0
286,departmental,0,4,12,1
287,store,0,2,5,0
288,United,0,0,6,0
289,States,0,0,6,0
290,America,0,4,7,1
291,Unsuspectingly,0,4,14,1
292,accused,0,0,7,0
293,Target,0,2,6,0
294,putting,0,2,7,0
295,wrong,-1,1,5,0
296,ideas,0,3,5,1
297,daughter,0,3,8,1
298,head,0,2,4,0
299,actuality,0,4,9,1
300,girl,0,1,4,0
301,upcoming,0,3,8,1
302,baby,0,1,4,0
303,store,0,2,5,0
304,made,0,2,4,0
305,predictions,0,4,11,1
306,pregnancy,0,2,9,0
307,using,0,2,5,0
