,Token,Score,Syllable_Count,Word_length,IsComplex
0,Reconciling,0,4,11,1
1,financial,0,4,9,1
2,realities,0,0,9,0
3,MBA,0,1,3,0
4,education,0,5,9,1
5,come,0,2,4,0
6,late,0,2,4,0
7,many,0,1,4,0
8,paper,0,2,5,0
9,thin,0,1,4,0
10,let,0,1,3,0
11,say,0,1,3,0
12,paper,0,2,5,0
13,money,0,2,5,0
14,thin,0,1,4,0
15,difference,0,4,10,1
16,tight,0,1,5,0
17,budget,0,2,6,0
18,seriously,0,4,9,1
19,stretched,0,0,9,0
20,thin,0,1,4,0
21,money,0,2,5,0
22,Dangerously,0,4,11,1
23,enough,0,3,6,1
24,month,0,1,5,0
25,MBA,0,1,3,0
26,treading,0,3,8,1
27,prospect,0,2,8,0
28,latter,0,2,6,0
29,struck,0,1,6,0
30,could,0,2,5,0
31,find,0,1,4,0
32,savior,1,3,6,1
33,uncle,0,2,5,0
34,lived,0,0,5,0
35,San,0,1,3,0
36,Jose,0,2,4,0
37,type,0,1,4,0
38,always,0,2,6,0
39,saved,0,0,5,0
40,rainy,0,2,5,0
41,day,0,1,3,0
42,online,0,3,6,1
43,payment,0,2,7,0
44,avowedly,0,3,8,1
45,ubiquitous,0,6,10,1
46,simple,0,2,6,0
47,seemed,0,0,6,0
48,like,0,2,4,0
49,brainer,0,3,7,1
50,One,0,2,3,0
51,tap,0,1,3,0
52,app,0,1,3,0
53,would,0,2,5,0
54,rid,0,1,3,0
55,predicament,-1,4,11,1
56,found,0,2,5,0
57,Quickly,0,2,7,0
58,enough,0,3,6,1
59,initiated,0,0,9,0
60,fund,0,1,4,0
61,transfer,0,2,8,0
62,Xoom,0,2,4,0
63,PayPal,0,2,6,0
64,service,0,3,7,1
65,dismayed,-1,0,8,0
66,learn,0,2,5,0
67,would,0,2,5,0
68,take,0,2,4,0
69,days,0,1,4,0
70,money,0,2,5,0
71,finally,0,2,7,0
72,reach,0,2,5,0
73,One,0,2,3,0
74,would,0,2,5,0
75,believe,0,4,7,1
76,era,0,2,3,0
77,globalization,0,6,13,1
78,high,0,1,4,0
79,speed,0,0,5,0
80,internet,0,3,8,1
81,payments,0,2,8,0
82,would,0,2,5,0
83,fulfilled,0,0,9,0
84,trice,0,2,5,0
85,contrary,0,2,8,0
86,expectations,0,5,12,1
87,learned,0,0,7,0
88,cross,0,1,5,0
89,border,0,2,6,0
90,payments,0,2,8,0
91,subject,0,2,7,0
92,numerous,0,4,8,1
93,go,0,1,2,0
94,betweens,0,3,8,1
95,channels,0,2,8,0
96,rendering,0,3,9,1
97,behindhand,0,3,10,1
98,especially,0,4,10,1
99,parts,0,1,5,0
100,word,0,1,4,0
101,complex,-1,2,7,0
102,series,0,0,6,0
103,interactions,0,5,12,1
104,involving,0,3,9,1
105,banks,0,1,5,0
106,merchants,0,2,9,0
107,parties,0,0,7,0
108,underlie,0,4,8,1
109,seemingly,0,3,9,1
110,non,0,1,3,0
111,complex,-1,2,7,0
112,act,0,1,3,0
113,initiating,0,5,10,1
114,payment,0,2,7,0
115,user,0,2,4,0
116,friendly,1,2,8,0
117,quick,0,2,5,0
118,Interfaces,0,0,10,0
119,Anyone,0,3,6,1
120,transferred,0,0,11,0
121,money,0,2,5,0
122,countries,0,0,9,0
123,recently,0,2,8,0
124,realizes,0,0,8,0
125,process,0,2,7,0
126,evolved,0,0,7,0
127,decades,0,0,7,0
128,slow,-1,1,4,0
129,untrustworthy,-1,3,13,1
130,expensive,-1,4,9,1
131,gripes,-1,0,6,0
132,us,0,1,2,0
133,become,0,3,6,1
134,plugged,0,0,7,0
135,globalized,0,0,10,0
136,economy,0,3,7,1
137,scale,0,2,5,0
138,problem,-1,2,7,0
139,surely,0,2,6,0
140,going,0,2,5,0
141,skyrocket,0,2,9,0
142,begs,0,1,4,0
143,need,0,0,4,0
144,21st,0,0,4,0
145,century,0,2,7,0
146,digital,0,3,7,1
147,solution,0,4,8,1
148,cross,0,1,5,0
149,border,0,2,6,0
150,payments,0,2,8,0
151,could,0,2,5,0
152,faster,1,2,6,0
153,less,0,1,4,0
154,expensive,-1,4,9,1
155,reliable,1,4,8,1
156,transparent,1,3,11,1
157,chink,0,1,5,0
158,armor,0,2,5,0
159,Global,0,2,6,0
160,Businesses,0,0,10,0
161,Consider,0,3,8,1
162,case,0,2,4,0
163,Ashok,0,2,5,0
164,Chandra,0,2,7,0
165,mid,0,1,3,0
166,tier,0,2,4,0
167,textile,0,3,7,1
168,exporter,0,3,8,1
169,business,0,3,8,1
170,entails,0,3,7,1
171,frequent,0,3,8,1
172,wire,0,2,4,0
173,transfers,0,2,9,0
174,Dubai,0,3,5,1
175,Indonesia,0,5,9,1
176,wire,0,2,4,0
177,transfers,0,2,9,0
178,take,0,2,4,0
179,3,0,0,1,0
180,days,0,1,4,0
181,causing,0,3,7,1
182,Mr,0,0,2,0
183,Chandra,0,2,7,0
184,worry,-1,1,5,0
185,delays,-1,2,6,0
186,addition,0,4,8,1
187,working,0,2,7,0
188,capital,0,3,7,1
189,constraints,0,3,11,1
190,feels,0,2,5,0
191,left,0,1,4,0
192,dark,-1,1,4,0
193,regarding,0,3,9,1
194,standing,0,2,8,0
195,dealing,0,3,7,1
196,pocket,0,2,6,0
197,high,0,1,4,0
198,fees,0,0,4,0
199,wire,0,2,4,0
200,transfers,0,2,9,0
201,often,0,2,5,0
202,major,0,2,5,0
