,Token,Score,Syllable_Count,Word_length,IsComplex
0,Disruption,-1,4,10,1
1,Fintech,0,2,7,0
2,Lightning,0,2,9,0
3,Network,0,2,7,0
4,Blockchain,0,3,10,1
5,Distributed,0,0,11,0
6,Ledger,0,2,6,0
7,Technology,0,3,10,1
8,already,0,3,7,1
9,around,0,3,6,1
10,time,0,2,4,0
11,Cryptocurrencies,0,0,16,0
12,like,0,2,4,0
13,Bitcoin,0,3,7,1
14,based,0,0,5,0
15,Blockchain,0,3,10,1
16,technology,0,3,10,1
17,making,0,2,6,0
18,entry,0,1,5,0
19,formal,0,2,6,0
20,finance,0,3,7,1
21,world,0,1,5,0
22,increasingly,0,4,12,1
23,becoming,0,3,8,1
24,medium,0,3,6,1
25,exchange,0,3,8,1
26,Though,0,2,6,0
27,potential,0,4,9,1
28,use,0,2,3,0
29,cases,0,0,5,0
30,Cryptocurrencies,0,0,16,0
31,Indian,0,3,6,1
32,Government,0,3,10,1
33,critical,-1,3,8,1
34,implementing,0,4,12,1
35,technology,0,3,10,1
36,banking,0,2,7,0
37,finance,0,3,7,1
38,lot,0,1,3,0
39,issues,-1,0,6,0
40,resolved,0,0,8,0
41,commercially,0,4,12,1
42,use,0,2,3,0
43,transactions,0,4,12,1
44,important,1,3,9,1
45,drawbacks,-1,2,9,0
46,Cryptocurrencies,0,0,16,0
47,like,0,2,4,0
48,Bitcoin,0,3,7,1
49,right,0,1,5,0
50,Scalability,0,4,11,1
51,Bitcoin,0,3,7,1
52,7,0,0,1,0
53,transactions,0,4,12,1
54,per,0,1,3,0
55,compared,0,0,8,0
56,47,0,0,2,0
57,000,0,0,3,0
58,payment,0,2,7,0
59,network,0,2,7,0
60,giants,0,2,6,0
61,like,0,2,4,0
62,Visa,0,2,4,0
63,block,0,1,5,0
64,limit,-1,2,5,0
65,1MB,0,0,3,0
66,amounts,0,3,7,1
67,8GBs,0,0,4,0
68,per,0,1,3,0
69,10,0,0,2,0
70,min,0,1,3,0
71,Bitcoin,0,3,7,1
72,block,0,1,5,0
73,match,0,1,5,0
74,47,0,0,2,0
75,000,0,0,3,0
76,transactions,0,4,12,1
77,per,0,1,3,0
78,second,0,2,6,0
79,essentially,0,4,11,1
80,means,0,2,5,0
81,home,0,2,4,0
82,computers,0,3,9,1
83,cannot,0,2,6,0
84,process,0,2,7,0
85,currently,0,2,9,0
86,limited,-1,0,7,0
87,use,0,2,3,0
88,cases,0,0,5,0
89,transactions,0,4,12,1
90,requiring,0,4,9,1
91,devices,0,0,7,0
92,high,0,1,4,0
93,computational,0,6,13,1
94,power,0,2,5,0
95,Centralization,0,6,14,1
96,High,0,1,4,0
97,computation,0,5,11,1
98,power,0,2,5,0
99,requirement,0,5,11,1
100,would,0,2,5,0
101,limit,-1,2,5,0
102,usage,0,3,5,1
103,network,0,2,7,0
104,afford,1,2,6,0
105,eventually,0,4,10,1
106,lead,1,2,4,0
107,fewer,0,2,5,0
108,validations,0,5,11,1
109,Distributed,0,0,11,0
110,Ledger,0,2,6,0
111,defeating,1,4,9,1
112,whole,0,2,5,0
113,purpose,0,3,7,1
114,using,0,2,5,0
