,Token,Score,Syllable_Count,Word_length,IsComplex
0,Analytics,0,3,9,1
1,statistical,0,4,11,1
2,scientific,0,4,10,1
3,process,0,2,7,0
4,discovering,0,4,11,1
5,presenting,0,3,10,1
6,meaningful,1,4,10,1
7,patterns,0,2,8,0
8,found,0,2,5,0
9,data,0,2,4,0
10,business,0,3,8,1
11,analytics,0,3,9,1
12,refers,0,2,6,0
13,skills,0,1,6,0
14,technologies,0,0,12,0
15,applications,0,5,12,1
16,practices,0,0,9,0
17,computer,0,3,8,1
18,programming,0,3,11,1
19,operations,0,5,10,1
20,research,0,3,8,1
21,continuous,0,5,10,1
22,exploration,0,5,11,1
23,data,0,2,4,0
24,gain,1,2,4,0
25,insight,0,2,7,0
26,drives,0,0,6,0
27,business,0,3,8,1
28,decisions,0,4,9,1
29,Business,0,3,8,1
30,analytics,0,3,9,1
31,technology,0,3,10,1
32,helping,1,2,7,0
33,healthcare,0,4,10,1
34,organizations,0,6,13,1
35,regulate,0,4,8,1
36,existing,0,3,8,1
37,data,0,2,4,0
38,improve,1,3,7,1
39,clinical,0,3,8,1
40,business,0,3,8,1
41,operations,0,5,10,1
42,addition,0,4,8,1
43,analytics,0,3,9,1
44,help,0,1,4,0
45,identify,0,3,8,1
46,symptoms,-1,1,8,0
47,diseases,0,0,8,0
48,preliminary,0,4,11,1
49,stages,0,0,6,0
50,along,0,2,5,0
51,suggesting,0,3,10,1
52,possible,0,3,8,1
53,remedies,0,0,8,0
54,without,0,3,7,1
55,need,0,0,4,0
56,intervention,0,5,12,1
57,human,0,2,5,0
58,help,0,1,4,0
59,analytics,0,3,9,1
60,chatbots,0,2,8,0
61,patient,1,3,7,1
62,look,0,2,4,0
63,expert,0,2,6,0
64,doctor,0,2,6,0
65,advice,0,3,6,1
66,comfort,1,2,7,0
67,home,0,2,4,0
68,free,0,2,4,0
69,charge,0,2,6,0
70,cases,0,0,5,0
71,easy,1,2,4,0
72,accessibility,0,5,13,1
73,one,0,2,3,0
74,touch,0,2,5,0
75,smartphones,0,0,11,0
76,According,0,3,9,1
77,survey,0,2,6,0
78,conducted,0,0,9,0
79,Health,0,2,6,0
80,Catalyst,0,2,8,0
81,whopping,0,2,8,0
82,90,0,0,2,0
83,respondents,0,3,11,1
84,admitted,0,0,8,0
85,analytics,0,3,9,1
86,going,0,2,5,0
87,either,0,3,6,1
88,extremely,0,3,9,1
89,important,1,3,9,1
90,important,1,3,9,1
91,organization,0,6,12,1
92,within,0,2,6,0
93,next,0,1,4,0
94,years,0,2,5,0
95,respondents,0,3,11,1
96,also,0,2,4,0
97,rated,0,0,5,0
