,Token,Score,Syllable_Count,Word_length,IsComplex
0,mentioned,0,0,9,0
1,facts,0,1,5,0
2,state,0,2,5,0
3,importance,0,4,10,1
4,Business,0,3,8,1
5,Analytics,0,3,9,1
6,market,0,2,6,0
7,Company,0,2,7,0
8,perspective,0,4,11,1
9,would,0,2,5,0
10,Consultant,0,3,10,1
11,propose,0,3,7,1
12,client,0,2,6,0
13,could,0,2,5,0
14,done,0,2,4,0
15,apart,0,2,5,0
16,existing,0,3,8,1
17,procedures,0,0,10,0
18,operation,0,5,9,1
19,firms,0,1,5,0
20,market,0,2,6,0
21,assignment,0,3,10,1
22,deals,0,2,5,0
23,specifically,0,4,12,1
24,Textile,0,3,7,1
25,industry,0,2,8,0
26,related,0,0,7,0
27,Apparel,0,3,7,1
28,segment,0,2,7,0
29,involved,0,0,8,0
30,opted,0,0,5,0
31,firm,0,1,4,0
32,Raymond,0,2,7,0
33,Limited,-1,0,7,0
34,tells,0,1,5,0
35,particular,0,4,10,1
36,firm,0,1,4,0
37,market,0,2,6,0
38,giant,0,2,5,0
39,employed,0,0,8,0
40,several,0,3,7,1
41,meaningful,1,4,10,1
42,necessary,0,3,9,1
43,techniques,0,0,10,0
44,thereby,0,2,7,0
45,resulted,0,0,8,0
46,betterment,0,3,10,1
47,firm,0,1,4,0
48,result,0,2,6,0
49,textile,0,3,7,1
50,retail,0,3,6,1
51,segment,0,2,7,0
52,touching,0,3,8,1
53,greater,0,3,7,1
54,heights,0,2,7,0
55,Business,0,3,8,1
56,Analytics,0,3,9,1
57,involves,0,0,8,0
58,various,0,4,7,1
59,techniques,0,0,10,0
60,accuracy,0,3,8,1
61,precise,1,3,7,1
62,output,0,3,6,1
63,based,0,0,5,0
64,data,0,2,4,0
65,generated,0,0,9,0
66,firm,0,1,4,0
67,thereby,0,2,7,0
68,allowing,0,3,8,1
69,firm,0,1,4,0
70,strengthen,0,2,10,0
71,roots,0,2,5,0
72,future,0,3,6,1
73,endeavors,0,4,9,1
74,INTRODUCTION,0,5,12,1
75,change,0,2,6,0
76,technology,0,3,10,1
77,automation,0,6,10,1
78,type,0,1,4,0
79,material,0,4,8,1
80,used,0,0,4,0
81,techniques,0,0,10,0
82,used,0,0,4,0
83,different,0,3,9,1
84,type,0,1,4,0
85,clothes,0,0,7,0
86,produced,0,0,8,0
87,TEXTILE,0,3,7,1
88,INDUSTRY,0,2,8,0
89,industry,0,2,8,0
90,includes,0,0,8,0
91,manufacturing,0,5,13,1
92,materials,0,4,9,1
93,like,0,2,4,0
94,yarn,0,1,4,0
95,fabric,0,2,6,0
96,clothing,0,2,8,0
97,undergoing,0,4,10,1
98,rapid,1,2,5,0
99,changes,0,0,7,0
100,significant,1,4,11,1
101,growth,0,1,6,0
102,Raymond,0,2,7,0
103,diversified,1,0,11,0
104,group,0,2,5,0
105,business,0,3,8,1
106,reach,0,2,5,0
107,Textile,0,3,7,1
108,Apparel,0,3,7,1
109,sector,0,2,6,0
110,besides,0,0,7,0
111,segments,0,2,8,0
112,like,0,2,4,0
113,FMCG,0,0,4,0
114,Engineering,0,5,11,1
115,Prophylactics,0,3,13,1
116,world,0,1,5,0
117,market,0,2,6,0
118,brand,0,1,5,0
119,delivering,0,4,10,1
120,world,0,1,5,0
121,quality,0,3,7,1
122,products,0,2,8,0
123,since,0,2,5,0
124,past,0,1,4,0
125,decades,0,0,7,0
126,established,0,0,11,0
127,dominance,0,4,9,1
128,Textiles,0,0,8,0
129,Raymond,0,2,7,0
130,aggressive,-1,4,10,1
131,player,0,2,6,0
132,ready,0,2,5,0
133,wear,0,2,4,0
134,apparel,0,3,7,1
135,segment,0,2,7,0
136,renowned,1,0,8,0
137,brands,0,1,6,0
138,basket,0,2,6,0
139,industry,0,2,8,0
140,changing,0,2,8,0
141,fast,0,1,4,0
142,pace,0,2,4,0
143,includes,0,0,8,0
