,Token,Score,Syllable_Count,Word_length,IsComplex
0,era,0,2,3,0
1,everyone,0,4,8,1
2,busy,0,1,4,0
3,life,0,2,4,0
4,spares,0,0,6,0
5,time,0,2,4,0
6,someone,0,4,7,1
7,robots,0,2,6,0
8,tackle,0,2,6,0
9,life,0,2,4,0
10,loneliness,-1,4,10,1
11,time,0,2,4,0
12,stand,0,1,5,0
13,stare,0,2,5,0
14,causes,0,0,6,0
15,loneliness,-1,4,10,1
16,Loneliness,-1,4,10,1
17,due,0,2,3,0
18,fast,0,1,4,0
19,moving,0,2,6,0
20,life,0,2,4,0
21,hurry,0,1,5,0
22,worry,-1,1,5,0
23,21st,0,0,4,0
24,century,0,2,7,0
25,everyone,0,4,8,1
26,spending,0,2,8,0
27,time,0,2,4,0
28,earning,0,3,7,1
29,money,0,2,5,0
30,day,0,1,3,0
31,day,0,1,3,0
32,transforming,0,3,12,1
33,money,0,2,5,0
34,earning,0,3,7,1
35,machines,0,0,8,0
36,Due,0,2,3,0
37,perception,0,4,10,1
38,losing,-1,2,6,0
39,relations,0,4,9,1
40,give,0,2,4,0
41,enough,0,3,6,1
42,time,0,2,4,0
43,families,0,0,8,0
44,busy,0,1,4,0
45,earning,0,3,7,1
46,livelihood,0,5,10,1
47,never,0,2,5,0
48,get,0,1,3,0
49,satisfies,1,0,9,0
50,always,0,2,6,0
51,want,0,1,4,0
52,Everyone,0,4,8,1
53,race,0,2,4,0
54,earning,0,3,7,1
55,sends,0,1,5,0
56,children,0,2,8,0
57,far,0,1,3,0
58,away,0,2,4,0
59,make,0,2,4,0
60,well,0,1,4,0
61,settled,0,0,7,0
62,order,0,2,5,0
63,maintain,0,4,8,1
64,status,0,2,6,0
65,faces,0,0,5,0
66,consequences,0,0,12,0
67,kind,0,1,4,0
68,lifestyle,0,3,9,1
69,old,0,1,3,0
70,age,0,2,3,0
71,People,0,3,6,1
72,usually,0,3,7,1
73,spend,0,1,5,0
74,time,0,2,4,0
75,children,0,2,8,0
76,children,0,2,8,0
77,childhood,0,3,9,1
78,yearn,0,2,5,0
79,company,0,2,7,0
80,children,0,2,8,0
81,old,0,1,3,0
82,age,0,2,3,0
83,feel,0,2,4,0
84,lonely,-1,2,6,0
85,none,0,2,4,0
86,talk,0,1,4,0
87,attached,0,0,8,0
88,people,0,3,6,1
89,places,0,0,6,0
90,belongings,0,3,10,1
91,memorable,1,4,9,1
92,events,0,2,6,0
93,past,0,1,4,0
94,although,0,3,8,1
95,understand,0,3,10,1
96,life,0,2,4,0
97,cannot,0,2,6,0
98,continue,0,4,8,1
99,earlier,0,4,7,1
100,easily,0,3,6,1
101,result,0,2,6,0
102,feelings,0,3,8,1
103,loneliness,-1,4,10,1
104,social,0,3,6,1
105,isolation,-1,5,9,1
106,become,0,3,6,1
107,older,0,2,5,0
108,need,0,0,4,0
109,attended,0,0,8,0
110,order,0,2,5,0
111,meet,0,2,4,0
112,daily,0,2,5,0
113,needs,0,2,5,0
114,Robots,0,2,6,0
115,indeed,0,0,6,0
116,serve,0,2,5,0
117,purpose,0,3,7,1
118,aid,0,2,3,0
119,mechanical,0,4,10,1
120,care,0,2,4,0
121,emotionless,0,5,11,1
122,feeling,0,3,7,1
123,fewer,0,2,5,0
124,entities,0,0,8,0
125,Robots,0,2,6,0
126,creative,1,4,8,1
127,work,1,1,4,0
128,according,0,3,9,1
129,pre,0,1,3,0
130,programmed,0,0,10,0
131,system,0,1,6,0
132,till,0,1,4,0
133,software,0,3,8,1
134,created,0,0,7,0
135,transfer,0,2,8,0
136,human,0,2,5,0
137,feelings,0,3,8,1
138,robots,0,2,6,0
139,major,0,2,5,0
140,loophole,-1,4,8,1
141,using,0,2,5,0
142,robots,0,2,6,0
143,tackle,0,2,6,0
144,late,0,2,4,0
145,life,0,2,4,0
146,loneliness,-1,4,10,1
147,undoubtedly,0,4,11,1
148,serve,0,2,5,0
149,masters,0,2,7,0
150,masters,0,2,7,0
151,share,0,2,5,0
152,feelings,0,3,8,1
153,incapable,-1,4,9,1
154,understand,0,3,10,1
155,react,0,2,5,0
156,change,0,2,6,0
157,activity,0,3,8,1
158,according,0,3,9,1
159,occasion,0,4,8,1
160,provide,0,3,7,1
161,anything,0,2,8,0
162,except,0,2,6,0
163,emotional,0,5,9,1
164,satisfaction,0,5,12,1
165,without,0,3,7,1
166,emotional,0,5,9,1
167,gratification,1,6,13,1
168,loneliness,-1,4,10,1
169,tackled,0,0,7,0
170,master,1,2,6,0
171,attached,0,0,8,0
172,robot,0,2,5,0
173,attachment,0,3,10,1
174,due,0,2,3,0
175,service,0,3,7,1
176,share,0,2,5,0
177,thoughts,0,2,8,0
178,era,0,2,3,0
179,rendered,0,0,8,0
180,lonely,-1,2,6,0
181,late,0,2,4,0
182,life,0,2,4,0
183,feel,0,2,4,0
184,need,0,0,4,0
185,companion,0,4,9,1
186,talk,0,1,4,0
187,feel,0,2,4,0
188,need,0,0,4,0
189,someone,0,4,7,1
190,listen,0,2,6,0
191,us,0,1,2,0
192,react,0,2,5,0
193,advise,0,3,6,1
194,us,0,1,2,0
195,tackle,0,2,6,0
196,day,0,1,3,0
197,day,0,1,3,0
198,life,0,2,4,0
199,problems,-1,2,8,0
200,find,0,1,4,0
201,one,0,2,3,0
202,undoubtedly,0,4,11,1
203,achieved,0,0,8,0
204,great,1,2,5,0
205,progress,1,2,8,0
206,terms,0,1,5,0
207,technology,0,3,10,1
208,never,0,2,5,0
209,fill,0,1,4,0
210,void,0,2,4,0
211,heart,0,2,5,0
212,person,0,2,6,0
213,struggling,-1,2,10,0
214,late,0,2,4,0
215,life,0,2,4,0
216,loneliness,-1,4,10,1
217,advancements,0,4,12,1
218,kind,0,1,4,0
219,mental,0,2,6,0
220,trance,0,2,6,0
221,experience,0,5,10,1
222,fame,1,2,4,0
223,progress,1,2,8,0
224,wealth,0,2,6,0
225,etc,0,1,3,0
226,gain,1,2,4,0
227,consciousness,0,5,13,1
228,find,0,1,4,0
229,lonely,-1,2,6,0
230,world,0,1,5,0
231,Relations,0,4,9,1
232,life,0,2,4,0
233,actual,0,3,6,1
234,wealth,0,2,6,0
235,person,0,2,6,0
236,life,0,2,4,0
237,never,0,2,5,0
238,enjoy,1,2,5,0
239,bond,0,1,4,0
240,robot,0,2,5,0
241,follow,0,2,6,0
242,commands,0,2,8,0
243,take,0,2,4,0
244,appropriate,0,5,11,1
245,care,0,2,4,0
246,react,0,2,5,0
247,emotions,0,4,8,1
248,console,0,3,7,1
249,us,0,1,2,0
250,man,0,1,3,0
251,lives,0,0,5,0
252,loneliness,-1,4,10,1
253,long,0,1,4,0
254,time,0,2,4,0
255,eats,0,2,4,0
256,conscience,0,4,10,1
257,transforms,0,2,10,0
258,machine,0,3,7,1
259,Robots,0,2,6,0
260,never,0,2,5,0
261,become,0,3,6,1
262,friends,0,2,7,0
263,crack,-1,1,5,0
264,jokes,0,0,5,0
265,weep,-1,2,4,0
266,tears,0,2,5,0
267,establish,0,3,9,1
268,emotional,0,5,9,1
269,connection,0,4,10,1
270,us,0,1,2,0
271,understand,0,3,10,1
272,feelings,0,3,8,1
273,Many,0,1,4,0
274,people,0,3,6,1
275,go,0,1,2,0
276,depression,-1,4,10,1
277,Depression,-1,4,10,1
278,occurrence,0,4,10,1
279,depressive,0,4,10,1
280,symptoms,-1,1,8,0
281,prominent,1,3,9,1
282,condition,0,4,9,1
283,amongst,0,2,7,0
284,older,0,2,5,0
285,people,0,3,6,1
286,significant,1,4,11,1
287,impact,0,2,6,0
288,well,0,1,4,0
289,quality,0,3,7,1
290,life,0,2,4,0
291,remain,0,3,6,1
292,sick,-1,1,4,0
293,loneliness,-1,4,10,1
294,directly,0,2,8,0
295,impacts,0,2,7,0
296,longevity,0,3,9,1
297,Lonely,-1,2,6,0
298,people,0,3,6,1
299,often,0,2,5,0
300,think,0,1,5,0
301,longer,0,2,6,0
302,needed,0,0,6,0
303,world,0,1,5,0
304,thus,0,1,4,0
305,want,0,1,4,0
306,die,-1,2,3,0
307,impacts,0,2,7,0
308,mental,0,2,6,0
309,psychological,0,4,13,1
310,social,0,3,6,1
311,physical,0,2,8,0
312,health,0,2,6,0
313,Robots,0,2,6,0
314,prove,0,2,5,0
315,useless,-1,3,7,1
316,matters,0,2,7,0
317,provide,0,3,7,1
318,motivation,0,5,10,1
319,software,0,3,8,1
320,react,0,2,5,0
321,situation,0,5,9,1
322,know,0,1,4,0
323,anger,-1,2,5,0
324,happiness,1,3,9,1
325,sadness,-1,2,7,0
326,bring,0,1,5,0
327,food,0,2,4,0
328,master,1,2,6,0
329,hungry,0,1,6,0
330,commanded,0,0,9,0
331,even,0,2,4,0
332,offer,0,2,5,0
333,glass,0,1,5,0
334,water,0,2,5,0
335,man,0,1,3,0
336,living,0,2,6,0
337,without,0,3,7,1
338,relations,0,4,9,1
339,without,0,3,7,1
340,fellow,0,2,6,0
341,feeling,0,3,7,1
342,longer,0,2,6,0
343,remains,0,3,7,1
344,human,0,2,5,0
345,becomes,0,0,7,0
346,none,0,2,4,0
347,less,0,1,4,0
348,machine,0,3,7,1
349,due,0,2,3,0
350,loneliness,-1,4,10,1
351,becomes,0,0,7,0
352,mentally,0,2,8,0
353,ill,0,1,3,0
354,goes,0,0,4,0
355,condition,0,4,9,1
356,like,0,2,4,0
357,trauma,-1,3,6,1
358,longer,0,2,6,0
359,enjoys,1,2,6,0
360,nature,0,3,6,1
361,blessings,0,2,9,0
362,becomes,0,0,7,0
363,happy,1,1,5,0
364,sad,-1,1,3,0
365,loses,-1,0,5,0
366,ability,0,3,7,1
367,react,0,2,5,0
368,hence,0,2,5,0
369,act,0,1,3,0
370,dangerous,-1,4,9,1
371,situation,0,5,9,1
372,face,0,2,4,0
373,plethora,0,3,8,1
374,challenges,0,0,10,0
375,assisted,0,0,8,0
376,living,0,2,6,0
377,facilities,0,0,10,0
378,addressed,0,0,9,0
379,emotional,0,5,9,1
380,needs,0,2,5,0
381,neglected,-1,0,9,0
382,forcing,0,2,7,0
383,withdrawal,0,3,10,1
384,social,0,3,6,1
385,activities,0,0,10,0
386,Relations,0,4,9,1
387,life,0,2,4,0
388,interaction,0,5,11,1
389,fellow,0,2,6,0
390,beings,0,2,6,0
391,sharing,0,2,7,0
392,joy,0,1,3,0
393,happiness,1,3,9,1
394,fellow,0,2,6,0
395,feeling,0,3,7,1
396,make,0,2,4,0
397,man,0,1,3,0
398,mere,0,2,4,0
399,social,0,3,6,1
400,finally,0,2,7,0
401,human,0,2,5,0
402,Blackcoffer,0,3,11,1
403,Insights,0,2,8,0
404,22,0,0,2,0
405,Ishatpreet,0,4,10,1
406,Singh,0,1,5,0
407,IISER,0,3,5,1
408,Mohali,0,3,6,1
