,Token,Score,Syllable_Count,Word_length,IsComplex
0,word,0,1,4,0
1,leadership,0,4,10,1
2,bring,0,1,5,0
3,mind,0,1,4,0
4,variety,1,3,7,1
5,images,0,0,6,0
6,example,0,3,7,1
7,political,0,4,9,1
8,leader,0,3,6,1
9,pursuing,0,3,8,1
10,passionate,1,5,10,1
11,personal,0,3,8,1
12,cause,0,3,5,1
13,executive,0,5,9,1
14,developing,0,4,10,1
15,company,0,2,7,0
16,strategy,0,2,8,0
17,beat,0,2,4,0
18,competition,0,5,11,1
19,Leaders,0,3,7,1
20,help,0,1,4,0
21,others,0,2,6,0
22,right,0,1,5,0
23,things,0,1,6,0
24,set,0,1,3,0
25,direction,0,4,9,1
26,build,0,2,5,0
27,inspiring,1,3,9,1
28,vision,0,3,6,1
29,create,0,3,6,1
30,something,0,3,9,1
31,new,0,1,3,0
32,Leadership,0,4,10,1
33,mapping,0,2,7,0
34,need,0,0,4,0
35,go,0,1,2,0
36,win,1,1,3,0
37,team,0,2,4,0
38,organization,0,6,12,1
39,dynamic,1,2,7,0
40,exciting,1,3,8,1
41,inspiring,1,3,9,1
42,point,0,2,5,0
43,view,0,2,4,0
44,cannot,0,2,6,0
45,become,0,3,6,1
46,good,0,2,4,0
47,leader,0,3,6,1
48,without,0,3,7,1
49,technical,0,3,9,1
50,expertise,0,4,9,1
51,every,0,2,5,0
52,task,0,1,4,0
53,organization,0,6,12,1
54,required,0,0,8,0
55,lot,0,1,3,0
56,skills,0,1,6,0
57,knowledge,0,3,9,1
58,consistent,1,3,10,1
59,enthusiastic,1,5,12,1
60,patience,0,4,8,1
61,motivating,0,4,10,1
62,inspiring,1,3,9,1
63,industrious,1,5,11,1
64,critical,-1,3,8,1
65,thinking,0,2,8,0
66,basis,0,2,5,0
67,field,0,2,5,0
68,leader,0,3,6,1
69,ability,0,3,7,1
70,motivate,0,4,8,1
71,others,0,2,6,0
72,effective,1,4,9,1
73,oral,0,2,4,0
74,written,0,2,7,0
75,communication,0,6,13,1
76,critical,-1,3,8,1
77,thinking,0,2,8,0
78,skills,0,1,6,0
79,working,0,2,7,0
80,team,0,2,4,0
81,delegating,0,4,10,1
82,task,0,1,4,0
83,Good,0,2,4,0
84,leaders,0,3,7,1
85,abilities,0,0,9,0
86,wanted,0,0,6,0
87,create,0,3,6,1
88,future,0,3,6,1
89,leader,0,3,6,1
90,need,0,0,4,0
91,take,0,2,4,0
92,large,0,2,5,0
93,volume,0,3,6,1
94,information,0,5,11,1
95,take,0,2,4,0
96,essential,0,4,9,1
97,elements,0,3,8,1
98,define,0,3,6,1
99,core,0,2,4,0
100,problem,-1,2,7,0
101,solve,0,2,5,0
102,need,0,0,4,0
103,organize,0,4,8,1
104,team,0,2,4,0
105,solve,0,2,5,0
106,problems,-1,2,8,0
107,communicate,0,5,11,1
108,group,0,2,5,0
109,need,0,0,4,0
110,established,0,0,11,0
111,trust,1,1,5,0
112,group,0,2,5,0
113,use,0,2,3,0
114,trust,1,1,5,0
115,allow,0,2,5,0
116,team,0,2,4,0
117,accomplish,1,3,10,1
118,work,1,1,4,0
119,could,0,2,5,0
120,done,0,2,4,0
121,alone,0,3,5,1
122,Though,0,2,6,0
123,skills,0,1,6,0
124,would,0,2,5,0
125,sufficient,1,4,10,1
126,make,0,2,4,0
127,us,0,1,2,0
128,great,1,2,5,0
129,leader,0,3,6,1
130,excel,1,2,5,0
131,utilize,0,4,7,1
132,abilities,0,0,9,0
133,practice,0,3,8,1
134,need,0,0,4,0
135,lot,0,1,3,0
136,technical,0,3,9,1
137,expertise,0,4,9,1
138,particular,0,4,10,1
139,domain,0,3,6,1
140,example,0,3,7,1
141,Like,0,2,4,0
142,hospital,0,3,8,1
143,head,0,2,4,0
144,hospital,0,3,8,1
145,lead,1,2,4,0
146,people,0,3,6,1
147,rather,0,2,6,0
148,Doctor,0,2,6,0
149,hospital,0,3,8,1
150,would,0,2,5,0
151,become,0,3,6,1
152,worse,-1,2,5,0
153,point,0,2,5,0
154,person,0,2,6,0
155,fields,0,2,6,0
156,could,0,2,5,0
157,lead,1,2,4,0
158,understand,0,3,10,1
159,real,0,2,4,0
160,scenario,0,4,8,1
161,mechanism,0,3,9,1
162,hospital,0,3,8,1
163,functioning,0,4,11,1
164,would,0,2,5,0
165,understand,0,3,10,1
166,staff,0,1,5,0
167,patient,1,3,7,1
168,well,0,1,4,0
169,Hence,0,2,5,0
170,lead,1,2,4,0
171,hospital,0,3,8,1
172,Doctor,0,2,6,0
173,deserved,0,0,8,0
174,knows,0,1,5,0
175,field,0,2,5,0
176,lead,1,2,4,0
177,understand,0,3,10,1
178,real,0,2,4,0
179,scenario,0,4,8,1
180,leader,0,3,6,1
181,requires,0,0,8,0
182,technical,0,3,9,1
183,expertise,0,4,9,1
184,great,1,2,5,0
185,knowledge,0,3,9,1
186,understanding,0,4,13,1
187,organization,0,6,12,1
188,Every,0,2,5,0
189,person,0,2,6,0
190,want,0,1,4,0
191,become,0,3,6,1
192,leader,0,3,6,1
193,technical,0,3,9,1
194,expertise,0,4,9,1
195,organization,0,6,12,1
196,organization,0,6,12,1
197,would,0,2,5,0
198,run,0,1,3,0
199,smoothly,1,2,8,0
200,hence,0,2,5,0
201,nobody,0,2,6,0
202,could,0,2,5,0
203,run,0,1,3,0
204,organization,0,6,12,1
205,technical,0,3,9,1
206,expertise,0,4,9,1
207,field,0,2,5,0
208,leader,0,3,6,1
209,boss,0,1,4,0
210,makes,0,0,5,0
211,life,0,2,4,0
212,much,0,1,4,0
213,better,0,2,6,0
214,saying,0,2,6,0
215,good,0,2,4,0
216,objective,0,4,9,1
217,leadership,0,4,10,1
218,help,0,1,4,0
219,poorly,-1,2,6,0
220,well,0,1,4,0
221,help,0,1,4,0
222,well,0,1,4,0
223,even,0,2,4,0
224,better,0,2,6,0
225,Blackcoffer,0,3,11,1
226,Insights,0,2,8,0
227,20,0,0,2,0
228,Caldinus,0,3,8,1
229,Nongrang,0,2,8,0
230,NIT,0,1,3,0
231,Meghalaya,0,4,9,1
