,Token,Score,Syllable_Count,Word_length,IsComplex
0,Big,0,1,3,0
1,Data,0,2,4,0
2,begin,0,2,5,0
3,shall,0,1,5,0
4,like,0,2,4,0
5,explain,0,3,7,1
6,big,0,1,3,0
7,data,0,2,4,0
8,become,0,3,6,1
9,important,1,3,9,1
10,lives,0,0,5,0
11,Big,0,1,3,0
12,data,0,2,4,0
13,simply,0,1,6,0
14,data,0,2,4,0
15,huge,0,2,4,0
16,size,0,2,4,0
17,Data,0,2,4,0
18,voluminous,0,5,10,1
19,also,0,2,4,0
20,growing,0,2,7,0
21,exponentially,0,5,13,1
22,time,0,2,4,0
23,data,0,2,4,0
24,sets,0,1,4,0
25,large,0,2,5,0
26,complex,-1,2,7,0
27,possible,0,3,8,1
28,store,0,2,5,0
29,process,0,2,7,0
30,using,0,2,5,0
31,traditional,0,5,11,1
32,data,0,2,4,0
33,management,0,4,10,1
34,tools,0,2,5,0
35,huge,0,2,4,0
36,data,0,2,4,0
37,Social,0,3,6,1
38,media,0,3,5,1
39,sites,0,0,5,0
40,like,0,2,4,0
41,Facebook,0,4,8,1
42,generate,0,4,8,1
43,500,0,0,3,0
44,terabytes,0,0,9,0
45,data,0,2,4,0
46,every,0,2,5,0
47,day,0,1,3,0
48,form,0,1,4,0
49,photos,0,2,6,0
50,video,0,3,5,1
51,uploads,0,3,7,1
52,text,0,1,4,0
53,messages,0,0,8,0
54,etc,0,1,3,0
55,single,0,2,6,0
56,Jet,0,1,3,0
57,engine,0,3,6,1
58,generate,0,4,8,1
59,10,0,0,2,0
60,terabytes,0,0,9,0
61,data,0,2,4,0
62,30,0,0,2,0
63,minutes,0,0,7,0
64,flight,0,1,6,0
65,time,0,2,4,0
66,thousand,0,3,8,1
67,flights,0,1,7,0
68,per,0,1,3,0
69,day,0,1,3,0
70,generation,0,5,10,1
71,data,0,2,4,0
72,reaches,0,0,7,0
73,petabytes,0,0,9,0
74,Data,0,2,4,0
75,contained,0,0,9,0
76,sets,0,1,4,0
77,always,0,2,6,0
78,structured,0,0,10,0
79,semi,0,2,4,0
80,structured,0,0,10,0
81,even,0,2,4,0
82,unstructured,0,0,12,0
83,size,0,2,4,0
84,dimension,0,4,9,1
85,data,0,2,4,0
86,well,0,1,4,0
87,imagine,0,4,7,1
88,complicated,-1,0,11,0
89,must,0,1,4,0
90,process,0,2,7,0
91,analyze,0,3,7,1
