,Token,Score,Syllable_Count,Word_length,IsComplex
0,business,0,3,8,1
1,business,0,3,8,1
2,longer,0,2,6,0
3,business,0,3,8,1
4,increase,0,4,8,1
5,bottom,0,2,6,0
6,line,0,2,4,0
7,maximize,0,4,8,1
8,shareholder,0,4,11,1
9,value,0,3,5,1
10,Rather,0,2,6,0
11,concept,0,2,7,0
12,business,0,3,8,1
13,moving,0,2,6,0
14,towards,0,2,7,0
15,dimension,0,4,9,1
16,sustainable,1,5,11,1
17,business,0,3,8,1
18,triple,0,2,6,0
19,bottom,0,2,6,0
20,line,0,2,4,0
21,People,0,3,6,1
22,planet,0,2,6,0
23,profits,0,2,7,0
24,core,0,2,4,0
25,ideologies,0,0,10,0
26,rooted,0,0,6,0
27,sustainable,1,5,11,1
28,business,0,3,8,1
29,Sustainability,1,6,14,1
30,taken,0,2,5,0
31,account,0,3,7,1
32,companies,0,0,9,0
33,want,0,1,4,0
34,create,0,3,6,1
35,long,0,1,4,0
36,term,0,1,4,0
37,value,0,3,5,1
38,creation,0,4,8,1
39,along,0,2,5,0
40,strategies,0,0,10,0
41,promote,0,3,7,1
42,longevity,0,3,9,1
43,company,0,2,7,0
44,corporate,0,4,9,1
45,accountability,0,6,14,1
46,rises,0,0,5,0
47,expectations,0,5,12,1
48,need,0,0,4,0
49,transparency,0,3,12,1
50,stakeholders,0,4,12,1
51,increases,0,0,9,0
52,therefore,0,4,9,1
53,companies,0,0,9,0
54,started,0,0,7,0
55,recognize,0,4,9,1
56,need,0,0,4,0
57,sustainable,1,5,11,1
58,stay,0,1,4,0
59,alert,0,2,5,0
60,alive,0,3,5,1
61,Business,0,3,8,1
62,globalization,0,6,13,1
63,happened,0,0,8,0
64,previous,0,4,8,1
65,decades,0,0,7,0
66,made,0,2,4,0
67,companies,0,0,9,0
68,powerful,1,3,8,1
69,national,0,4,8,1
70,governments,0,3,11,1
71,making,0,2,6,0
72,easy,1,2,4,0
73,exploit,-1,3,7,1
74,inexpensive,1,5,11,1
75,labor,0,2,5,0
76,plunder,-1,2,7,0
77,natural,0,3,7,1
78,resources,0,0,9,0
79,causing,0,3,7,1
80,severe,-1,3,6,1
81,impacts,0,2,7,0
82,pollution,0,4,9,1
83,natural,0,3,7,1
84,environment,0,4,11,1
85,human,0,2,5,0
86,health,0,2,6,0
87,biodiversity,0,5,12,1
88,Unfortunately,0,5,13,1
89,horrible,-1,3,8,1
90,past,0,1,4,0
91,catching,0,2,8,0
92,like,0,2,4,0
93,case,0,2,4,0
94,child,0,1,5,0
95,labor,0,2,5,0
96,issues,-1,0,6,0
97,IKEA,0,3,4,1
98,Nike,0,2,4,0
99,Rana,0,2,4,0
100,Plaza,0,2,5,0
101,accident,0,3,8,1
102,Bangladesh,0,3,10,1
103,affecting,0,3,9,1
104,Zara,0,2,4,0
105,H,0,0,1,0
106,clothing,0,2,8,0
107,brands,0,1,6,0
108,environment,0,4,11,1
109,pollution,0,4,9,1
110,BP,0,0,2,0
111,Shell,0,1,5,0
112,Exxon,0,2,5,0
113,Mobil,0,2,5,0
114,etc,0,1,3,0
115,emergence,0,4,9,1
116,internet,0,3,8,1
117,social,0,3,6,1
118,media,0,3,5,1
119,practices,0,0,9,0
120,longer,0,2,6,0
121,covered,0,0,7,0
122,silenced,0,0,8,0
123,world,0,1,5,0
124,become,0,3,6,1
125,educated,1,0,8,0
126,less,0,1,4,0
127,tolerant,0,3,8,1
128,therefore,0,4,9,1
129,every,0,2,5,0
130,misdemeanor,0,5,11,1
131,committed,0,0,9,0
132,brand,0,1,5,0
133,equity,0,3,6,1
134,takes,0,0,5,0
135,hit,0,1,3,0
136,media,0,3,5,1
137,fast,0,1,4,0
138,picking,0,2,7,0
139,cover,0,2,5,0
140,ups,0,1,3,0
141,half,0,1,4,0
142,truths,0,1,6,0
143,bad,-1,1,3,0
144,corporate,0,4,9,1
145,behavior,0,4,8,1
146,demanding,0,3,9,1
147,accountability,0,6,14,1
148,transparency,0,3,12,1
149,corporates,0,0,10,0
150,Therefore,0,4,9,1
151,survive,0,3,7,1
152,companies,0,0,9,0
153,compelled,0,0,9,0
154,adopt,0,2,5,0
155,sustainability,1,6,14,1
156,bring,0,1,5,0
157,forth,0,1,5,0
158,rules,0,0,5,0
159,suppliers,0,3,9,1
160,well,0,1,4,0
161,Many,0,1,4,0
162,irresponsible,-1,5,13,1
163,company,0,2,7,0
164,practices,0,0,9,0
165,disasters,0,3,9,1
166,witnessed,0,0,9,0
167,last,0,1,4,0
168,couple,0,3,6,1
169,decades,0,0,7,0
170,motivated,1,0,9,0
171,solely,0,2,6,0
172,short,0,1,5,0
173,termism,0,2,7,0
174,desire,0,3,6,1
175,instant,0,2,7,0
176,gratification,1,6,13,1
177,appeal,1,3,6,1
178,short,0,1,5,0
179,term,0,1,4,0
180,performance,0,4,11,1
181,incentives,0,0,10,0
182,instance,0,3,8,1
183,deferred,0,0,8,0
184,maintenance,0,5,11,1
185,slack,0,1,5,0
186,leadership,0,4,10,1
187,blame,-1,2,5,0
188,1984,0,0,4,0
189,leaks,-1,2,5,0
190,pesticide,0,4,9,1
191,plant,0,1,5,0
192,Union,0,3,5,1
193,Carbide,0,3,7,1
194,India,0,3,5,1
195,Ltd,0,0,3,0
196,Bhopal,0,2,6,0
197,Estimates,0,0,9,0
198,placed,0,0,6,0
199,half,0,1,4,0
200,million,0,3,7,1
201,casualties,0,0,10,0
202,gas,0,1,3,0
203,discharge,0,3,9,1
204,plant,0,1,5,0
205,Finally,0,2,7,0
206,Union,0,3,5,1
207,Carbide,0,3,7,1
208,Corporation,0,5,11,1
209,1989,0,0,4,0
210,litigation,0,5,10,1
211,payout,0,3,6,1
212,came,0,2,4,0
213,today,0,2,5,0
214,equivalent,0,5,10,1
215,nearly,0,2,6,0
216,billion,0,3,7,1
217,US,0,1,2,0
218,dollars,0,2,7,0
219,Another,0,3,7,1
220,example,0,3,7,1
221,company,0,2,7,0
222,forced,0,0,6,0
223,shut,0,1,4,0
224,operations,0,5,10,1
225,Coca,0,2,4,0
226,Cola,0,2,4,0
227,Plachimada,0,4,10,1
228,plant,0,1,5,0
229,Kerala,0,3,6,1
230,local,0,2,5,0
231,communities,0,0,11,0
232,faced,0,0,5,0
233,acute,0,3,5,1
234,water,0,2,5,0
235,shortage,-1,3,8,1
236,commissioning,0,5,13,1
237,plant,0,1,5,0
238,company,0,2,7,0
239,authorities,0,0,11,0
240,blatantly,-1,2,9,0
241,ignored,0,0,7,0
242,community,0,3,9,1
243,woes,0,0,4,0
244,businesses,0,0,10,0
245,stated,0,0,6,0
246,respect,1,2,7,0
247,stakeholder,0,4,11,1
248,engagement,0,4,10,1
249,ultimately,0,4,10,1
250,lead,1,2,4,0
251,untimely,-1,3,8,1
252,demise,-1,3,6,1
253,Today,0,2,5,0
254,issues,-1,0,6,0
255,cannot,0,2,6,0
256,solved,0,0,6,0
257,without,0,3,7,1
258,participation,0,6,13,1
259,stakeholders,0,4,12,1
260,companies,0,0,9,0
261,influence,0,4,9,1
262,torchbearers,0,4,12,1
263,change,0,2,6,0
264,need,0,0,4,0
265,engage,0,3,6,1
266,regulators,0,4,10,1
267,communities,0,0,11,0
268,societies,0,0,9,0
269,suppliers,0,3,9,1
270,NGOs,0,1,4,0
271,effective,1,4,9,1
272,desired,0,0,7,0
273,outcomes,0,0,8,0
274,Issues,-1,0,6,0
275,engagement,0,4,10,1
276,required,0,0,8,0
277,include,0,3,7,1
278,population,0,5,10,1
279,growth,0,1,6,0
280,global,0,2,6,0
281,middle,0,2,6,0
282,class,0,1,5,0
