,Token,Score,Syllable_Count,Word_length,IsComplex
0,Handicrafts,0,3,11,1
1,art,0,1,3,0
2,making,0,2,6,0
3,crafts,0,1,6,0
4,hand,0,1,4,0
5,India,0,3,5,1
6,called,0,0,6,0
7,Indian,0,3,6,1
8,handicrafts,0,3,11,1
9,ancient,0,3,7,1
10,India,0,3,5,1
11,people,0,3,6,1
12,lived,0,0,5,0
13,colonies,0,0,8,0
14,called,0,0,6,0
15,tribals,0,2,7,0
16,used,0,0,4,0
17,make,0,2,4,0
18,utility,0,3,7,1
19,items,0,2,5,0
20,daily,0,2,5,0
21,needs,0,2,5,0
22,art,0,1,3,0
23,making,0,2,6,0
24,crafts,0,1,6,0
25,called,0,0,6,0
26,handicrafts,0,3,11,1
27,items,0,2,5,0
28,called,0,0,6,0
29,handicrafts,0,3,11,1
30,goods,0,2,5,0
31,Indian,0,3,6,1
32,handicrafts,0,3,11,1
33,follows,0,2,7,0
34,Pashmina,0,3,8,1
35,Shawls,0,1,6,0
36,Bidriware,0,4,9,1
37,metal,0,2,5,0
38,handicraft,0,3,10,1
39,Cane,0,2,4,0
40,Bamboo,0,3,6,1
41,Handicrafts,0,3,11,1
42,Zardozi,0,3,7,1
43,Chikankari,0,4,10,1
44,visual,0,3,6,1
45,arts,0,1,4,0
46,art,0,1,3,0
47,forms,0,1,5,0
48,painting,0,3,8,1
49,drawing,0,2,7,0
50,printmaking,0,3,11,1
51,sculpture,0,3,9,1
52,ceramics,0,3,8,1
53,photography,0,3,11,1
54,video,0,3,5,1
55,filmmaking,0,3,10,1
56,design,0,2,6,0
57,crafts,0,1,6,0
58,architecture,0,5,12,1
59,Many,0,1,4,0
60,artistic,0,3,8,1
61,disciplines,0,0,11,0
62,performing,0,3,10,1
63,arts,0,1,4,0
64,conceptual,0,4,10,1
65,art,0,1,3,0
66,textile,0,3,7,1
67,arts,0,1,4,0
68,also,0,2,4,0
69,involve,0,3,7,1
70,aspects,0,2,7,0
71,visual,0,3,6,1
72,arts,0,1,4,0
73,well,0,1,4,0
74,arts,0,1,4,0
75,types,0,0,5,0
76,Also,0,2,4,0
77,included,0,0,8,0
78,within,0,2,6,0
79,visual,0,3,6,1
80,arts,0,1,4,0
81,applied,0,0,7,0
82,arts,0,1,4,0
83,industrial,0,4,10,1
84,design,0,2,6,0
85,graphic,0,2,7,0
86,design,0,2,6,0
87,fashion,0,3,7,1
88,design,0,2,6,0
89,interior,0,4,8,1
90,design,0,2,6,0
91,decorative,0,5,10,1
92,art,0,1,3,0
93,Roles,0,0,5,0
94,handicrafts,0,3,11,1
95,Indian,0,3,6,1
96,economy,0,3,7,1
97,Indian,0,3,6,1
98,Handicrafts,0,3,11,1
99,items,0,2,5,0
100,unique,0,4,6,1
101,impression,0,4,10,1
102,charm,1,1,5,0
103,immensely,0,3,9,1
104,big,0,1,3,0
105,large,0,2,5,0
106,scale,0,2,5,0
107,industry,0,2,8,0
108,provides,0,0,8,0
109,livelihood,0,5,10,1
110,130,0,0,3,0
111,lakh,0,1,4,0
112,weavers,0,3,7,1
113,artisans,0,3,8,1
114,Indian,0,3,6,1
115,handicrafts,0,3,11,1
116,environment,0,4,11,1
117,friendly,1,2,8,0
118,low,0,1,3,0
119,energy,0,2,6,0
120,consumption,0,4,11,1
121,Indian,0,3,6,1
122,handicraft,0,3,10,1
123,items,0,2,5,0
124,exported,0,0,8,0
125,generated,0,0,9,0
126,good,0,2,4,0
127,foreign,0,3,7,1
128,exchange,0,3,8,1
129,every,0,2,5,0
130,year,0,2,4,0
131,Handicraft,0,3,10,1
132,important,1,3,9,1
133,represents,0,3,10,1
134,culture,0,3,7,1
135,tradition,0,4,9,1
136,promotes,0,0,8,0
137,heritage,0,4,8,1
138,country,0,2,7,0
139,use,0,2,3,0
140,indigenous,0,5,10,1
141,materials,0,4,9,1
142,preserves,0,0,9,0
143,traditional,0,5,11,1
144,knowledge,0,3,9,1
145,talents,1,2,7,0
146,days,0,1,4,0
147,handicraft,0,3,10,1
148,industry,0,2,8,0
149,plays,0,1,5,0
150,vital,0,2,5,0
151,role,0,2,4,0
152,Rural,0,2,5,0
153,Indian,0,3,6,1
154,sector,0,2,6,0
155,Moreover,0,4,8,1
156,liberal,0,3,7,1
157,trade,0,2,5,0
158,export,0,2,6,0
159,Indian,0,3,6,1
160,handloom,0,3,8,1
161,industry,0,2,8,0
162,time,0,2,4,0
163,high,0,1,4,0
164,key,0,1,3,0
165,facts,0,1,5,0
166,Indian,0,3,6,1
167,handicrafts,0,3,11,1
168,industry,0,2,8,0
169,Indian,0,3,6,1
170,Handicraft,0,3,10,1
171,Industry,0,2,8,0
172,showing,0,2,7,0
173,continuous,0,5,10,1
174,growth,0,1,6,0
175,rate,0,2,4,0
176,20,0,0,2,0
177,every,0,2,5,0
178,year,0,2,4,0
179,Major,0,2,5,0
180,parts,0,1,5,0
181,industry,0,2,8,0
182,operate,0,4,7,1
183,rural,0,2,5,0
184,semi,0,2,4,0
185,urban,0,2,5,0
186,areas,0,3,5,1
187,throughout,0,4,10,1
188,country,0,2,7,0
189,potential,0,4,9,1
190,Indian,0,3,6,1
191,International,0,6,13,1
192,markets,0,2,7,0
193,around,0,3,6,1
194,67000,0,0,5,0
195,exporters,0,3,9,1
196,tap,0,1,3,0
197,market,0,2,6,0
198,According,0,3,9,1
199,national,0,4,8,1
200,census,0,2,6,0
201,handicrafts,0,3,11,1
202,undertaken,0,4,10,1
203,National,0,4,8,1
204,Council,0,3,7,1
205,Applied,0,0,7,0
206,Economic,0,4,8,1
207,Research,0,3,8,1
208,value,0,3,5,1
209,handicrafts,0,3,11,1
210,produced,0,0,8,0
211,last,0,1,4,0
212,year,0,2,4,0
213,Rs,0,0,2,0
214,26,0,0,2,0
215,213,0,0,3,0
216,Crore,0,2,5,0
217,Industry,0,2,8,0
218,provides,0,0,8,0
219,huge,0,2,4,0
220,employment,0,3,10,1
221,opportunities,0,0,13,0
222,artisans,0,3,8,1
223,include,0,3,7,1
224,women,0,2,5,0
225,people,0,3,6,1
226,belonging,0,3,9,1
227,backward,-1,2,8,0
228,weaker,-1,3,6,1
229,society,0,3,7,1
230,major,0,2,5,0
231,sources,0,0,7,0
232,income,0,3,6,1
233,Indian,0,3,6,1
234,Handicraft,0,3,10,1
235,Industry,0,2,8,0
236,100,0,0,3,0
237,billion,0,3,7,1
238,industry,0,2,8,0
239,worldwide,0,3,9,1
240,India,0,3,5,1
241,contribution,1,5,12,1
242,world,0,1,5,0
243,market,0,2,6,0
244,1,0,0,1,0
245,2,0,0,1,0
246,total,0,2,5,0
247,exports,0,2,7,0
248,crafts,0,1,6,0
249,items,0,2,5,0
250,Rs,0,0,2,0
251,13412,0,0,5,0
252,92,0,0,2,0
253,Crore,0,2,5,0
254,Industry,0,2,8,0
255,share,0,2,5,0
256,India,0,3,5,1
257,exports,0,2,7,0
258,1,0,0,1,0
259,51,0,0,2,0
260,Blackcoffer,0,3,11,1
