,Token,Score,Syllable_Count,Word_length,IsComplex
0,Organizations,0,6,13,1
1,burn,-1,1,4,0
2,lot,0,1,3,0
3,resources,0,0,9,0
4,build,0,2,5,0
5,iconic,0,3,6,1
6,image,0,3,5,1
7,brand,0,1,5,0
8,picture,0,3,7,1
9,logo,0,2,4,0
10,colors,0,2,6,0
11,emotional,0,5,9,1
12,connection,0,4,10,1
13,consumer,0,3,8,1
14,develops,0,3,8,1
15,making,0,2,6,0
16,impression,0,4,10,1
17,consumers,0,3,9,1
18,time,0,2,4,0
19,interact,0,3,8,1
20,products,0,2,8,0
21,services,0,0,8,0
22,becomes,0,0,7,0
23,ingrained,0,0,9,0
24,consumers,0,3,9,1
25,minds,0,1,5,0
26,takes,0,0,5,0
27,great,1,2,5,0
28,efforts,0,2,7,0
29,build,0,2,5,0
30,impression,0,4,10,1
31,recognition,0,5,11,1
32,trust,1,1,5,0
33,would,0,2,5,0
34,firm,0,1,4,0
35,something,0,3,9,1
36,controversial,-1,5,13,1
37,could,0,2,5,0
38,burn,-1,1,4,0
39,hands,0,1,5,0
40,hundreds,0,2,8,0
41,ads,0,1,3,0
42,day,0,1,3,0
43,get,0,1,3,0
44,noticed,0,0,7,0
45,controversy,-1,3,11,1
46,comes,0,0,5,0
47,play,0,1,4,0
48,would,0,2,5,0
49,definitely,0,4,10,1
50,notice,0,3,6,1
51,something,0,3,9,1
52,disagrees,-1,0,9,0
53,thoughts,0,2,8,0
54,mentally,0,2,8,0
55,disturbs,0,2,8,0
56,us,0,1,2,0
57,ads,0,1,3,0
58,stand,0,1,5,0
59,controversy,-1,3,11,1
60,marketing,0,3,9,1
61,firm,0,1,4,0
62,creates,0,0,7,0
63,controversy,-1,3,11,1
64,gains,1,2,5,0
65,attention,0,4,9,1
66,really,0,2,6,0
67,quick,0,2,5,0
68,word,0,1,4,0
69,spreads,0,2,7,0
70,widely,0,2,6,0
71,believe,0,4,7,1
72,order,0,2,5,0
73,stand,0,1,5,0
74,play,0,1,4,0
75,safe,1,2,4,0
76,always,0,2,6,0
77,controversial,-1,5,13,1
78,campaign,0,3,8,1
79,could,0,2,5,0
80,social,0,3,6,1
81,issue,-1,3,5,1
82,could,0,2,5,0
83,divide,0,3,6,1
84,masses,0,0,6,0
85,stating,0,2,7,0
86,political,0,4,9,1
87,opinions,0,4,8,1
88,presenting,0,3,10,1
89,something,0,3,9,1
90,associate,0,5,9,1
91,image,0,3,5,1
92,etc,0,1,3,0
93,Key,0,1,3,0
94,features,0,0,8,0
95,well,0,1,4,0
96,crafted,0,0,7,0
97,controversial,-1,5,13,1
98,campaign,0,3,8,1
99,Choosing,0,3,8,1
100,correct,1,2,7,0
101,subject,0,2,7,0
102,could,0,2,5,0
103,taboo,-1,3,5,1
104,debatable,-1,4,9,1
105,topic,0,2,5,0
106,would,0,2,5,0
107,controversial,-1,5,13,1
108,taboo,-1,3,5,1
109,likely,0,2,6,0
110,draw,0,1,4,0
111,flack,0,1,5,0
112,debatable,-1,4,9,1
113,topic,0,2,5,0
114,campaign,0,3,8,1
115,focussed,0,0,8,0
116,issue,-1,3,5,1
117,brand,0,1,5,0
118,result,0,2,6,0
119,debate,0,3,6,1
120,would,0,2,5,0
121,issue,-1,3,5,1
122,brand,0,1,5,0
