,Token,Score,Syllable_Count,Word_length,IsComplex
0,outbreak,-1,4,8,1
1,coronavirus,0,5,11,1
2,disease,0,4,7,1
3,2019,0,0,4,0
4,COVID,0,2,5,0
5,19,0,0,2,0
6,created,0,0,7,0
7,global,0,2,6,0
8,health,0,2,6,0
9,crisis,-1,2,6,0
10,deep,0,2,4,0
11,impact,0,2,6,0
12,perceive,0,4,8,1
13,world,0,1,5,0
14,everyday,0,3,8,1
15,lives,0,0,5,0
16,rate,0,2,4,0
17,contagion,0,4,9,1
18,patterns,0,2,8,0
19,transmission,0,4,12,1
20,threatens,0,3,9,1
21,sense,0,2,5,0
22,agency,0,2,6,0
23,safety,0,2,6,0
24,measures,0,0,8,0
25,put,0,1,3,0
26,place,0,2,5,0
27,contain,0,3,7,1
28,spread,0,2,6,0
29,virus,-1,2,5,0
30,also,0,2,4,0
31,require,0,4,7,1
32,social,0,3,6,1
33,distancing,0,3,10,1
34,refraining,0,4,10,1
35,inherently,0,3,10,1
36,human,0,2,5,0
37,find,0,1,4,0
38,solace,1,3,6,1
39,company,0,2,7,0
40,others,0,2,6,0
41,Within,0,2,6,0
42,context,0,2,7,0
43,physical,0,2,8,0
44,threat,-1,2,6,0
45,social,0,3,6,1
46,physical,0,2,8,0
47,distancing,0,3,10,1
48,well,0,1,4,0
49,public,0,2,6,0
50,alarm,-1,2,5,0
51,role,0,2,4,0
52,different,0,3,9,1
53,mass,0,1,4,0
54,media,0,3,5,1
55,channels,0,2,8,0
56,lives,0,0,5,0
57,individual,0,5,10,1
58,social,0,3,6,1
59,societal,0,4,8,1
60,levels,0,2,6,0
61,Mass,0,1,4,0
62,media,0,3,5,1
63,long,0,1,4,0
64,recognized,0,0,10,0
65,powerful,1,3,8,1
66,forces,0,0,6,0
67,shaping,0,2,7,0
68,experience,0,5,10,1
69,world,0,1,5,0
70,recognition,0,5,11,1
71,accompanied,0,0,11,0
72,growing,0,2,7,0
73,volume,0,3,6,1
74,research,0,3,8,1
75,closely,0,2,7,0
76,follows,0,2,7,0
77,footsteps,0,3,9,1
78,technological,0,5,13,1
79,transformations,0,5,15,1
80,e,0,1,1,0
81,g,0,0,1,0
82,radio,0,3,5,1
83,movies,0,0,6,0
84,television,0,5,10,1
85,internet,0,3,8,1
86,mobiles,0,0,7,0
87,zeitgeist,0,4,9,1
88,e,0,1,1,0
89,g,0,0,1,0
90,cold,-1,1,4,0
91,war,0,1,3,0
92,9,0,0,1,0
93,11,0,0,2,0
94,climate,0,3,7,1
95,change,0,2,6,0
96,attempt,0,2,7,0
97,map,0,1,3,0
98,mass,0,1,4,0
99,media,0,3,5,1
100,major,0,2,5,0
101,impacts,0,2,7,0
102,perceive,0,4,8,1
103,individuals,0,5,11,1
104,citizens,0,3,8,1
105,media,0,3,5,1
106,broadcast,0,3,9,1
107,digital,0,3,7,1
108,able,0,2,4,0
109,convey,0,2,6,0
110,sense,0,2,5,0
111,unity,1,2,5,0
112,reaching,0,3,8,1
113,large,0,2,5,0
114,audiences,0,0,9,0
115,messages,0,0,8,0
116,lost,-1,1,4,0
117,noisy,-1,2,5,0
118,crowd,0,1,5,0
119,mass,0,1,4,0
120,self,0,1,4,0
121,communication,0,6,13,1
122,social,0,3,6,1
123,media,0,3,5,1
124,provide,0,3,7,1
125,solace,1,3,6,1
126,grounds,0,2,7,0
127,misinformation,0,6,14,1
128,de,0,1,2,0
129,humanization,0,6,12,1
130,discrimination,-1,6,14,1
131,harness,0,2,7,0
132,flexibility,1,4,11,1
133,ubiquity,0,4,8,1
134,media,0,3,5,1
135,technologies,0,0,12,0
136,increase,0,4,8,1
137,public,0,2,6,0
138,adherence,0,4,9,1
139,safety,0,2,6,0
140,measures,0,0,8,0
141,suggested,0,0,9,0
142,global,0,2,6,0
143,health,0,2,6,0
144,organizations,0,6,13,1
145,combat,0,2,6,0
146,spread,0,2,6,0
147,COVID,0,2,5,0
148,19,0,0,2,0
149,different,0,3,9,1
150,media,0,3,5,1
151,industries,0,0,10,0
152,channels,0,2,8,0
153,mass,0,1,4,0
154,communication,0,6,13,1
155,promote,0,3,7,1
156,adaptive,1,4,8,1
157,responses,0,0,9,0
158,foster,0,2,6,0
159,positive,1,4,8,1
160,health,0,2,6,0
161,attitudes,0,0,9,0
162,adherence,0,4,9,1
163,preventive,0,4,10,1
164,measures,0,0,8,0
165,media,0,3,5,1
166,impact,0,2,6,0
167,dynamics,0,2,8,0
168,private,0,3,7,1
169,domain,0,3,6,1
170,e,0,1,1,0
171,g,0,0,1,0
172,strengthen,0,2,10,0
173,family,0,2,6,0
174,bonds,0,1,5,0
175,versus,0,2,6,0
176,domestic,0,3,8,1
177,conflict,-1,2,8,0
178,violence,0,4,8,1
179,Coronavirus,0,5,11,1
180,Disease,0,4,7,1
181,COVID,0,2,5,0
182,19,0,0,2,0
183,Effect,0,2,6,0
184,Effective,1,4,9,1
185,health,0,2,6,0
186,communication,0,6,13,1
187,adoption,0,4,8,1
188,sustainable,1,5,11,1
189,preventive,0,4,10,1
190,measures,0,0,8,0
191,curtailing,0,4,10,1
192,misinformation,0,6,14,1
193,Public,0,2,6,0
194,health,0,2,6,0
195,communication,0,6,13,1
196,increase,0,4,8,1
197,psychological,0,4,13,1
198,resources,0,0,9,0
199,resilience,0,5,10,1
200,distinct,0,2,8,0
201,age,0,2,3,0
202,groups,0,2,6,0
203,socioeconomic,0,7,13,1
204,conditions,0,4,10,1
205,Effective,1,4,9,1
206,strategies,0,0,10,0
207,helping,1,2,7,0
208,individuals,0,5,11,1
209,dealing,0,3,7,1
210,social,0,3,6,1
211,physical,0,2,8,0
212,distancing,0,3,10,1
213,Reduction,0,4,9,1
214,stigma,-1,2,6,0
215,prejudice,-1,4,9,1
216,discrimination,-1,6,14,1
217,inequalities,-1,0,12,0
218,COVID,0,2,5,0
219,19,0,0,2,0
220,coronavirus,0,5,11,1
221,disease,0,4,7,1
222,mass,0,1,4,0
223,media,0,3,5,1
224,health,0,2,6,0
225,communication,0,6,13,1
226,prevention,0,4,10,1
227,intervention,0,5,12,1
228,social,0,3,6,1
229,behavioral,0,5,10,1
230,changes,0,0,7,0
