,Token,Score,Syllable_Count,Word_length,IsComplex
0,coronavirus,0,5,11,1
1,spreads,0,2,7,0
2,around,0,3,6,1
3,world,0,1,5,0
4,countries,0,0,9,0
5,implement,0,3,9,1
6,containment,0,4,11,1
7,measures,0,0,8,0
8,energy,0,2,6,0
9,supply,0,1,6,0
10,demand,0,2,6,0
11,disrupted,0,0,9,0
12,impact,0,2,6,0
13,country,0,2,7,0
14,wide,0,2,4,0
15,lockdowns,0,2,9,0
16,demand,0,2,6,0
17,slowdowns,0,2,9,0
18,energy,0,2,6,0
19,markets,0,2,7,0
20,evolving,0,3,8,1
21,every,0,2,5,0
22,day,0,1,3,0
23,Impact,0,2,6,0
24,energy,0,2,6,0
25,markets,0,2,7,0
26,Slump,-1,1,5,0
27,wind,0,1,4,0
28,expansion,0,4,9,1
29,support,1,2,7,0
30,German,0,2,6,0
31,power,0,2,5,0
32,prices,0,0,6,0
33,recent,0,2,6,0
34,slump,-1,1,5,0
35,German,0,2,6,0
36,wind,0,1,4,0
37,capacity,0,3,8,1
38,likely,0,2,6,0
39,continue,0,4,8,1
40,year,0,2,4,0
41,complicated,-1,0,11,0
42,regulations,0,5,11,1
43,weakness,-1,3,8,1
44,global,0,2,6,0
45,economic,0,4,8,1
46,outlook,0,4,7,1
47,due,0,2,3,0
48,coronavirus,0,5,11,1
49,likely,0,2,6,0
50,dampen,0,2,6,0
51,investment,0,3,10,1
52,renewable,0,4,9,1
53,technology,0,3,10,1
54,potential,0,4,9,1
55,restrict,-1,2,8,0
56,future,0,3,6,1
57,additions,0,4,9,1
58,wind,0,1,4,0
59,output,0,3,6,1
60,impacting,0,3,9,1
61,supply,0,1,6,0
62,turn,0,1,4,0
63,supporting,1,3,10,1
64,power,0,2,5,0
65,prices,0,0,6,0
66,ii,0,2,2,0
67,Chinese,0,3,7,1
68,industrial,0,4,10,1
69,gas,0,1,3,0
70,demand,0,2,6,0
71,remains,0,3,7,1
72,weak,-1,2,4,0
73,March,0,1,5,0
74,Chinese,0,3,7,1
75,natural,0,3,7,1
76,gas,0,1,3,0
77,demand,0,2,6,0
78,industrial,0,4,10,1
79,sector,0,2,6,0
80,March,0,1,5,0
81,almost,0,2,6,0
82,25,0,0,2,0
83,year,0,2,4,0
84,year,0,2,4,0
85,according,0,3,9,1
86,Chongqing,0,2,9,0
87,Gas,0,1,3,0
88,Petroleum,0,4,9,1
89,Exchange,0,3,8,1
90,released,0,0,8,0
91,Easter,0,3,6,1
92,impact,0,2,6,0
93,coronavirus,0,5,11,1
94,continued,0,0,9,0
95,weigh,0,2,5,0
96,consumption,0,4,11,1
97,iii,0,3,3,1
98,Reduced,0,0,7,0
99,energy,0,2,6,0
100,offtake,0,3,7,1
101,likely,0,2,6,0
102,hit,0,1,3,0
103,UK,0,1,2,0
104,suppliers,0,3,9,1
105,growing,0,2,7,0
106,number,0,2,6,0
107,British,0,2,7,0
