,Token,Score,Syllable_Count,Word_length,IsComplex
0,coronavirus,0,5,11,1
1,also,0,2,4,0
2,known,0,1,5,0
3,COVID,0,2,5,0
4,19,0,0,2,0
5,global,0,2,6,0
6,public,0,2,6,0
7,health,0,2,6,0
8,emergency,-1,3,9,1
9,also,0,2,4,0
10,source,0,3,6,1
11,significant,1,4,11,1
12,regional,0,4,8,1
13,increasingly,0,4,12,1
14,global,0,2,6,0
15,economic,0,4,8,1
16,disruption,-1,4,10,1
17,impacts,0,2,7,0
18,energy,0,2,6,0
19,climate,0,3,7,1
20,world,0,1,5,0
21,ways,0,1,4,0
22,economic,0,4,8,1
23,downturn,-1,2,8,0
24,puts,0,1,4,0
25,pressure,0,3,8,1
26,global,0,2,6,0
27,oil,0,2,3,0
28,prices,0,0,6,0
29,leading,1,3,7,1
30,Organization,0,6,12,1
31,Petroleum,0,4,9,1
32,Exporting,0,3,9,1
33,Countries,0,0,9,0
34,OPEC,0,2,4,0
35,consider,0,3,8,1
36,cuts,0,1,4,0
37,production,0,4,10,1
38,hurts,-1,1,5,0
39,demand,0,2,6,0
40,natural,0,3,7,1
41,gas,0,1,3,0
42,time,0,2,4,0
43,extremely,0,3,9,1
44,low,0,1,3,0
45,prices,0,0,6,0
46,changes,0,0,7,0
47,economic,0,4,8,1
48,energy,0,2,6,0
49,climate,0,3,7,1
50,policymaking,0,4,12,1
51,environment,0,4,11,1
52,China,0,2,5,0
53,consequential,0,6,13,1
54,energy,0,2,6,0
55,consumers,0,3,9,1
56,sources,0,0,7,0
57,greenhouse,0,5,10,1
58,gas,0,1,3,0
59,emissions,0,4,9,1
60,temporarily,0,4,11,1
61,disrupted,0,0,9,0
62,supply,0,1,6,0
63,chains,0,2,6,0
64,throughout,0,4,10,1
65,energy,0,2,6,0
66,industry,0,2,8,0
67,including,0,3,9,1
68,renewable,0,4,9,1
69,energy,0,2,6,0
70,time,0,2,4,0
71,supply,0,1,6,0
72,chain,0,2,5,0
73,connections,0,4,11,1
74,China,0,2,5,0
75,revaluated,0,0,10,0
76,due,0,2,3,0
77,ongoing,0,3,7,1
78,tariff,0,2,6,0
79,trade,0,2,5,0
80,disputes,0,0,8,0
81,consequential,0,6,13,1
82,transformative,0,5,14,1
83,changes,0,0,7,0
84,energy,0,2,6,0
85,sector,0,2,6,0
86,climate,0,3,7,1
87,efforts,0,2,7,0
88,depend,0,2,6,0
89,upon,0,2,4,0
90,ultimate,0,4,8,1
91,trajectory,0,3,10,1
92,virus,-1,2,5,0
93,outbreak,-1,4,8,1
94,Sarah,0,2,5,0
95,Ladislaw,0,3,8,1
96,Senior,0,3,6,1
97,Vice,0,2,4,0
98,President,0,3,9,1
99,Director,0,3,8,1
100,Energy,0,2,6,0
101,Security,0,3,8,1
102,Climate,0,3,7,1
103,Change,0,2,6,0
104,Program,0,2,7,0
105,energy,0,2,6,0
106,sector,0,2,6,0
107,already,0,3,7,1
108,felt,0,1,4,0
109,impacts,0,2,7,0
110,coronavirus,0,5,11,1
111,outbreak,-1,4,8,1
112,contributed,0,0,11,0
113,dampened,0,0,8,0
114,demand,0,2,6,0
115,oil,0,2,3,0
116,resulting,0,3,9,1
117,plummeting,0,3,10,1
118,oil,0,2,3,0
119,prices,0,0,6,0
120,production,0,4,10,1
121,declines,-1,0,8,0
122,move,0,2,4,0
123,forward,0,2,7,0
124,energy,0,2,6,0
125,sector,0,2,6,0
126,expects,0,2,7,0
127,face,0,2,4,0
128,headwinds,0,3,9,1
129,managing,0,3,8,1
130,issues,-1,0,6,0
131,health,0,2,6,0
132,emergency,-1,3,9,1
133,sectors,0,2,7,0
134,face,0,2,4,0
135,simultaneously,0,6,14,1
136,coping,0,2,6,0
137,low,0,1,3,0
138,oil,0,2,3,0
139,price,0,2,5,0
140,scenario,0,4,8,1
141,lower,0,2,5,0
142,demand,0,2,6,0
143,need,0,0,4,0
144,shore,0,2,5,0
145,revenue,0,4,7,1
146,manage,0,3,6,1
147,debt,-1,1,4,0
148,obligations,0,5,11,1
149,IMPACT,0,2,6,0
150,COVID,0,2,5,0
151,19,0,0,2,0
152,INDIAN,0,3,6,1
153,ENERGY,0,2,6,0
154,MARKETS,0,2,7,0
155,India,0,3,5,1
156,distribution,0,5,12,1
157,utilities,0,0,9,0
158,lower,0,2,5,0
159,tariff,0,2,6,0
160,domestic,0,3,8,1
161,agricultural,0,5,12,1
162,consumers,0,3,9,1
163,sometimes,0,0,9,0
164,even,0,2,4,0
165,average,0,4,7,1
166,cost,0,1,4,0
167,supply,0,1,6,0
168,compared,0,0,8,0
169,commercial,0,4,10,1
170,industrial,0,4,10,1
171,consumers,0,3,9,1
172,Table,0,2,5,0
173,1,0,0,1,0
174,provides,0,0,8,0
175,electricity,0,4,11,1
176,tariff,0,2,6,0
177,rates,0,0,5,0
178,Delhi,0,2,5,0
179,selected,0,0,8,0
180,consumer,0,3,8,1
181,categories,0,0,10,0
