,Token,Score,Syllable_Count,Word_length,IsComplex
0,jumping,0,2,7,0
1,topic,0,2,5,0
2,would,0,2,5,0
3,like,0,2,4,0
4,give,0,2,4,0
5,overview,0,4,8,1
6,Coronavirus,0,5,11,1
7,Covid,0,2,5,0
8,19,0,0,2,0
9,spreads,0,2,7,0
10,symptoms,-1,1,8,0
11,Coronavirus,0,5,11,1
12,Coronavirus,0,5,11,1
13,large,0,2,5,0
14,family,0,2,6,0
15,viruses,0,0,7,0
16,cause,0,3,5,1
17,illness,-1,2,7,0
18,animals,0,3,7,1
19,humans,0,2,6,0
20,humans,0,2,6,0
21,several,0,3,7,1
22,coronaviruses,0,0,13,0
23,known,0,1,5,0
24,cause,0,3,5,1
25,respiratory,0,4,11,1
26,infections,-1,4,10,1
27,ranging,0,2,7,0
28,common,0,2,6,0
29,cold,-1,1,4,0
30,severe,-1,3,6,1
31,diseases,0,0,8,0
32,Middle,0,2,6,0
33,East,0,2,4,0
34,Respiratory,0,4,11,1
35,Syndrome,-1,2,8,0
36,MERS,0,1,4,0
37,Severe,-1,3,6,1
38,Acute,0,3,5,1
39,Respiratory,0,4,11,1
40,Syndrome,-1,2,8,0
41,SARS,0,1,4,0
42,recently,0,2,8,0
43,discovered,0,0,10,0
44,coronavirus,0,5,11,1
45,causes,0,0,6,0
46,coronavirus,0,5,11,1
47,disease,0,4,7,1
48,Covid,0,2,5,0
49,19,0,0,2,0
50,COVID,0,2,5,0
51,19,0,0,2,0
52,Covid,0,2,5,0
53,19,0,0,2,0
54,infectious,0,5,10,1
55,disease,0,4,7,1
56,caused,0,0,6,0
57,recently,0,2,8,0
58,discovered,0,0,10,0
59,coronavirus,0,5,11,1
60,virus,-1,2,5,0
61,disease,0,4,7,1
62,unknown,-1,2,7,0
63,outbreak,-1,4,8,1
64,began,0,2,5,0
65,Wuhan,0,2,5,0
66,China,0,2,5,0
67,December,0,3,8,1
68,2019,0,0,4,0
69,spreads,0,2,7,0
70,People,0,3,6,1
71,catch,0,1,5,0
72,COVID,0,2,5,0
73,19,0,0,2,0
74,others,0,2,6,0
75,virus,-1,2,5,0
76,disease,0,4,7,1
77,spread,0,2,6,0
78,person,0,2,6,0
79,person,0,2,6,0
80,small,0,1,5,0
81,droplets,0,2,8,0
82,nose,0,2,4,0
83,mouth,0,2,5,0
84,spread,0,2,6,0
85,person,0,2,6,0
86,COVID,0,2,5,0
87,19,0,0,2,0
88,coughs,0,2,6,0
89,exhales,0,0,7,0
90,Symptoms,-1,1,8,0
91,Cough,0,2,5,0
92,fever,-1,2,5,0
93,tiredness,0,3,9,1
94,aches,-1,0,5,0
95,pains,-1,2,5,0
96,nasal,0,2,5,0
97,congestion,-1,4,10,1
98,runny,0,1,5,0
99,nose,0,2,4,0
100,sore,-1,2,4,0
101,throat,0,2,6,0
102,diarrhea,0,4,8,1
103,difficulty,-1,3,10,1
104,breathing,0,3,9,1
105,severe,-1,3,6,1
106,cases,0,0,5,0
107,Coronavirus,0,5,11,1
108,impact,0,2,6,0
109,Hospitality,0,4,11,1
110,industry,0,2,8,0
111,Waitresses,0,0,10,0
112,hotel,0,2,5,0
113,housekeepers,0,6,12,1
114,casino,0,3,6,1
115,dealers,0,3,7,1
116,15,0,0,2,0
117,million,0,3,7,1
118,hospitality,0,4,11,1
119,jobs,0,1,4,0
120,U,0,1,1,0
121,cities,0,0,6,0
122,risk,-1,1,4,0
123,restrictions,0,4,12,1
124,put,0,1,3,0
125,place,0,2,5,0
126,deal,0,2,4,0
127,spread,0,2,6,0
128,Covid,0,2,5,0
129,19,0,0,2,0
130,Bureau,0,4,6,1
131,Labor,0,2,5,0
132,Statistics,0,3,10,1
133,data,0,2,4,0
134,May,0,1,3,0
135,2018,0,0,4,0
136,covering,0,3,8,1
137,40,0,0,2,0
138,occupations,0,5,11,1
139,critical,-1,3,8,1
140,America,0,4,7,1
141,hospitality,0,4,11,1
142,gaming,0,2,6,0
143,industries,0,0,10,0
144,Restaurant,0,4,10,1
145,Hotel,0,2,5,0
146,Casino,0,3,6,1
147,Jobs,0,1,4,0
148,Face,0,2,4,0
149,Virus,-1,2,5,0
150,Risk,-1,1,4,0
151,Hospitality,0,4,11,1
152,workers,0,2,7,0
153,share,0,2,5,0
154,metro,0,2,5,0
155,area,0,3,4,1
156,workforce,0,3,9,1
157,circles,0,0,7,0
158,sized,0,0,5,0
159,total,0,2,5,0
160,hospitality,0,4,11,1
161,jobs,0,1,4,0
162,20,0,0,2,0
163,April,0,2,5,0
164,2020,0,0,4,0
165,least,0,2,5,0
166,23,0,0,2,0
167,states,0,0,6,0
168,closed,0,0,6,0
169,bars,0,1,4,0
170,restaurants,0,4,11,1
171,around,0,3,6,1
172,20,0,0,2,0
173,prohibited,0,0,10,0
174,gatherings,0,3,10,1
175,50,0,0,2,0
176,people,0,3,6,1
177,several,0,3,7,1
178,begun,0,2,5,0
179,implementing,0,4,12,1
180,curfews,0,2,7,0
181,shuttering,0,3,10,1
182,non,0,1,3,0
183,essential,0,4,9,1
184,businesses,0,0,10,0
185,extreme,0,3,7,1
186,measures,0,0,8,0
187,occurred,0,0,8,0
188,California,0,5,10,1
189,shelter,0,2,7,0
190,place,0,2,5,0
191,directive,0,4,9,1
192,announced,0,0,9,0
193,Gov,0,1,3,0
194,Gavin,0,2,5,0
195,Newsom,0,2,6,0
196,Thursday,0,2,8,0
197,order,0,2,5,0
198,requires,0,0,8,0
199,40,0,0,2,0
200,million,0,3,7,1
201,California,0,5,10,1
202,residents,0,3,9,1
203,remain,0,3,6,1
204,home,0,2,4,0
205,except,0,2,6,0
206,essential,0,4,9,1
207,activities,0,0,10,0
208,jobs,0,1,4,0
209,addition,0,4,8,1
210,critical,-1,3,8,1
211,government,0,3,10,1
212,healthcare,0,4,10,1
213,roles,0,0,5,0
214,cafes,0,0,5,0
215,restaurants,0,4,11,1
216,allowed,0,0,7,0
217,stay,0,1,4,0
218,open,0,2,4,0
219,take,0,2,4,0
220,delivery,0,3,8,1
221,already,0,3,7,1
222,led,1,0,3,0
223,mass,0,1,4,0
224,layoffs,0,2,7,0
225,Nowhere,0,3,7,1
226,threatened,0,0,10,0
227,jobs,0,1,4,0
228,New,0,1,3,0
229,York,0,1,4,0
230,metro,0,2,5,0
231,area,0,3,4,1
232,million,0,3,7,1
233,people,0,3,6,1
234,work,1,1,4,0
235,hospitality,0,4,11,1
236,includes,0,0,8,0
237,157,0,0,3,0
238,000,0,0,3,0
239,waiters,0,3,7,1
240,waitresses,0,0,10,0
241,40,0,0,2,0
242,000,0,0,3,0
243,bartenders,0,3,10,1
244,8,0,0,1,0
245,500,0,0,3,0
246,hotel,0,2,5,0
247,desk,0,1,4,0
248,clerks,0,1,6,0
249,20,0,0,2,0
250,April,0,2,5,0
251,2020,0,0,4,0
252,Gov,0,1,3,0
253,Andrew,0,2,6,0
254,Cuomo,0,3,5,1
255,ordered,0,0,7,0
256,non,0,1,3,0
257,essential,0,4,9,1
258,workers,0,2,7,0
259,remain,0,3,6,1
260,home,0,2,4,0
261,foreseeable,0,6,11,1
262,future,0,3,6,1
263,Los,0,1,3,0
264,Angeles,0,0,7,0
265,area,0,3,4,1
266,second,0,2,6,0
267,workers,0,2,7,0
268,around,0,3,6,1
269,800,0,0,3,0
270,000,0,0,3,0
271,including,0,3,9,1
272,22,0,0,2,0
273,000,0,0,3,0
274,people,0,3,6,1
275,work,1,1,4,0
276,amusement,0,4,9,1
277,parks,0,1,5,0
278,recreation,0,5,10,1
279,facilities,0,0,10,0
280,represents,0,3,10,1
281,11,0,0,2,0
282,13,0,0,2,0
283,cities,0,0,6,0
284,respective,0,4,10,1
285,workforces,0,0,10,0
286,recent,0,2,6,0
287,years,0,2,5,0
288,Hospitality,0,4,11,1
289,Jobs,0,1,4,0
290,4,0,0,1,0
291,6,0,0,1,0
292,million,0,3,7,1
293,hospitality,0,4,11,1
294,workers,0,2,7,0
295,top,1,1,3,0
296,city,0,1,4,0
297,clusters,0,2,8,0
298,Metropolitan,0,5,12,1
299,area,0,3,4,1
300,Hospitality,0,4,11,1
301,Jobs,0,1,4,0
302,New,0,1,3,0
303,York,0,1,4,0
304,1013630,0,0,7,0
305,San,0,1,3,0
306,Francisco,0,3,9,1
307,289990,0,0,6,0
308,Philadelphia,0,5,12,1
309,302800,0,0,6,0
310,Houston,0,3,7,1
311,346520,0,0,6,0
312,Washington,0,3,10,1
313,347900,0,0,6,0
314,pain,-1,2,4,0
315,extensive,0,4,9,1
316,prolonged,0,0,9,0
317,coronavirus,0,5,11,1
318,related,0,0,7,0
319,shutdown,0,2,8,0
320,especially,0,4,10,1
321,felt,0,1,4,0
322,nation,0,3,6,1
323,tourism,0,3,7,1
324,hotspots,0,2,8,0
325,Roughly,0,2,7,0
326,workers,0,2,7,0
327,beach,0,2,5,0
328,destinations,0,5,12,1
329,like,0,2,4,0
330,Kahului,0,4,7,1
331,island,0,2,6,0
332,Maui,0,3,4,1
333,Hawaii,0,4,6,1
334,Myrtle,0,1,6,0
