,Token,Score,Syllable_Count,Word_length,IsComplex
0,Coronavirus,0,5,11,1
1,globally,0,2,8,0
2,carrying,0,2,8,0
3,status,0,2,6,0
4,pandemic,0,3,8,1
5,led,1,0,3,0
6,worldwide,0,3,9,1
7,crisis,-1,2,6,0
8,effects,0,2,7,0
9,hospitality,0,4,11,1
10,industry,0,2,8,0
11,potentially,0,4,11,1
12,heavier,0,4,7,1
13,9,0,0,1,0
14,11,0,0,2,0
15,SARS,0,1,4,0
16,financial,0,4,9,1
17,crisis,-1,2,6,0
18,2008,0,0,4,0
19,know,0,1,4,0
20,Coronavirus,0,5,11,1
21,Impact,0,2,6,0
22,Hospitality,0,4,11,1
23,Industry,0,2,8,0
24,time,0,2,4,0
25,however,0,3,7,1
26,hospitality,0,4,11,1
27,industry,0,2,8,0
28,never,0,2,5,0
29,experienced,0,0,11,0
30,sudden,0,2,6,0
31,downturn,-1,2,8,0
32,Putting,0,2,7,0
33,human,0,2,5,0
34,Centre,0,2,6,0
35,situation,0,5,9,1
36,virus,-1,2,5,0
37,generates,0,0,9,0
38,fear,-1,2,4,0
39,impacts,0,2,7,0
40,us,0,1,2,0
41,deeply,0,2,6,0
42,emotional,0,5,9,1
43,generation,0,5,10,1
44,never,0,2,5,0
45,felt,0,1,4,0
46,Covid,0,2,5,0
47,19,0,0,2,0
48,made,0,2,4,0
49,massive,0,3,7,1
50,impact,0,2,6,0
51,world,0,1,5,0
52,tourism,0,3,7,1
53,hospitality,0,4,11,1
54,sector,0,2,6,0
55,industry,0,2,8,0
56,passing,0,2,7,0
57,unforeseen,-1,5,10,1
58,unprecedented,0,0,13,0
59,crisis,-1,2,6,0
60,led,1,0,3,0
61,socio,0,3,5,1
62,economic,0,4,8,1
63,domino,0,3,6,1
64,effect,0,2,6,0
65,significant,1,4,11,1
66,impact,0,2,6,0
67,global,0,2,6,0
68,tourism,0,3,7,1
69,hospitality,0,4,11,1
70,industry,0,2,8,0
71,Thus,0,1,4,0
72,Coronavirus,0,5,11,1
73,Impact,0,2,6,0
74,Hospitality,0,4,11,1
75,Industry,0,2,8,0
76,96,0,0,2,0
77,global,0,2,6,0
78,destinations,0,5,12,1
79,imposed,0,0,7,0
80,travel,0,2,6,0
81,bans,0,1,4,0
82,restrictions,0,4,12,1
83,Jan,0,1,3,0
84,2020,0,0,4,0
85,tourism,0,3,7,1
86,Hospitality,0,4,11,1
87,Industry,0,2,8,0
88,service,0,3,7,1
89,industries,0,0,10,0
90,help,0,1,4,0
91,enrich,1,2,6,0
92,enlighten,1,3,9,1
93,provide,0,3,7,1
94,self,0,1,4,0
95,satisfaction,0,5,12,1
96,industry,0,2,8,0
97,contributes,0,0,11,0
98,10,0,0,2,0
99,3,0,0,1,0
100,Global,0,2,6,0
101,GDP,0,0,3,0
102,means,0,2,5,0
103,providing,0,3,9,1
104,1,0,0,1,0
105,10,0,0,2,0
106,jobs,0,1,4,0
107,world,0,1,5,0
108,2019,0,0,4,0
109,Statistics,0,3,10,1
110,9,0,0,1,0
111,2,0,0,1,0
112,India,0,3,5,1
113,GDP,0,0,3,0
114,providing,0,3,9,1
115,1,0,0,1,0
116,4,0,0,1,0
117,jobs,0,1,4,0
118,India,0,3,5,1
119,Indian,0,3,6,1
120,Statistics,0,3,10,1
121,2018,0,0,4,0
122,global,0,2,6,0
123,industry,0,2,8,0
124,growth,0,1,6,0
125,3,0,0,1,0
126,5,0,0,1,0
127,potentially,0,4,11,1
128,providing,0,3,9,1
129,330,0,0,3,0
130,million,0,3,7,1
131,jobs,0,1,4,0
132,besides,0,0,7,0
133,significant,1,4,11,1
134,source,0,3,6,1
135,foreign,0,3,7,1
136,exchange,0,3,8,1
137,standstill,-1,2,10,0
138,un,0,1,2,0
139,paralleled,0,0,10,0
140,unforeseen,-1,5,10,1
141,impact,0,2,6,0
142,United,0,0,6,0
143,Nations,0,3,7,1
144,World,0,1,5,0
145,Tourism,0,3,7,1
146,Organisations,0,6,13,1
147,states,0,0,6,0
148,assessment,0,3,10,1
149,impact,0,2,6,0
150,unparalleled,1,0,12,0
151,crisis,-1,2,6,0
152,tourism,0,3,7,1
153,sector,0,2,6,0
154,quickly,0,2,7,0
155,surpassed,0,0,9,0
156,fast,0,1,4,0
157,changing,0,2,8,0
158,reality,0,3,7,1
159,Considering,0,4,11,1
160,unparalleled,1,0,12,0
161,fast,0,1,4,0
162,evolving,0,3,8,1
163,nature,0,3,6,1
164,crisis,-1,2,6,0
165,extremely,0,3,9,1
166,challenging,-1,3,11,1
167,estimate,0,4,8,1
168,impact,0,2,6,0
169,COVID,0,2,5,0
170,19,0,0,2,0
171,international,0,6,13,1
172,tourism,0,3,7,1
173,numbers,0,2,7,0
174,rising,0,2,6,0
175,every,0,2,5,0
176,week,0,2,4,0
177,approximately,0,5,13,1
178,75,0,0,2,0
179,million,0,3,7,1
180,jobs,0,1,4,0
181,affected,0,0,8,0
182,also,0,2,4,0
183,impacting,0,3,9,1
184,local,0,2,5,0
185,products,0,2,8,0
186,vulnerable,-1,4,10,1
187,communities,0,0,11,0
188,whose,0,2,5,0
189,survivals,0,3,9,1
190,depend,0,2,6,0
191,incoming,0,3,8,1
192,tourists,0,3,8,1
193,Spreading,0,3,9,1
194,impact,0,2,6,0
195,almost,0,2,6,0
196,tourism,0,3,7,1
197,allied,0,0,6,0
198,industries,0,0,10,0
199,jobs,0,1,4,0
200,suffering,-1,3,9,1
201,tourism,0,3,7,1
202,always,0,2,6,0
203,history,0,2,7,0
204,continued,0,0,9,0
205,growth,0,1,6,0
206,resilience,0,5,10,1
207,Blackcoffer,0,3,11,1
208,Insights,0,2,8,0
209,17,0,0,2,0
210,Sukriti,0,3,7,1
211,Shalini,0,3,7,1
212,ICFAI,0,3,5,1
213,Business,0,3,8,1
214,School,0,2,6,0
215,Bengaluru,0,4,9,1
