,Token,Score,Syllable_Count,Word_length,IsComplex
0,Since,0,2,5,0
1,creation,0,4,8,1
2,EU,0,2,2,0
3,challenges,0,0,10,0
4,worst,-1,1,5,0
5,public,0,2,6,0
6,health,0,2,6,0
7,issues,-1,0,6,0
8,Human,0,2,5,0
9,suffering,-1,3,9,1
10,loss,-1,1,4,0
11,life,0,2,4,0
12,always,0,2,6,0
13,distressing,-1,3,11,1
14,member,0,2,6,0
15,states,0,0,6,0
16,done,0,2,4,0
17,could,0,2,5,0
18,curb,0,1,4,0
19,spread,0,2,6,0
20,infection,-1,4,9,1
21,established,0,0,11,0
22,partition,0,4,9,1
23,state,0,2,5,0
24,boundaries,0,0,10,0
25,well,0,1,4,0
26,internally,0,3,10,1
27,isolating,0,4,9,1
28,critical,-1,3,8,1
29,cities,0,0,6,0
30,regions,0,3,7,1
31,people,0,3,6,1
32,living,0,2,6,0
33,outside,0,4,7,1
34,EU,0,2,2,0
35,seem,0,2,4,0
36,strange,0,2,7,0
37,self,0,1,4,0
38,serving,0,2,7,0
39,actually,0,3,8,1
40,EU,0,2,2,0
41,unified,0,0,7,0
42,federal,0,3,7,1
43,entity,0,2,6,0
44,government,0,3,10,1
45,legislation,0,5,11,1
46,language,0,4,8,1
47,army,0,1,4,0
48,however,0,3,7,1
49,Christian,0,3,9,1
50,alliance,0,4,8,1
51,although,0,3,8,1
52,tolerate,0,4,8,1
53,religions,0,4,9,1
54,process,0,2,7,0
55,achieving,0,4,9,1
56,closer,0,2,6,0
57,integration,0,5,11,1
58,cases,0,0,5,0
59,national,0,4,8,1
60,law,0,1,3,0
61,supersedes,0,0,10,0
62,supranational,0,6,13,1
63,EU,0,2,2,0
64,law,0,1,3,0
65,member,0,2,6,0
66,state,0,2,5,0
67,participates,0,0,12,0
68,EU,0,2,2,0
69,based,0,0,5,0
70,citizenship,0,4,11,1
71,identity,0,3,8,1
72,people,0,3,6,1
73,makes,0,0,5,0
74,sense,0,2,5,0
75,risk,-1,1,4,0
76,public,0,2,6,0
77,health,0,2,6,0
78,involving,0,3,9,1
79,contagion,0,4,9,1
80,would,0,2,5,0
81,managed,0,0,7,0
82,national,0,4,8,1
83,basis,0,2,5,0
84,approach,0,3,8,1
85,also,0,2,4,0
86,solves,0,0,6,0
87,language,0,4,8,1
88,barriers,0,3,8,1
89,hospitals,0,3,9,1
90,economical,1,5,10,1
91,patient,1,3,7,1
92,involved,0,0,8,0
93,means,0,2,5,0
94,mean,0,2,4,0
95,cooperation,0,6,11,1
96,member,0,2,6,0
97,states,0,0,6,0
98,stalled,0,0,7,0
99,ceased,0,0,6,0
100,unity,1,2,5,0
101,challenged,0,0,10,0
102,Simply,0,1,6,0
103,need,0,0,4,0
104,resources,0,0,9,0
105,companies,0,0,9,0
106,EU,0,2,2,0
107,produce,0,3,7,1
108,extempore,0,4,9,1
109,necessary,0,3,9,1
110,PPEs,0,0,4,0
111,restructuring,1,4,13,1
112,companies,0,0,9,0
113,modus,0,2,5,0
114,operandi,0,4,8,1
115,needed,0,0,6,0
116,every,0,2,5,0
117,confidence,1,4,10,1
118,adjust,0,2,6,0
119,Shortages,0,0,9,0
120,human,0,2,5,0
121,sector,0,2,6,0
122,e,0,1,1,0
123,medical,0,3,7,1
124,personnel,0,3,9,1
125,difficult,-1,3,9,1
126,tackle,0,2,6,0
