,Token,Score,Syllable_Count,Word_length,IsComplex
0,Dreams,0,2,6,0
1,powerful,1,3,8,1
2,Right,0,1,5,0
3,escaping,0,3,8,1
4,reality,0,3,7,1
5,envisioning,0,5,11,1
6,future,0,3,6,1
7,experiencing,0,5,12,1
8,adventures,0,0,10,0
9,like,0,2,4,0
10,spacewalk,0,3,9,1
11,time,0,2,4,0
12,travel,0,2,6,0
13,love,0,2,4,0
14,dreaming,0,3,8,1
15,ask,0,1,3,0
16,eighties,0,0,8,0
17,look,0,2,4,0
18,like,0,2,4,0
19,imagine,0,4,7,1
20,Well,0,1,4,0
21,dreamt,0,2,6,0
22,dotage,0,3,6,1
23,surprised,0,0,9,0
24,world,0,1,5,0
25,imagined,0,0,8,0
26,living,0,2,6,0
27,Every,0,2,5,0
28,morning,0,2,7,0
29,would,0,2,5,0
30,wake,0,2,4,0
31,listening,0,3,9,1
32,sweet,0,2,5,0
33,chirps,0,1,6,0
34,beside,0,3,6,1
35,sparkling,1,2,9,0
36,brook,0,2,5,0
37,ran,0,1,3,0
38,lush,1,1,4,0
39,green,0,2,5,0
40,mountains,0,4,9,1
41,world,0,1,5,0
42,older,0,2,5,0
43,people,0,3,6,1
44,like,0,2,4,0
45,suffer,-1,2,6,0
46,breathing,0,3,9,1
47,problems,-1,2,8,0
48,Frequent,0,3,8,1
49,traffic,0,2,7,0
50,jams,0,1,4,0
51,congested,-1,0,9,0
52,buildings,0,3,9,1
53,industries,0,0,10,0
54,emitting,0,3,8,1
55,excessive,-1,4,9,1
56,smoke,-1,2,5,0
57,forlorn,-1,2,7,0
58,memories,0,0,8,0
59,History,0,2,7,0
60,books,0,2,5,0
61,would,0,2,5,0
62,include,0,3,7,1
63,chapters,0,2,8,0
64,Climate,0,3,7,1
65,action,0,3,6,1
66,strike,-1,2,6,0
67,Biodiversity,0,5,12,1
68,Restoration,0,5,11,1
69,Water,0,2,5,0
70,Conservation,0,5,12,1
71,Campaign,0,3,8,1
72,aging,0,2,5,0
73,times,0,0,5,0
74,mine,0,2,4,0
75,would,0,2,5,0
76,sit,0,1,3,0
77,hours,0,2,5,0
78,riverside,0,4,9,1
79,observing,0,3,9,1
80,blooming,0,3,8,1
81,aquatic,0,4,7,1
82,life,0,2,4,0
83,swiftly,0,1,7,0
84,jumping,0,2,7,0
85,fishes,0,0,6,0
86,would,0,2,5,0
87,splash,0,1,6,0
88,water,0,2,5,0
89,onto,0,2,4,0
90,face,0,2,4,0
91,suddenly,0,2,8,0
92,shattering,0,3,10,1
93,wonderful,1,3,9,1
94,world,0,1,5,0
95,love,0,2,4,0
96,Coming,0,2,6,0
97,back,0,1,4,0
98,present,0,2,7,0
99,imaginary,-1,4,9,1
100,world,0,1,5,0
101,constantly,0,2,10,0
102,question,0,4,8,1
103,remain,0,3,6,1
104,dream,0,2,5,0
105,Well,0,1,4,0
106,believe,0,4,7,1
107,2019,0,0,4,0
108,coronavirus,0,5,11,1
109,lockdown,0,2,8,0
110,positive,1,4,8,1
111,kick,0,1,4,0
112,start,0,1,5,0
113,transform,0,2,9,0
114,pleasant,0,3,8,1
115,dream,0,2,5,0
116,ultimate,0,4,8,1
117,reality,0,3,7,1
118,lockdown,0,2,8,0
119,shown,0,1,5,0
120,live,0,2,4,0
121,green,0,2,5,0
122,surely,0,2,6,0
123,implications,0,5,12,1
124,Due,0,2,3,0
125,COVID,0,2,5,0
126,19,0,0,2,0
127,countries,0,0,9,0
128,imposed,0,0,7,0
129,lockdowns,0,2,9,0
130,curb,0,1,4,0
131,virus,-1,2,5,0
132,world,0,1,5,0
133,faced,0,0,5,0
134,difficult,-1,3,9,1
135,times,0,0,5,0
136,due,0,2,3,0
137,rising,0,2,6,0
138,issues,-1,0,6,0
139,economic,0,4,8,1
140,sector,0,2,6,0
141,public,0,2,6,0
142,health,0,2,6,0
143,infrastructure,0,5,14,1
144,instability,-1,4,11,1
145,global,0,2,6,0
146,cooperation,0,6,11,1
147,serious,0,4,7,1
148,issues,-1,0,6,0
149,undoubtedly,0,4,11,1
150,addressed,0,0,9,0
151,utmost,0,2,6,0
152,priority,0,3,8,1
153,without,0,3,7,1
154,overshadowing,0,5,13,1
155,existing,0,3,8,1
156,global,0,2,6,0
157,problems,-1,2,8,0
158,Notwithstanding,0,4,15,1
159,harm,-1,1,4,0
160,various,0,4,7,1
161,sectors,0,2,7,0
162,environment,0,4,11,1
163,live,0,2,4,0
164,also,0,2,4,0
165,quite,0,3,5,1
166,closely,0,2,7,0
167,impacted,0,0,8,0
168,COVID,0,2,5,0
169,pandemic,0,3,8,1
170,unprecedented,0,0,13,0
171,manner,0,2,6,0
172,interesting,1,4,11,1
173,explore,0,3,7,1
174,COVID,0,2,5,0
175,19,0,0,2,0
176,lockdown,0,2,8,0
177,impacted,0,0,8,0
178,biodiversity,0,5,12,1
179,around,0,3,6,1
180,globe,0,2,5,0
181,lockdown,0,2,8,0
182,time,0,2,4,0
183,humans,0,2,6,0
184,caged,0,0,5,0
185,homes,0,0,5,0
186,animals,0,3,7,1
187,fear,-1,2,4,0
188,someone,0,4,7,1
189,heckling,0,2,8,0
190,Even,0,2,4,0
191,though,0,2,6,0
192,animals,0,3,7,1
193,celebrated,1,0,10,0
194,freedom,1,3,7,1
195,suffered,-1,0,8,0
196,due,0,2,3,0
197,lack,-1,1,4,0
198,attention,0,4,9,1
199,wondered,0,0,8,0
200,happened,0,0,8,0
201,already,0,3,7,1
202,endangered,0,0,10,0
203,species,0,0,7,0
204,suddenly,0,2,8,0
205,left,0,1,4,0
206,uncared,0,0,7,0
207,Unfortunately,0,5,13,1
208,home,0,2,4,0
209,confinement,0,4,11,1
210,social,0,3,6,1
211,isolation,-1,5,9,1
212,staff,0,1,5,0
213,places,0,0,6,0
214,also,0,2,4,0
215,reduced,0,0,7,0
216,increased,0,0,9,0
217,illegal,-1,3,7,1
218,activities,0,0,10,0
219,Reports,0,2,7,0
220,Kenya,0,2,5,0
221,Cambodia,0,4,8,1
222,Philippines,0,0,11,0
223,confirmed,0,0,9,0
224,uptick,0,2,6,0
225,poaching,0,3,8,1
226,illegal,-1,3,7,1
227,logging,0,2,7,0
228,wildlife,0,3,8,1
229,trafficking,0,3,11,1
230,Data,0,2,4,0
231,collection,0,4,10,1
232,studies,0,0,7,0
233,regarding,0,3,9,1
234,animal,0,3,6,1
235,livelihood,0,5,10,1
236,halted,0,0,6,0
237,making,0,2,6,0
238,regular,0,3,7,1
239,health,0,2,6,0
240,monitoring,0,4,10,1
241,different,0,3,9,1
242,species,0,0,7,0
243,nearly,0,2,6,0
244,impossible,-1,4,10,1
245,Moreover,0,4,8,1
246,pandemic,0,3,8,1
