,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID,0,2,5,0
1,19,0,0,2,0
2,pandemic,0,3,8,1
3,impacting,0,3,9,1
4,communities,0,0,11,0
5,world,0,1,5,0
6,149,0,0,3,0
7,offices,0,0,7,0
8,countries,0,0,9,0
9,worldwide,0,3,9,1
10,leading,1,3,7,1
11,global,0,2,6,0
12,effort,0,2,6,0
13,support,1,2,7,0
14,countries,0,0,9,0
15,preventing,0,3,10,1
16,detecting,0,3,9,1
17,responding,0,3,10,1
18,pandemic,0,3,8,1
19,also,0,2,4,0
20,monitoring,0,4,10,1
21,response,0,3,8,1
22,143,0,0,3,0
23,countries,0,0,9,0
24,COVID,0,2,5,0
25,19,0,0,2,0
26,response,0,3,8,1
27,plans,0,1,5,0
28,almost,0,2,6,0
29,194,0,0,3,0
30,countries,0,0,9,0
31,adopted,0,0,7,0
32,public,0,2,6,0
33,health,0,2,6,0
34,response,0,3,8,1
35,measures,0,0,8,0
36,based,0,0,5,0
37,guidance,1,4,8,1
38,response,0,3,8,1
39,also,0,2,4,0
40,covers,0,2,6,0
41,procurement,0,4,11,1
42,supplies,0,0,8,0
43,2,0,0,1,0
44,March,0,1,5,0
45,bought,0,2,6,0
46,shipped,0,0,7,0
47,1,0,0,1,0
48,5,0,0,1,0
49,million,0,3,7,1
50,coronavirus,0,5,11,1
51,test,0,1,4,0
52,kits,0,1,4,0
53,close,0,2,5,0
54,800,0,0,3,0
55,000,0,0,3,0
56,face,0,2,4,0
57,masks,0,1,5,0
58,across,0,2,6,0
59,planet,0,2,6,0
60,delivering,0,4,10,1
61,personal,0,3,8,1
62,protective,1,4,10,1
63,gear,0,2,4,0
64,70,0,0,2,0
65,countries,0,0,9,0
66,time,0,2,4,0
67,half,0,1,4,0
68,personnel,0,3,9,1
69,responding,0,3,10,1
70,ground,0,2,6,0
71,providing,0,3,9,1
72,real,0,2,4,0
73,time,0,2,4,0
74,updates,0,0,7,0
75,expertise,0,4,9,1
76,coordination,0,6,12,1
77,governments,0,3,11,1
78,humanitarian,0,6,12,1
79,agencies,0,0,8,0
80,public,0,2,6,0
81,race,0,2,4,0
82,respond,0,2,7,0
83,Countries,0,0,9,0
84,adopting,0,3,8,1
85,different,0,3,9,1
86,ways,0,1,4,0
87,contain,0,3,7,1
88,spread,0,2,6,0
89,coronavirus,0,5,11,1
90,one,0,2,3,0
91,size,0,2,4,0
92,fits,0,1,4,0
93,approach,0,3,8,1
94,Towns,0,1,5,0
95,cities,0,0,6,0
96,locked,0,0,6,0
97,large,0,2,5,0
98,gatherings,0,3,10,1
99,banned,0,0,6,0
100,Restrictions,0,4,12,1
101,imposed,0,0,7,0
102,travellers,0,3,10,1
103,hard,-1,1,4,0
104,hit,0,1,3,0
105,areas,0,3,5,1
106,China,0,2,5,0
107,Italy,0,2,5,0
108,Iran,0,2,4,0
109,Major,0,2,5,0
110,sporting,0,2,8,0
111,events,0,2,6,0
112,carnivals,0,3,9,1
113,events,0,2,6,0
114,postponed,0,0,9,0
115,cancelled,0,0,9,0
116,COVID,0,2,5,0
117,19,0,0,2,0
118,coronavirus,0,5,11,1
119,spread,0,2,6,0
120,every,0,2,5,0
121,continent,0,3,9,1
122,except,0,2,6,0
123,Antarctica,0,4,10,1
124,challenging,-1,3,11,1
125,health,0,2,6,0
126,systems,0,1,7,0
127,governments,0,3,11,1
128,everywhere,0,4,10,1
129,Although,0,3,8,1
130,vast,0,1,4,0
131,majority,0,3,8,1
132,almost,0,2,6,0
133,90,0,0,2,0
134,000,0,0,3,0
135,cases,0,0,5,0
136,around,0,3,6,1
137,world,0,1,5,0
138,China,0,2,5,0
139,virus,-1,2,5,0
140,originated,0,0,10,0
141,64,0,0,2,0
142,different,0,3,9,1
143,countries,0,0,9,0
144,affected,0,0,8,0
145,virus,-1,2,5,0
146,represents,0,3,10,1
147,mild,0,1,4,0
148,health,0,2,6,0
149,issue,-1,3,5,1
150,vulnerable,-1,4,10,1
151,members,0,2,7,0
152,society,0,3,7,1
153,consequences,0,0,12,0
154,serious,0,4,7,1
155,Containment,0,4,11,1
156,remains,0,3,7,1
157,priority,0,3,8,1
158,countries,0,0,9,0
159,one,0,2,3,0
160,size,0,2,4,0
161,fits,0,1,4,0
162,approach,0,3,8,1
163,tackling,0,2,8,0
164,spread,0,2,6,0
165,disease,0,4,7,1
166,France,0,2,6,0
167,French,0,1,6,0
168,government,0,3,10,1
169,advised,0,0,7,0
170,citizens,0,3,8,1
171,abandon,0,3,7,1
172,customary,0,3,9,1
173,bise,0,2,4,0
174,greeting,0,3,8,1
175,involving,0,3,9,1
176,kissing,0,2,7,0
177,cheek,0,2,5,0
178,bid,0,1,3,0
179,slow,-1,1,4,0
180,spread,0,2,6,0
181,COVID,0,2,5,0
182,19,0,0,2,0
183,Public,0,2,6,0
184,gatherings,0,3,10,1
185,5,0,0,1,0
186,000,0,0,3,0
187,people,0,3,6,1
188,also,0,2,4,0
189,limits,-1,2,6,0
190,resulting,0,3,9,1
191,cancellation,0,5,12,1
192,events,0,2,6,0
193,like,0,2,4,0
194,Paris,0,2,5,0
195,Half,0,1,4,0
196,Marathon,0,3,8,1
197,Following,0,3,9,1
198,decision,0,4,8,1
199,Louvre,0,3,6,1
200,museum,0,3,6,1
201,Paris,0,2,5,0
202,closed,0,0,6,0
