,Token,Score,Syllable_Count,Word_length,IsComplex
0,anything,0,2,8,0
1,kills,-1,1,5,0
2,10,0,0,2,0
3,million,0,3,7,1
4,people,0,3,6,1
5,next,0,1,4,0
6,decades,0,0,7,0
7,likely,0,2,6,0
8,highly,0,1,6,0
9,infectious,0,5,10,1
10,virus,-1,2,5,0
11,rather,0,2,6,0
12,war,0,1,3,0
13,Bill,0,1,4,0
14,Gates,0,0,5,0
15,Bill,0,1,4,0
16,Gates,0,0,5,0
17,TedX,0,1,4,0
18,address,0,2,7,0
19,2015,0,0,4,0
20,pointed,0,0,7,0
21,predicament,-1,4,11,1
22,world,0,1,5,0
23,leaders,0,3,7,1
24,failed,-1,0,6,0
25,invest,0,2,6,0
26,sufficiently,1,4,12,1
27,health,0,2,6,0
28,infrastructure,0,5,14,1
29,elaborated,0,0,10,0
30,inability,-1,4,9,1
31,prevailing,0,4,10,1
32,health,0,2,6,0
33,facilities,0,0,10,0
34,accommodate,0,5,11,1
35,next,0,1,4,0
36,pandemic,0,3,8,1
37,world,0,1,5,0
38,would,0,2,5,0
39,face,0,2,4,0
40,whole,0,2,5,0
41,world,0,1,5,0
42,grappling,0,2,9,0
43,COVID,0,2,5,0
44,19,0,0,2,0
45,virus,-1,2,5,0
46,took,0,2,4,0
47,birth,0,1,5,0
48,city,0,1,4,0
49,Wuhan,0,2,5,0
50,spread,0,2,6,0
51,across,0,2,6,0
52,globe,0,2,5,0
53,claiming,0,3,8,1
54,half,0,1,4,0
55,hundred,0,0,7,0
56,thousand,0,3,8,1
57,lives,0,0,5,0
58,affecting,0,3,9,1
59,million,0,3,7,1
60,people,0,3,6,1
61,fear,-1,2,4,0
62,virus,-1,2,5,0
63,spreading,0,3,9,1
64,whole,0,2,5,0
65,world,0,1,5,0
66,entered,0,0,7,0
67,complete,0,3,8,1
68,stringent,-1,2,9,0
69,lockdown,0,2,8,0
70,mandated,0,0,8,0
71,national,0,4,8,1
72,governments,0,3,11,1
73,caused,0,0,6,0
74,economic,0,4,8,1
75,activities,0,0,10,0
76,worldwide,0,3,9,1
77,come,0,2,4,0
78,standstill,-1,2,10,0
79,except,0,2,6,0
80,sectors,0,2,7,0
81,provisioned,0,0,11,0
82,essential,0,4,9,1
83,goods,0,2,5,0
84,services,0,0,8,0
85,international,0,6,13,1
86,agency,0,2,6,0
87,IMF,0,1,3,0
88,projected,0,0,9,0
89,global,0,2,6,0
90,output,0,3,6,1
91,contract,0,2,8,0
92,3,0,0,1,0
93,2020,0,0,4,0
94,even,0,2,4,0
95,worse,-1,2,5,0
96,2008,0,0,4,0
97,09,0,0,2,0
98,financial,0,4,9,1
99,crises,0,0,6,0
100,Moody,0,2,5,0
101,downgraded,0,0,10,0
102,global,0,2,6,0
103,growth,0,1,6,0
104,forecast,0,3,8,1
105,2,0,0,1,0
106,5,0,0,1,0
107,2020,0,0,4,0
108,earlier,0,4,7,1
109,estimate,0,4,8,1
110,5,0,0,1,0
111,3,0,0,1,0
112,US,0,1,2,0
113,economy,0,3,7,1
114,expected,0,0,8,0
115,contract,0,2,8,0
116,2,0,0,1,0
117,Euro,0,3,4,1
118,era,0,2,3,0
119,2,0,0,1,0
120,2,0,0,1,0
121,China,0,2,5,0
122,expected,0,0,8,0
123,grow,0,1,4,0
124,3,0,0,1,0
125,3,0,0,1,0
126,rather,0,2,6,0
127,earlier,0,4,7,1
128,estimate,0,4,8,1
129,6,0,0,1,0
130,2021,0,0,4,0
131,national,0,4,8,1
132,governments,0,3,11,1
133,presented,0,0,9,0
134,inevitable,-1,5,10,1
135,challenges,0,0,10,0
136,ensuring,0,3,8,1
137,sustenance,0,4,10,1
138,livelihood,0,5,10,1
139,masses,0,0,6,0
140,improving,1,3,9,1
141,investor,0,3,8,1
142,confidence,1,4,10,1
143,preventing,0,3,10,1
144,economies,0,0,9,0
145,falling,-1,2,7,0
146,recession,-1,4,9,1
147,absence,-1,3,7,1
148,consumerism,0,4,11,1
149,amidst,0,2,6,0
150,uncertainty,0,4,11,1
151,longevity,0,3,9,1
152,future,0,3,6,1
153,intensity,0,3,9,1
154,pandemic,0,3,8,1
155,GOI,0,2,3,0
156,took,0,2,4,0
157,decision,0,4,8,1
158,enter,0,2,5,0
159,lockdown,0,2,8,0
160,preliminary,0,4,11,1
161,phase,0,2,5,0
162,spread,0,2,6,0
163,virus,-1,2,5,0
164,Indian,0,3,6,1
165,economy,0,3,7,1
166,fiscal,0,2,6,0
167,year,0,2,4,0
168,2019,0,0,4,0
169,already,0,3,7,1
170,hit,0,1,3,0
171,severe,-1,3,6,1
172,NPA,0,1,3,0
173,crises,0,0,6,0
174,witnessed,0,0,9,0
175,downward,0,2,8,0
176,spiral,0,2,6,0
177,grew,0,1,4,0
178,mere,0,2,4,0
179,rate,0,2,4,0
180,5,0,0,1,0
181,6,0,0,1,0
182,8,0,0,1,0
183,2018,0,0,4,0
184,per,0,1,3,0
185,statistics,0,3,10,1
186,released,0,0,8,0
187,NSO,0,1,3,0
188,National,0,4,8,1
189,Statistical,0,4,11,1
190,Organization,0,6,12,1
191,manufacturing,0,5,13,1
192,construction,0,4,12,1
193,sectors,0,2,7,0
194,negative,-1,4,8,1
195,outliers,0,4,8,1
196,government,0,3,10,1
197,order,0,2,5,0
198,recuperate,0,5,10,1
199,announced,0,0,9,0
200,plethora,0,3,8,1
201,decisions,0,4,9,1
202,government,0,3,10,1
203,cut,0,1,3,0
204,corporate,0,4,9,1
205,tax,0,1,3,0
206,30,0,0,2,0
207,22,0,0,2,0
208,manufacturing,0,5,13,1
209,enterprises,0,0,11,0
210,25,0,0,2,0
211,15,0,0,2,0
212,order,0,2,5,0
213,strengthen,0,2,10,0
214,position,0,4,8,1
215,public,0,2,6,0
216,sector,0,2,6,0
217,banks,0,1,5,0
218,government,0,3,10,1
219,announced,0,0,9,0
220,merger,0,2,6,0
221,10,0,0,2,0
222,public,0,2,6,0
223,sector,0,2,6,0
224,banks,0,1,5,0
225,4,0,0,1,0
226,government,0,3,10,1
227,also,0,2,4,0
228,announced,0,0,9,0
229,fiscal,0,2,6,0
230,stimulus,0,3,8,1
231,1,0,0,1,0
232,7,0,0,1,0
233,lakh,0,1,4,0
234,crores,0,0,6,0
235,INR,0,1,3,0
236,stepping,0,2,8,0
237,fiscal,0,2,6,0
238,deficit,0,3,7,1
239,target,0,2,6,0
240,order,0,2,5,0
241,drive,0,2,5,0
242,economy,0,3,7,1
243,downward,0,2,8,0
244,spiral,0,2,6,0
245,get,0,1,3,0
246,path,0,1,4,0
247,growth,0,1,6,0
248,giving,0,2,6,0
249,lubricant,0,3,9,1
250,economy,0,3,7,1
251,facing,0,2,6,0
252,liquidity,0,4,9,1
253,crunch,0,1,6,0
254,heightening,0,4,11,1
255,NPA,0,1,3,0
256,Coronavirus,0,5,11,1
257,outbreak,-1,4,8,1
258,halted,0,0,6,0
259,economic,0,4,8,1
260,activity,0,3,8,1
261,posed,0,0,5,0
262,government,0,3,10,1
263,issue,-1,3,5,1
264,fulfilling,0,3,10,1
265,basic,0,2,5,0
266,survival,1,3,8,1
267,needs,0,2,5,0
268,workers,0,2,7,0
269,informal,0,3,8,1
270,sector,0,2,6,0
271,wake,0,2,4,0
272,massive,0,3,7,1
273,urbanization,0,6,12,1
274,daily,0,2,5,0
275,wage,0,2,4,0
276,earners,0,3,7,1
277,tried,0,0,5,0
278,walk,0,1,4,0
279,native,0,3,6,1
280,places,0,0,6,0
281,huge,0,2,4,0
282,numbers,0,2,7,0
283,posing,0,2,6,0
284,immense,1,3,7,1
285,difficulty,-1,3,10,1
286,government,0,3,10,1
287,Apart,0,2,5,0
288,domestic,0,3,8,1
289,equity,0,3,6,1
290,market,0,2,6,0
291,indices,0,0,7,0
292,BSE,0,1,3,0
293,Sensex,0,2,6,0
294,NSE,0,1,3,0
295,Nifty,1,1,5,0
296,crashed,-1,0,7,0
297,reflected,0,0,9,0
298,erosion,-1,4,7,1
299,investor,0,3,8,1
300,confidence,1,4,10,1
301,reflected,0,0,9,0
302,stealth,0,2,7,0
303,bearish,-1,3,7,1
304,sentiment,0,3,9,1
305,around,0,3,6,1
306,world,0,1,5,0
307,amalgamated,0,0,11,0
308,together,0,3,8,1
309,posed,0,0,5,0
310,serious,0,4,7,1
311,question,0,4,8,1
312,survival,1,3,8,1
313,huge,0,2,4,0
314,chunk,0,1,5,0
315,Indian,0,3,6,1
316,population,0,5,10,1
317,invited,0,0,7,0
318,lot,0,1,3,0
319,criticism,-1,3,9,1
320,government,0,3,10,1
321,Central,0,2,7,0
322,NDA,0,1,3,0
323,government,0,3,10,1
324,announced,0,0,9,0
325,fiscal,0,2,6,0
326,relief,1,3,6,1
327,package,0,3,7,1
328,Central,0,2,7,0
329,government,0,3,10,1
330,announced,0,0,9,0
331,fiscal,0,2,6,0
332,stimulus,0,3,8,1
333,additional,0,5,10,1
334,INR,0,1,3,0
335,1,0,0,1,0
336,7,0,0,1,0
337,Lakh,0,1,4,0
338,Crores,0,0,6,0
339,constitutes,0,0,11,0
340,approximately,0,5,13,1
341,0,0,0,1,0
342,8,0,0,1,0
343,India,0,3,5,1
344,GDP,0,0,3,0
345,Pradhan,0,2,7,0
346,Mantri,0,2,6,0
347,Gareeb,0,3,6,1
348,Kalyan,0,2,6,0
349,Yojna,0,2,5,0
350,fiscal,0,2,6,0
351,stimulus,0,3,8,1
352,used,0,0,4,0
353,target,0,2,6,0
354,underprivileged,0,0,15,0
355,section,0,3,7,1
356,society,0,3,7,1
357,instead,0,3,7,1
358,conventional,0,5,12,1
