,Token,Score,Syllable_Count,Word_length,IsComplex
0,Data,0,2,4,0
1,Analytics,0,3,9,1
2,tool,0,2,4,0
3,reduce,0,3,6,1
4,cost,0,1,4,0
5,production,0,4,10,1
6,Oil,0,2,3,0
7,Gas,0,1,3,0
8,Oil,0,2,3,0
9,Gas,0,1,3,0
10,sector,0,2,6,0
11,core,0,2,4,0
12,industries,0,0,10,0
13,India,0,3,5,1
14,play,0,1,4,0
15,important,1,3,9,1
16,role,0,2,4,0
17,influencing,0,4,11,1
18,decision,0,4,8,1
19,making,0,2,6,0
20,sections,0,3,8,1
21,economy,0,3,7,1
22,government,0,3,10,1
23,taken,0,2,5,0
24,steps,0,1,5,0
25,keeping,0,3,7,1
26,mind,0,1,4,0
27,increasing,0,4,10,1
28,demand,0,2,6,0
29,oil,0,2,3,0
30,gas,0,1,3,0
31,government,0,3,10,1
32,allowed,0,0,7,0
33,100,0,0,3,0
34,percent,0,2,7,0
35,Foreign,0,3,7,1
36,Direct,0,2,6,0
37,Investment,0,3,10,1
38,sectors,0,2,7,0
39,including,0,3,9,1
40,natural,0,3,7,1
41,gas,0,1,3,0
42,petroleum,0,4,9,1
43,attracted,0,0,9,0
44,foreign,0,3,7,1
45,domestic,0,3,8,1
46,investors,0,3,9,1
47,like,0,2,4,0
48,Reliance,0,4,8,1
49,Industries,0,0,10,0
50,Ltd,0,0,3,0
51,Cairn,0,2,5,0
52,India,0,3,5,1
53,Companies,0,0,9,0
54,oil,0,2,3,0
55,gas,0,1,3,0
56,business,0,3,8,1
57,also,0,2,4,0
58,aim,0,2,3,0
59,achieve,0,4,7,1
60,similar,0,3,7,1
61,goals,0,2,5,0
62,industries,0,0,10,0
63,producing,0,3,9,1
64,product,0,2,7,0
65,low,0,1,3,0
66,cost,0,1,4,0
67,selling,0,2,7,0
68,higher,0,2,6,0
69,cost,0,1,4,0
70,making,0,2,6,0
71,good,0,2,4,0
72,profits,0,2,7,0
73,oil,0,2,3,0
74,gas,0,1,3,0
75,companies,0,0,9,0
76,owner,0,2,5,0
77,quite,0,3,5,1
78,challenging,-1,3,11,1
79,finding,0,2,7,0
80,producing,0,3,9,1
81,gas,0,1,3,0
82,petroleum,0,4,9,1
83,expensive,-1,4,9,1
84,oil,0,2,3,0
85,gas,0,1,3,0
86,industry,0,2,8,0
87,working,0,2,7,0
88,hard,-1,1,4,0
89,meet,0,2,4,0
90,global,0,2,6,0
91,demand,0,2,6,0
92,energy,0,2,6,0
93,challenges,0,0,10,0
94,industry,0,2,8,0
95,faces,0,0,5,0
96,major,0,2,5,0
97,external,0,3,8,1
98,challenge,0,3,9,1
99,face,0,2,4,0
100,environment,0,4,11,1
101,upstream,0,3,8,1
102,industry,0,2,8,0
103,operates,0,0,8,0
104,Like,0,2,4,0
105,always,0,2,6,0
106,challenges,0,0,10,0
107,come,0,2,4,0
108,opportunity,0,4,11,1
109,opportunity,0,4,11,1
110,upstream,0,3,8,1
111,industry,0,2,8,0
112,reshape,0,3,7,1
113,operations,0,5,10,1
114,work,1,1,4,0
115,reservoir,0,4,9,1
116,refinery,0,3,8,1
117,using,0,2,5,0
118,Big,0,1,3,0
119,data,0,2,4,0
120,Analytics,0,3,9,1
121,companies,0,0,9,0
122,using,0,2,5,0
123,techniques,0,0,10,0
124,help,0,1,4,0
125,optimize,0,4,8,1
126,operations,0,5,10,1
127,reducing,0,3,8,1
128,cost,0,1,4,0
129,increasing,0,4,10,1
130,productivity,0,4,12,1
131,thereby,0,2,7,0
132,helping,1,2,7,0
133,making,0,2,6,0
134,profits,0,2,7,0
135,recent,0,2,6,0
136,study,0,1,5,0
137,Kimberly,0,2,8,0
138,firm,0,1,4,0
139,found,0,2,5,0
140,offshore,0,3,8,1
141,oil,0,2,3,0
142,gas,0,1,3,0
143,industries,0,0,10,0
144,lose,-1,2,4,0
145,49,0,0,2,0
146,million,0,3,7,1
147,annually,0,3,8,1
148,due,0,2,3,0
149,unplanned,0,0,9,0
150,downtime,0,3,8,1
151,companies,0,0,9,0
152,88,0,0,2,0
153,million,0,3,7,1
154,using,0,2,5,0
155,big,0,1,3,0
156,data,0,2,4,0
157,analytics,0,3,9,1
158,companies,0,0,9,0
159,save,0,2,4,0
160,20,0,0,2,0
161,capital,0,3,7,1
162,expenditure,0,5,11,1
163,cut,0,1,3,0
164,upstream,0,3,8,1
165,cost,0,1,4,0
166,3,0,0,1,0
167,5,0,0,1,0
168,study,0,1,5,0
169,Bain,0,2,4,0
170,Company,0,2,7,0
171,indicates,0,0,9,0
172,harnessing,0,3,10,1
173,Big,0,1,3,0
174,Data,0,2,4,0
175,analytics,0,3,9,1
176,oil,0,2,3,0
177,gas,0,1,3,0
178,industry,0,2,8,0
179,could,0,2,5,0
180,help,0,1,4,0
181,improve,1,3,7,1
182,production,0,4,10,1
183,6,0,0,1,0
184,8,0,0,1,0
185,Better,0,2,6,0
186,data,0,2,4,0
187,analytics,0,3,9,1
188,improve,1,3,7,1
189,ability,0,3,7,1
190,find,0,1,4,0
191,product,0,2,7,0
192,reduce,0,3,6,1
193,cost,0,1,4,0
194,development,0,4,11,1
195,production,0,4,10,1
196,make,0,2,4,0
197,energy,0,2,6,0
198,affordable,1,4,10,1
199,safer,0,2,5,0
200,extract,0,2,7,0
201,operator,0,4,8,1
202,incorporate,0,5,11,1
203,big,0,1,3,0
204,data,0,2,4,0
205,solutions,0,4,9,1
206,using,0,2,5,0
207,Retrofits,0,3,9,1
208,equipment,0,4,9,1
209,sensor,0,2,6,0
210,fast,0,1,4,0
211,payoff,0,2,6,0
212,terms,0,1,5,0
213,reducing,0,3,8,1
214,maintenance,0,5,11,1
215,cost,0,1,4,0
216,increasing,0,4,10,1
217,reliability,0,5,11,1
218,Connecting,0,3,10,1
219,cloud,0,2,5,0
220,using,0,2,5,0
221,Asset,0,2,5,0
222,Performance,0,4,11,1
223,Management,0,4,10,1
224,APM,0,1,3,0
225,software,0,3,8,1
226,powered,0,0,7,0
227,GE,0,1,2,0
228,Predix,0,2,6,0
229,suite,0,3,5,1
230,software,0,3,8,1
231,connects,0,2,8,0
232,upstream,0,3,8,1
233,assets,0,2,6,0
234,digital,0,3,7,1
235,world,0,1,5,0
236,using,0,2,5,0
237,software,0,3,8,1
238,companies,0,0,9,0
239,get,0,1,3,0
240,informative,0,5,11,1
241,data,0,2,4,0
242,sensors,0,2,7,0
243,help,0,1,4,0
244,improve,1,3,7,1
245,operations,0,5,10,1
246,effectively,1,4,11,1
247,help,0,1,4,0
248,reducing,0,3,8,1
249,cost,0,1,4,0
250,production,0,4,10,1
251,IOT,0,2,3,0
252,PREDICTIVE,0,4,10,1
253,BIG,0,1,3,0
254,DATA,0,2,4,0
255,ANALYSIS,0,3,8,1
256,used,0,0,4,0
257,oil,0,2,3,0
258,gas,0,1,3,0
259,sector,0,2,6,0
260,maintaining,0,5,11,1
261,making,0,2,6,0
262,proper,1,2,6,0
263,models,0,2,6,0
264,easy,1,2,4,0
265,optimized,0,0,9,0
266,software,0,3,8,1
267,like,0,2,4,0
268,LAS,0,1,3,0
269,log,0,1,3,0
270,analytics,0,3,9,1
271,used,0,0,4,0
272,HDP,0,0,3,0
273,big,0,1,3,0
274,data,0,2,4,0
275,analytics,0,3,9,1
276,oil,0,2,3,0
277,gas,0,1,3,0
278,allows,0,2,6,0
279,scientists,0,3,10,1
280,ingest,0,2,6,0
281,query,0,2,5,0
282,disparate,0,4,9,1
283,LAS,0,1,3,0
284,data,0,2,4,0
285,use,0,2,3,0
286,predictive,0,4,10,1
287,models,0,2,6,0
288,leveraging,0,4,10,1
289,existing,0,3,8,1
290,statistical,0,4,11,1
291,tools,0,2,5,0
292,SAS,0,1,3,0
293,R,0,0,1,0
294,build,0,2,5,0
295,models,0,2,6,0
296,rapidly,0,2,7,0
297,iterate,0,4,7,1
298,billions,0,3,8,1
299,measurements,0,5,12,1
300,Combining,0,3,9,1
301,LAS,0,1,3,0
302,data,0,2,4,0
303,production,0,4,10,1
304,lease,0,3,5,1
305,treatment,0,3,9,1
306,data,0,2,4,0
307,increase,0,4,8,1
308,production,0,4,10,1
309,margins,0,2,7,0
310,statistical,0,4,11,1
311,tool,0,2,4,0
312,like,0,2,4,0
313,SAS,0,1,3,0
314,efficient,1,4,9,1
315,oil,0,2,3,0
316,gas,0,1,3,0
317,industry,0,2,8,0
318,used,0,0,4,0
319,planning,0,2,8,0
320,production,0,4,10,1
321,every,0,2,5,0
322,stage,0,2,5,0
323,countering,0,4,10,1
324,risk,-1,1,4,0
325,cost,0,1,4,0
326,inherent,0,3,8,1
327,oilfield,0,4,8,1
328,exploration,0,5,11,1
329,Improving,1,3,9,1
330,reserve,0,3,7,1
331,exploration,0,5,11,1
332,strategies,0,0,10,0
333,help,0,1,4,0
334,finding,0,2,7,0
335,uncover,0,3,7,1
336,hidden,0,2,6,0
337,patterns,0,2,8,0
338,data,0,2,4,0
339,revealing,0,4,9,1
340,connection,0,4,10,1
341,evident,0,3,7,1
342,linking,0,2,7,0
343,data,0,2,4,0
344,SAS,0,1,3,0
345,help,0,1,4,0
346,Seeing,0,3,6,1
347,full,0,1,4,0
348,picture,0,3,7,1
349,adopting,0,3,8,1
350,data,0,2,4,0
351,integration,0,5,11,1
352,platform,0,2,8,0
353,aggregates,0,0,10,0
354,data,0,2,4,0
355,exploration,0,5,11,1
356,drilling,0,2,8,0
357,completion,0,4,10,1
358,reservoir,0,4,9,1
359,production,0,4,10,1
360,helping,1,2,7,0
361,taking,0,2,6,0
362,right,0,1,5,0
363,decision,0,4,8,1
364,optimizing,0,4,10,1
365,production,0,4,10,1
366,reducing,0,3,8,1
367,cost,0,1,4,0
368,technologies,0,0,12,0
369,available,0,5,9,1
370,help,0,1,4,0
371,saving,0,2,6,0
372,time,0,2,4,0
373,cost,0,1,4,0
374,Real,0,2,4,0
375,Time,0,2,4,0
376,Data,0,2,4,0
377,real,0,2,4,0
378,time,0,2,4,0
379,data,0,2,4,0
380,focus,0,2,5,0
381,drive,0,2,5,0
382,better,0,2,6,0
383,insight,0,2,7,0
384,data,0,2,4,0
385,quicker,1,3,7,1
386,ever,0,2,4,0
387,real,0,2,4,0
388,time,0,2,4,0
389,Real,0,2,4,0
390,Time,0,2,4,0
391,data,0,2,4,0
392,well,0,1,4,0
393,site,0,2,4,0
394,help,0,1,4,0
395,reducing,0,3,8,1
396,decision,0,4,8,1
397,latency,-1,2,7,0
398,curve,0,2,5,0
399,Source,0,3,6,1
400,Mobilize,0,4,8,1
401,Leading,1,3,7,1
402,Oil,0,2,3,0
403,Gas,0,1,3,0
404,companies,0,0,9,0
405,already,0,3,7,1
406,begun,0,2,5,0
407,projects,0,2,8,0
408,using,0,2,5,0
409,Big,0,1,3,0
410,Data,0,2,4,0
411,technologies,0,0,12,0
412,helping,1,2,7,0
413,track,0,1,5,0
414,business,0,3,8,1
415,opportunities,0,0,13,0
416,reduce,0,3,6,1
417,costs,0,1,5,0
418,increase,0,4,8,1
419,production,0,4,10,1
420,recognizing,0,4,11,1
421,value,0,3,5,1
422,unexploited,0,0,11,0
423,data,0,2,4,0
424,assets,0,2,6,0
425,supporting,1,3,10,1
426,fact,0,1,4,0
427,based,0,0,5,0
428,decision,0,4,8,1
429,making,0,2,6,0
430,Oil,0,2,3,0
431,Gas,0,1,3,0
432,companies,0,0,9,0
433,establish,0,3,9,1
434,real,0,2,4,0
435,cases,0,0,5,0
436,Big,0,1,3,0
437,Data,0,2,4,0
438,uses,0,0,4,0
439,enhance,1,3,7,1
440,Business,0,3,8,1
441,value,0,3,5,1
442,based,0,0,5,0
443,innovation,1,5,10,1
444,able,0,2,4,0
445,lead,1,2,4,0
446,towards,0,2,7,0
447,sustainable,1,5,11,1
448,competition,0,5,11,1
449,coming,0,2,6,0
450,years,0,2,5,0
451,industry,0,2,8,0
452,defined,0,0,7,0
453,take,0,2,4,0
454,advantage,1,4,9,1
455,digital,0,3,7,1
456,analytics,0,3,9,1
457,evolve,0,3,6,1
458,Investing,0,3,9,1
459,help,0,1,4,0
460,digital,0,3,7,1
461,deliver,0,3,7,1
462,better,0,2,6,0
463,efficiency,0,4,10,1
464,productivity,0,4,12,1
465,brighter,1,2,8,0
466,future,0,3,6,1
467,industry,0,2,8,0
468,Blackcoffer,0,3,11,1
469,Analytica,0,4,9,1
470,Ravi,0,2,4,0
471,Kumar,0,2,5,0
