,Token,Score,Syllable_Count,Word_length,IsComplex
0,INTRODUCTION,0,5,12,1
1,Dashboards,0,3,10,1
2,often,0,2,5,0
3,created,0,0,7,0
4,fly,0,0,3,0
5,data,0,2,4,0
6,added,0,0,5,0
7,simply,0,1,6,0
8,white,0,2,5,0
9,space,0,2,5,0
10,used,0,0,4,0
11,Different,0,3,9,1
12,people,0,3,6,1
13,company,0,2,7,0
14,ask,0,1,3,0
15,different,0,3,9,1
16,data,0,2,4,0
17,displayed,0,0,9,0
18,dashboard,0,3,9,1
19,becomes,0,0,7,0
20,hard,-1,1,4,0
21,read,0,2,4,0
22,full,0,1,4,0
23,meaningless,-1,4,11,1
24,non,0,1,3,0
25,related,0,0,7,0
26,information,0,5,11,1
27,happens,0,2,7,0
28,dashboard,0,3,9,1
29,longer,0,2,6,0
30,useful,0,3,6,1
31,TRYING,0,1,6,0
32,IMPRESS,1,2,7,0
33,CFO,0,1,3,0
34,really,0,2,6,0
35,need,0,0,4,0
36,know,0,1,4,0
37,servers,0,2,7,0
38,operating,0,4,9,1
39,95,0,0,2,0
40,capacity,0,3,8,1
41,Think,0,1,5,0
42,audience,0,5,8,1
43,dashboard,0,3,9,1
44,effective,1,4,9,1
45,dashboards,0,3,10,1
46,target,0,2,6,0
47,single,0,2,6,0
48,type,0,1,4,0
49,user,0,2,4,0
50,display,0,2,7,0
51,data,0,2,4,0
52,specific,0,3,8,1
53,use,0,2,3,0
54,case,0,2,4,0
55,dashboard,0,3,9,1
56,going,0,2,5,0
57,used,0,0,4,0
58,executive,0,5,9,1
59,team,0,2,4,0
60,monitor,0,3,7,1
61,company,0,2,7,0
62,financials,0,4,10,1
63,used,0,0,4,0
64,marketing,0,3,9,1
65,team,0,2,4,0
66,monitor,0,3,7,1
67,daily,0,2,5,0
68,activities,0,0,10,0
69,important,1,3,9,1
70,ensure,0,3,6,1
71,possible,0,3,8,1
72,dashboard,0,3,9,1
73,consists,0,2,8,0
74,data,0,2,4,0
75,specific,0,3,8,1
76,single,0,2,6,0
77,audience,0,5,8,1
78,Often,0,2,5,0
79,step,0,1,4,0
80,overlooked,0,0,10,0
81,dashboards,0,3,10,1
82,include,0,3,7,1
83,mix,0,1,3,0
84,data,0,2,4,0
85,relevant,0,3,8,1
86,audience,0,5,8,1
87,another,0,3,7,1
88,SELECT,0,2,6,0
89,RIGHT,0,1,5,0
