,Token,Score,Syllable_Count,Word_length,IsComplex
0,talk,0,1,4,0
1,terms,0,1,5,0
2,general,0,3,7,1
3,life,0,2,4,0
4,Exfiltrate,0,4,10,1
5,means,0,2,5,0
6,surreptitiously,0,6,15,1
7,move,0,2,4,0
8,personnel,0,3,9,1
9,material,0,4,8,1
10,area,0,3,4,1
11,enemy,-1,2,5,0
12,control,0,2,7,0
13,terms,0,1,5,0
14,Computer,0,3,8,1
15,science,0,3,7,1
16,Data,0,2,4,0
17,Exfiltration,0,5,12,1
18,unauthorized,0,0,12,0
19,removal,0,3,7,1
20,data,0,2,4,0
21,network,0,2,7,0
22,e,0,1,1,0
23,g,0,0,1,0
24,leakage,-1,4,7,1
25,Archives,0,0,8,0
26,Passwords,0,2,9,0
27,Additional,0,5,10,1
28,Malware,0,3,7,1
29,Utilities,0,0,9,0
30,Personally,0,3,10,1
31,identifiable,0,6,12,1
32,information,0,5,11,1
33,financial,0,4,9,1
34,data,0,2,4,0
35,trade,0,2,5,0
36,secrets,0,2,7,0
37,source,0,3,6,1
38,code,0,2,4,0
39,intellectual,0,5,12,1
40,property,0,2,8,0
41,etc,0,1,3,0
42,hacker,0,2,6,0
43,easy,1,2,4,0
44,move,0,2,4,0
45,things,0,1,6,0
46,box,0,1,3,0
47,E,0,1,1,0
48,g,0,0,1,0
49,RAR,0,1,3,0
50,file,0,2,4,0
51,ZIP,0,1,3,0
52,file,0,2,4,0
53,CAB,0,1,3,0
54,file,0,2,4,0
55,etc,0,1,3,0
56,Data,0,2,4,0
57,Exfiltration,0,5,12,1
58,outbound,0,4,8,1
59,FTP,0,0,3,0
60,HTTPS,0,0,5,0
61,common,0,2,6,0
62,days,0,1,4,0
63,COVERT,0,2,6,0
64,CHANNEL,0,2,7,0
65,Source,0,3,6,1
66,https,0,0,5,0
67,urlzs,0,1,5,0
68,com,0,1,3,0
69,L7bf,0,0,4,0
70,main,0,2,4,0
71,characteristic,0,5,14,1
72,covert,0,2,6,0
73,channel,0,2,7,0
74,aimed,0,0,5,0
75,hiding,0,2,6,0
76,fact,0,1,4,0
77,communication,0,6,13,1
78,taking,0,2,6,0
79,place,0,2,5,0
80,differs,0,2,7,0
81,cryptography,0,2,12,0
82,intention,0,4,9,1
83,camouflage,0,5,10,1
84,transmission,0,4,12,1
85,data,0,2,4,0
86,rather,0,2,6,0
87,goal,0,2,4,0
88,make,0,2,4,0
89,data,0,2,4,0
90,readable,1,4,8,1
91,useable,1,4,7,1
92,solely,0,2,6,0
93,receiver,0,4,8,1
94,oldest,0,2,6,0
95,form,0,1,4,0
96,covert,0,2,6,0
97,channel,0,2,7,0
98,steganography,0,4,13,1
99,intention,0,4,9,1
100,avoid,0,3,5,1
101,drawing,0,2,7,0
102,suspicion,-1,4,9,1
103,transmission,0,4,12,1
104,hidden,0,2,6,0
105,message,0,3,7,1
106,Source,0,3,6,1
107,https,0,0,5,0
108,urlzs,0,1,5,0
109,com,0,1,3,0
110,GiJX,0,1,4,0
111,Covert,0,2,6,0
112,channels,0,2,8,0
113,evolved,0,0,7,0
114,tattooing,0,4,9,1
115,messages,0,0,8,0
116,slaves,-1,0,6,0
117,scalp,0,1,5,0
118,embedding,0,3,9,1
119,information,0,5,11,1
120,features,0,0,8,0
121,TCP,0,0,3,0
122,IP,0,1,2,0
123,protocol,0,3,8,1
124,Although,0,3,8,1
125,formal,0,2,6,0
126,definition,0,5,10,1
127,covertness,0,3,10,1
128,field,0,2,5,0
129,computer,0,3,8,1
130,science,0,3,7,1
131,exist,0,2,5,0
132,research,0,3,8,1
133,detection,0,4,9,1
134,covert,0,2,6,0
135,communication,0,6,13,1
136,active,0,3,6,1
137,Informally,0,3,10,1
138,say,0,1,3,0
139,operation,0,5,9,1
140,covert,0,2,6,0
141,difficult,-1,3,9,1
142,detect,0,2,6,0
143,without,0,3,7,1
144,use,0,2,3,0
145,special,0,3,7,1
146,tools,0,2,5,0
147,specifically,0,4,12,1
148,look,0,2,4,0
149,example,0,3,7,1
150,let,0,1,3,0
151,us,0,1,2,0
152,suppose,0,3,7,1
153,want,0,1,4,0
154,detect,0,2,6,0
155,user,0,2,4,0
156,printing,0,2,8,0
157,documents,0,3,9,1
158,particular,0,4,10,1
159,printer,0,2,7,0
160,network,0,2,7,0
161,convenience,1,5,11,1
162,refer,0,2,5,0
163,user,0,2,4,0
164,simply,0,1,6,0
165,John,0,1,4,0
166,Suppose,0,3,7,1
167,set,0,1,3,0
168,network,0,2,7,0
169,tools,0,2,5,0
170,keep,0,2,4,0
171,records,0,2,7,0
172,communication,0,6,13,1
173,John,0,1,4,0
174,workstation,0,4,11,1
175,printer,0,2,7,0
176,detect,0,2,6,0
177,John,0,1,4,0
178,prints,0,1,6,0
179,something,0,3,9,1
180,walks,0,1,5,0
181,printer,0,2,7,0
182,pick,0,1,4,0
183,page,0,2,4,0
184,Alternatively,0,5,13,1
185,detect,0,2,6,0
186,every,0,2,5,0
187,time,0,2,4,0
188,try,0,0,3,0
189,print,0,1,5,0
190,something,0,3,9,1
191,discover,0,3,8,1
192,printer,0,2,7,0
193,frequently,0,3,10,1
194,busy,0,1,4,0
195,John,0,1,4,0
196,waiting,0,3,7,1
197,print,0,1,5,0
198,jobs,0,1,4,0
199,complete,0,3,8,1
200,John,0,1,4,0
201,wants,0,1,5,0
202,keep,0,2,4,0
203,operation,0,5,9,1
204,hidden,0,2,6,0
205,print,0,1,5,0
206,lower,0,2,5,0
207,rate,0,2,4,0
208,say,0,1,3,0
209,page,0,2,4,0
210,per,0,1,3,0
211,day,0,1,3,0
212,Nobody,0,2,6,0
213,would,0,2,5,0
214,detect,0,2,6,0
215,instead,0,3,7,1
216,keeps,0,2,5,0
217,printing,0,2,8,0
218,day,0,1,3,0
219,long,0,1,4,0
220,highest,0,2,7,0
