,Token,Score,Syllable_Count,Word_length,IsComplex
0,eLearning,0,4,9,1
1,technology,0,3,10,1
2,becomes,0,0,7,0
3,affordable,1,4,10,1
4,higher,0,2,6,0
5,education,0,5,9,1
6,big,0,1,3,0
7,barrier,0,3,7,1
8,cost,0,1,4,0
9,developing,0,4,10,1
10,resources,0,0,9,0
11,Deep,0,2,4,0
12,learning,0,3,8,1
13,using,0,2,5,0
14,artificial,0,5,10,1
15,intelligence,1,5,12,1
16,continues,0,0,9,0
17,become,0,3,6,1
18,popular,1,3,7,1
19,impacts,0,2,7,0
20,areas,0,3,5,1
21,eLearning,0,4,9,1
22,offers,0,2,6,0
23,online,0,3,6,1
24,learners,0,3,8,1
25,future,0,3,6,1
26,intuitive,1,5,9,1
27,algorithms,0,3,10,1
28,automated,0,0,9,0
29,delivery,0,3,8,1
30,eLearning,0,4,9,1
31,content,0,2,7,0
32,modern,1,2,6,0
33,LMS,0,0,3,0
34,platforms,0,2,9,0
35,paper,0,2,5,0
36,aims,0,2,4,0
37,survey,0,2,6,0
38,various,0,4,7,1
39,applications,0,5,12,1
40,deep,0,2,4,0
41,learning,0,3,8,1
42,approaches,0,0,10,0
43,developing,0,4,10,1
44,resources,0,0,9,0
45,eLearning,0,4,9,1
46,platform,0,2,8,0
47,predictions,0,4,11,1
48,algorithms,0,3,10,1
49,analytics,0,3,9,1
50,come,0,2,4,0
51,together,0,3,8,1
52,create,0,3,6,1
53,personalized,1,0,12,0
54,future,0,3,6,1
55,eLearning,0,4,9,1
56,experiences,0,0,11,0
57,addition,0,4,8,1
58,deep,0,2,4,0
59,learning,0,3,8,1
60,models,0,2,6,0
61,developing,0,4,10,1
62,contents,0,2,8,0
63,eLearning,0,4,9,1
64,platform,0,2,8,0
65,deep,0,2,4,0
66,learning,0,3,8,1
67,framework,0,3,9,1
68,enable,0,3,6,1
69,deep,0,2,4,0
70,learning,0,3,8,1
71,systems,0,1,7,0
72,eLearning,0,4,9,1
73,development,0,4,11,1
74,benefits,1,3,8,1
75,future,0,3,6,1
76,trends,0,1,6,0
77,deep,0,2,4,0
78,learning,0,3,8,1
79,eLearning,0,4,9,1
80,relevant,0,3,8,1
81,deep,0,2,4,0
82,learning,0,3,8,1
83,based,0,0,5,0
84,artificial,0,5,10,1
85,intelligence,1,5,12,1
86,tools,0,2,5,0
87,platform,0,2,8,0
88,enabling,0,3,8,1
89,developer,0,4,9,1
90,learners,0,3,8,1
91,quickly,0,2,7,0
92,reuse,0,3,5,1
93,resources,0,0,9,0
94,clearly,0,2,7,0
95,summarized,0,0,10,0
96,Thus,0,1,4,0
97,deep,0,2,4,0
98,learning,0,3,8,1
99,evolved,0,0,7,0
