,Token,Score,Syllable_Count,Word_length,IsComplex
0,1,0,0,1,0
1,Problem,-1,2,7,0
2,Insider,0,3,7,1
3,threat,-1,2,6,0
4,detection,0,4,9,1
5,specifically,0,4,12,1
6,detect,0,2,6,0
7,data,0,2,4,0
8,exfiltration,0,5,12,1
9,network,0,2,7,0
10,challenge,0,3,9,1
11,Existing,0,3,8,1
12,perimeter,0,4,9,1
13,security,0,3,8,1
14,solutions,0,4,9,1
15,end,0,1,3,0
16,system,0,1,6,0
17,security,0,3,8,1
18,effectively,1,4,11,1
19,devised,0,0,7,0
20,handle,0,2,6,0
21,insider,0,3,7,1
22,attack,-1,2,6,0
23,data,0,2,4,0
24,exfiltration,0,5,12,1
25,Issues,-1,0,6,0
26,misconfiguration,0,7,16,1
27,vulnerable,-1,4,10,1
28,points,0,2,6,0
29,covert,0,2,6,0
30,network,0,2,7,0
31,channels,0,2,8,0
32,lead,1,2,4,0
33,data,0,2,4,0
34,exfiltration,0,5,12,1
35,Hence,0,2,5,0
36,building,0,3,8,1
37,effective,1,4,9,1
38,system,0,1,6,0
39,detecting,0,3,9,1
40,insider,0,3,7,1
41,attacks,-1,2,7,0
42,remains,0,3,7,1
43,open,0,2,4,0
44,challenge,0,3,9,1
45,Devising,0,3,8,1
46,exclusive,0,4,9,1
47,behavior,0,4,8,1
48,based,0,0,5,0
49,model,0,2,5,0
50,essential,0,4,9,1
51,detect,0,2,6,0
52,data,0,2,4,0
53,exfiltration,0,5,12,1
54,network,0,2,7,0
55,utilizing,0,4,9,1
56,parameters,0,4,10,1
57,system,0,1,6,0
58,network,0,2,7,0
59,2,0,0,1,0
60,Motivation,0,5,10,1
61,Nowadays,0,3,8,1
62,thousands,0,3,9,1
63,companies,0,0,9,0
64,organizations,0,6,13,1
65,subject,0,2,7,0
66,cyber,0,1,5,0
67,attack,-1,2,6,0
68,Many,0,1,4,0
69,hackers,0,2,7,0
70,exist,0,2,5,0
71,outside,0,4,7,1
72,company,0,2,7,0
73,organization,0,6,12,1
74,hacking,0,2,7,0
75,breaking,-1,3,8,1
76,information,0,5,11,1
77,systems,0,1,7,0
78,execute,0,4,7,1
79,cyber,0,1,5,0
80,attacks,-1,2,7,0
81,nowadays,0,3,8,1
82,insiders,0,3,8,1
83,hackers,0,2,7,0
84,exist,0,2,5,0
85,inside,0,3,6,1
86,company,0,2,7,0
87,organization,0,6,12,1
88,becoming,0,3,8,1
89,big,0,1,3,0
90,problem,-1,2,7,0
91,insiders,0,3,8,1
92,often,0,2,5,0
93,overloaded,-1,0,10,0
94,potential,0,4,9,1
95,threats,-1,2,7,0
96,commit,0,2,6,0
97,cyber,0,1,5,0
98,attack,-1,2,6,0
99,Usually,0,3,7,1
100,apply,0,1,5,0
101,kind,0,1,4,0
102,security,0,3,8,1
103,policies,0,0,8,0
104,access,0,2,6,0
105,control,0,2,7,0
106,policies,0,0,8,0
107,aimed,0,0,5,0
108,prevent,0,2,7,0
109,data,0,2,4,0
110,business,0,3,8,1
111,policy,0,2,6,0
112,product,0,2,7,0
113,information,0,5,11,1
114,secret,0,2,6,0
115,information,0,5,11,1
116,etc,0,1,3,0
117,sometimes,0,0,9,0
118,fails,-1,2,5,0
119,trust,1,1,5,0
120,someone,0,4,7,1
121,give,0,2,4,0
122,full,0,1,4,0
123,access,0,2,6,0
124,network,0,2,7,0
125,host,0,1,4,0
126,etc,0,1,3,0
127,usually,0,3,7,1
128,try,0,0,3,0
129,leak,0,2,4,0
130,data,0,2,4,0
131,information,0,5,11,1
132,reason,0,3,6,1
133,say,0,1,3,0
134,insider,0,3,7,1
135,attacks,-1,2,7,0
136,often,0,2,5,0
137,damaging,-1,3,8,1
138,costly,-1,1,6,0
139,due,0,2,3,0
