,Token,Score,Syllable_Count,Word_length,IsComplex
0,Data,0,2,4,0
1,oil,0,2,3,0
2,become,0,3,6,1
3,important,1,3,9,1
4,trendline,0,3,9,1
5,21st,0,0,4,0
6,century,0,2,7,0
7,reason,0,3,6,1
8,advancements,0,4,12,1
9,fields,0,2,6,0
10,related,0,0,7,0
11,data,0,2,4,0
12,analysis,0,3,8,1
13,field,0,2,5,0
14,AI,0,2,2,0
15,Machine,0,3,7,1
16,Learning,0,3,8,1
17,Statistics,0,3,10,1
18,Data,0,2,4,0
19,Mining,0,2,6,0
20,deal,0,2,4,0
21,data,0,2,4,0
22,developing,0,4,10,1
23,staggering,0,3,10,1
24,pace,0,2,4,0
25,fields,0,2,6,0
26,become,0,3,6,1
27,popular,1,3,7,1
28,buzzwords,0,2,9,0
29,days,0,1,4,0
30,Buzzwords,0,2,9,0
31,originated,0,0,10,0
32,technical,0,3,9,1
33,terms,0,1,5,0
34,often,0,2,5,0
35,underlying,0,3,10,1
36,essence,0,3,7,1
37,ignored,0,0,7,0
38,fashionable,1,5,11,1
39,use,0,2,3,0
40,mainly,0,2,6,0
41,used,0,0,4,0
42,impress,1,2,7,0
43,main,0,2,4,0
44,reason,0,3,6,1
45,misconception,-1,5,13,1
46,amongst,0,2,7,0
47,people,0,3,6,1
48,AI,0,2,2,0
49,ML,0,0,2,0
50,Stats,0,1,5,0
51,Data,0,2,4,0
52,Mining,0,2,6,0
53,fields,0,2,6,0
54,related,0,0,7,0
55,analysis,0,3,8,1
56,data,0,2,4,0
57,often,0,2,5,0
58,mistook,0,3,7,1
59,thing,0,1,5,0
60,thus,0,1,4,0
61,words,0,1,5,0
62,often,0,2,5,0
63,used,0,0,4,0
64,interchangeably,0,5,15,1
65,convey,0,2,6,0
66,thing,0,1,5,0
67,true,0,2,4,0
68,similarity,0,4,10,1
69,disciplines,0,0,11,0
70,disciplines,0,0,11,0
71,related,0,0,7,0
72,analysis,0,3,8,1
73,data,0,2,4,0
74,converting,0,3,10,1
75,data,0,2,4,0
76,information,0,5,11,1
77,academics,0,4,9,1
78,learning,0,3,8,1
79,AI,0,2,2,0
80,Machine,0,3,7,1
81,Learning,0,3,8,1
82,Statistics,0,3,10,1
83,Data,0,2,4,0
84,Mining,0,2,6,0
85,academic,0,4,8,1
86,approach,0,3,8,1
87,wander,0,2,6,0
88,technical,0,3,9,1
89,definitions,0,5,11,1
90,concepts,0,2,8,0
91,underlying,0,3,10,1
92,essence,0,3,7,1
93,aim,0,2,3,0
94,discipline,0,4,10,1
95,remain,0,3,6,1
96,unexplored,0,0,10,0
97,case,0,2,4,0
98,articles,0,0,8,0
99,try,0,0,3,0
100,explain,0,3,7,1
101,difference,0,4,10,1
102,Thus,0,1,4,0
103,becoming,0,3,8,1
104,primary,0,2,7,0
105,cause,0,3,5,1
106,confusion,-1,4,9,1
107,learners,0,3,8,1
108,Hence,0,2,5,0
109,article,0,3,7,1
110,explains,0,3,8,1
111,difference,0,4,10,1
112,explaining,0,4,10,1
113,philosophy,0,3,10,1
114,aims,0,2,4,0
115,disciplines,0,0,11,0
116,rather,0,2,6,0
117,wandering,0,3,9,1
118,technical,0,3,9,1
119,definitions,0,5,11,1
120,difference,0,4,10,1
121,AI,0,2,2,0
122,Machine,0,3,7,1
123,Learning,0,3,8,1
124,Statistics,0,3,10,1
125,Data,0,2,4,0
126,Mining,0,2,6,0
127,essential,0,4,9,1
128,difference,0,4,10,1
129,disciplines,0,0,11,0
130,lies,-1,0,4,0
131,aims,0,2,4,0
132,approach,0,3,8,1
133,taken,0,2,5,0
134,achieve,0,4,7,1
135,aims,0,2,4,0
136,aims,0,2,4,0
137,fields,0,2,6,0
138,explained,0,0,9,0
139,detail,0,3,6,1
140,following,0,3,9,1
141,sections,0,3,8,1
142,Artificial,0,5,10,1
143,Intelligence,1,5,12,1
144,aim,0,2,3,0
145,Artificial,0,5,10,1
146,intelligence,1,5,12,1
147,understand,0,3,10,1
148,intelligent,1,4,11,1
149,entities,0,0,8,0
150,satisfy,1,2,7,0
151,aim,0,2,3,0
152,must,0,1,4,0
153,understand,0,3,10,1
154,intelligence,1,5,12,1
155,makes,0,0,5,0
156,agent,0,2,5,0
157,intelligent,1,4,11,1
158,agent,0,2,5,0
159,answer,0,2,6,0
160,questions,0,4,9,1
161,found,0,2,5,0
162,studying,0,2,8,0
163,intelligent,1,4,11,1
164,agents,0,2,6,0
165,example,0,3,7,1
166,intelligent,1,4,11,1
167,agent,0,2,5,0
168,found,0,2,5,0
169,standing,0,2,8,0
170,front,0,1,5,0
171,mirror,0,2,6,0
172,Yes,0,0,3,0
173,Humans,0,2,6,0
174,examples,0,0,8,0
175,intelligent,1,4,11,1
176,entities,0,0,8,0
177,Thus,0,1,4,0
178,1900s,0,0,5,0
179,researchers,0,4,11,1
180,began,0,2,5,0
181,exploring,0,3,9,1
182,thought,0,2,7,0
183,process,0,2,7,0
184,reasoning,0,4,9,1
185,process,0,2,7,0
186,humans,0,2,6,0
187,human,0,2,5,0
188,beings,0,2,6,0
189,considered,0,0,10,0
190,ideal,1,3,5,1
191,intelligent,1,4,11,1
192,agent,0,2,5,0
193,Mimicking,0,3,9,1
194,human,0,2,5,0
195,behavior,0,4,8,1
196,became,0,3,6,1
197,aim,0,2,3,0
198,AI,0,2,2,0
199,initial,0,4,7,1
200,years,0,2,5,0
201,research,0,3,8,1
202,setting,0,2,7,0
203,goal,0,2,4,0
204,studies,0,0,7,0
205,experiments,0,4,11,1
206,began,0,2,5,0
207,famous,1,3,6,1
208,experiment,0,4,10,1
209,conducted,0,0,9,0
210,initial,0,4,7,1
211,years,0,2,5,0
212,achieve,0,4,7,1
213,aim,0,2,3,0
214,Turing,0,2,6,0
215,Test,0,1,4,0
216,Turing,0,2,6,0
217,defined,0,0,7,0
218,intelligent,1,4,11,1
219,behavior,0,4,8,1
220,ability,0,3,7,1
221,achieve,0,4,7,1
222,human,0,2,5,0
223,level,0,2,5,0
224,performance,0,4,11,1
225,cognitive,0,4,9,1
226,tasks,0,1,5,0
227,sufficient,1,4,10,1
228,fool,-1,2,4,0
229,interrogator,0,5,12,1
230,test,0,1,4,0
231,received,0,0,8,0
232,criticism,-1,3,9,1
233,mimicking,0,3,9,1
234,human,0,2,5,0
235,behavior,0,4,8,1
236,exactly,0,2,7,0
237,intelligence,1,5,12,1
238,intelligence,1,5,12,1
239,related,0,0,7,0
240,working,0,2,7,0
241,human,0,2,5,0
242,brain,0,2,5,0
243,without,0,3,7,1
244,human,0,2,5,0
245,brain,0,2,5,0
246,intelligence,1,5,12,1
247,meaning,0,3,7,1
248,Thus,0,1,4,0
249,mimicking,0,3,9,1
250,human,0,2,5,0
251,thought,0,2,7,0
252,processes,0,0,9,0
253,reasoning,0,4,9,1
254,became,0,3,6,1
255,transformed,0,0,11,0
256,aim,0,2,3,0
257,field,0,2,5,0
258,Psychology,0,2,10,0
259,philosophy,0,3,10,1
260,also,0,2,4,0
261,resonate,0,4,8,1
262,aim,0,2,3,0
263,understand,0,3,10,1
264,human,0,2,5,0
265,thought,0,2,7,0
266,process,0,2,7,0
267,difference,0,4,10,1
268,AI,0,2,2,0
269,tries,0,0,5,0
270,understand,0,3,10,1
271,thought,0,2,7,0
272,process,0,2,7,0
273,mimic,0,2,5,0
274,build,0,2,5,0
275,collaboration,0,6,13,1
276,fields,0,2,6,0
277,resulted,0,0,8,0
278,models,0,2,6,0
279,Neural,0,3,6,1
280,Networks,0,2,8,0
281,try,0,0,3,0
282,mimic,0,2,5,0
283,function,0,3,8,1
284,neurons,0,3,7,1
285,present,0,2,7,0
286,human,0,2,5,0
287,brain,0,2,5,0
288,basically,0,3,9,1
289,initial,0,4,7,1
290,aim,0,2,3,0
291,human,0,2,5,0
292,centered,0,0,8,0
293,humans,0,2,6,0
294,considered,0,0,10,0
295,ideal,1,3,5,1
296,intelligent,1,4,11,1
297,agent,0,2,5,0
298,Concurrently,0,3,12,1
299,field,0,2,5,0
300,computer,0,3,8,1
301,science,0,3,7,1
302,developing,0,4,10,1
303,greater,0,3,7,1
304,pace,0,2,4,0
305,advances,0,0,8,0
306,computer,0,3,8,1
307,science,0,3,7,1
308,experiments,0,4,11,1
309,theories,0,0,8,0
310,could,0,2,5,0
311,easily,0,3,6,1
312,tested,0,0,6,0
313,validated,0,0,9,0
314,programs,0,2,8,0
315,applied,0,0,7,0
316,solve,0,2,5,0
317,real,0,2,4,0
318,life,0,2,4,0
319,problems,-1,2,8,0
320,found,0,2,5,0
321,computers,0,3,9,1
322,performed,0,0,9,0
323,better,0,2,6,0
324,humans,0,2,6,0
325,tasks,0,1,5,0
326,really,0,2,6,0
327,complex,-1,2,7,0
328,humans,0,2,6,0
329,One,0,2,3,0
330,examples,0,0,8,0
331,could,0,2,5,0
332,chess,0,1,5,0
333,playing,0,2,7,0
334,program,0,2,7,0
335,AI,0,2,2,0
336,program,0,2,7,0
337,defeated,1,0,8,0
338,world,0,1,5,0
339,chess,0,1,5,0
340,player,0,2,6,0
341,Garry,0,1,5,0
342,Kasparov,0,3,8,1
343,incident,0,3,8,1
344,indicated,0,0,9,0
345,human,0,2,5,0
346,intelligence,1,5,12,1
347,ultimate,0,4,8,1
348,intelligence,1,5,12,1
