,Token,Score,Syllable_Count,Word_length,IsComplex
0,Oil,0,2,3,0
1,Gas,0,1,3,0
2,industry,0,2,8,0
3,would,0,2,5,0
4,impacted,0,0,8,0
5,industries,0,0,10,0
6,digital,0,3,7,1
7,disruption,-1,4,10,1
8,Traditionally,0,5,13,1
9,industry,0,2,8,0
10,requires,0,0,8,0
11,high,0,1,4,0
12,capital,0,3,7,1
13,operating,0,4,9,1
14,costs,0,1,5,0
15,workforce,0,3,9,1
16,needs,0,2,5,0
17,work,1,1,4,0
18,unsafe,-1,3,6,1
19,conditions,0,4,10,1
20,unpredicted,0,0,11,0
21,nature,0,3,6,1
22,oil,0,2,3,0
23,rigs,0,1,4,0
24,capacity,0,3,8,1
25,rig,0,1,3,0
26,huge,0,2,4,0
27,capital,0,3,7,1
28,invested,0,0,8,0
29,makes,0,0,5,0
30,attractive,1,4,10,1
31,area,0,3,4,1
32,potential,0,4,9,1
33,emerging,0,3,8,1
34,digital,0,3,7,1
35,technologies,0,0,12,0
36,industry,0,2,8,0
37,changed,0,0,7,0
38,barrels,0,2,7,0
39,amount,0,3,6,1
40,bytes,0,0,5,0
41,Potential,0,4,9,1
42,Areas,0,3,5,1
43,Digital,0,3,7,1
44,Technology,0,3,10,1
45,helps,0,1,5,0
46,improve,1,3,7,1
47,areas,0,3,5,1
48,Manufacturing,0,5,13,1
49,operations,0,5,10,1
50,marketing,0,3,9,1
51,servicing,0,3,9,1
52,across,0,2,6,0
53,various,0,4,7,1
54,functions,0,3,9,1
55,could,0,2,5,0
56,never,0,2,5,0
57,imagine,0,4,7,1
58,using,0,2,5,0
59,volumetric,0,4,10,1
60,display,0,2,7,0
61,Affective,0,4,9,1
62,computing,0,3,9,1
63,Data,0,2,4,0
64,integration,0,5,11,1
65,Digital,0,3,7,1
66,manufacturing,0,5,13,1
67,mixed,0,0,5,0
68,reality,0,3,7,1
69,machine,0,3,7,1
70,learning,0,3,8,1
71,LTE,0,1,3,0
72,high,0,1,4,0
73,performance,0,4,11,1
74,computing,0,3,9,1
75,personal,0,3,8,1
76,analytics,0,3,9,1
77,predictive,0,4,10,1
78,analytics,0,3,9,1
79,cognitive,0,4,9,1
80,technologies,0,0,12,0
81,deep,0,2,4,0
82,learning,0,3,8,1
83,Artificial,0,5,10,1
84,intelligence,1,5,12,1
85,robots,0,2,6,0
86,safety,0,2,6,0
87,working,0,2,7,0
88,conditions,0,4,10,1
89,also,0,2,4,0
90,improved,1,0,8,0
91,Oil,0,2,3,0
92,Exploration,0,5,11,1
93,Source,0,3,6,1
94,Institute,0,4,9,1
95,Petroleum,0,4,9,1
96,Energy,0,2,6,0
97,Vol,0,1,3,0
98,5,0,0,1,0
99,Across,0,2,6,0
100,stages,0,0,6,0
101,involved,0,0,8,0
102,production,0,4,10,1
103,oil,0,2,3,0
104,gas,0,1,3,0
105,industry,0,2,8,0
106,digital,0,3,7,1
107,technology,0,3,10,1
108,implemented,0,0,11,0
109,Exploration,0,5,11,1
110,Currently,0,2,9,0
111,standardized,0,0,12,0
112,data,0,2,4,0
113,advanced,1,0,8,0
114,algorithms,0,3,10,1
115,use,0,2,3,0
116,high,0,1,4,0
117,performance,0,4,11,1
118,computers,0,3,9,1
119,put,0,1,3,0
120,operation,0,5,9,1
121,analyzing,0,3,9,1
122,visualization,0,7,13,1
123,states,0,0,6,0
124,augmenting,0,4,10,1
125,visual,0,3,6,1
126,cognition,0,4,9,1
127,geoscientists,0,5,13,1
128,using,0,2,5,0
129,machine,0,3,7,1
130,learning,0,3,8,1
131,reveal,0,3,6,1
132,geography,0,3,9,1
133,right,0,1,5,0
134,size,0,2,4,0
135,existing,0,3,8,1
136,portfolio,0,4,9,1
137,including,0,3,9,1
138,identifying,0,4,11,1
139,sub,0,1,3,0
140,commercial,0,4,10,1
141,marginal,-1,3,8,1
142,resources,0,0,9,0
143,reducing,0,3,8,1
144,profitability,0,5,13,1
145,locking,0,2,7,0
146,significant,1,4,11,1
147,capital,0,3,7,1
148,creates,0,0,7,0
149,potential,0,4,9,1
150,value,0,3,5,1
151,means,0,2,5,0
152,increasing,0,4,10,1
153,certainty,0,3,9,1
154,extraction,0,4,10,1
155,rigs,0,1,4,0
156,deeper,0,3,6,1
157,commercial,0,4,10,1
158,viability,0,4,9,1
159,2P,0,0,2,0
160,reserves,0,0,8,0
161,form,0,1,4,0
162,50,0,0,2,0
163,1P,0,0,2,0
164,reserves,0,0,8,0
165,Development,0,4,11,1
166,present,0,2,7,0
167,distinct,0,2,8,0
168,objective,0,4,9,1
169,proprietary,-1,4,11,1
170,tools,0,2,5,0
171,lack,-1,1,4,0
172,standardized,0,0,12,0
173,data,0,2,4,0
174,creating,0,3,8,1
175,wide,0,2,4,0
176,variety,1,3,7,1
177,integration,0,5,11,1
178,issues,-1,0,6,0
179,integrating,0,4,11,1
180,analyzing,0,3,9,1
181,using,0,2,5,0
182,securely,1,3,8,1
183,layered,0,0,7,0
184,integrated,1,0,10,0
185,frameworks,0,3,10,1
186,analytics,0,3,9,1
187,diverse,0,3,7,1
188,drilling,0,2,8,0
189,data,0,2,4,0
190,using,0,2,5,0
191,open,0,2,4,0
192,source,0,3,6,1
193,architecture,0,5,12,1
194,capability,1,4,10,1
195,saving,0,2,6,0
196,costs,0,1,5,0
197,30,0,0,2,0
198,billion,0,3,7,1
199,dollars,0,2,7,0
200,upstream,0,3,8,1
201,players,0,2,7,0
202,annually,0,3,8,1
203,helps,0,1,5,0
204,breaking,-1,3,8,1
205,data,0,2,4,0
206,silos,0,2,5,0
207,finding,0,2,7,0
208,digital,0,3,7,1
209,RoI,0,2,3,0
210,keep,0,2,4,0
211,pace,0,2,4,0
212,direction,0,4,9,1
213,innovation,1,5,10,1
214,intact,0,2,6,0
215,Production,0,4,10,1
216,current,0,2,7,0
217,standing,0,2,8,0
218,continuity,1,4,10,1
219,operations,0,5,10,1
220,legacy,0,2,6,0
221,asset,0,2,5,0
222,base,0,2,4,0
223,explains,0,3,8,1
224,less,0,1,4,0
225,sensorized,0,0,10,0
226,state,0,2,5,0
227,operation,0,5,9,1
228,break,-1,2,5,0
229,never,0,2,5,0
230,ending,0,2,6,0
231,cycle,0,1,5,0
232,upgrading,0,3,9,1
233,retrofitting,0,4,12,1
234,equipment,0,4,9,1
235,existing,0,3,8,1
236,fields,0,2,6,0
237,without,0,3,7,1
238,spending,0,2,8,0
239,much,0,1,4,0
240,attained,0,0,8,0
241,sensorizing,0,4,11,1
242,following,0,3,9,1
243,layered,0,0,7,0
244,data,0,2,4,0
245,generation,0,5,10,1
246,strategy,0,2,8,0
247,extend,0,2,6,0
248,analysis,0,3,8,1
249,reservoir,0,4,9,1
250,level,0,2,5,0
251,results,0,2,7,0
252,additional,0,5,10,1
253,cash,0,1,4,0
254,flow,0,1,4,0
255,20,0,0,2,0
256,billion,0,3,7,1
257,apart,0,2,5,0
258,cost,0,1,4,0
259,savings,1,2,7,0
260,equipment,0,4,9,1
261,failure,-1,4,7,1
262,repair,0,3,6,1
263,Till,0,1,4,0
264,date,0,2,4,0
265,capabilities,0,0,12,0
266,digital,0,3,7,1
267,technology,0,3,10,1
268,explored,0,0,8,0
269,developing,0,4,10,1
270,roadmaps,0,3,8,1
271,optimizing,0,4,10,1
272,operating,0,4,9,1
273,costs,0,1,5,0
274,involved,0,0,8,0
275,However,0,3,7,1
276,still,0,1,5,0
277,scope,0,2,5,0
278,disruption,-1,4,10,1
279,digital,0,3,7,1
280,technology,0,3,10,1
281,given,0,2,5,0
282,untapped,0,0,8,0
283,landscape,0,3,9,1
284,productive,1,4,10,1
285,capital,0,3,7,1
286,PPE,0,1,3,0
287,Plant,0,1,5,0
288,Property,0,2,8,0
289,Equipment,0,4,9,1
290,quality,0,3,7,1
291,efficiency,0,4,10,1
292,system,0,1,6,0
293,dramatically,0,4,12,1
294,increase,0,4,8,1
295,employing,0,3,9,1
296,IoT,0,2,3,0
297,various,0,4,7,1
298,phases,0,0,6,0
299,results,0,2,7,0
300,illustrated,0,0,11,0
301,Effects,0,2,7,0
302,using,0,2,5,0
303,IoT,0,2,3,0
304,Oil,0,2,3,0
305,Gas,0,1,3,0
306,Industry,0,2,8,0
307,Cyber,0,1,5,0
308,security,0,3,8,1
309,Another,0,3,7,1
310,important,1,3,9,1
311,area,0,3,4,1
312,benefits,1,3,8,1
313,cybersecurity,0,4,13,1
314,oil,0,2,3,0
315,gas,0,1,3,0
316,industry,0,2,8,0
317,area,0,3,4,1
318,vulnerable,-1,4,10,1
319,posing,0,2,6,0
320,threat,-1,2,6,0
321,nation,0,3,6,1
322,cyber,0,1,5,0
323,attack,-1,2,6,0
324,lead,1,2,4,0
325,seepage,0,4,7,1
326,sensitive,1,4,9,1
327,information,0,5,11,1
328,prove,0,2,5,0
329,costly,-1,1,6,0
330,even,0,2,4,0
331,lead,1,2,4,0
332,plant,0,1,5,0
333,shutdown,0,2,8,0
334,increase,0,4,8,1
335,involvement,0,4,11,1
336,digital,0,3,7,1
337,technology,0,3,10,1
338,risk,-1,1,4,0
339,cyberterrorism,0,4,14,1
340,also,0,2,4,0
341,evolved,0,0,7,0
342,might,0,1,5,0
343,end,0,1,3,0
344,industrial,0,4,10,1
345,espionage,0,5,9,1
346,disruption,-1,4,10,1
347,operations,0,5,10,1
348,Due,0,2,3,0
349,increased,0,0,9,0
350,risk,-1,1,4,0
351,per,0,1,3,0
352,reports,0,2,7,0
353,ABI,0,2,3,0
354,Research,0,3,8,1
355,oil,0,2,3,0
356,gas,0,1,3,0
357,companies,0,0,9,0
358,planning,0,2,8,0
359,spend,0,1,5,0
360,1,0,0,1,0
361,87,0,0,2,0
362,billion,0,3,7,1
363,protection,1,4,10,1
364,cyber,0,1,5,0
365,attack,-1,2,6,0
366,2018,0,0,4,0
367,part,0,1,4,0
368,rise,0,2,4,0
369,risk,-1,1,4,0
370,due,0,2,3,0
371,data,0,2,4,0
372,based,0,0,5,0
373,linkages,0,0,8,0
374,operations,0,5,10,1
375,dealt,0,2,5,0
376,help,0,1,4,0
377,digital,0,3,7,1
378,technology,0,3,10,1
379,data,0,2,4,0
380,information,0,5,11,1
381,rigs,0,1,4,0
382,refineries,0,0,10,0
383,headquarters,0,5,12,1
384,encrypted,0,0,9,0
385,end,0,1,3,0
386,end,0,1,3,0
387,safety,0,2,6,0
388,ensured,0,0,7,0
389,Thus,0,1,4,0
390,need,0,0,4,0
391,approach,0,3,8,1
392,deal,0,2,4,0
393,issue,-1,3,5,1
394,cyber,0,1,5,0
395,security,0,3,8,1
396,oil,0,2,3,0
397,gas,0,1,3,0
398,sector,0,2,6,0
399,programmatically,0,5,16,1
400,sustainably,0,4,11,1
401,Blackcoffer,0,3,11,1
402,Analytica,0,4,9,1
403,1st,0,0,3,0
404,Winner,0,2,6,0
405,Strategists,0,3,11,1
406,Nandini,0,3,7,1
407,Busireddy,0,3,9,1
408,Rahi,0,2,4,0
409,Jain,0,2,4,0
410,IIM,0,2,3,0
411,Raipur,0,3,6,1
