,Token,Score,Syllable_Count,Word_length,IsComplex
0,Care,0,2,4,0
1,Robots,0,2,6,0
2,name,0,2,4,0
3,suggests,0,2,8,0
4,robots,0,2,6,0
5,used,0,0,4,0
6,hospitality,0,4,11,1
7,purposes,0,0,8,0
8,like,0,2,4,0
9,fetching,0,2,8,0
10,water,0,2,5,0
11,cracking,0,2,8,0
12,jokes,0,0,5,0
13,keeping,0,3,7,1
14,patient,1,3,7,1
15,good,0,2,4,0
16,harmony,0,2,7,0
17,etc,0,1,3,0
18,senior,0,3,6,1
19,care,0,2,4,0
20,industry,0,2,8,0
21,forefront,0,3,9,1
22,quite,0,3,5,1
23,period,0,3,6,1
24,reason,0,3,6,1
25,Nuclear,0,3,7,1
26,families,0,0,8,0
27,becoming,0,3,8,1
28,busy,0,1,4,0
29,schedule,0,3,8,1
30,day,0,1,3,0
31,parents,0,2,7,0
32,nuclear,0,3,7,1
33,family,0,2,6,0
34,old,0,1,3,0
35,children,0,2,8,0
36,nowhere,0,3,7,1
37,take,0,2,4,0
38,care,0,2,4,0
39,Instead,0,3,7,1
40,nursing,0,2,7,0
41,homes,0,0,5,0
42,become,0,3,6,1
43,trend,0,1,5,0
44,Parents,0,2,7,0
45,mental,0,2,6,0
46,illness,-1,2,7,0
47,put,0,1,3,0
48,rehab,0,2,5,0
49,observed,0,0,8,0
50,decades,0,0,7,0
51,robots,0,2,6,0
52,taking,0,2,6,0
53,care,0,2,4,0
54,activities,0,0,10,0
55,even,0,2,4,0
56,dominating,0,4,10,1
57,fields,0,2,6,0
58,like,0,2,4,0
59,automobile,0,6,10,1
60,industry,0,2,8,0
61,Machines,0,0,8,0
62,indeed,0,0,6,0
63,help,0,1,4,0
64,humankind,0,3,9,1
65,achieving,0,4,9,1
66,remarkable,1,4,10,1
67,success,1,2,7,0
68,fields,0,2,6,0
69,senior,0,3,6,1
70,citizens,0,3,8,1
71,love,0,2,4,0
72,machines,0,0,8,0
73,look,0,2,4,0
74,watch,0,1,5,0
75,TV,0,0,2,0
76,love,0,2,4,0
77,play,0,1,4,0
78,video,0,3,5,1
79,games,0,0,5,0
80,smartphone,0,3,10,1
81,give,0,2,4,0
82,human,0,2,5,0
83,like,0,2,4,0
84,structure,0,3,9,1
85,ability,0,3,7,1
86,smartphone,0,3,10,1
87,make,0,2,4,0
88,people,0,3,6,1
89,happy,1,1,5,0
90,would,0,2,5,0
91,quite,0,3,5,1
92,monstrous,-1,3,9,1
93,feat,1,2,4,0
94,Blackcoffer,0,3,11,1
95,Insights,0,2,8,0
96,22,0,0,2,0
97,Sadhana,0,3,7,1
98,Kanaparthi,0,4,10,1
99,KIAMS,0,2,5,0
