,Token,Score,Syllable_Count,Word_length,IsComplex
0,generally,0,3,9,1
1,accepted,0,0,8,0
2,solution,0,4,8,1
3,economies,0,0,9,0
4,stagnating,0,3,10,1
5,inefficient,-1,5,11,1
6,resource,0,4,8,1
7,sapping,0,2,7,0
8,state,0,2,5,0
9,run,0,1,3,0
10,monopolies,0,0,10,0
11,liberalization,0,7,14,1
12,China,0,2,5,0
13,leadership,0,4,10,1
14,Deng,0,1,4,0
15,Xiaoping,0,4,8,1
16,1978,0,0,4,0
17,witnessing,0,3,10,1
18,economic,0,4,8,1
19,growth,0,1,6,0
20,falter,-1,2,6,0
21,surpassed,0,0,9,0
22,Asian,0,3,5,1
23,rivals,0,2,6,0
24,Japan,0,2,5,0
25,South,0,2,5,0
26,Korea,0,3,5,1
27,India,0,3,5,1
28,1991,0,0,4,0
29,backed,0,0,6,0
30,corner,0,2,6,0
31,balance,0,3,7,1
32,payments,0,2,8,0
33,crisis,-1,2,6,0
34,telecom,0,3,7,1
35,industry,0,2,8,0
36,India,0,3,5,1
37,sectors,0,2,7,0
38,subject,0,2,7,0
39,reform,1,2,6,0
40,privatization,0,6,13,1
41,industry,0,2,8,0
42,meant,0,2,5,0
43,total,0,2,5,0
44,number,0,2,6,0
45,subscribers,0,3,11,1
46,shot,0,1,4,0
47,37,0,0,2,0
48,million,0,3,7,1
49,year,0,2,4,0
50,2001,0,0,4,0
51,1,0,0,1,0
52,13,0,0,2,0
53,billion,0,3,7,1
54,subscribers,0,3,11,1
55,2018,0,0,4,0
56,also,0,2,4,0
57,allowed,0,0,7,0
58,Reliance,0,4,8,1
59,Jio,0,2,3,0
60,2016,0,0,4,0
61,disrupt,-1,2,7,0
62,industry,0,2,8,0
63,initiating,0,5,10,1
64,price,0,2,5,0
65,war,0,1,3,0
66,led,1,0,3,0
67,significant,1,4,11,1
68,decrease,0,4,8,1
69,mobile,0,3,6,1
70,usage,0,3,5,1
71,tariffs,0,2,7,0
72,large,0,2,5,0
73,scale,0,2,5,0
74,consolidation,0,6,13,1
75,telecom,0,3,7,1
76,giants,0,2,6,0
77,benefits,1,3,8,1
78,consumers,0,3,9,1
79,reaping,0,3,7,1
80,stability,1,3,9,1
81,approach,0,3,8,1
82,long,0,1,4,0
83,term,0,1,4,0
84,question,0,4,8,1
85,however,0,3,7,1
86,cannot,0,2,6,0
87,denied,-1,0,6,0
88,change,0,2,6,0
89,brought,0,2,7,0
90,access,0,2,6,0
91,unprecedented,0,0,13,0
92,amounts,0,3,7,1
93,data,0,2,4,0
94,people,0,3,6,1
95,impossible,-1,4,10,1
96,get,0,1,3,0
97,without,0,3,7,1
98,significant,1,4,11,1
99,financial,0,4,9,1
100,outlay,0,3,6,1
101,country,0,2,7,0
102,despite,0,3,7,1
103,close,0,2,5,0
104,18,0,0,2,0
105,world,0,1,5,0
106,population,0,5,10,1
107,start,0,1,5,0
108,millennium,0,4,10,1
109,global,0,2,6,0
110,share,0,2,5,0
111,life,0,2,4,0
112,insurance,0,4,9,1
113,market,0,2,6,0
114,0,0,0,1,0
115,49,0,0,2,0
116,similar,0,3,7,1
117,change,0,2,6,0
118,necessary,0,3,9,1
119,bringing,0,2,8,0
120,insurance,0,4,9,1
121,coverage,0,4,8,1
122,vulnerable,-1,4,10,1
123,underrepresented,0,0,16,0
124,sections,0,3,8,1
125,society,0,3,7,1
126,insurance,0,4,9,1
127,market,0,2,6,0
128,opened,0,0,6,0
129,August,0,3,6,1
130,2000,0,0,4,0
131,recently,0,2,8,0
132,formed,0,0,6,0
133,Insurance,0,4,9,1
134,Regulatory,0,4,10,1
135,Development,0,4,11,1
136,Authority,0,4,9,1
137,IRDAI,0,3,5,1
138,18,0,0,2,0
139,years,0,2,5,0
140,noticeable,0,5,10,1
141,change,0,2,6,0
142,According,0,3,9,1
143,research,0,3,8,1
144,publication,0,5,11,1
145,Swiss,0,1,5,0
146,life,0,2,4,0
147,insurance,0,4,9,1
148,penetration,0,5,11,1
149,ratio,0,3,5,1
150,total,0,2,5,0
151,life,0,2,4,0
152,insurance,0,4,9,1
153,premium,0,3,7,1
154,underwritten,0,4,12,1
155,GDP,0,0,3,0
156,country,0,2,7,0
157,come,0,2,4,0
158,2,0,0,1,0
159,15,0,0,2,0
160,2001,0,0,4,0
161,2,0,0,1,0
162,76,0,0,2,0
163,2017,0,0,4,0
164,hitting,0,2,7,0
165,peak,0,2,4,0
166,4,0,0,1,0
167,60,0,0,2,0
168,2009,0,0,4,0
169,drop,0,1,4,0
170,insurance,0,4,9,1
171,penetration,0,5,11,1
172,attributed,0,0,10,0
173,lesser,0,2,6,0
174,consumer,0,3,8,1
175,spending,0,2,8,0
176,aftermath,0,3,9,1
177,global,0,2,6,0
178,financial,0,4,9,1
179,crisis,-1,2,6,0
180,systemic,0,2,8,0
181,issue,-1,3,5,1
182,Indian,0,3,6,1
183,insurance,0,4,9,1
184,market,0,2,6,0
185,Life,0,2,4,0
186,insurance,0,4,9,1
187,density,0,2,7,0
188,life,0,2,4,0
189,insurance,0,4,9,1
190,underwritten,0,4,12,1
191,per,0,1,3,0
192,capita,0,3,6,1
193,increased,0,0,9,0
194,times,0,0,5,0
195,USD,0,1,3,0
196,9,0,0,1,0
197,10,0,0,2,0
198,2001,0,0,4,0
199,USD,0,1,3,0
200,55,0,0,2,0
201,2017,0,0,4,0
202,However,0,3,7,1
203,global,0,2,6,0
204,average,0,4,7,1
205,insurance,0,4,9,1
206,penetration,0,5,11,1
207,rate,0,2,4,0
208,including,0,3,9,1
209,life,0,2,4,0
210,non,0,1,3,0
211,life,0,2,4,0
212,insurance,0,4,9,1
213,stands,0,1,6,0
214,6,0,0,1,0
215,13,0,0,2,0
216,compared,0,0,8,0
217,India,0,3,5,1
218,3,0,0,1,0
219,69,0,0,2,0
220,Asian,0,3,5,1
221,neighbors,0,3,9,1
222,Thailand,0,3,8,1
223,5,0,0,1,0
224,29,0,0,2,0
225,China,0,2,5,0
226,4,0,0,1,0
227,57,0,0,2,0
228,Malaysia,0,4,8,1
229,4,0,0,1,0
230,77,0,0,2,0
231,outdone,1,4,7,1
232,us,0,1,2,0
233,regard,1,2,6,0
234,insurance,0,4,9,1
235,density,0,2,7,0
236,also,0,2,4,0
237,far,0,1,3,0
238,superior,1,4,8,1
239,figures,0,0,7,0
240,Malaysia,0,4,8,1
241,Thailand,0,3,8,1
242,China,0,2,5,0
243,period,0,3,6,1
244,e,0,1,1,0
245,2016,0,0,4,0
246,USD,0,1,3,0
247,486,0,0,3,0
248,USD,0,1,3,0
249,348,0,0,3,0
250,USD,0,1,3,0
251,384,0,0,3,0
252,respectively,0,4,12,1
253,compared,0,0,8,0
254,USD,0,1,3,0
255,73,0,0,2,0
256,India,0,3,5,1
257,Like,0,2,4,0
258,India,0,3,5,1
259,countries,0,0,9,0
260,open,0,2,4,0
261,insurance,0,4,9,1
262,market,0,2,6,0
263,foreign,0,3,7,1
264,firms,0,1,5,0
265,allowed,0,0,7,0
266,enter,0,2,5,0
267,impart,0,2,6,0
268,funds,0,1,5,0
269,technological,0,5,13,1
270,expertise,0,4,9,1
271,However,0,3,7,1
272,challenges,0,0,10,0
273,nuances,0,0,7,0
274,involved,0,0,8,0
275,ensuring,0,3,8,1
276,greater,0,3,7,1
277,coverage,0,4,8,1
278,access,0,2,6,0
279,information,0,5,11,1
280,Indian,0,3,6,1
281,citizens,0,3,8,1
282,far,0,1,3,0
283,different,0,3,9,1
284,ones,0,0,4,0
285,2010,0,0,4,0
286,7,0,0,1,0
287,5,0,0,1,0
288,Indian,0,3,6,1
289,population,0,5,10,1
290,access,0,2,6,0
291,internet,0,3,8,1
292,compared,0,0,8,0
293,56,0,0,2,0
294,3,0,0,1,0
295,34,0,0,2,0
296,3,0,0,1,0
297,22,0,0,2,0
298,4,0,0,1,0
299,Malaysia,0,4,8,1
300,China,0,2,5,0
301,Thailand,0,3,8,1
302,respectively,0,4,12,1
303,made,0,2,4,0
304,better,0,2,6,0
305,equipped,0,0,8,0
306,fully,0,1,5,0
307,utilize,0,4,7,1
308,technological,0,5,13,1
309,innovations,0,5,11,1
310,insurance,0,4,9,1
311,sector,0,2,6,0
312,compared,0,0,8,0
313,India,0,3,5,1
314,However,0,3,7,1
315,increasing,0,4,10,1
316,availability,0,6,12,1
317,smartphones,0,0,11,0
318,reduced,0,0,7,0
319,internet,0,3,8,1
320,tariffs,0,2,7,0
321,fast,0,1,4,0
322,adoption,0,4,8,1
323,digital,0,3,7,1
324,technology,0,3,10,1
325,number,0,2,6,0
326,internet,0,3,8,1
327,users,0,2,5,0
328,India,0,3,5,1
329,stood,0,2,5,0
330,422,0,0,3,0
331,million,0,3,7,1
332,2017,0,0,4,0
333,according,0,3,9,1
334,Telecom,0,3,7,1
335,Regulatory,0,4,10,1
336,Authority,0,4,9,1
337,India,0,3,5,1
338,TRAI,0,2,4,0
339,annual,0,3,6,1
340,report,0,2,6,0
341,roughly,0,2,7,0
342,32,0,0,2,0
343,total,0,2,5,0
344,population,0,5,10,1
345,telecom,0,3,7,1
346,ministry,0,2,8,0
347,expects,0,2,7,0
348,number,0,2,6,0
349,reach,0,2,5,0
350,730,0,0,3,0
351,million,0,3,7,1
352,2020,0,0,4,0
353,key,0,1,3,0
354,well,0,1,4,0
355,poised,1,0,6,0
356,take,0,2,4,0
357,full,0,1,4,0
358,advantage,1,4,9,1
359,rapid,1,2,5,0
360,internet,0,3,8,1
361,availability,0,6,12,1
362,boost,1,2,5,0
363,penetration,0,5,11,1
364,Indian,0,3,6,1
365,insurance,0,4,9,1
366,sector,0,2,6,0
367,encourage,1,5,9,1
368,innovation,1,5,10,1
369,liberalization,0,7,14,1
370,lot,0,1,3,0
371,emphasis,0,3,8,1
372,insurance,0,4,9,1
373,technology,0,3,10,1
374,laid,0,2,4,0
375,Big,0,1,3,0
376,Data,0,2,4,0
377,machine,0,3,7,1
378,learning,0,3,8,1
379,artificial,0,5,10,1
380,intelligence,1,5,12,1
381,PolicyBazaar,0,5,12,1
382,began,0,2,5,0
383,website,0,3,7,1
384,simply,0,1,6,0
385,comparing,0,3,9,1
386,insurance,0,4,9,1
387,policy,0,2,6,0
388,prices,0,0,6,0
389,become,0,3,6,1
390,India,0,3,5,1
391,largest,0,2,7,0
392,online,0,3,6,1
393,policy,0,2,6,0
394,marketplace,0,4,11,1
395,market,0,2,6,0
396,share,0,2,5,0
397,50,0,0,2,0
398,online,0,3,6,1
399,insurance,0,4,9,1
400,space,0,2,5,0
401,large,0,2,5,0
402,repository,0,4,10,1
403,data,0,2,4,0
404,gathered,0,0,8,0
405,years,0,2,5,0
406,Yashish,0,2,7,0
407,Dahiya,0,3,6,1
408,founded,0,0,7,0
409,company,0,2,7,0
410,able,0,2,4,0
411,offer,0,2,5,0
412,unique,0,4,6,1
413,products,0,2,8,0
414,sold,0,1,4,0
415,PolicyBazaar,0,5,12,1
416,based,0,0,5,0
417,customer,0,3,8,1
418,profiles,0,0,8,0
419,pay,0,1,3,0
420,per,0,1,3,0
421,use,0,2,3,0
422,motor,0,2,5,0
423,insurance,0,4,9,1
424,insurance,0,4,9,1
425,policies,0,0,8,0
426,term,0,1,4,0
427,hundred,0,0,7,0
428,years,0,2,5,0
429,Using,0,2,5,0
430,data,0,2,4,0
431,analytics,0,3,9,1
432,website,0,3,7,1
433,also,0,2,4,0
434,recommend,1,3,9,1
435,products,0,2,8,0
436,add,0,1,3,0
437,ons,0,1,3,0
438,based,0,0,5,0
439,customer,0,3,8,1
440,search,0,2,6,0
441,trends,0,1,6,0
442,profile,0,3,7,1
443,ensure,0,3,6,1
444,higher,0,2,6,0
445,chance,0,2,6,0
446,customer,0,3,8,1
447,buy,0,1,3,0
448,policy,0,2,6,0
449,Aureus,0,4,6,1
450,Analytics,0,3,9,1
451,Analytics,0,3,9,1
452,firm,0,1,4,0
453,founded,0,0,7,0
454,Anurag,0,3,6,1
455,Shah,0,1,4,0
456,aims,0,2,4,0
457,leverage,1,4,8,1
458,advanced,1,0,8,0
459,analytics,0,3,9,1
460,machine,0,3,7,1
461,learning,0,3,8,1
462,counter,0,3,7,1
463,fraud,-1,2,5,0
464,developing,0,4,10,1
465,predictive,0,4,10,1
466,models,0,2,6,0
467,assess,0,2,6,0
468,probability,0,4,11,1
469,claim,0,2,5,0
470,fraudulent,-1,4,10,1
471,also,0,2,4,0
472,use,0,2,3,0
473,data,0,2,4,0
474,generate,0,4,8,1
475,customer,0,3,8,1
476,risk,-1,1,4,0
477,profiles,0,0,8,0
478,help,0,1,4,0
479,speed,0,0,5,0
480,claims,0,2,6,0
481,settlement,0,3,10,1
482,Bajaj,0,2,5,0
483,Allianz,0,3,7,1
484,General,0,3,7,1
485,Insurance,0,4,9,1
486,used,0,0,4,0
487,IoT,0,2,3,0
488,introduce,0,4,9,1
489,insurance,0,4,9,1
490,cover,0,2,5,0
491,school,0,2,6,0
492,children,0,2,8,0
493,travel,0,2,6,0
494,school,0,2,6,0
495,bus,0,1,3,0
496,school,0,2,6,0
497,children,0,2,8,0
498,tracked,0,0,7,0
499,real,0,2,4,0
500,time,0,2,4,0
501,using,0,2,5,0
502,GPS,0,0,3,0
503,beacons,0,3,7,1
504,identity,0,3,8,1
505,cards,0,1,5,0
506,protected,0,0,9,0
507,accidents,0,3,9,1
508,insurance,0,4,9,1
509,cover,0,2,5,0
510,working,0,2,7,0
511,group,0,2,5,0
512,set,0,1,3,0
513,IRDAI,0,3,5,1
514,January,0,3,7,1
515,2018,0,0,4,0
516,submitted,0,0,9,0
517,report,0,2,6,0
518,recommending,0,4,12,1
519,insurance,0,4,9,1
520,companies,0,0,9,0
521,use,0,2,3,0
522,wearable,0,4,8,1
523,fitness,0,2,7,0
524,devices,0,0,7,0
525,track,0,1,5,0
526,customer,0,3,8,1
527,health,0,2,6,0
528,blood,0,2,5,0
529,pressure,0,3,8,1
530,heart,0,2,5,0
531,rate,0,2,4,0
532,distance,0,3,8,1
533,walked,0,0,6,0
534,use,0,2,3,0
535,data,0,2,4,0
536,adequately,0,5,10,1
537,price,0,2,5,0
538,premiums,0,3,8,1
539,life,0,2,4,0
540,insurance,0,4,9,1
541,developments,0,4,12,1
542,indicate,0,4,8,1
543,clear,1,2,5,0
544,shift,0,1,5,0
545,towards,0,2,7,0
546,greater,0,3,7,1
547,adoption,0,4,8,1
548,technologies,0,0,12,0
549,insurance,0,4,9,1
550,sector,0,2,6,0
551,huge,0,2,4,0
552,potential,0,4,9,1
553,lies,-1,0,4,0
554,relatively,0,4,10,1
555,untapped,0,0,8,0
556,Indian,0,3,6,1
557,insurance,0,4,9,1
558,market,0,2,6,0
559,realized,0,0,8,0
560,insurance,0,4,9,1
561,companies,0,0,9,0
562,must,0,1,4,0
563,work,1,1,4,0
564,towards,0,2,7,0
565,end,0,1,3,0
566,limits,-1,2,6,0
567,FDI,0,1,3,0
568,insurance,0,4,9,1
569,sector,0,2,6,0
570,raised,0,0,6,0
571,26,0,0,2,0
572,49,0,0,2,0
573,2014,0,0,4,0
574,similar,0,3,7,1
575,single,0,2,6,0
576,brand,0,1,5,0
577,retail,0,3,6,1
578,government,0,3,10,1
579,mulling,0,2,7,0
580,increasing,0,4,10,1
581,FDI,0,1,3,0
582,limit,-1,2,5,0
583,100,0,0,3,0
584,According,0,3,9,1
585,article,0,3,7,1
586,Advait,0,3,6,1
587,Rao,0,2,3,0
588,Palepu,0,3,6,1
589,Subrata,0,3,7,1
590,Panda,0,2,5,0
591,sourced,0,0,7,0
592,information,0,5,11,1
593,Venture,0,3,7,1
