,Token,Score,Syllable_Count,Word_length,IsComplex
0,Covid,0,2,5,0
1,19,0,0,2,0
2,pandemics,0,3,9,1
3,forced,0,0,6,0
4,factories,0,0,9,0
5,shut,0,1,4,0
6,flights,0,1,7,0
7,getting,0,2,7,0
8,canceled,0,0,8,0
9,massive,0,3,7,1
10,decrease,0,4,8,1
11,global,0,2,6,0
12,economy,0,3,7,1
13,significant,1,4,11,1
14,decrease,0,4,8,1
15,Green,0,2,5,0
16,House,0,3,5,1
17,Gases,0,0,5,0
18,GHG,0,0,3,0
19,developed,0,0,9,0
20,developing,0,4,10,1
21,countries,0,0,9,0
22,SARS,0,1,4,0
23,CoV2,0,1,4,0
24,came,0,2,4,0
25,spotlight,0,2,9,0
26,December,0,3,8,1
27,2019,0,0,4,0
28,impacted,0,0,8,0
29,countries,0,0,9,0
30,till,0,1,4,0
31,Nearly,0,2,6,0
32,131,0,0,3,0
33,million,0,3,7,1
34,peoples,0,0,7,0
35,infected,-1,0,8,0
36,worldwide,0,3,9,1
37,resulting,0,3,9,1
38,deaths,0,2,6,0
39,around,0,3,6,1
40,2,0,0,1,0
41,9,0,0,1,0
42,Million,0,3,7,1
43,according,0,3,9,1
44,World,0,1,5,0
45,Health,0,2,6,0
46,Organisation,0,6,12,1
47,countries,0,0,9,0
48,dealt,0,2,5,0
49,virus,-1,2,5,0
50,imposing,-1,3,8,1
51,strict,-1,1,6,0
52,lockdowns,0,2,9,0
53,social,0,3,6,1
54,distancing,0,3,10,1
55,control,0,2,7,0
56,spread,0,2,6,0
57,virus,-1,2,5,0
58,policies,0,0,8,0
59,caused,0,0,6,0
60,adverse,-1,3,7,1
61,effects,0,2,7,0
62,worldwide,0,3,9,1
63,One,0,2,3,0
64,important,1,3,9,1
65,impacts,0,2,7,0
66,Covid,0,2,5,0
67,19,0,0,2,0
68,Pandemic,0,3,8,1
69,environment,0,4,11,1
70,positive,1,4,8,1
71,impacts,0,2,7,0
72,environment,0,4,11,1
73,due,0,2,3,0
74,lockdown,0,2,8,0
75,like,0,2,4,0
76,air,0,2,3,0
77,pollution,0,4,9,1
78,decreased,0,0,9,0
79,dramatically,0,4,12,1
80,people,0,3,6,1
81,asked,0,0,5,0
82,stay,0,1,4,0
83,houses,0,0,6,0
84,due,0,2,3,0
85,lockdowns,0,2,9,0
86,also,0,2,4,0
87,sharp,0,1,5,0
88,decline,-1,3,7,1
89,environmental,0,5,13,1
90,noise,-1,3,5,1
91,Environmental,0,5,13,1
92,noise,-1,3,5,1
93,well,0,1,4,0
94,defined,0,0,7,0
95,unwanted,-1,0,8,0
96,harmful,-1,2,7,0
97,outdoor,0,4,7,1
98,sounds,0,2,6,0
99,caused,0,0,6,0
100,human,0,2,5,0
101,activities,0,0,10,0
102,like,0,2,4,0
103,noise,-1,3,5,1
104,emitted,0,0,7,0
105,road,0,2,4,0
106,traffics,0,2,8,0
107,air,0,2,3,0
108,traffics,0,2,8,0
109,rail,-1,2,4,0
110,traffics,0,2,8,0
111,industrial,0,4,10,1
112,activities,0,0,10,0
113,important,1,3,9,1
114,challenges,0,0,10,0
115,modern,1,2,6,0
116,era,0,2,3,0
117,noise,-1,3,5,1
118,pollution,0,4,9,1
119,cause,0,3,5,1
120,adverse,-1,3,7,1
121,effects,0,2,7,0
122,humans,0,2,6,0
123,well,0,1,4,0
124,harm,-1,1,4,0
125,animals,0,3,7,1
126,imposition,-1,5,10,1
127,lockdown,0,2,8,0
128,quarantine,0,5,10,1
129,various,0,4,7,1
130,nation,0,3,6,1
131,governments,0,3,11,1
132,caused,0,0,6,0
133,people,0,3,6,1
134,remain,0,3,6,1
135,back,0,1,4,0
136,homes,0,0,5,0
137,movement,0,3,8,1
138,people,0,3,6,1
139,place,0,2,5,0
140,different,0,3,9,1
141,place,0,2,5,0
142,reduced,0,0,7,0
143,significantly,0,4,13,1
144,use,0,2,3,0
145,personal,0,3,8,1
146,public,0,2,6,0
147,transport,0,2,9,0
148,also,0,2,4,0
149,decreased,0,0,9,0
150,Due,0,2,3,0
151,changes,0,0,7,0
152,environmental,0,5,13,1
153,noise,-1,3,5,1
154,generated,0,0,9,0
155,cities,0,0,6,0
156,dropped,0,0,7,0
157,substantially,0,4,13,1
158,Water,0,2,5,0
159,Pollution,0,4,9,1
160,beaches,0,0,7,0
161,reduced,0,0,7,0
162,significantly,0,4,13,1
163,animals,0,3,7,1
164,spotted,0,0,7,0
165,back,0,1,4,0
166,cities,0,0,6,0
167,covid,0,2,5,0
168,19,0,0,2,0
169,virus,-1,2,5,0
170,also,0,2,4,0
171,generated,0,0,9,0
172,negative,-1,4,8,1
173,indirect,0,3,8,1
174,effect,0,2,6,0
175,environment,0,4,11,1
176,begin,0,2,5,0
177,developed,0,0,9,0
178,countries,0,0,9,0
179,halted,0,0,6,0
180,sustainability,1,6,14,1
181,program,0,2,7,0
182,pandemic,0,3,8,1
183,United,0,0,6,0
184,States,0,0,6,0
185,European,0,5,8,1
186,nation,0,3,6,1
187,States,0,0,6,0
188,waste,-1,2,5,0
189,recycling,0,2,9,0
190,plants,0,1,6,0
191,suspended,0,0,9,0
192,municipalities,0,0,14,0
193,cities,0,0,6,0
194,due,0,2,3,0
195,concern,-1,2,7,0
196,virus,-1,2,5,0
197,getting,0,2,7,0
198,spread,0,2,6,0
199,recycling,0,2,9,0
