,Token,Score,Syllable_Count,Word_length,IsComplex
0,Stay,0,1,4,0
1,Home,0,2,4,0
2,Crisis,-1,2,6,0
3,Pandemic,0,3,8,1
4,COVID,0,2,5,0
5,19,0,0,2,0
6,terms,0,1,5,0
7,come,0,2,4,0
8,mind,0,1,4,0
9,wake,0,2,4,0
10,every,0,2,5,0
11,morning,0,2,7,0
12,listen,0,2,6,0
13,world,0,1,5,0
14,mourning,0,3,8,1
15,Coronavirus,0,5,11,1
16,pandemic,0,3,8,1
17,hitting,0,2,7,0
18,almost,0,2,6,0
19,210,0,0,3,0
20,countries,0,0,9,0
21,throughout,0,4,10,1
22,globe,0,2,5,0
23,possible,0,3,8,1
24,cure,1,2,4,0
25,foreseeable,0,6,11,1
26,future,0,3,6,1
27,state,0,2,5,0
28,world,0,1,5,0
29,dismal,-1,2,6,0
30,ever,0,2,4,0
31,get,0,1,3,0
32,Great,1,2,5,0
33,Lockdown,0,2,8,0
34,called,0,0,6,0
35,adverse,-1,3,7,1
36,effects,0,2,7,0
37,almost,0,2,6,0
38,everything,0,3,10,1
39,common,0,2,6,0
40,man,0,1,3,0
41,importantly,0,3,11,1
42,grave,0,2,5,0
43,impact,0,2,6,0
44,world,0,1,5,0
45,work,1,1,4,0
46,article,0,3,7,1
47,let,0,1,3,0
48,look,0,2,4,0
49,current,0,2,7,0
50,status,0,2,6,0
51,working,0,2,7,0
52,population,0,5,10,1
53,throughout,0,4,10,1
54,world,0,1,5,0
55,lies,-1,0,4,0
56,ahead,0,3,5,1
57,future,0,3,6,1
58,2020,0,0,4,0
59,marked,0,0,6,0
60,beginning,0,3,9,1
61,decade,0,3,6,1
62,seemingly,0,3,9,1
63,difficult,-1,3,9,1
64,various,0,4,7,1
65,organizations,0,6,13,1
66,across,0,2,6,0
67,world,0,1,5,0
68,quarter,0,3,7,1
69,2020,0,0,4,0
70,brought,0,2,7,0
71,major,0,2,5,0
72,issues,-1,0,6,0
73,workforce,0,3,9,1
74,implementation,0,6,14,1
75,lockdowns,0,2,9,0
76,various,0,4,7,1
77,countries,0,0,9,0
78,India,0,3,5,1
79,Germany,0,2,7,0
80,Italy,0,2,5,0
81,China,0,2,5,0
82,UK,0,1,2,0
83,etc,0,1,3,0
84,made,0,2,4,0
85,Work,1,1,4,0
86,Home,0,2,4,0
87,compulsion,-1,4,10,1
88,everyone,0,4,8,1
89,except,0,2,6,0
90,working,0,2,7,0
91,essential,0,4,9,1
92,goods,0,2,5,0
93,services,0,0,8,0
94,companies,0,0,9,0
95,crisis,-1,2,6,0
96,already,0,3,7,1
97,led,1,0,3,0
98,worldwide,0,3,9,1
99,economic,0,4,8,1
100,slowdown,0,2,8,0
101,period,0,3,6,1
102,recession,-1,4,9,1
103,looming,0,3,7,1
104,heads,0,2,5,0
105,International,0,6,13,1
106,Monetary,0,3,8,1
107,Fund,0,1,4,0
108,IMF,0,1,3,0
109,predicted,0,0,9,0
110,shrink,0,1,6,0
111,3,0,0,1,0
112,Global,0,2,6,0
113,GDP,0,0,3,0
114,indicating,0,4,10,1
115,extent,0,2,6,0
116,crisis,-1,2,6,0
117,severity,-1,3,8,1
118,issue,-1,3,5,1
119,felt,0,1,4,0
120,various,0,4,7,1
121,big,0,1,3,0
122,companies,0,0,9,0
123,India,0,3,5,1
124,major,0,2,5,0
125,powers,0,2,6,0
126,world,0,1,5,0
127,interview,0,4,9,1
128,Anand,0,2,5,0
129,Mahindra,0,3,8,1
130,CEO,0,2,3,0
131,Group,0,2,5,0
132,said,0,2,4,0
133,manufacturing,0,5,13,1
134,production,0,4,10,1
135,sector,0,2,6,0
136,hit,0,1,3,0
137,hardest,0,2,7,0
138,lack,-1,1,4,0
139,labor,0,2,5,0
140,force,0,2,5,0
141,mentioned,0,0,9,0
142,lack,-1,1,4,0
143,wage,0,2,4,0
144,workers,0,2,7,0
145,help,0,1,4,0
146,loading,0,3,7,1
147,unloading,0,4,9,1
148,material,0,4,8,1
149,making,0,2,6,0
150,transport,0,2,9,0
151,major,0,2,5,0
152,issue,-1,3,5,1
153,company,0,2,7,0
154,also,0,2,4,0
155,hinting,0,2,7,0
156,importance,0,4,10,1
157,small,0,1,5,0
158,workers,0,2,7,0
159,macro,0,2,5,0
160,level,0,2,5,0
161,CEOs,0,2,4,0
162,Managers,0,3,8,1
163,various,0,4,7,1
164,organizations,0,6,13,1
165,hard,-1,1,4,0
166,time,0,2,4,0
167,dealing,0,3,7,1
168,crisis,-1,2,6,0
169,almost,0,2,6,0
170,MNCs,0,0,4,0
171,PwC,0,0,3,0
172,BCG,0,0,3,0
173,Deloitte,0,4,8,1
174,IBM,0,1,3,0
175,Infosys,0,2,7,0
176,etc,0,1,3,0
177,making,0,2,6,0
178,work,1,1,4,0
179,home,0,2,4,0
180,compulsory,0,3,10,1
181,till,0,1,4,0
182,around,0,3,6,1
183,mid,0,1,3,0
184,May,0,1,3,0
185,20,0,0,2,0
186,importance,0,4,10,1
187,technology,0,3,10,1
188,peak,0,2,4,0
189,Whether,0,2,7,0
190,conducting,0,3,10,1
191,meetings,0,3,8,1
192,Zoom,0,2,4,0
193,conference,0,4,10,1
194,calls,0,1,5,0
195,Duo,0,2,3,0
196,staying,0,2,7,0
197,home,0,2,4,0
198,working,0,2,7,0
199,becoming,0,3,8,1
200,normal,0,2,6,0
201,move,0,2,4,0
202,forward,0,2,7,0
203,Service,0,3,7,1
204,based,0,0,5,0
205,companies,0,0,9,0
206,finding,0,2,7,0
207,easier,1,4,6,1
208,complete,0,3,8,1
209,tasks,0,1,5,0
210,compared,0,0,8,0
211,Product,0,2,7,0
212,based,0,0,5,0
213,companies,0,0,9,0
214,According,0,3,9,1
215,IMF,0,1,3,0
216,world,0,1,5,0
217,going,0,2,5,0
218,lose,-1,2,4,0
219,USD,0,1,3,0
220,9,0,0,1,0
221,Trillion,0,3,8,1
222,output,0,3,6,1
223,2020,0,0,4,0
224,combined,0,0,8,0
225,output,0,3,6,1
226,Germany,0,2,7,0
227,Japan,0,2,5,0
228,manufacturing,0,5,13,1
229,sector,0,2,6,0
230,worst,-1,1,5,0
231,hit,0,1,3,0
232,pandemic,0,3,8,1
233,China,0,2,5,0
234,world,0,1,5,0
235,largest,0,2,7,0
236,exporter,0,3,8,1
237,goods,0,2,5,0
238,epicenter,0,4,9,1
239,COVID,0,2,5,0
240,19,0,0,2,0
241,pandemic,0,3,8,1
242,seen,0,2,4,0
243,significant,1,4,11,1
244,fall,-1,1,4,0
245,output,0,3,6,1
246,months,0,1,6,0
247,2020,0,0,4,0
248,Chinese,0,3,7,1
249,Industrial,0,4,10,1
250,Production,0,4,10,1
251,fallen,-1,2,6,0
252,13,0,0,2,0
253,5,0,0,1,0
254,major,0,2,5,0
255,manufacturers,0,5,13,1
256,China,0,2,5,0
257,facing,0,2,6,0
258,problems,-1,2,8,0
259,relating,0,3,8,1
260,shutdown,0,2,8,0
261,lack,-1,1,4,0
262,workforce,0,3,9,1
263,Restrictions,0,4,12,1
264,affected,0,0,8,0
265,supply,0,1,6,0
266,Chinese,0,3,7,1
267,companies,0,0,9,0
268,like,0,2,4,0
269,JCB,0,0,3,0
270,SAIC,0,2,4,0
271,Nissan,0,2,6,0
272,name,0,2,4,0
273,Organizations,0,6,13,1
274,Samsung,0,2,7,0
275,Kia,0,2,3,0
276,Hyundai,0,3,7,1
277,non,0,1,3,0
278,essential,0,4,9,1
279,goods,0,2,5,0
280,companies,0,0,9,0
281,forced,0,0,6,0
282,shut,0,1,4,0
283,factories,0,0,9,0
284,comply,0,1,6,0
285,lockdown,0,2,8,0
286,norms,0,1,5,0
287,safety,0,2,6,0
288,employees,0,0,9,0
289,Indian,0,3,6,1
290,manufacturing,0,5,13,1
291,giants,0,2,6,0
292,Bajaj,0,2,5,0
293,Tata,0,2,4,0
294,taken,0,2,5,0
295,toll,-1,1,4,0
296,due,0,2,3,0
297,lockdown,0,2,8,0
298,measures,0,0,8,0
299,India,0,3,5,1
300,Bajaj,0,2,5,0
301,forced,0,0,6,0
302,cut,0,1,3,0
303,employee,0,4,8,1
304,salaries,0,0,8,0
305,30,0,0,2,0
306,worker,0,2,6,0
307,salaries,0,0,8,0
308,10,0,0,2,0
309,due,0,2,3,0
310,lack,-1,1,4,0
311,revenue,0,4,7,1
312,US,0,1,2,0
313,based,0,0,5,0
314,smartphone,0,3,10,1
315,tech,0,1,4,0
316,giant,0,2,5,0
317,Apple,0,2,5,0
318,Inc,0,1,3,0
319,shut,0,1,4,0
320,stores,0,0,6,0
321,worldwide,0,3,9,1
322,factories,0,0,9,0
323,China,0,2,5,0
324,USA,0,2,3,0
325,unable,-1,3,6,1
326,produce,0,3,7,1
327,products,0,2,8,0
328,time,0,2,4,0
329,examples,0,0,8,0
330,production,0,4,10,1
331,hit,0,1,3,0
332,globally,0,2,8,0
333,countries,0,0,9,0
334,lack,-1,1,4,0
335,demand,0,2,6,0
336,compliment,1,3,10,1
337,enhancing,0,3,9,1
338,problem,-1,2,7,0
339,faced,0,0,5,0
340,producers,0,3,9,1
341,world,0,1,5,0
342,work,1,1,4,0
343,also,0,2,4,0
344,includes,0,0,8,0
345,willing,0,2,7,0
346,able,0,2,4,0
347,work,1,1,4,0
348,cannot,0,2,6,0
349,find,0,1,4,0
350,job,0,1,3,0
351,e,0,1,1,0
352,unemployed,-1,0,10,0
353,unemployment,0,4,12,1
354,rate,0,2,4,0
355,staggering,0,3,10,1
356,high,0,1,4,0
357,across,0,2,6,0
358,nations,0,3,7,1
359,affected,0,0,8,0
360,pandemic,0,3,8,1
361,According,0,3,9,1
362,US,0,1,2,0
363,Bureau,0,4,6,1
364,Labor,0,2,5,0
365,Statistics,0,3,10,1
366,number,0,2,6,0
367,people,0,3,6,1
368,filing,0,2,6,0
369,unemployment,0,4,12,1
370,hit,0,1,3,0
371,record,0,2,6,0
372,high,0,1,4,0
373,close,0,2,5,0
374,7,0,0,1,0
375,million,0,3,7,1
376,people,0,3,6,1
377,China,0,2,5,0
378,reported,0,0,8,0
379,unemployment,0,4,12,1
380,rate,0,2,4,0
381,6,0,0,1,0
382,2,0,0,1,0
383,Jan,0,1,3,0
384,20,0,0,2,0
385,figures,0,0,7,0
386,expected,0,0,8,0
387,get,0,1,3,0
388,worse,-1,2,5,0
389,countries,0,0,9,0
390,According,0,3,9,1
391,International,0,6,13,1
392,Labor,0,2,5,0
393,Organization,0,6,12,1
394,25,0,0,2,0
395,million,0,3,7,1
396,workers,0,2,7,0
397,go,0,1,2,0
398,jobless,-1,2,7,0
399,due,0,2,3,0
400,crisis,-1,2,6,0
401,lead,1,2,4,0
402,significant,1,4,11,1
403,decline,-1,3,7,1
404,income,0,3,6,1
405,financial,0,4,9,1
406,crisis,-1,2,6,0
407,2008,0,0,4,0
408,caused,0,0,6,0
409,22,0,0,2,0
410,million,0,3,7,1
411,spike,0,2,5,0
412,unemployment,0,4,12,1
413,worldwide,0,3,9,1
414,nature,0,3,6,1
415,current,0,2,7,0
416,situation,0,5,9,1
417,makes,0,0,5,0
418,dangerous,-1,4,9,1
419,fall,-1,1,4,0
420,revenues,0,0,8,0
421,effects,0,2,7,0
422,supply,0,1,6,0
423,well,0,1,4,0
424,demand,0,2,6,0
425,mean,0,2,4,0
426,companies,0,0,9,0
427,hard,-1,1,4,0
428,time,0,2,4,0
429,maintaining,0,5,11,1
430,balance,0,3,7,1
431,sheet,0,2,5,0
432,taking,0,2,6,0
433,care,0,2,4,0
434,liabilities,0,0,11,0
435,Lack,-1,1,4,0
436,job,0,1,3,0
437,opportunities,0,0,13,0
438,next,0,1,4,0
439,quarter,0,3,7,1
