,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID19,0,2,7,0
1,END,0,1,3,0
2,Globalization,0,6,13,1
3,Globalization,0,6,13,1
4,Globalization,0,6,13,1
5,envisages,0,0,9,0
6,borderless,0,3,10,1
7,world,0,1,5,0
8,seeks,0,2,5,0
9,world,0,1,5,0
10,global,0,2,6,0
11,village,0,3,7,1
12,attributed,0,0,10,0
13,accelerated,0,0,11,0
14,flow,0,1,4,0
15,goods,0,2,5,0
16,people,0,3,6,1
17,capital,0,3,7,1
18,information,0,5,11,1
19,energy,0,2,6,0
20,across,0,2,6,0
21,borders,0,2,7,0
22,often,0,2,5,0
23,enabled,0,0,7,0
24,technological,0,5,13,1
25,developments,0,4,12,1
26,Globalization,0,6,13,1
27,Trends,0,1,6,0
28,Starting,0,2,8,0
29,1990s,0,0,5,0
30,globalization,0,6,13,1
31,dominated,1,0,9,0
32,world,0,1,5,0
33,economic,0,4,8,1
34,order,0,2,5,0
35,Anti,0,2,4,0
36,Globalization,0,6,13,1
37,Wave,0,2,4,0
38,Globalization,0,6,13,1
39,already,0,3,7,1
40,begun,0,2,5,0
41,stagnate,-1,3,8,1
42,since,0,2,5,0
43,2008,0,0,4,0
44,09,0,0,2,0
45,Global,0,2,6,0
46,Financial,0,4,9,1
47,Crisis,-1,2,6,0
48,Slowing,0,2,7,0
49,Trade,0,2,5,0
50,Trade,0,2,5,0
51,percentage,0,4,10,1
52,global,0,2,6,0
53,GDP,0,0,3,0
54,increased,0,0,9,0
55,39,0,0,2,0
56,1991,0,0,4,0
57,61,0,0,2,0
58,2008,0,0,4,0
59,stagnated,0,0,9,0
60,past,0,1,4,0
61,decade,0,3,6,1
62,Countries,0,0,9,0
63,Policies,0,0,8,0
64,Reflecting,0,3,10,1
65,Reverse,0,3,7,1
66,Globalization,0,6,13,1
67,following,0,3,9,1
68,polices,0,0,7,0
69,steps,0,1,5,0
70,various,0,4,7,1
71,countries,0,0,9,0
72,shows,0,1,5,0
73,protactinium,0,5,12,1
74,1,0,0,1,0
75,USA,0,2,3,0
76,reject,-1,2,6,0
77,Globalism,0,3,9,1
78,President,0,3,9,1
79,trump,1,1,5,0
80,took,0,2,4,0
81,American,0,4,8,1
82,First,0,1,5,0
83,United,0,0,6,0
84,States,0,0,6,0
85,Trump,1,1,5,0
86,2,0,0,1,0
87,Brexit,0,2,6,0
88,Brexit,0,2,6,0
89,rejection,-1,4,9,1
90,globalization,0,6,13,1
91,Larry,0,1,5,0
92,Elliott,0,3,7,1
93,Slowing,0,2,7,0
94,Movement,0,3,8,1
95,People,0,3,6,1
96,Though,0,2,6,0
97,number,0,2,6,0
98,tourists,0,3,8,1
99,increased,0,0,9,0
100,last,0,1,4,0
101,decade,0,3,6,1
102,1,0,0,1,0
103,Indian,0,3,6,1
104,H,0,0,1,0
105,1B,0,0,2,0
106,Visa,0,2,4,0
