,Token,Score,Syllable_Count,Word_length,IsComplex
0,Evolution,0,5,9,1
1,Advertising,0,4,11,1
2,Industry,0,2,8,0
3,years,0,2,5,0
4,Advertising,0,4,11,1
5,described,0,0,9,0
6,type,0,1,4,0
7,specific,0,3,8,1
8,content,0,2,7,0
9,broadcasting,0,4,12,1
10,larger,0,2,6,0
11,audience,0,5,8,1
12,form,0,1,4,0
13,take,0,2,4,0
14,several,0,3,7,1
15,different,0,3,9,1
16,forms,0,1,5,0
17,intended,0,0,8,0
18,message,0,3,7,1
19,differ,0,2,6,0
20,genre,0,2,5,0
21,genre,0,2,5,0
22,target,0,2,6,0
23,medium,0,3,6,1
24,could,0,2,5,0
25,different,0,3,9,1
26,Advertised,0,0,10,0
27,content,0,2,7,0
28,could,0,2,5,0
29,print,0,1,5,0
30,radio,0,3,5,1
31,TV,0,0,2,0
32,digital,0,3,7,1
33,formats,0,2,7,0
34,look,0,2,4,0
35,advertising,0,4,11,1
36,market,0,2,6,0
37,changed,0,0,7,0
38,last,0,1,4,0
39,ten,0,1,3,0
40,decade,0,3,6,1
41,Advertising,0,4,11,1
42,form,0,1,4,0
43,communication,0,6,13,1
44,aims,0,2,4,0
45,persuade,0,4,8,1
46,target,0,2,6,0
47,audience,0,5,8,1
48,Typical,0,2,7,0
49,advertising,0,4,11,1
50,messages,0,0,8,0
51,endorse,1,3,7,1
52,programs,0,2,8,0
53,goods,0,2,5,0
54,concepts,0,2,8,0
55,people,0,3,6,1
56,companies,0,0,9,0
57,First,0,1,5,0
58,conventional,0,5,12,1
59,types,0,0,5,0
60,advertising,0,4,11,1
61,used,0,0,4,0
62,carry,0,1,5,0
63,advertising,0,4,11,1
64,Let,0,1,3,0
65,take,0,2,4,0
66,look,0,2,4,0
67,traditional,0,5,11,1
68,forms,0,1,5,0
69,advertising,0,4,11,1
70,Advertising,0,4,11,1
71,include,0,3,7,1
72,flight,0,1,6,0
73,advertising,0,4,11,1
74,street,0,2,6,0
75,furniture,0,4,9,1
76,passenger,0,3,9,1
77,displays,0,2,8,0
78,billboards,0,3,10,1
79,skywriting,0,2,10,0
80,posters,0,2,7,0
81,wall,0,1,4,0
82,paintings,0,3,9,1
83,banners,0,2,7,0
84,taxi,0,2,4,0
85,cabs,0,1,4,0
86,passenger,0,3,9,1
87,screens,0,2,7,0
88,television,0,5,10,1
89,newspaper,0,3,9,1
90,advertisements,0,5,14,1
91,Press,0,1,5,0
92,advertising,0,4,11,1
93,types,0,0,5,0
94,advertising,0,4,11,1
95,include,0,3,7,1
96,press,0,1,5,0
97,advertisements,0,5,14,1
98,magazines,0,0,9,0
99,newspapers,0,3,10,1
100,Advertising,0,4,11,1
101,classified,0,0,10,0
102,section,0,3,7,1
103,newspaper,0,3,9,1
104,example,0,3,7,1
105,press,0,1,5,0
106,advertising,0,4,11,1
107,billboard,0,3,9,1
108,digital,0,3,7,1
109,screen,0,2,6,0
110,placed,0,0,6,0
111,moving,0,2,6,0
112,vehicle,0,3,7,1
113,often,0,2,5,0
114,referred,0,0,8,0
115,mobile,0,3,6,1
116,billboard,0,3,9,1
117,Guerrilla,0,4,9,1
118,advertising,0,4,11,1
119,brand,0,1,5,0
120,product,0,2,7,0
121,used,0,0,4,0
122,large,0,2,5,0
123,entertainment,0,5,13,1
124,venue,0,3,5,1
125,known,0,1,5,0
126,convert,0,2,7,0
127,ads,0,1,3,0
128,guerrilla,0,4,9,1
129,advertising,0,4,11,1
130,soft,1,1,4,0
131,drink,0,1,5,0
132,watch,0,1,5,0
133,pair,0,2,4,0
134,sneakers,0,3,8,1
135,seen,0,2,4,0
136,mentioned,0,0,9,0
137,common,0,2,6,0
138,film,0,1,4,0
139,example,0,3,7,1
140,store,0,2,5,0
141,advertising,0,4,11,1
142,Ad,0,1,2,0
143,supermarket,0,4,11,1
144,videos,0,3,6,1
145,aisles,0,0,6,0
146,inside,0,3,6,1
147,shopping,0,2,8,0
148,carts,0,1,5,0
149,referred,0,0,8,0
150,store,0,2,5,0
151,advertising,0,4,11,1
152,Consumers,0,3,9,1
153,influenced,0,0,10,0
154,celebrity,0,3,9,1
155,advertisements,0,5,14,1
156,power,0,2,5,0
157,wealth,0,2,6,0
158,fame,1,2,4,0
159,popularity,0,4,10,1
160,However,0,3,7,1
161,celebrity,0,3,9,1
162,falls,0,1,5,0
163,favor,1,2,5,0
164,use,0,2,3,0
165,celebrity,0,3,9,1
166,detrimental,-1,4,11,1
167,company,0,2,7,0
168,Non,0,1,3,0
169,commercial,0,4,10,1
170,ads,0,1,3,0
171,Religious,0,5,9,1
172,organizations,0,6,13,1
173,political,0,4,9,1
174,parties,0,0,7,0
175,political,0,4,9,1
176,candidates,0,0,10,0
177,special,0,3,7,1
178,interest,0,3,8,1
179,groups,0,2,6,0
180,examples,0,0,8,0
181,noncommercial,0,5,13,1
182,ads,0,1,3,0
183,conventional,0,5,12,1
184,forms,0,1,5,0
185,advertisement,0,5,13,1
186,internet,0,3,8,1
187,technology,0,3,10,1
188,progressed,0,0,10,0
189,advertising,0,4,11,1
190,industry,0,2,8,0
191,began,0,2,5,0
192,play,0,1,4,0
193,role,0,2,4,0
194,helping,1,2,7,0
195,brands,0,1,6,0
196,establish,0,3,9,1
197,digital,0,3,7,1
198,presence,0,3,8,1
199,advertising,0,4,11,1
200,products,0,2,8,0
201,way,0,1,3,0
202,advertising,0,4,11,1
203,industry,0,2,8,0
204,multibillion,0,5,12,1
205,dollar,0,2,6,0
206,global,0,2,6,0
207,company,0,2,7,0
208,connects,0,2,8,0
209,producers,0,3,9,1
210,customers,0,3,9,1
211,According,0,3,9,1
212,research,0,3,8,1
213,firm,0,1,4,0
214,eMarkerter,0,4,10,1
215,global,0,2,6,0
216,media,0,3,5,1
217,advertising,0,4,11,1
218,spending,0,2,8,0
219,totaled,0,0,7,0
220,nearly,0,2,6,0
221,629,0,0,3,0
222,billion,0,3,7,1
223,2018,0,0,4,0
224,digital,0,3,7,1
225,advertising,0,4,11,1
226,accounting,0,4,10,1
227,nearly,0,2,6,0
228,44,0,0,2,0
229,amount,0,3,6,1
230,decade,0,3,6,1
231,consumers,0,3,9,1
232,perspectives,0,0,12,0
233,shifted,0,0,7,0
234,favor,1,2,5,0
235,commercials,0,4,11,1
236,Advertisements,0,5,14,1
237,created,0,0,7,0
238,based,0,0,5,0
239,preferences,0,0,11,0
240,target,0,2,6,0
241,audience,0,5,8,1
242,population,0,5,10,1
243,become,0,3,6,1
244,tech,0,1,4,0
245,savvy,1,1,5,0
246,advertising,0,4,11,1
