,Token,Score,Syllable_Count,Word_length,IsComplex
0,heard,0,2,5,0
1,movie,0,3,5,1
2,Big,0,1,3,0
3,Hero,1,2,4,0
4,6,0,0,1,0
5,animated,0,0,8,0
6,movie,0,3,5,1
7,guy,0,1,3,0
8,named,0,0,5,0
9,Tadashi,0,3,7,1
10,built,0,2,5,0
11,AI,0,2,2,0
12,machine,0,3,7,1
13,Baymax,0,2,6,0
14,inflatable,0,4,10,1
15,healthcare,0,4,10,1
16,robot,0,2,5,0
17,could,0,2,5,0
18,army,0,1,4,0
19,camps,0,1,5,0
20,place,0,2,5,0
21,medical,0,3,7,1
22,sector,0,2,6,0
23,mark,0,1,4,0
24,plot,-1,1,4,0
25,twist,-1,1,5,0
26,later,0,2,5,0
27,turned,0,0,6,0
28,war,0,1,3,0
29,machine,0,3,7,1
30,younger,0,3,7,1
31,brother,0,2,7,0
32,whole,0,2,5,0
33,idea,0,3,4,1
34,telling,0,2,7,0
35,concept,0,2,7,0
36,shown,0,1,5,0
37,reality,0,3,7,1
38,would,0,2,5,0
39,come,0,2,4,0
40,effect,0,2,6,0
41,coming,0,2,6,0
42,years,0,2,5,0
43,AI,0,2,2,0
44,something,0,3,9,1
45,drastically,-1,3,11,1
46,put,0,1,3,0
47,impact,0,2,6,0
48,ways,0,1,4,0
49,working,0,2,7,0
50,like,0,2,4,0
51,take,0,2,4,0
52,years,0,2,5,0
53,back,0,1,4,0
54,think,0,1,5,0
55,payment,0,2,7,0
56,internet,0,3,8,1
57,buying,0,2,6,0
58,things,0,1,6,0
59,watching,0,2,8,0
60,pics,0,1,4,0
61,online,0,3,6,1
62,shopping,0,2,8,0
63,AI,0,2,2,0
64,making,0,2,6,0
65,everything,0,3,10,1
66,effective,1,4,9,1
67,available,0,5,9,1
68,importantly,0,3,11,1
69,boundaries,0,0,10,0
70,healthcare,0,4,10,1
71,sector,0,2,6,0
72,knowledge,0,3,9,1
73,associated,0,0,10,0
74,complex,-1,2,7,0
75,Health,0,2,6,0
76,check,0,1,5,0
77,ups,0,1,3,0
78,today,0,2,5,0
79,limited,-1,0,7,0
80,checking,0,2,8,0
81,patient,1,3,7,1
82,temperature,0,5,11,1
83,asking,0,2,6,0
84,questions,0,4,9,1
85,amplified,0,0,9,0
86,number,0,2,6,0
87,complex,-1,2,7,0
88,diseases,0,0,8,0
89,even,0,2,4,0
90,technology,0,3,10,1
91,get,0,1,3,0
92,advance,0,3,7,1
93,Modern,1,2,6,0
94,tests,0,1,5,0
95,complex,-1,2,7,0
96,medication,0,5,10,1
97,processes,0,0,9,0
98,restful,1,2,7,0
99,treatment,0,3,9,1
100,require,0,4,7,1
101,high,0,1,4,0
102,end,0,1,3,0
103,technologies,0,0,12,0
104,better,0,2,6,0
105,healthcare,0,4,10,1
106,industry,0,2,8,0
107,AI,0,2,2,0
108,making,0,2,6,0
109,medical,0,3,7,1
110,industry,0,2,8,0
111,bring,0,1,5,0
112,drastic,-1,2,7,0
113,effect,0,2,6,0
114,healthcare,0,4,10,1
115,sector,0,2,6,0
116,ways,0,1,4,0
117,DEVELOPMENT,0,4,11,1
118,RADIOLOGY,0,4,9,1
119,TOOLS,0,2,5,0
120,Radiological,0,6,12,1
121,images,0,0,6,0
122,obtained,0,0,8,0
123,MRI,0,1,3,0
124,machines,0,0,8,0
125,CT,0,0,2,0
126,scanners,0,2,8,0
127,x,0,0,1,0
128,rays,0,1,4,0
129,offer,0,2,5,0
130,non,0,1,3,0
131,invasive,-1,4,8,1
132,visibility,0,4,10,1
133,inner,0,2,5,0
134,workings,0,2,8,0
135,human,0,2,5,0
136,body,0,1,4,0
137,diagnostic,0,4,10,1
138,processes,0,0,9,0
139,rely,0,1,4,0
140,physical,0,2,8,0
141,tissue,0,3,6,1
142,samples,0,0,7,0
143,obtained,0,0,8,0
144,biopsies,0,0,8,0
145,carry,0,1,5,0
146,risks,-1,1,5,0
147,including,0,3,9,1
148,potential,0,4,9,1
149,infection,-1,4,9,1
150,Artificial,0,5,10,1
151,intelligence,1,5,12,1
152,enable,0,3,6,1
153,next,0,1,4,0
154,generation,0,5,10,1
155,radiology,0,4,9,1
156,tools,0,2,5,0
157,accurate,1,4,8,1
158,detailed,0,0,8,0
159,enough,0,3,6,1
160,replace,0,3,7,1
161,need,0,0,4,0
162,tissue,0,3,6,1
163,samples,0,0,7,0
164,cases,0,0,5,0
165,experts,0,2,7,0
166,predict,0,2,7,0
167,MAKING,0,2,6,0
168,PATHOLOGY,0,3,9,1
169,IMAGES,0,0,6,0
170,PRECISE,1,3,7,1
171,Pathologists,0,4,12,1
172,provide,0,3,7,1
173,significant,1,4,11,1
174,sources,0,0,7,0
175,diagnostic,0,4,10,1
176,data,0,2,4,0
177,providers,0,3,9,1
178,across,0,2,6,0
179,spectrum,0,2,8,0
180,care,0,2,4,0
181,delivery,0,3,8,1
182,says,0,1,4,0
183,Jeffrey,0,2,7,0
184,Golden,0,2,6,0
185,MD,0,0,2,0
186,Chair,0,2,5,0
187,Department,0,3,10,1
188,Pathology,0,3,9,1
189,BWH,0,0,3,0
190,Seventy,0,2,7,0
191,percent,0,2,7,0
192,decisions,0,4,9,1
193,healthcare,0,4,10,1
194,based,0,0,5,0
195,pathology,0,3,9,1
196,result,0,2,6,0
197,said,0,2,4,0
198,Somewhere,0,4,9,1
199,70,0,0,2,0
200,75,0,0,2,0
201,percent,0,2,7,0
202,data,0,2,4,0
203,electronic,0,4,10,1
204,health,0,2,6,0
205,record,0,2,6,0
206,pathology,0,3,9,1
207,result,0,2,6,0
208,accurate,1,4,8,1
209,get,0,1,3,0
210,sooner,0,3,6,1
211,get,0,1,3,0
212,right,0,1,5,0
213,diagnosis,0,4,9,1
214,better,0,2,6,0
215,going,0,2,5,0
216,digital,0,3,7,1
217,pathology,0,3,9,1
218,AI,0,2,2,0
219,opportunity,0,4,11,1
220,deliver,0,3,7,1
221,Analytics,0,3,9,1
222,drill,0,1,5,0
223,pixel,0,2,5,0
224,level,0,2,5,0
225,extremely,0,3,9,1
226,large,0,2,5,0
227,digital,0,3,7,1
228,images,0,0,6,0
229,allow,0,2,5,0
230,providers,0,3,9,1
231,identify,0,3,8,1
232,nuances,0,0,7,0
233,escape,0,3,6,1
234,human,0,2,5,0
235,eye,0,2,3,0
236,ADVANCE,0,3,7,1
237,WEARABLES,0,0,9,0
238,PERSONAL,0,3,8,1
239,DEVICES,0,0,7,0
240,MONITORING,0,4,10,1
241,HEALTH,0,2,6,0
242,Almost,0,2,6,0
243,consumers,0,3,9,1
244,access,0,2,6,0
245,devices,0,0,7,0
246,sensors,0,2,7,0
247,collect,0,2,7,0
248,valuable,1,4,8,1
249,data,0,2,4,0
250,health,0,2,6,0
251,smartphones,0,0,11,0
252,step,0,1,4,0
253,trackers,0,2,8,0
254,wearables,0,0,9,0
255,track,0,1,5,0
256,heartbeat,0,4,9,1
257,around,0,3,6,1
258,clock,0,1,5,0
259,growing,0,2,7,0
260,proportion,0,4,10,1
261,health,0,2,6,0
262,related,0,0,7,0
263,data,0,2,4,0
264,generated,0,0,9,0
265,go,0,1,2,0
266,Collecting,0,3,10,1
267,analyzing,0,3,9,1
268,data,0,2,4,0
269,supplementing,0,4,13,1
270,patient,1,3,7,1
271,provided,0,0,8,0
272,information,0,5,11,1
273,apps,0,1,4,0
274,home,0,2,4,0
275,monitoring,0,4,10,1
276,devices,0,0,7,0
277,offer,0,2,5,0
278,unique,0,4,6,1
279,perspective,0,4,11,1
280,individual,0,5,10,1
281,population,0,5,10,1
282,health,0,2,6,0
283,Artificial,0,5,10,1
284,intelligence,1,5,12,1
285,play,0,1,4,0
286,significant,1,4,11,1
287,role,0,2,4,0
288,extracting,0,3,10,1
289,actionable,0,5,10,1
290,insights,0,2,8,0
291,large,0,2,5,0
292,varied,0,0,6,0
293,treasure,1,4,8,1
294,trove,0,2,5,0
295,data,0,2,4,0
296,SMARTPHONES,0,0,11,0
297,POWERFUL,1,3,8,1
298,DIAGNOSTIC,0,4,10,1
299,TOOLS,0,2,5,0
300,Continuing,0,4,10,1
301,theme,0,2,5,0
302,harnessing,0,3,10,1
303,power,0,2,5,0
304,portable,1,3,8,1
305,devices,0,0,7,0
306,experts,0,2,7,0
307,believe,0,4,7,1
308,images,0,0,6,0
309,taken,0,2,5,0
310,smartphones,0,0,11,0
311,consumer,0,3,8,1
312,grade,0,2,5,0
313,sources,0,0,7,0
314,important,1,3,9,1
315,supplement,0,3,10,1
316,clinical,0,3,8,1
317,quality,0,3,7,1
318,imaging,0,3,7,1
319,especially,0,4,10,1
320,underserved,0,0,11,0
321,populations,0,5,11,1
322,developing,0,4,10,1
323,nations,0,3,7,1
324,quality,0,3,7,1
325,cell,0,1,4,0
