,Token,Score,Syllable_Count,Word_length,IsComplex
0,past,0,1,4,0
1,decade,0,3,6,1
2,fundamental,0,4,11,1
3,change,0,2,6,0
4,daily,0,2,5,0
5,operations,0,5,10,1
6,bank,0,1,4,0
7,completely,0,3,10,1
8,aiming,0,3,6,1
9,transform,0,2,9,0
10,operations,0,5,10,1
11,digitally,0,3,9,1
12,banks,0,1,5,0
13,especially,0,4,10,1
14,private,0,3,7,1
15,banks,0,1,5,0
16,invested,0,0,8,0
17,lot,0,1,3,0
18,technology,0,3,10,1
19,reduce,0,3,6,1
20,manual,0,3,6,1
21,labor,0,2,5,0
22,create,0,3,6,1
23,streamlined,1,0,11,0
24,process,0,2,7,0
25,However,0,3,7,1
26,exposed,0,0,7,0
27,banks,0,1,5,0
28,unwanted,-1,0,8,0
29,risks,-1,1,5,0
30,banks,0,1,5,0
31,take,0,2,4,0
32,strategic,0,3,9,1
33,risk,-1,1,4,0
34,aversion,-1,4,8,1
35,strategy,0,2,8,0
36,minimize,0,4,8,1
37,risk,-1,1,4,0
38,phases,0,0,6,0
39,restored,1,0,8,0
40,rationalize,0,6,11,1
41,reinvent,0,3,8,1
42,clearly,0,2,7,0
43,marked,0,0,6,0
44,phase,0,2,5,0
45,restore,0,3,7,1
46,strict,-1,1,6,0
47,regulations,0,5,11,1
48,compliances,0,0,11,0
49,regulating,0,4,10,1
50,bodies,0,0,6,0
51,India,0,3,5,1
52,internationally,0,6,15,1
53,Making,0,2,6,0
54,clear,1,2,5,0
55,far,0,1,3,0
56,away,0,2,4,0
57,seeing,0,3,6,1
58,risk,-1,1,4,0
59,free,0,2,4,0
60,banking,0,2,7,0
61,utopia,0,4,6,1
62,Risk,-1,1,4,0
63,management,0,4,10,1
64,risk,-1,1,4,0
65,avoidance,0,5,9,1
66,making,0,2,6,0
67,risk,-1,1,4,0
68,informed,0,0,8,0
69,decision,0,4,8,1
70,diminish,0,3,8,1
71,probability,0,4,11,1
72,affecting,0,3,9,1
73,bank,0,1,4,0
74,long,0,1,4,0
75,term,0,1,4,0
76,talks,0,1,5,0
77,sustained,0,0,9,0
78,growth,0,1,6,0
79,processing,0,3,10,1
80,risks,-1,1,5,0
81,must,0,1,4,0
82,make,0,2,4,0
83,sure,0,2,4,0
84,risk,-1,1,4,0
85,created,0,0,7,0
86,History,0,2,7,0
87,always,0,2,6,0
88,keen,0,2,4,0
89,teacher,0,3,7,1
90,reflecting,0,3,10,1
91,faults,-1,2,6,0
92,2008,0,0,4,0
93,financial,0,4,9,1
94,crisis,-1,2,6,0
95,biggest,0,2,7,0
96,eye,0,2,3,0
97,openers,0,3,7,1
98,banks,0,1,5,0
99,inception,0,4,9,1
100,even,0,2,4,0
101,Bassel,0,2,6,0
102,norms,0,1,5,0
103,2012,0,0,4,0
104,underwent,0,3,9,1
105,huge,0,2,4,0
106,change,0,2,6,0
107,pertaining,0,4,10,1
108,different,0,3,9,1
109,banking,0,2,7,0
110,risks,-1,1,5,0
111,supervision,0,5,11,1
112,risk,-1,1,4,0
113,operational,0,6,11,1
114,risk,-1,1,4,0
115,liquidation,0,6,11,1
116,risk,-1,1,4,0
117,present,0,2,7,0
118,opening,0,3,7,1
119,banking,0,2,7,0
120,digital,0,3,7,1
121,platform,0,2,8,0
122,vulnerable,-1,4,10,1
123,risks,-1,1,5,0
124,old,0,1,3,0
125,risks,-1,1,5,0
126,contemporary,0,4,12,1
127,risks,-1,1,5,0
128,would,0,2,5,0
129,include,0,3,7,1
130,cybersecurity,0,4,13,1
131,risk,-1,1,4,0
132,privacy,0,2,7,0
133,risk,-1,1,4,0
134,digital,0,3,7,1
135,transformation,0,5,14,1
136,setting,0,2,7,0
137,imperative,0,5,10,1
138,different,0,3,9,1
139,banks,0,1,5,0
140,would,0,2,5,0
141,undergo,0,3,7,1
142,disruption,-1,4,10,1
