,Token,Score,Syllable_Count,Word_length,IsComplex
0,Abstract,0,2,8,0
1,Artificial,0,5,10,1
2,intelligence,1,5,12,1
3,employment,0,3,10,1
4,burning,-1,2,7,0
5,issues,-1,0,6,0
6,nowadays,0,3,8,1
7,workers,0,2,7,0
8,need,0,0,4,0
9,clarity,1,2,7,0
10,head,0,2,4,0
11,longer,0,2,6,0
12,term,0,1,4,0
13,article,0,3,7,1
14,focuses,0,0,7,0
15,various,0,4,7,1
16,impact,0,2,6,0
17,AI,0,2,2,0
18,jobs,0,1,4,0
19,explains,0,3,8,1
20,benefits,1,3,8,1
21,AI,0,2,2,0
22,workplace,0,3,9,1
23,right,0,1,5,0
24,must,0,1,4,0
25,hit,0,1,3,0
26,nerve,0,2,5,0
27,However,0,3,7,1
28,everything,0,3,10,1
29,change,0,2,6,0
30,article,0,3,7,1
31,highlights,0,2,10,0
32,reasons,0,3,7,1
33,fear,-1,2,4,0
34,AI,0,2,2,0
35,AI,0,2,2,0
36,AI,0,2,2,0
37,abbreviation,0,6,12,1
38,Artificial,0,5,10,1
39,Intelligence,1,5,12,1
40,Artificial,0,5,10,1
41,intelligence,1,5,12,1
42,often,0,2,5,0
43,defined,0,0,7,0
44,set,0,1,3,0
45,various,0,4,7,1
46,technologies,0,0,12,0
47,brought,0,2,7,0
48,together,0,3,8,1
49,permit,0,2,6,0
50,machines,0,0,8,0
51,act,0,1,3,0
52,appears,0,3,7,1
53,human,0,2,5,0
54,like,0,2,4,0
55,levels,0,2,6,0
56,intelligence,1,5,12,1
57,includes,0,0,8,0
58,learning,0,3,8,1
59,rules,0,0,5,0
60,required,0,0,8,0
61,make,0,2,4,0
62,certain,0,3,7,1
63,decisions,0,4,9,1
64,reasoning,0,4,9,1
65,arrive,0,3,6,1
66,certain,0,3,7,1
67,conclusions,0,4,11,1
68,learning,0,3,8,1
69,past,0,1,4,0
70,experiences,0,0,11,0
71,self,0,1,4,0
72,correction,0,4,10,1
73,AI,0,2,2,0
74,types,0,0,5,0
75,Narrow,0,2,6,0
76,Weak,-1,2,4,0
77,AI,0,2,2,0
78,AI,0,2,2,0
79,solution,0,4,8,1
80,designed,0,0,8,0
81,trained,0,0,7,0
82,specific,0,3,8,1
83,task,0,1,4,0
84,Strong,0,1,6,0
85,AI,0,2,2,0
86,AI,0,2,2,0
87,solution,0,4,8,1
88,whose,0,2,5,0
89,intelligence,1,5,12,1
90,matches,0,0,7,0
91,human,0,2,5,0
92,brain,0,2,5,0
93,across,0,2,6,0
94,multiple,0,3,8,1
95,differentiated,0,0,14,0
96,task,0,1,4,0
97,Key,0,1,3,0
98,Moments,0,2,7,0
99,AI,0,2,2,0
100,Journey,0,3,7,1
101,1940,0,0,4,0
102,Expectations,0,5,12,1
103,machines,0,0,8,0
104,could,0,2,5,0
105,match,0,1,5,0
106,humans,0,2,6,0
107,terms,0,1,5,0
108,general,0,3,7,1
109,intelligence,1,5,12,1
110,mean,0,2,4,0
111,machines,0,0,8,0
112,could,0,2,5,0
113,capability,1,4,10,1
114,find,0,1,4,0
115,Reason,0,3,6,1
116,React,0,2,5,0
117,1950,0,0,4,0
118,Alan,0,2,4,0
119,Turing,0,2,6,0
120,develops,0,3,8,1
