,Token,Score,Syllable_Count,Word_length,IsComplex
0,Uber,0,2,4,0
1,driver,0,2,6,0
2,robot,0,2,5,0
3,Could,0,2,5,0
4,next,0,1,4,0
5,medicine,0,4,8,1
6,prescription,0,4,12,1
7,app,0,1,3,0
8,robots,0,2,6,0
9,make,0,2,4,0
10,calls,0,1,5,0
11,appointment,0,4,11,1
12,hair,0,2,4,0
13,salon,0,2,5,0
14,machine,0,3,7,1
15,learning,0,3,8,1
16,algorithm,0,3,9,1
17,favorite,1,4,8,1
18,music,0,2,5,0
19,composer,0,3,8,1
20,ultimately,0,4,10,1
21,AI,0,2,2,0
22,replace,0,3,7,1
23,Dream,0,2,5,0
24,job,0,1,3,0
25,future,0,3,6,1
26,Well,0,1,4,0
27,quick,0,2,5,0
28,answer,0,2,6,0
29,websites,0,0,8,0
30,like,0,2,4,0
31,willrobotstakemyjob,0,6,19,1
32,com,0,1,3,0
33,know,0,1,4,0
34,whether,0,2,7,0
35,likely,0,2,6,0
36,get,0,1,3,0
37,fired,0,0,5,0
38,due,0,2,3,0
39,technology,0,3,10,1
40,technological,0,5,13,1
41,revolution,0,5,10,1
42,yes,0,0,3,0
43,victims,0,2,7,0
44,Robot,0,2,5,0
45,Employment,0,3,10,1
46,possibility,0,4,11,1
47,revolution,0,5,10,1
48,always,0,2,6,0
49,opposed,0,0,7,0
50,claiming,0,3,8,1
51,computers,0,3,9,1
52,think,0,1,5,0
53,linearly,0,3,8,1
54,follow,0,2,6,0
55,directions,0,4,10,1
56,commands,0,2,8,0
57,humans,0,2,6,0
58,give,0,2,4,0
59,misconception,-1,5,13,1
60,advancement,0,4,11,1
61,machine,0,3,7,1
62,learning,0,3,8,1
63,artificial,0,5,10,1
64,intelligence,1,5,12,1
65,able,0,2,4,0
66,go,0,1,2,0
67,beyond,0,2,6,0
68,carrying,0,2,8,0
69,instructions,0,4,12,1
70,form,0,1,4,0
71,concepts,0,2,8,0
72,act,0,1,3,0
73,upon,0,2,4,0
74,2014,0,0,4,0
75,Google,0,3,6,1
76,able,0,2,4,0
77,train,0,2,5,0
78,machine,0,3,7,1
79,learning,0,3,8,1
80,algorithm,0,3,9,1
81,recognize,0,4,9,1
82,cat,0,1,3,0
83,videos,0,3,6,1
84,YouTube,0,4,7,1
85,algorithm,0,3,9,1
86,taught,0,2,6,0
87,cats,0,1,4,0
88,look,0,2,4,0
89,like,0,2,4,0
90,learned,0,0,7,0
91,observation,0,5,11,1
92,making,0,2,6,0
93,generalizations,0,7,15,1
94,models,0,2,6,0
95,draw,0,1,4,0
96,upon,0,2,4,0
97,like,0,2,4,0
98,animal,0,3,6,1
99,able,0,2,4,0
100,develop,0,3,7,1
101,universal,0,4,9,1
102,idea,0,3,4,1
103,cat,0,1,3,0
104,face,0,2,4,0
105,Hence,0,2,5,0
106,wave,0,2,4,0
107,technological,0,5,13,1
108,revolution,0,5,10,1
109,capable,1,3,7,1
110,replacing,0,3,9,1
111,future,0,3,6,1
112,jobs,0,1,4,0
113,humans,0,2,6,0
114,question,0,4,8,1
115,happen,0,2,6,0
116,always,0,2,6,0
117,false,-1,2,5,0
118,alarms,0,2,6,0
119,past,0,1,4,0
120,according,0,3,9,1
121,latest,0,2,6,0
122,reports,0,2,7,0
123,future,0,3,6,1
124,work,1,1,4,0
125,arrived,0,0,7,0
126,early,0,2,5,0
127,due,0,2,3,0
128,COVID,0,2,5,0
129,19,0,0,2,0
130,lead,1,2,4,0
131,85,0,0,2,0
132,million,0,3,7,1
133,jobs,0,1,4,0
134,getting,0,2,7,0
135,replaced,0,0,8,0
136,near,0,2,4,0
137,future,0,3,6,1
138,Tasks,0,1,5,0
139,Learned,0,0,7,0
140,repetitive,-1,5,10,1
141,jobs,0,1,4,0
142,risk,-1,1,4,0
143,wiped,0,0,5,0
144,Information,0,5,11,1
145,data,0,2,4,0
146,processing,0,3,10,1
147,administrative,0,6,14,1
148,tasks,0,1,5,0
149,regular,0,3,7,1
150,manual,0,3,6,1
151,work,1,1,4,0
152,primary,0,2,7,0
153,focus,0,2,5,0
154,machines,0,0,8,0
155,Warehouse,0,5,9,1
156,manufacturing,0,5,13,1
157,jobs,0,1,4,0
158,customer,0,3,8,1
159,service,0,3,7,1
160,research,0,3,8,1
161,data,0,2,4,0
162,entry,0,1,5,0
163,Accountants,0,4,11,1
164,Taxi,0,2,4,0
165,Drivers,0,2,7,0
166,factory,0,2,7,0
167,workers,0,2,7,0
168,truckers,0,2,8,0
169,paralegals,0,4,10,1
170,radiologists,0,5,12,1
171,jobs,0,1,4,0
172,get,0,1,3,0
173,replaced,0,0,8,0
174,soon,0,2,4,0
175,Telemarketing,0,5,13,1
176,Bookkeeping,0,5,11,1
177,Clerks,0,1,6,0
178,Compensation,0,5,12,1
179,Benefits,1,3,8,1
180,Managers,0,3,8,1
181,Receptionists,0,5,13,1
182,proofreaders,0,5,12,1
183,Computer,0,3,8,1
184,Support,1,2,7,0
185,Specialists,0,4,11,1
186,Market,0,2,6,0
187,Research,0,3,8,1
188,Analysts,0,2,8,0
189,Advertising,0,4,11,1
190,Salespeople,0,5,11,1
191,Retail,0,3,6,1
192,Salespeople,0,5,11,1
193,victims,0,2,7,0
194,management,0,4,10,1
195,fields,0,2,6,0
196,Digital,0,3,7,1
197,Medicines,0,0,9,0
