,Token,Score,Syllable_Count,Word_length,IsComplex
0,Big,0,1,3,0
1,Data,0,2,4,0
2,emerged,0,0,7,0
3,biggest,0,2,7,0
4,business,0,3,8,1
5,technological,0,5,13,1
6,buzzwords,0,2,9,0
7,recent,0,2,6,0
8,years,0,2,5,0
9,term,0,1,4,0
10,Big,0,1,3,0
11,Data,0,2,4,0
12,applies,0,0,7,0
13,information,0,5,11,1
14,cannot,0,2,6,0
15,processed,0,0,9,0
16,analyzed,0,0,8,0
17,using,0,2,5,0
18,traditional,0,5,11,1
19,tools,0,2,5,0
20,processes,0,0,9,0
21,number,0,2,6,0
22,companies,0,0,9,0
23,leading,1,3,7,1
24,development,0,4,11,1
25,Big,0,1,3,0
26,Data,0,2,4,0
27,analytics,0,3,9,1
28,programs,0,2,8,0
29,creating,0,3,8,1
30,unique,0,4,6,1
31,packages,0,0,8,0
32,retailers,0,4,9,1
33,suggests,0,2,8,0
34,going,0,2,5,0
35,big,0,1,3,0
36,impact,0,2,6,0
37,retail,0,3,6,1
38,industry,0,2,8,0
39,Using,0,2,5,0
40,big,0,1,3,0
41,data,0,2,4,0
42,identify,0,3,8,1
43,promotion,0,4,9,1
44,items,0,2,5,0
45,actually,0,3,8,1
46,grow,0,1,4,0
47,category,0,3,8,1
48,sales,0,0,5,0
49,store,0,2,5,0
50,profits,0,2,7,0
51,top,1,1,3,0
52,opportunities,0,0,13,0
53,identified,0,0,10,0
54,retail,0,3,6,1
55,professionals,0,5,13,1
56,Innovations,0,5,11,1
57,Big,0,1,3,0
58,Data,0,2,4,0
59,retail,0,3,6,1
60,often,0,2,5,0
61,bog,0,1,3,0
62,vastness,0,2,8,0
63,potential,0,4,9,1
64,leaving,0,3,7,1
65,retailers,0,4,9,1
66,vaguest,0,3,7,1
67,guidance,1,4,8,1
68,try,0,0,3,0
69,figure,0,3,6,1
70,invest,0,2,6,0
71,powerful,1,3,8,1
72,tool,0,2,4,0
73,early,0,2,5,0
74,big,0,1,3,0
75,data,0,2,4,0
76,efforts,0,2,7,0
77,targeted,0,0,8,0
78,sourcing,0,3,8,1
79,analyzing,0,3,9,1
80,internal,0,3,8,1
81,data,0,2,4,0
82,also,0,2,4,0
83,true,0,2,4,0
84,retailers,0,4,9,1
85,retail,0,3,6,1
86,industries,0,0,10,0
87,internal,0,3,8,1
88,data,0,2,4,0
89,primary,0,2,7,0
