,Token,Score,Syllable_Count,Word_length,IsComplex
0,Perhaps,0,2,7,0
1,virtual,0,3,7,1
2,illusion,-1,4,8,1
3,become,0,3,6,1
4,today,0,2,5,0
5,New,0,1,3,0
6,Reality,0,3,7,1
7,Inquisitive,0,6,11,1
8,conclusion,0,4,10,1
9,Let,0,1,3,0
10,attempt,0,2,7,0
11,vindicate,0,4,9,1
12,outline,0,4,7,1
13,story,0,1,5,0
14,unfolds,0,2,7,0
15,Ever,0,2,4,0
16,since,0,2,5,0
17,concept,0,2,7,0
18,gaming,0,2,6,0
19,floated,0,0,7,0
20,back,0,1,4,0
21,1970s,0,0,5,0
22,dimension,0,4,9,1
23,put,0,1,3,0
24,human,0,2,5,0
25,beings,0,2,6,0
26,intangible,0,4,10,1
27,nature,0,3,6,1
28,paradoxically,-1,5,13,1
29,engulfed,0,0,8,0
30,us,0,1,2,0
31,since,0,2,5,0
32,laid,0,2,4,0
33,impact,0,2,6,0
34,multiple,0,3,8,1
35,generations,0,5,11,1
36,different,0,3,9,1
37,ways,0,1,4,0
38,last,0,1,4,0
39,decade,0,3,6,1
40,witnessed,0,0,9,0
41,boom,1,2,4,0
42,industry,0,2,8,0
43,advancement,0,4,11,1
44,technologies,0,0,12,0
45,Virtual,0,3,7,1
46,Augmented,0,0,9,0
47,reality,0,3,7,1
48,gaming,0,2,6,0
49,world,0,1,5,0
50,become,0,3,6,1
51,integral,1,3,8,1
52,part,0,1,4,0
53,day,0,1,3,0
54,day,0,1,3,0
55,experiences,0,0,11,0
56,intent,0,2,6,0
57,regarded,0,0,8,0
58,leisure,0,4,7,1
59,activity,0,3,8,1
60,percolated,0,0,10,0
61,various,0,4,7,1
62,strata,0,2,6,0
63,managed,0,0,7,0
64,gather,0,2,6,0
65,attention,0,4,9,1
66,teenagers,0,4,9,1
67,adolescents,0,4,11,1
68,comprehensive,1,5,13,1
69,scale,0,2,5,0
70,explored,0,0,8,0
71,fabric,0,2,6,0
72,Engineering,0,5,11,1
73,batch,0,1,5,0
74,mates,0,0,5,0
75,came,0,2,4,0
76,across,0,2,6,0
77,peculiar,-1,4,8,1
78,guy,0,1,3,0
79,holding,0,2,7,0
80,excellent,1,3,9,1
81,academics,0,4,9,1
82,accolades,1,0,9,0
83,names,0,0,5,0
84,seemed,0,0,6,0
