,Token,Score,Syllable_Count,Word_length,IsComplex
0,Gender,0,2,6,0
1,diversity,0,3,9,1
2,equal,0,3,5,1
3,representation,0,6,14,1
4,genders,0,2,7,0
5,workplaces,0,0,10,0
6,One,0,2,3,0
7,important,1,3,9,1
8,sectors,0,2,7,0
9,representation,0,6,14,1
10,gender,0,2,6,0
11,diversity,0,3,9,1
12,technological,0,5,13,1
13,industry,0,2,8,0
14,Gender,0,2,6,0
15,diversity,0,3,9,1
16,means,0,2,5,0
17,equal,0,3,5,1
18,opportunity,0,4,11,1
19,limited,-1,0,7,0
20,gender,0,2,6,0
21,true,0,2,4,0
22,reality,0,3,7,1
23,gender,0,2,6,0
24,diversity,0,3,9,1
25,far,0,1,3,0
26,outcry,-1,2,6,0
27,world,0,1,5,0
28,Gender,0,2,6,0
29,diversity,0,3,9,1
30,topic,0,2,5,0
31,old,0,1,3,0
32,global,0,2,6,0
33,phenomenon,0,4,10,1
34,technology,0,3,10,1
35,industry,0,2,8,0
36,stranger,-1,2,8,0
37,Women,0,2,5,0
38,often,0,2,5,0
39,underrepresented,0,0,16,0
40,technology,0,3,10,1
41,sector,0,2,6,0
42,understand,0,3,10,1
43,gap,0,1,3,0
44,let,0,1,3,0
45,look,0,2,4,0
46,statistics,0,3,10,1
47,percentage,0,4,10,1
48,women,0,2,5,0
49,employed,0,0,8,0
50,across,0,2,6,0
51,job,0,1,3,0
52,sectors,0,2,7,0
53,US,0,1,2,0
54,grown,0,1,5,0
55,47,0,0,2,0
56,47,0,0,2,0
57,34,0,0,2,0
58,belong,0,2,6,0
59,top,1,1,3,0
60,5,0,0,1,0
61,technology,0,3,10,1
62,companies,0,0,9,0
63,Amazon,0,3,6,1
64,Apple,0,2,5,0
65,Facebook,0,4,8,1
66,Google,0,3,6,1
67,Microsoft,0,3,9,1
68,Women,0,2,5,0
69,software,0,3,8,1
70,engineer,0,4,8,1
71,hires,0,0,5,0
72,increased,0,0,9,0
73,2,0,0,1,0
74,last,0,1,4,0
75,20,0,0,2,0
76,years,0,2,5,0
77,50,0,0,2,0
78,women,0,2,5,0
79,said,0,2,4,0
80,experienced,0,0,11,0
81,gender,0,2,6,0
82,discrimination,-1,6,14,1
83,work,1,1,4,0
84,37,0,0,2,0
85,tech,0,1,4,0
86,startups,0,2,8,0
87,least,0,2,5,0
88,woman,0,2,5,0
89,board,0,2,5,0
90,directors,0,3,9,1
91,ratio,0,3,5,1
92,men,0,1,3,0
93,women,0,2,5,0
94,engineering,0,5,11,1
95,5,0,0,1,0
96,1,0,0,1,0
97,25,0,0,2,0
98,5,0,0,1,0
99,Google,0,3,6,1
100,leaders,0,3,7,1
101,global,0,2,6,0
102,scale,0,2,5,0
103,women,0,2,5,0
104,Even,0,2,4,0
105,tech,0,1,4,0
106,conference,0,4,10,1
107,organizations,0,6,13,1
108,fewer,0,2,5,0
109,female,0,3,6,1
110,keynote,0,3,7,1
111,speakers,0,3,8,1
112,male,0,2,4,0
113,speakers,0,3,8,1
114,Eight,0,2,5,0
115,percent,0,2,7,0
116,17,0,0,2,0
117,percent,0,2,7,0
118,gay,0,1,3,0
119,transgender,0,3,11,1
120,workers,0,2,7,0
121,report,0,2,6,0
122,passed,0,0,6,0
123,job,0,1,3,0
124,fired,0,0,5,0
125,sexual,0,3,6,1
126,orientation,0,6,11,1
127,gender,0,2,6,0
128,identity,0,3,8,1
129,Globally,0,2,8,0
130,women,0,2,5,0
131,earn,0,2,4,0
132,77,0,0,2,0
133,cents,0,1,5,0
134,dollar,0,2,6,0
135,compared,0,0,8,0
136,men,0,1,3,0
137,According,0,3,9,1
