,Token,Score,Syllable_Count,Word_length,IsComplex
0,Brief,0,2,5,0
1,Financial,0,4,9,1
2,Crisis,-1,2,6,0
3,2008,0,0,4,0
4,started,0,0,7,0
5,crisis,-1,2,6,0
6,subprime,0,3,8,1
7,mortgage,0,3,8,1
8,market,0,2,6,0
9,e,0,1,1,0
10,market,0,2,6,0
11,lending,0,2,7,0
12,loans,0,2,5,0
13,done,0,2,4,0
14,people,0,3,6,1
15,difficulty,-1,3,10,1
16,maintaining,0,5,11,1
17,repayment,0,3,9,1
18,schedule,0,3,8,1
19,simple,0,2,6,0
20,terms,0,1,5,0
21,loans,0,2,5,0
22,given,0,2,5,0
23,people,0,3,6,1
24,without,0,3,7,1
25,proper,1,2,6,0
26,checks,0,1,6,0
27,low,0,1,3,0
28,credit,0,2,6,0
29,scores,0,0,6,0
30,ultimately,0,4,10,1
31,led,1,0,3,0
32,onto,0,2,4,0
33,huge,0,2,4,0
34,global,0,2,6,0
35,collapse,-1,3,8,1
36,Financial,0,4,9,1
37,Crisis,-1,2,6,0
38,2008,0,0,4,0
39,Great,1,2,5,0
40,Recession,-1,4,9,1
41,considered,0,0,10,0
42,worst,-1,1,5,0
43,economic,0,4,8,1
44,crisis,-1,2,6,0
45,since,0,2,5,0
46,Great,1,2,5,0
47,Depression,-1,4,10,1
48,Financial,0,4,9,1
49,Crisis,-1,2,6,0
50,Explained,0,0,9,0
51,year,0,2,4,0
52,1996,0,0,4,0
53,dot,0,1,3,0
54,com,0,1,3,0
55,boom,1,2,4,0
56,otherwise,0,4,9,1
57,known,0,1,5,0
58,dot,0,1,3,0
59,com,0,1,3,0
60,bubble,0,2,6,0
61,United,0,0,6,0
62,States,0,0,6,0
63,period,0,3,6,1
64,massive,0,3,7,1
65,growth,0,1,6,0
66,use,0,2,3,0
67,internet,0,3,8,1
68,stock,0,1,5,0
69,market,0,2,6,0
70,prices,0,0,6,0
71,started,0,0,7,0
72,increasing,0,4,10,1
73,rapidly,0,2,7,0
74,However,0,3,7,1
75,around,0,3,6,1
76,year,0,2,4,0
77,2000,0,0,4,0
78,dropped,0,0,7,0
79,led,1,0,3,0
80,people,0,3,6,1
81,investors,0,3,9,1
82,withdraw,0,2,8,0
83,investments,0,3,11,1
84,stock,0,1,5,0
85,market,0,2,6,0
86,rapidly,0,2,7,0
87,led,1,0,3,0
88,decline,-1,3,7,1
89,price,0,2,5,0
90,shares,0,0,6,0
91,stock,0,1,5,0
92,markets,0,2,7,0
93,interest,0,3,8,1
94,rate,0,2,4,0
95,plummeted,0,0,9,0
96,around,0,3,6,1
97,1,0,0,1,0
98,quickly,0,2,7,0
99,short,0,1,5,0
100,span,0,1,4,0
101,Investors,0,3,9,1
102,looking,0,3,7,1
103,brighter,1,2,8,0
104,option,0,3,6,1
105,investing,0,3,9,1
106,stock,0,1,5,0
107,markets,0,2,7,0
108,Fig,0,1,3,0
109,Rise,0,2,4,0
110,fall,-1,1,4,0
111,Dot,0,1,3,0
112,Com,0,1,3,0
113,Bubble,0,2,6,0
114,interest,0,3,8,1
115,rates,0,0,5,0
116,went,0,1,4,0
117,lower,0,2,5,0
118,lower,0,2,5,0
119,real,0,2,4,0
120,estate,0,3,6,1
121,prices,0,0,6,0
122,started,0,0,7,0
123,rising,0,2,6,0
124,US,0,1,2,0
125,Govt,0,1,4,0
126,also,0,2,4,0
127,encouraged,0,0,10,0
128,people,0,3,6,1
129,buy,0,1,3,0
130,houses,0,0,6,0
131,properties,0,0,10,0
132,demand,0,2,6,0
133,started,0,0,7,0
134,rising,0,2,6,0
135,rapidly,0,2,7,0
136,investors,0,3,9,1
137,found,0,2,5,0
138,great,1,2,5,0
139,option,0,3,6,1
140,invest,0,2,6,0
141,e,0,1,1,0
142,Real,0,2,4,0
143,Estate,0,3,6,1
144,time,0,2,4,0
145,Investment,0,3,10,1
146,Banks,0,1,5,0
147,saw,0,1,3,0
148,opportunity,0,4,11,1
149,chimed,0,0,6,0
150,started,0,0,7,0
151,buying,0,2,6,0
152,loans,0,2,5,0
153,Banks,0,1,5,0
154,bulk,0,1,4,0
155,clubbed,0,0,7,0
156,multiple,0,3,8,1
157,loans,0,2,5,0
158,complex,-1,2,7,0
159,derivative,0,5,10,1
160,called,0,0,6,0
161,CDO,0,1,3,0
162,Collateralized,0,0,14,0
163,Debt,-1,1,4,0
164,Obligations,0,5,11,1
165,started,0,0,7,0
166,providing,0,3,9,1
167,Investors,0,3,9,1
168,getting,0,2,7,0
169,credit,0,2,6,0
170,rating,0,2,6,0
171,AAA,0,3,3,1
172,Safe,1,2,4,0
173,Investment,0,3,10,1
174,Credit,0,2,6,0
175,Rating,0,2,6,0
176,Agencies,0,0,8,0
177,Investors,0,3,9,1
178,naturally,0,3,9,1
179,fell,0,1,4,0
180,started,0,0,7,0
181,buying,0,2,6,0
182,CDOs,0,1,4,0
183,risk,-1,1,4,0
184,factor,0,2,6,0
185,loans,0,2,5,0
186,got,0,1,3,0
187,transferred,0,0,11,0
188,Banks,0,1,5,0
189,Investment,0,3,10,1
190,Banks,0,1,5,0
191,CDO,0,1,3,0
192,Investors,0,3,9,1
193,high,0,1,4,0
194,buying,0,2,6,0
195,demand,0,2,6,0
196,CDOs,0,1,4,0
197,Investment,0,3,10,1
198,banks,0,1,5,0
199,started,0,0,7,0
200,demanding,0,3,9,1
201,pressurizing,0,4,12,1
202,Banks,0,1,5,0
203,provide,0,3,7,1
204,even,0,2,4,0
205,Loans,0,2,5,0
206,provide,0,3,7,1
207,CDOs,0,1,4,0
208,Investors,0,3,9,1
209,However,0,3,7,1
210,Banks,0,1,5,0
211,already,0,3,7,1
212,provided,0,0,8,0
213,loans,0,2,5,0
214,people,0,3,6,1
215,good,0,2,4,0
216,credit,0,2,6,0
217,history,0,2,7,0
218,regular,0,3,7,1
