,Token,Score,Syllable_Count,Word_length,IsComplex
0,Abstract,0,2,8,0
1,work,1,1,4,0
2,done,0,2,4,0
3,destined,0,0,8,0
4,undergo,0,3,7,1
5,massive,0,3,7,1
6,transformational,0,6,16,1
7,changes,0,0,7,0
8,impact,0,2,6,0
9,humans,0,2,6,0
10,ways,0,1,4,0
11,working,0,2,7,0
12,dramatically,0,4,12,1
13,development,0,4,11,1
14,machine,0,3,7,1
15,programs,0,2,8,0
16,set,0,1,3,0
17,take,0,2,4,0
18,humans,0,2,6,0
19,workplace,0,3,9,1
20,competition,0,5,11,1
21,beings,0,2,6,0
22,robots,0,2,6,0
23,robots,0,2,6,0
24,overcome,0,4,8,1
25,us,0,1,2,0
26,fields,0,2,6,0
27,work,1,1,4,0
28,present,0,2,7,0
29,surrounded,0,0,10,0
30,dusk,0,1,4,0
31,till,0,1,4,0
32,dawn,0,1,4,0
33,facial,0,3,6,1
34,recognition,0,5,11,1
35,present,0,2,7,0
36,mobile,0,3,6,1
37,application,0,5,11,1
38,dating,0,2,6,0
39,websites,0,0,8,0
40,applications,0,5,12,1
41,uses,0,0,4,0
42,decision,0,4,8,1
43,making,0,2,6,0
44,algorithms,0,3,10,1
45,learn,0,2,5,0
46,past,0,1,4,0
47,data,0,2,4,0
48,well,0,1,4,0
49,believed,0,0,8,0
50,grown,0,1,5,0
51,270,0,0,3,0
52,last,0,1,4,0
53,years,0,2,5,0
54,First,0,1,5,0
55,let,0,1,3,0
56,us,0,1,2,0
57,know,0,1,4,0
58,fuss,-1,1,4,0
59,going,0,2,5,0
60,defined,0,0,7,0
61,internet,0,3,8,1
62,simply,0,1,6,0
63,simulation,0,5,10,1
64,human,0,2,5,0
65,intelligence,1,5,12,1
66,machines,0,0,8,0
67,programmed,0,0,10,0
68,think,0,1,5,0
69,like,0,2,4,0
70,humans,0,2,6,0
71,mimic,0,2,5,0
72,actions,0,3,7,1
73,translates,0,0,10,0
74,work,1,1,4,0
75,human,0,2,5,0
76,fast,0,1,4,0
77,speed,0,0,5,0
78,100,0,0,3,0
79,accuracy,0,3,8,1
80,definition,0,5,10,1
81,would,0,2,5,0
82,define,0,3,6,1
83,god,0,1,3,0
84,form,0,1,4,0
85,human,0,2,5,0
86,beings,0,2,6,0
87,question,0,4,8,1
88,arises,0,0,6,0
89,entails,0,3,7,1
90,future,0,3,6,1
91,fancy,1,1,5,0
92,enough,0,3,6,1
93,continue,0,4,8,1
94,existing,0,3,8,1
95,minds,0,1,5,0
96,time,0,2,4,0
97,come,0,2,4,0
98,certain,0,3,7,1
99,limitations,-1,5,11,1
100,threats,-1,2,7,0
101,cause,0,3,5,1
102,peaceful,1,4,8,1
103,sleep,0,2,5,0
104,workers,0,2,7,0
105,introduction,0,5,12,1
106,different,0,3,9,1
107,areas,0,3,5,1
108,workplace,0,3,9,1
109,clear,1,2,5,0
110,half,0,1,4,0
111,human,0,2,5,0
112,jobs,0,1,4,0
113,would,0,2,5,0
114,taken,0,2,5,0
115,would,0,2,5,0
116,arise,0,3,5,1
117,need,0,0,4,0
118,jobs,0,1,4,0
119,humans,0,2,6,0
120,upcoming,0,3,8,1
121,AI,0,2,2,0
122,based,0,0,5,0
123,ventures,0,0,8,0
124,different,0,3,9,1
125,industries,0,0,10,0
126,Thereby,0,2,7,0
127,giving,0,2,6,0
128,us,0,1,2,0
129,fair,0,2,4,0
130,share,0,2,5,0
131,back,0,1,4,0
132,us,0,1,2,0
133,survey,0,2,6,0
134,found,0,2,5,0
135,believed,0,0,8,0
136,AI,0,2,2,0
137,devastating,-1,4,11,1
138,humans,0,2,6,0
139,professionals,0,5,13,1
140,tech,0,1,4,0
141,savvy,1,1,5,0
142,people,0,3,6,1
143,believed,0,0,8,0
144,inculcating,0,4,11,1
145,AI,0,2,2,0
146,technology,0,3,10,1
147,business,0,3,8,1
148,daily,0,2,5,0
149,lives,0,0,5,0
150,would,0,2,5,0
151,remarkable,1,4,10,1
152,step,0,1,4,0
153,lead,1,2,4,0
154,flourishment,0,4,12,1
155,business,0,3,8,1
156,future,0,3,6,1
157,give,0,2,4,0
158,competitive,1,5,11,1
159,edge,0,2,4,0
160,rivals,0,2,6,0
161,People,0,3,6,1
162,believed,0,0,8,0
163,advanced,1,0,8,0
164,technologies,0,0,12,0
165,would,0,2,5,0
166,come,0,2,4,0
167,together,0,3,8,1
168,work,1,1,4,0
169,humans,0,2,6,0
170,produce,0,3,7,1
171,smarter,1,2,7,0
172,strategic,0,3,9,1
173,decision,0,4,8,1
174,productive,1,4,10,1
175,collaborative,0,6,13,1
176,practices,0,0,9,0
177,modern,1,2,6,0
178,technology,0,3,10,1
179,prevailing,0,4,10,1
180,organization,0,6,12,1
181,lead,1,2,4,0
182,stress,-1,1,6,0
183,reduction,0,4,9,1
184,produce,0,3,7,1
185,satisfying,1,3,10,1
186,results,0,2,7,0
187,thereby,0,2,7,0
188,making,0,2,6,0
189,organization,0,6,12,1
190,efficient,1,4,9,1
