,Token,Score,Syllable_Count,Word_length,IsComplex
0,Defense,0,3,7,1
1,crucial,0,3,7,1
2,nation,0,3,6,1
3,well,0,1,4,0
4,progress,1,2,8,0
5,reason,0,3,6,1
6,every,0,2,5,0
7,country,0,2,7,0
8,assigns,0,2,7,0
9,tantamount,0,4,10,1
10,importance,0,4,10,1
11,protect,1,2,7,0
12,interests,1,3,9,1
13,nation,0,3,6,1
14,guard,0,2,5,0
15,land,0,1,4,0
16,seas,0,2,4,0
17,air,0,2,3,0
18,addition,0,4,8,1
19,space,0,2,5,0
20,recently,0,2,8,0
21,anti,0,2,4,0
22,satellite,0,4,9,1
23,missile,0,3,7,1
24,like,0,2,4,0
25,sectors,0,2,7,0
26,technology,0,3,10,1
27,impacted,0,0,8,0
28,defense,0,3,7,1
29,well,0,1,4,0
30,Continual,0,4,9,1
31,improvements,1,4,12,1
32,made,0,2,4,0
33,design,0,2,6,0
34,guns,0,1,4,0
35,missiles,0,0,8,0
36,submarines,0,0,10,0
37,ships,0,1,5,0
38,planes,0,0,6,0
39,time,0,2,4,0
40,efforts,0,2,7,0
41,made,0,2,4,0
42,minimize,0,4,8,1
43,human,0,2,5,0
44,loss,-1,1,4,0
45,wars,0,1,4,0
46,One,0,2,3,0
47,ways,0,1,4,0
48,would,0,2,5,0
49,employ,0,2,6,0
50,expendable,0,4,10,1
51,machines,0,0,8,0
52,could,0,2,5,0
53,work,1,1,4,0
54,concept,0,2,7,0
55,enables,0,0,7,0
56,machines,0,0,8,0
57,artificial,0,5,10,1
58,intelligence,1,5,12,1
59,immediate,0,5,9,1
60,thing,0,1,5,0
61,might,0,1,5,0
62,come,0,2,4,0
63,mind,0,1,4,0
64,Terminator,0,4,10,1
65,like,0,2,4,0
66,soldier,0,3,7,1
67,completely,0,3,10,1
68,replace,0,3,7,1
69,humans,0,2,6,0
70,However,0,3,7,1
71,even,0,2,4,0
72,close,0,2,5,0
73,reality,0,3,7,1
74,difficulties,-1,0,12,0
75,involved,0,0,8,0
76,present,0,2,7,0
77,AI,0,2,2,0
78,cannot,0,2,6,0
79,level,0,2,5,0
80,multitasking,0,4,12,1
81,cannot,0,2,6,0
82,react,0,2,5,0
83,difficult,-1,3,9,1
84,situations,0,5,10,1
85,also,0,2,4,0
86,confused,-1,0,8,0
87,enemies,-1,0,7,0
88,Given,0,2,5,0
89,wonderful,1,3,9,1
90,article,0,3,7,1
91,Lt,0,0,2,0
92,Col,0,1,3,0
93,Ret,0,1,3,0
94,Paul,0,2,4,0
95,Maxwell,0,2,7,0
96,Cyber,0,1,5,0
97,Fellow,0,2,6,0
98,Computer,0,3,8,1
99,Engineering,0,5,11,1
100,Army,0,1,4,0
101,Cyber,0,1,5,0
102,Institute,0,4,9,1
103,United,0,0,6,0
104,States,0,0,6,0
105,Military,0,3,8,1
106,Academy,0,3,7,1
107,illustrates,0,0,11,0
108,However,0,3,7,1
109,author,0,3,6,1
110,says,0,1,4,0
111,AI,0,2,2,0
112,used,0,0,4,0
113,maintenance,0,5,11,1
114,applications,0,5,12,1
115,determine,0,4,9,1
116,system,0,1,6,0
117,going,0,2,5,0
118,fail,-1,2,4,0
119,needs,0,2,5,0
120,repair,0,3,6,1
121,similar,0,3,7,1
122,kind,0,1,4,0
123,application,0,5,11,1
124,analyze,0,3,7,1
125,medical,0,3,7,1
126,condition,0,4,9,1
127,soldier,0,3,7,1
128,predict,0,2,7,0
129,operability,0,5,11,1
130,treated,0,0,7,0
131,right,0,1,5,0
132,enhance,1,3,7,1
133,overall,0,3,7,1
134,power,0,2,5,0
135,armed,0,0,5,0
136,forces,0,0,6,0
137,machines,0,0,8,0
138,must,0,1,4,0
139,act,0,1,3,0
140,force,0,2,5,0
141,multipliers,0,4,11,1
142,assist,0,2,6,0
143,humans,0,2,6,0
144,replace,0,3,7,1
145,objective,0,4,9,1
146,countries,0,0,9,0
147,presently,0,2,9,0
148,working,0,2,7,0
149,achieve,0,4,7,1
150,Let,0,1,3,0
151,us,0,1,2,0
152,consider,0,3,8,1
153,land,0,1,4,0
154,warfare,0,3,7,1
155,Soldiers,0,3,8,1
156,push,0,1,4,0
157,battlefield,0,4,11,1
158,face,0,2,4,0
159,enemy,-1,2,5,0
160,attacks,-1,2,7,0
161,possibly,0,2,8,0
162,sustain,0,3,7,1
163,fatal,-1,2,5,0
164,wounds,-1,2,6,0
165,Moreover,0,4,8,1
166,terrains,0,3,8,1
167,difficult,-1,3,9,1
168,dangerous,-1,4,9,1
169,humans,0,2,6,0
170,access,0,2,6,0
171,problem,-1,2,7,0
172,reduced,0,0,7,0
173,considerably,0,4,12,1
174,using,0,2,5,0
175,following,0,3,9,1
176,technologies,0,0,12,0
177,UGV,0,1,3,0
178,unmanned,0,0,8,0
179,ground,0,2,6,0
180,vehicle,0,3,7,1
181,sentry,0,1,6,0
182,guns,0,1,4,0
183,UGVs,0,1,4,0
184,come,0,2,4,0
185,various,0,4,7,1
186,sizes,0,0,5,0
187,small,0,1,5,0
188,bag,0,1,3,0
189,sized,0,0,5,0
190,medium,0,3,6,1
191,sized,0,0,5,0
192,tanks,-1,1,5,0
193,variety,1,3,7,1
194,roles,0,0,5,0
195,employed,0,0,8,0
196,small,0,1,5,0
197,ones,0,0,4,0
198,ideal,1,3,5,1
199,reconnaissance,0,6,14,1
200,purposes,0,0,8,0
201,mine,0,2,4,0
202,detection,0,4,9,1
203,bomb,-1,1,4,0
204,disposal,0,3,8,1
205,small,0,1,5,0
206,assault,-1,3,7,1
207,operations,0,5,10,1
208,small,0,1,5,0
209,size,0,2,4,0
210,makes,0,0,5,0
211,difficult,-1,3,9,1
212,detect,0,2,6,0
213,also,0,2,4,0
214,enables,0,0,7,0
215,access,0,2,6,0
216,inaccessible,0,5,12,1
217,places,0,0,6,0
218,India,0,3,5,1
219,already,0,3,7,1
220,developed,0,0,9,0
221,Daksh,0,1,5,0
222,purposes,0,0,8,0
223,Another,0,3,7,1
224,notable,0,3,7,1
225,example,0,3,7,1
226,Gladiator,0,4,9,1
227,UGV,0,1,3,0
228,US,0,1,2,0
229,US,0,1,2,0
230,also,0,2,4,0
231,trying,0,1,6,0
232,develop,0,3,7,1
233,ball,0,1,4,0
234,robots,0,2,6,0
235,purposes,0,0,8,0
236,Autonomous,1,6,10,1
237,tanks,-1,1,5,0
238,useful,0,3,6,1
239,assist,0,2,6,0
240,conventional,0,5,12,1
241,tanks,-1,1,5,0
242,acting,0,2,6,0
243,security,0,3,8,1
244,cover,0,2,5,0
245,also,0,2,4,0
246,carrying,0,2,8,0
247,assault,-1,3,7,1
248,operations,0,5,10,1
249,carrying,0,2,8,0
250,essential,0,4,9,1
251,gear,0,2,4,0
252,Milrem,0,2,6,0
253,UGV,0,1,3,0
254,used,0,0,4,0
255,Estonian,0,4,8,1
256,troops,0,2,6,0
257,Mali,0,2,4,0
258,Africa,0,3,6,1
259,carrying,0,2,8,0
260,supplies,0,0,8,0
261,ammunition,0,5,10,1
262,Mostly,0,1,6,0
263,technology,0,3,10,1
264,development,0,4,11,1
265,approved,0,0,8,0
266,useful,0,3,6,1
267,nation,0,3,6,1
268,link,0,1,4,0
269,UGV,0,1,3,0
270,info,0,2,4,0
271,given,0,2,5,0
272,Sentry,0,1,6,0
273,guns,0,1,4,0
274,static,-1,2,6,0
275,devices,0,0,7,0
276,basically,0,3,9,1
277,powered,0,0,7,0
278,machine,0,3,7,1
279,guns,0,1,4,0
280,rotate,0,3,6,1
281,fixed,0,0,5,0
282,point,0,2,5,0
283,fire,0,2,4,0
284,automatically,0,6,13,1
285,targets,0,2,7,0
286,using,0,2,5,0
287,cameras,0,3,7,1
288,sensors,0,2,7,0
289,useful,0,3,6,1
290,comes,0,0,5,0
291,defense,0,3,7,1
292,place,0,2,5,0
293,invading,0,3,8,1
294,enemies,-1,0,7,0
295,battery,0,2,7,0
296,guns,0,1,4,0
297,installed,0,0,9,0
298,various,0,4,7,1
299,points,0,2,6,0
300,around,0,3,6,1
301,specified,0,0,9,0
302,place,0,2,5,0
303,Thus,0,1,4,0
304,sentry,0,1,6,0
305,guns,0,1,4,0
306,extremely,0,3,9,1
307,useful,0,3,6,1
308,prevent,0,2,7,0
309,defending,0,3,9,1
310,soldiers,0,3,8,1
311,becoming,0,3,8,1
312,exposed,0,0,7,0
313,targets,0,2,7,0
314,South,0,2,5,0
315,Korea,0,3,5,1
316,uses,0,0,4,0
317,system,0,1,6,0
318,demilitarized,0,0,13,0
319,zone,0,2,4,0
320,North,0,1,5,0
321,Korea,0,3,5,1
322,South,0,2,5,0
323,Korea,0,3,5,1
324,Autonomous,1,6,10,1
325,technologies,0,0,12,0
326,also,0,2,4,0
327,applied,0,0,7,0
328,water,0,2,5,0
329,certain,0,3,7,1
330,operations,0,5,10,1
331,minesweeping,0,5,12,1
332,stand,0,1,5,0
333,high,0,1,4,0
334,threat,-1,2,6,0
335,ships,0,1,5,0
336,involved,0,0,8,0
337,use,0,2,3,0
338,autonomous,1,6,10,1
339,boats,0,2,5,0
340,UGV,0,1,3,0
341,unmanned,0,0,8,0
342,underwater,0,4,10,1
343,vehicles,0,0,8,0
344,Autonomous,1,6,10,1
345,boats,0,2,5,0
346,useful,0,3,6,1
347,protect,1,2,7,0
348,bigger,0,2,6,0
349,ships,0,1,5,0
350,standing,0,2,8,0
351,idle,-1,2,4,0
352,exposed,0,0,7,0
353,also,0,2,4,0
354,carry,0,1,5,0
355,reconnaissance,0,6,14,1
356,assault,-1,3,7,1
357,operations,0,5,10,1
358,US,0,1,2,0
359,Navy,0,1,4,0
360,currently,0,2,9,0
361,trying,0,1,6,0
362,make,0,2,4,0
363,boats,0,2,5,0
364,operational,0,6,11,1
365,Underwater,0,4,10,1
366,submarine,0,4,9,1
367,combat,0,2,6,0
368,vehicle,0,3,7,1
369,present,0,2,7,0
370,times,0,0,5,0
371,underwater,0,4,10,1
372,warfare,0,3,7,1
373,become,0,3,6,1
374,complex,-1,2,7,0
375,due,0,2,3,0
376,adoption,0,4,8,1
377,stealth,0,2,7,0
378,technologies,0,0,12,0
379,like,0,2,4,0
380,acoustic,0,4,8,1
381,dampening,0,3,9,1
382,anti,0,2,4,0
383,submarine,0,4,9,1
384,technologies,0,0,12,0
385,deployed,0,0,8,0
386,air,0,2,3,0
387,also,0,2,4,0
388,increases,0,0,9,0
389,number,0,2,6,0
390,staff,0,1,5,0
391,submarines,0,0,10,0
392,required,0,0,8,0
393,handle,0,2,6,0
394,situations,0,5,10,1
395,increases,0,0,9,0
396,threat,-1,2,6,0
397,significant,1,4,11,1
398,casualties,0,0,10,0
399,However,0,3,7,1
400,use,0,2,3,0
401,UUV,0,2,3,0
402,would,0,2,5,0
403,significantly,0,4,13,1
404,reduce,0,3,6,1
405,problems,-1,2,8,0
406,thus,0,1,4,0
407,countries,0,0,9,0
408,like,0,2,4,0
409,USA,0,2,3,0
