,Token,Score,Syllable_Count,Word_length,IsComplex
0,Artificial,0,5,10,1
1,intelligence,1,5,12,1
2,AI,0,2,2,0
3,development,0,4,11,1
4,computer,0,3,8,1
5,systems,0,1,7,0
6,perform,0,2,7,0
7,tasks,0,1,5,0
8,normally,0,2,8,0
9,require,0,4,7,1
10,human,0,2,5,0
11,intelligence,1,5,12,1
12,Advances,0,0,8,0
13,AI,0,2,2,0
14,software,0,3,8,1
15,hardware,0,3,8,1
16,especially,0,4,10,1
17,deep,0,2,4,0
18,learning,0,3,8,1
19,algorithms,0,3,10,1
20,graphics,0,2,8,0
21,processing,0,3,10,1
22,units,0,2,5,0
23,GPUs,0,1,4,0
24,power,0,2,5,0
25,training,0,3,8,1
26,led,1,0,3,0
27,recent,0,2,6,0
28,rapidly,0,2,7,0
29,increasing,0,4,10,1
30,interest,0,3,8,1
31,medical,0,3,7,1
32,AI,0,2,2,0
33,applications,0,5,12,1
34,clinical,0,3,8,1
35,diagnostics,0,4,11,1
36,AI,0,2,2,0
37,based,0,0,5,0
38,computer,0,3,8,1
39,vision,0,3,6,1
40,approaches,0,0,10,0
41,poised,1,0,6,0
42,revolutionize,1,7,13,1
43,image,0,3,5,1
44,based,0,0,5,0
45,diagnostics,0,4,11,1
46,AI,0,2,2,0
47,subtypes,0,0,8,0
48,begun,0,2,5,0
49,show,0,1,4,0
50,similar,0,3,7,1
51,promise,1,3,7,1
52,various,0,4,7,1
53,diagnostic,0,4,10,1
54,modalities,0,0,10,0
55,areas,0,3,5,1
56,clinical,0,3,8,1
57,genomics,0,3,8,1
58,specific,0,3,8,1
59,type,0,1,4,0
60,AI,0,2,2,0
61,algorithm,0,3,9,1
62,known,0,1,5,0
63,deep,0,2,4,0
64,learning,0,3,8,1
65,used,0,0,4,0
66,process,0,2,7,0
67,large,0,2,5,0
68,complex,-1,2,7,0
69,genomic,0,3,7,1
70,datasets,0,3,8,1
71,AI,0,2,2,0
72,main,0,2,4,0
73,applications,0,5,12,1
74,genetics,0,3,8,1
75,identification,0,7,14,1
76,harmful,-1,2,7,0
77,genes,0,0,5,0
78,treatment,0,3,9,1
79,disease,0,4,7,1
80,Let,0,1,3,0
81,take,0,2,4,0
82,look,0,2,4,0
83,applications,0,5,12,1
84,works,1,1,5,0
85,Also,0,2,4,0
86,good,0,2,4,0
87,GPS,0,0,3,0
88,trackers,0,2,8,0
89,implement,0,3,9,1
90,vehicle,0,3,7,1
91,AI,0,2,2,0
92,also,0,2,4,0
93,used,0,0,4,0
94,identify,0,3,8,1
95,genetic,0,3,7,1
96,mutations,0,4,9,1
97,within,0,2,6,0
98,tumors,0,2,6,0
99,using,0,2,5,0
100,3D,0,0,2,0
101,imaging,0,3,7,1
102,AI,0,2,2,0
103,useful,0,3,6,1
104,personalized,1,0,12,0
105,medicine,0,4,8,1
106,requires,0,0,8,0
107,treatments,0,3,10,1
108,specified,0,0,9,0
109,patient,1,3,7,1
110,needs,0,2,5,0
111,versus,0,2,6,0
112,another,0,3,7,1
113,0,0,0,1,0
114,1,0,0,1,0
115,DNA,0,1,3,0
116,unique,0,4,6,1
117,us,0,1,2,0
118,million,0,3,7,1
119,differences,0,0,11,0
120,rise,0,2,4,0
121,AI,0,2,2,0
122,genomics,0,3,8,1
123,unsurprising,0,4,12,1
124,Genomics,0,3,8,1
125,big,0,1,3,0
126,data,0,2,4,0
127,field,0,2,5,0
128,requires,0,0,8,0
129,computational,0,6,13,1
130,approaches,0,0,10,0
131,interrogate,0,5,11,1
132,enormous,0,4,8,1
133,volume,0,3,6,1
134,data,0,2,4,0
135,generated,0,0,9,0
136,sequencing,0,4,10,1
137,technologies,0,0,12,0
138,marry,0,1,5,0
139,meaningful,1,4,10,1
140,ways,0,1,4,0
141,biological,0,5,10,1
142,clinical,0,3,8,1
143,data,0,2,4,0
144,Analyzing,0,3,9,1
145,datasets,0,3,8,1
146,biological,0,5,10,1
147,insights,0,2,8,0
148,especially,0,4,10,1
149,difficult,-1,3,9,1
150,rules,0,0,5,0
151,explicitly,0,3,10,1
152,predefined,0,0,10,0
153,step,0,1,4,0
154,step,0,1,4,0
155,within,0,2,6,0
156,computer,0,3,8,1
157,code,0,2,4,0
158,Instead,0,3,7,1
159,machine,0,3,7,1
160,learning,0,3,8,1
161,techniques,0,0,10,0
162,learn,0,2,5,0
163,data,0,2,4,0
164,without,0,3,7,1
165,need,0,0,4,0
166,specify,0,2,7,0
167,explicit,0,3,8,1
168,rules,0,0,5,0
169,Although,0,3,8,1
170,highly,0,1,6,0
171,useful,0,3,6,1
172,tool,0,2,4,0
173,AI,0,2,2,0
174,without,0,3,7,1
175,challenge,0,3,9,1
176,key,0,1,3,0
177,issue,-1,3,5,1
178,AI,0,2,2,0
179,genomics,0,3,8,1
180,scale,0,2,5,0
181,amount,0,3,6,1
182,genomics,0,3,8,1
183,data,0,2,4,0
184,generated,0,0,9,0
185,exponentially,0,5,13,1
186,growing,0,2,7,0
187,Slavé,0,1,5,0
188,Petrovski,0,3,9,1
189,Head,0,2,4,0
190,Genome,0,3,6,1
191,Analytics,0,3,9,1
192,Informatics,0,4,11,1
