,Token,Score,Syllable_Count,Word_length,IsComplex
0,stone,0,2,5,0
1,age,0,2,3,0
2,modern,1,2,6,0
3,world,0,1,5,0
4,hunting,0,2,7,0
5,gathering,0,3,9,1
6,cultivating,0,4,11,1
7,crops,0,1,5,0
8,living,0,2,6,0
9,caves,0,0,5,0
10,building,0,3,8,1
11,communities,0,0,11,0
12,come,0,2,4,0
13,long,0,1,4,0
14,become,0,3,6,1
15,evolved,0,0,7,0
16,creature,0,4,8,1
17,planet,0,2,6,0
18,thing,0,1,5,0
19,guiding,0,3,7,1
20,force,0,2,5,0
21,throughout,0,4,10,1
22,process,0,2,7,0
23,believe,0,4,7,1
24,simple,0,2,6,0
25,words,0,1,5,0
26,say,0,1,3,0
27,enhance,1,3,7,1
28,experience,0,5,10,1
29,life,0,2,4,0
30,words,0,1,5,0
31,boost,1,2,5,0
32,productivity,0,4,12,1
33,level,0,2,5,0
34,basic,0,2,5,0
35,need,0,0,4,0
36,food,0,2,4,0
37,cloth,0,1,5,0
38,shelter,0,2,7,0
39,taken,0,2,5,0
40,care,0,2,4,0
41,want,0,1,4,0
42,comfortable,1,4,11,1
43,life,0,2,4,0
44,good,0,2,4,0
45,education,0,5,9,1
46,proper,1,2,6,0
47,healthcare,0,4,10,1
48,list,0,1,4,0
49,goes,0,0,4,0
50,urgency,0,2,7,0
51,endless,0,2,7,0
52,need,0,0,4,0
53,pushed,0,0,6,0
54,us,0,1,2,0
55,make,0,2,4,0
56,breakthrough,1,4,12,1
57,inventions,0,4,10,1
58,made,0,2,4,0
59,human,0,2,5,0
60,life,0,2,4,0
61,comfortable,1,4,11,1
62,productive,1,4,10,1
63,First,0,1,5,0
64,humans,0,2,6,0
65,invented,0,0,8,0
66,electricity,0,4,11,1
67,computers,0,3,9,1
68,came,0,2,4,0
69,portable,1,3,8,1
70,computing,0,3,9,1
71,devices,0,0,7,0
72,like,0,2,4,0
73,laptops,0,2,7,0
74,mobile,0,3,6,1
75,phones,0,0,6,0
76,became,0,3,6,1
77,operative,0,5,9,1
78,artificial,0,5,10,1
79,intelligence,1,5,12,1
80,AI,0,2,2,0
81,buzzword,0,2,8,0
82,Every,0,2,5,0
83,creation,0,4,8,1
84,human,0,2,5,0
85,beings,0,2,6,0
86,transformed,0,0,11,0
87,human,0,2,5,0
88,life,0,2,4,0
89,face,0,2,4,0
90,planet,0,2,6,0
91,living,0,2,6,0
92,mud,0,1,3,0
93,house,0,3,5,1
94,building,0,3,8,1
95,skyscrapers,0,2,11,0
96,riding,0,2,6,0
97,bullock,0,2,7,0
98,cart,0,1,4,0
99,flying,0,1,6,0
100,aircraft,0,3,8,1
101,posting,0,2,7,0
102,letters,0,2,7,0
103,making,0,2,6,0
104,video,0,3,5,1
105,calls,0,1,5,0
106,computers,0,3,9,1
107,AI,0,2,2,0
108,Artificial,0,5,10,1
109,intelligence,1,5,12,1
110,yet,0,1,3,0
111,another,0,3,7,1
112,groundbreaking,1,5,14,1
113,invention,0,4,9,1
114,humankind,0,3,9,1
115,revolutionize,1,7,13,1
116,lifestyle,0,3,9,1
117,forever,0,3,7,1
118,Artificial_Intelligence,0,10,23,1
119,productivity,0,4,12,1
120,problem_solving,0,4,15,1
121,technology,0,3,10,1
122,machine,0,3,7,1
123,human,0,2,5,0
124,Artificial,0,5,10,1
125,Intelligence,1,5,12,1
